Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
500;0.0050;770;0.6590;
501;0.0050;771;0.6890;
502;0.0050;772;0.7240;
503;0.0050;773;0.7650;
504;0.0050;774;0.8010;
505;0.0050;775;0.8340;
506;0.0050;776;0.8610;
507;0.0050;777;0.8890;
508;0.0060;778;0.9180;
509;0.0060;779;0.9430;
510;0.0060;780;0.9580;
511;0.0060;781;0.9780;
512;0.0060;782;0.9860;
513;0.0060;783;0.9910;
514;0.0060;784;0.9940;
515;0.0070;785;1.0000;
516;0.0070;786;0.9990;
517;0.0070;787;0.9890;
518;0.0070;788;0.9830;
519;0.0070;789;0.9570;
520;0.0080;790;0.9460;
521;0.0080;791;0.9250;
522;0.0080;792;0.9070;
523;0.0080;793;0.8840;
524;0.0080;794;0.8600;
525;0.0090;795;0.8410;
526;0.0090;796;0.8170;
527;0.0090;797;0.7880;
528;0.0090;798;0.7620;
529;0.0090;799;0.7240;
530;0.0100;800;0.6920;
531;0.0100;801;0.6690;
532;0.0100;802;0.6380;
533;0.0100;803;0.6080;
534;0.0110;804;0.5890;
535;0.0110;805;0.5540;
536;0.0110;806;0.5310;
537;0.0110;807;0.5090;
538;0.0120;808;0.4880;
539;0.0120;809;0.4600;
540;0.0120;810;0.4410;
541;0.0130;811;0.4230;
542;0.0130;812;0.4050;
543;0.0130;813;0.3830;
544;0.0140;814;0.3680;
545;0.0140;815;0.3470;
546;0.0140;816;0.3310;
547;0.0150;817;0.3170;
548;0.0150;818;0.3000;
549;0.0160;819;0.2900;
550;0.0160;820;0.2740;
551;0.0160;821;0.2650;
552;0.0170;822;0.2500;
553;0.0170;823;0.2400;
554;0.0180;824;0.2280;
555;0.0180;825;0.2170;
556;0.0190;826;0.2010;
557;0.0190;827;0.1940;
558;0.0200;828;0.1840;
559;0.0200;829;0.1790;
560;0.0210;830;0.1580;
561;0.0210;831;0.1580;
562;0.0220;832;0.1460;
563;0.0220;833;0.1430;
564;0.0230;834;0.1300;
565;0.0230;835;0.1220;
566;0.0240;836;0.1190;
567;0.0240;837;0.1080;
568;0.0250;838;0.1030;
569;0.0260;839;0.0970;
570;0.0260;840;0.0870;
571;0.0270;841;0.0820;
572;0.0280;842;0.0790;
573;0.0280;843;0.0730;
574;0.0290;844;0.0680;
575;0.0300;845;0.0640;
576;0.0310;846;0.0600;
577;0.0310;847;0.0540;
578;0.0320;848;0.0540;
579;0.0330;849;0.0490;
580;0.0340;850;0.0450;
581;0.0340;851;0.0400;
582;0.0350;852;0.0370;
583;0.0360;853;0.0340;
584;0.0370;854;0.0330;
585;0.0380;855;0.0290;
586;0.0390;856;0.0280;
587;0.0400;857;0.0250;
588;0.0400;858;0.0250;
589;0.0410;859;0.0230;
590;0.0420;860;0.0200;
591;0.0430;861;0.0190;
592;0.0450;862;0.0170;
593;0.0460;863;0.0150;
594;0.0470;864;0.0160;
595;0.0480;865;0.0150;
596;0.0490;866;0.0150;
597;0.0500;867;0.0140;
598;0.0510;868;0.0150;
599;0.0520;869;0.0150;
600;0.0540;870;0.0140;
601;0.0550;871;0.0120;
602;0.0560;872;0.0120;
603;0.0570;873;0.0130;
604;0.0590;874;0.0120;
605;0.0600;875;0.0110;
606;0.0620;876;0.0120;
607;0.0630;877;0.0120;
608;0.0640;878;0.0130;
