Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
280;1.0000;415;0.0469;
281;0.9507;416;0.0255;
282;0.8946;417;0.0109;
283;0.8346;418;0.0041;
284;0.7718;419;0.0015;
285;0.7081;420;0.0026;
286;0.6440;421;0.0031;
287;0.5825;422;0.0041;
288;0.5252;423;0.0046;
289;0.4718;424;0.0061;
290;0.4207;425;0.0071;
291;0.3717;426;0.0092;
292;0.3241;427;0.0112;
293;0.2789;428;0.0137;
294;0.2364;429;0.0183;
295;0.1981;430;0.0229;
296;0.1653;431;0.0300;
297;0.1371;432;0.0392;
298;0.1137;433;0.0499;
299;0.0941;434;0.0647;
300;0.0781;435;0.0815;
301;0.0655;436;0.1023;
302;0.0559;437;0.1268;
303;0.0485;438;0.1532;
304;0.0426;439;0.1853;
305;0.0383;440;0.2235;
306;0.0345;441;0.2720;
307;0.0317;442;0.3266;
308;0.0298;443;0.3868;
309;0.0280;444;0.4492;
310;0.0267;445;0.5151;
311;0.0252;446;0.5847;
312;0.0243;447;0.6501;
313;0.0233;448;0.7114;
314;0.0228;449;0.7696;
315;0.0219;450;0.8180;
316;0.0206;451;0.8613;
317;0.0205;452;0.9035;
318;0.0197;453;0.9344;
319;0.0190;454;0.9724;
320;0.0187;455;0.9896;
321;0.0184;456;0.9995;
322;0.0180;457;1.0000;
323;0.0171;458;0.9911;
324;0.0164;459;0.9799;
325;0.0160;460;0.9766;
326;0.0152;461;0.9628;
327;0.0150;462;0.9380;
328;0.0149;463;0.9228;
329;0.0144;464;0.9120;
330;0.0143;465;0.8883;
331;0.0143;466;0.8734;
332;0.0147;467;0.8523;
333;0.0150;468;0.8361;
334;0.0145;469;0.8176;
335;0.0154;470;0.8046;
336;0.0158;471;0.7869;
337;0.0158;472;0.7716;
338;0.0155;473;0.7551;
339;0.0155;474;0.7432;
340;0.0153;475;0.7323;
341;0.0156;476;0.7192;
342;0.0152;477;0.7079;
343;0.0152;478;0.7038;
344;0.0148;479;0.6883;
345;0.0145;480;0.6762;
346;0.0142;481;0.6619;
347;0.0137;482;0.6492;
348;0.0134;483;0.6294;
349;0.0130;484;0.6146;
350;0.0129;485;0.5992;
351;0.0127;486;0.5867;
352;0.0129;487;0.5719;
353;0.0126;488;0.5571;
354;0.0125;489;0.5406;
355;0.0121;490;0.5325;
356;0.0118;491;0.5164;
357;0.0122;492;0.4985;
358;0.0118;493;0.4813;
359;0.0117;494;0.4640;
360;0.0117;495;0.4468;
361;0.0116;496;0.4301;
362;0.0116;497;0.4146;
363;0.0116;498;0.4044;
364;0.0115;499;0.3904;
365;0.0115;500;0.3765;
366;0.0115;501;0.3631;
367;0.0118;502;0.3528;
368;0.0121;503;0.3405;
369;0.0121;504;0.3281;
370;0.0124;505;0.3146;
371;0.0128;506;0.3078;
372;0.0132;507;0.2947;
373;0.0137;508;0.2834;
374;0.0140;509;0.2731;
375;0.0147;510;0.2642;
376;0.0152;511;0.2552;
377;0.0158;512;0.2474;
378;0.0164;513;0.2420;
379;0.0170;514;0.2329;
380;0.0182;515;0.2262;
381;0.0190;516;0.2187;
382;0.0200;517;0.2114;
383;0.0210;518;0.2036;
384;0.0218;519;0.1968;
385;0.0231;520;0.1900;
386;0.0242;521;0.1838;
387;0.0254;522;0.1763;
388;0.0268;523;0.1719;
389;0.0284;524;0.1660;
390;0.0298;525;0.1597;
391;0.0317;526;0.1556;
392;0.0337;527;0.1511;
393;0.0360;528;0.1441;
394;0.0379;529;0.1410;
395;0.0406;530;0.1346;
396;0.0432;531;0.1300;
397;0.0460;532;0.1248;
398;0.0489;533;0.1201;
399;0.0519;534;0.1162;
400;0.0551;535;0.1110;
401;0.0586;536;0.1074;
402;0.0621;537;0.1034;
403;0.0663;538;0.0997;
404;0.0703;539;0.0964;
405;0.0744;540;0.0939;
406;0.0789;541;0.0892;
407;0.0835;542;0.0860;
408;0.0880;543;0.0832;
409;0.0928;544;0.0806;
410;0.0976;545;0.0778;
411;0.1022;546;0.0744;
412;0.1066;547;0.0716;
413;0.1110;548;0.0695;
414;0.1153;549;0.0674;
415;0.1194;550;0.0659;
416;0.1232;551;0.0631;
417;0.1271;552;0.0615;
418;0.1306;553;0.0594;
419;0.1344;554;0.0570;
420;0.1376;555;0.0556;
421;0.1407;556;0.0539;
422;0.1437;557;0.0522;
423;0.1465;558;0.0500;
424;0.1493;559;0.0482;
425;0.1521;560;0.0460;
426;0.1546;561;0.0457;
427;0.1572;562;0.0449;
428;0.1598;563;0.0431;
429;0.1621;564;0.0416;
430;0.1646;565;0.0397;
431;0.1667;566;0.0397;
432;0.1684;567;0.0370;
433;0.1699;568;0.0362;
434;0.1705;569;0.0350;
435;0.1704;570;0.0342;
436;0.1696;571;0.0322;
437;0.1675;572;0.0314;
438;0.1642;573;0.0307;
439;0.1597;574;0.0309;
440;0.1535;575;0.0286;
441;0.1461;576;0.0280;
442;0.1373;577;0.0280;
443;0.1275;578;0.0265;
444;0.1167;579;0.0259;
445;0.1053;580;0.0251;
446;0.0941;581;0.0237;
447;0.0834;582;0.0237;
448;0.0733;583;0.0229;
449;0.0637;584;0.0213;
450;0.0548;585;0.0215;
451;0.0471;586;0.0199;
452;0.0398;587;0.0199;
453;0.0335;588;0.0183;
454;0.0281;589;0.0193;
455;0.0233;590;0.0176;
456;0.0190;591;0.0168;
457;0.0158;592;0.0168;
458;0.0129;593;0.0160;
459;0.0105;594;0.0168;
460;0.0085;595;0.0162;
461;0.0068;596;0.0154;
462;0.0056;597;0.0146;
463;0.0045;598;0.0137;
464;0.0036;599;0.0129;
465;0.0030;600;0.0129;
466;0.0025;601;0.0129;
467;0.0021;602;0.0129;
468;0.0017;603;0.0113;
469;0.0015;604;0.0114;
470;0.0012;605;0.0106;
471;0.0010;606;0.0106;
472;0.0009;607;0.0098;
473;0.0008;608;0.0098;
474;0.0007;609;0.0098;
475;0.0006;610;0.0098;
476;0.0006;611;0.0098;
477;0.0006;612;0.0090;
478;0.0004;613;0.0090;
479;0.0005;614;0.0090;
480;0.0004;615;0.0083;
481;0.0003;616;0.0091;
482;0.0003;617;0.0075;
483;0.0003;618;0.0083;
484;0.0003;619;0.0075;
485;0.0003;620;0.0075;
486;0.0003;621;0.0067;
487;0.0003;622;0.0059;
488;0.0003;623;0.0068;
489;0.0003;624;0.0068;
490;0.0003;;;
491;0.0003;;;
492;0.0002;;;
493;0.0003;;;
494;0.0003;;;
495;0.0001;;;
496;0.0003;;;
497;0.0002;;;
498;0.0002;;;
499;0.0003;;;
500;0.0002;;;
501;0.0002;;;
502;0.0002;;;
503;0.0001;;;
504;0.0002;;;
505;0.0001;;;
506;0.0001;;;
509;0.0001;;;
512;0.0001;;;
513;0.0001;;;
515;0.0001;;;
516;0.0002;;;
517;0.0001;;;
518;0.0002;;;
519;0.0001;;;
520;0.0002;;;
521;0.0002;;;
522;0.0002;;;
523;0.0001;;;
524;0.0002;;;
525;0.0002;;;
526;0.0002;;;
527;0.0002;;;
528;0.0002;;;
529;0.0002;;;
530;0.0002;;;
531;0.0003;;;
532;0.0003;;;
533;0.0003;;;
534;0.0003;;;
535;0.0002;;;
536;0.0002;;;
537;0.0003;;;
538;0.0003;;;
539;0.0002;;;
540;0.0002;;;
541;0.0002;;;
542;0.0001;;;
543;0.0002;;;
544;0.0002;;;
545;0.0003;;;
546;0.0003;;;
547;0.0002;;;
548;0.0001;;;
549;0.0003;;;
