Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.1067;650;0.0325;
251;0.1083;651;0.0353;
252;0.1089;652;0.0390;
253;0.1091;653;0.0418;
254;0.1080;654;0.0459;
255;0.1070;655;0.0500;
256;0.1026;656;0.0553;
257;0.0979;657;0.0605;
258;0.0929;658;0.0658;
259;0.0878;659;0.0722;
260;0.0826;660;0.0778;
261;0.0780;661;0.0846;
262;0.0729;662;0.0914;
263;0.0676;663;0.0990;
264;0.0618;664;0.1091;
265;0.0560;665;0.1181;
266;0.0497;666;0.1263;
267;0.0460;667;0.1359;
268;0.0421;668;0.1477;
269;0.0380;669;0.1584;
270;0.0361;670;0.1687;
271;0.0337;671;0.1838;
272;0.0321;672;0.1937;
273;0.0321;673;0.2090;
274;0.0328;674;0.2218;
275;0.0334;675;0.2373;
276;0.0336;676;0.2565;
277;0.0353;677;0.2670;
278;0.0380;678;0.2859;
279;0.0395;679;0.3013;
280;0.0430;680;0.3187;
281;0.0458;681;0.3405;
282;0.0492;682;0.3548;
283;0.0530;683;0.3758;
284;0.0577;684;0.4000;
285;0.0624;685;0.4214;
286;0.0658;686;0.4443;
287;0.0694;687;0.4665;
288;0.0742;688;0.4949;
289;0.0801;689;0.5220;
290;0.0858;690;0.5490;
291;0.0908;691;0.5764;
292;0.0946;692;0.6079;
293;0.0989;693;0.6380;
294;0.1007;694;0.6677;
295;0.1018;695;0.6953;
296;0.1010;696;0.7278;
297;0.0996;697;0.7552;
298;0.0972;698;0.7880;
299;0.0945;699;0.8149;
300;0.0907;700;0.8495;
301;0.0878;701;0.8734;
302;0.0846;702;0.8961;
303;0.0820;703;0.9157;
304;0.0794;704;0.9411;
305;0.0768;705;0.9553;
306;0.0746;706;0.9778;
307;0.0726;707;0.9827;
308;0.0709;708;0.9928;
309;0.0690;709;1.0000;
310;0.0677;710;0.9971;
311;0.0665;711;0.9993;
312;0.0659;712;0.9918;
313;0.0651;713;0.9829;
314;0.0644;714;0.9698;
315;0.0638;715;0.9483;
316;0.0637;716;0.9380;
317;0.0634;717;0.9103;
318;0.0638;718;0.8912;
319;0.0654;719;0.8599;
320;0.0666;720;0.8402;
321;0.0678;721;0.8104;
322;0.0680;722;0.7818;
323;0.0700;723;0.7531;
324;0.0712;724;0.7257;
325;0.0730;725;0.6960;
326;0.0742;726;0.6675;
327;0.0761;727;0.6377;
328;0.0775;728;0.6111;
329;0.0796;729;0.5807;
330;0.0819;730;0.5542;
331;0.0843;731;0.5263;
332;0.0869;732;0.5069;
333;0.0903;733;0.4776;
334;0.0932;734;0.4574;
335;0.0958;735;0.4368;
336;0.0987;736;0.4159;
337;0.1008;737;0.3972;
338;0.1030;738;0.3805;
339;0.1043;739;0.3602;
340;0.1053;740;0.3457;
341;0.1058;741;0.3301;
342;0.1062;742;0.3156;
343;0.1059;743;0.3014;
344;0.1058;744;0.2894;
345;0.1054;745;0.2814;
346;0.1045;746;0.2692;
347;0.1040;747;0.2552;
348;0.1030;748;0.2484;
349;0.1027;749;0.2392;
350;0.1018;750;0.2290;
351;0.1019;751;0.2233;
352;0.1014;752;0.2168;
353;0.1015;753;0.2094;
354;0.1016;754;0.2045;
355;0.1023;755;0.1976;
356;0.1032;756;0.1921;
