Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
370;0.0301;570;0.0188;
371;0.0301;571;0.0224;
372;0.0301;572;0.0248;
373;0.0313;573;0.0272;
374;0.0313;574;0.0308;
375;0.0313;575;0.0344;
376;0.0313;576;0.0380;
377;0.0326;577;0.0428;
378;0.0326;578;0.0488;
379;0.0302;579;0.0560;
380;0.0302;580;0.0656;
381;0.0302;581;0.0752;
382;0.0290;582;0.0824;
383;0.0278;583;0.0932;
384;0.0278;584;0.1136;
385;0.0278;585;0.1304;
386;0.0278;586;0.1616;
387;0.0278;587;0.1975;
388;0.0278;588;0.2299;
389;0.0278;589;0.2575;
390;0.0278;590;0.2875;
391;0.0278;591;0.3126;
392;0.0278;592;0.3462;
393;0.0278;593;0.3786;
394;0.0290;594;0.4362;
395;0.0290;595;0.4961;
396;0.0290;596;0.5609;
397;0.0290;597;0.6136;
398;0.0302;598;0.6748;
399;0.0314;599;0.7419;
400;0.0326;600;0.7959;
401;0.0326;601;0.8559;
402;0.0326;602;0.8906;
403;0.0314;603;0.9218;
404;0.0302;604;0.9542;
405;0.0314;605;0.9746;
406;0.0314;606;0.9890;
407;0.0314;607;0.9986;
408;0.0303;608;1.0010;
409;0.0291;609;0.9998;
410;0.0303;610;0.9974;
411;0.0303;611;0.9938;
412;0.0315;612;0.9710;
413;0.0327;613;0.9422;
414;0.0327;614;0.9075;
415;0.0327;615;0.8775;
416;0.0327;616;0.8475;
417;0.0315;617;0.8259;
418;0.0315;618;0.7984;
419;0.0327;619;0.7744;
420;0.0327;620;0.7564;
421;0.0327;621;0.7276;
422;0.0339;622;0.7156;
423;0.0351;623;0.6989;
424;0.0351;624;0.6833;
425;0.0351;625;0.6713;
426;0.0339;626;0.6521;
427;0.0339;627;0.6353;
428;0.0327;628;0.6257;
429;0.0327;629;0.6138;
430;0.0327;630;0.6042;
431;0.0327;631;0.5922;
432;0.0304;632;0.5754;
433;0.0304;633;0.5610;
434;0.0304;634;0.5454;
435;0.0304;635;0.5286;
436;0.0304;636;0.5142;
437;0.0304;637;0.4927;
438;0.0304;638;0.4771;
439;0.0292;639;0.4495;
440;0.0280;640;0.4327;
441;0.0268;641;0.4220;
442;0.0280;642;0.4052;
443;0.0304;643;0.3848;
444;0.0316;644;0.3776;
445;0.0316;645;0.3704;
446;0.0292;646;0.3596;
447;0.0292;647;0.3464;
448;0.0280;648;0.3452;
449;0.0280;649;0.3440;
450;0.0280;650;0.3332;
451;0.0292;651;0.3225;
452;0.0292;652;0.3201;
453;0.0292;653;0.3177;
454;0.0280;654;0.3141;
455;0.0280;655;0.3081;
456;0.0280;656;0.3033;
457;0.0292;657;0.3009;
458;0.0292;658;0.3009;
459;0.0292;659;0.3009;
460;0.0280;660;0.3009;
461;0.0280;661;0.2997;
462;0.0292;662;0.2985;
463;0.0293;663;0.2937;
464;0.0293;664;0.2889;
465;0.0293;665;0.2865;
466;0.0305;666;0.2818;
467;0.0329;667;0.2794;
468;0.0341;668;0.2782;
469;0.0353;669;0.2770;
470;0.0353;670;0.2710;
471;0.0353;671;0.2674;
472;0.0353;672;0.2614;
473;0.0377;673;0.2566;
474;0.0389;674;0.2518;
475;0.0413;675;0.2458;
476;0.0449;676;0.2410;
477;0.0461;677;0.2350;
478;0.0473;678;0.2290;
479;0.0497;679;0.2218;
480;0.0497;;;
481;0.0509;;;
482;0.0521;;;
483;0.0557;;;
484;0.0582;;;
485;0.0582;;;
486;0.0606;;;
487;0.0630;;;
488;0.0654;;;
489;0.0678;;;
490;0.0702;;;
491;0.0738;;;
492;0.0774;;;
493;0.0798;;;
494;0.0846;;;
495;0.0882;;;
496;0.0906;;;
497;0.0942;;;
498;0.1050;;;
499;0.1062;;;
500;0.1110;;;
501;0.1134;;;
502;0.1170;;;
503;0.1242;;;
504;0.1290;;;
505;0.1338;;;
506;0.1399;;;
507;0.1411;;;
508;0.1495;;;
509;0.1591;;;
510;0.1615;;;
511;0.1639;;;
512;0.1747;;;
513;0.1831;;;
514;0.1879;;;
515;0.1903;;;
516;0.1987;;;
517;0.2083;;;
518;0.2131;;;
519;0.2203;;;
520;0.2263;;;
521;0.2336;;;
522;0.2456;;;
523;0.2576;;;
524;0.2660;;;
525;0.2768;;;
526;0.2864;;;
527;0.2936;;;
528;0.3056;;;
529;0.3152;;;
530;0.3248;;;
531;0.3368;;;
532;0.3452;;;
533;0.3584;;;
534;0.3716;;;
535;0.3813;;;
536;0.3921;;;
537;0.4077;;;
538;0.4209;;;
539;0.4365;;;
540;0.4461;;;
541;0.4569;;;
542;0.4773;;;
543;0.4893;;;
544;0.4989;;;
545;0.5110;;;
546;0.5242;;;
547;0.5410;;;
548;0.5458;;;
549;0.5494;;;
550;0.5638;;;
551;0.5782;;;
552;0.5842;;;
553;0.5926;;;
554;0.5950;;;
555;0.5974;;;
556;0.6010;;;
557;0.6058;;;
558;0.6094;;;
559;0.6118;;;
560;0.6130;;;
561;0.6130;;;
562;0.6190;;;
563;0.6263;;;
564;0.6371;;;
565;0.6539;;;
566;0.6695;;;
567;0.6875;;;
568;0.6983;;;
569;0.7091;;;
570;0.7391;;;
571;0.7547;;;
572;0.7656;;;
573;0.7752;;;
574;0.7824;;;
575;0.7968;;;
576;0.8148;;;
577;0.8292;;;
578;0.8340;;;
579;0.8424;;;
580;0.8532;;;
581;0.8640;;;
582;0.8688;;;
583;0.8736;;;
584;0.8892;;;
585;0.8976;;;
586;0.9073;;;
587;0.9193;;;
588;0.9301;;;
589;0.9493;;;
590;0.9625;;;
591;0.9745;;;
592;0.9877;;;
593;0.9985;;;
594;1.0009;;;
595;1.0021;;;
596;1.0021;;;
597;0.9985;;;
598;0.9829;;;
599;0.9613;;;
600;0.9433;;;
601;0.9205;;;
602;0.8833;;;
603;0.8545;;;
604;0.8137;;;
605;0.7705;;;
606;0.7140;;;
607;0.6372;;;
608;0.5940;;;
609;0.5256;;;
610;0.4824;;;
611;0.4128;;;
612;0.3491;;;
613;0.2987;;;
614;0.2267;;;
615;0.1619;;;
616;0.1054;;;
617;0.0598;;;
618;0.0358;;;
619;0.0178;;;
620;0.0106;;;
621;0.0082;;;
622;0.0058;;;
623;0.0046;;;
624;0.0046;;;
625;0.0046;;;
626;0.0046;;;
627;0.0046;;;
628;0.0046;;;
