Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.4563;360;0.1039;
301;0.4867;361;0.1110;
302;0.4924;362;0.1151;
303;0.5033;363;0.1184;
304;0.5154;364;0.1234;
305;0.5281;365;0.1269;
306;0.5259;366;0.1291;
307;0.5389;367;0.1365;
308;0.5702;368;0.1390;
309;0.5820;369;0.1414;
310;0.5898;370;0.1431;
311;0.6085;371;0.1469;
312;0.6133;372;0.1502;
313;0.6377;373;0.1576;
314;0.6425;374;0.1604;
315;0.6581;375;0.1634;
316;0.6664;376;0.1639;
317;0.6860;377;0.1686;
318;0.7047;378;0.1724;
319;0.7221;379;0.1798;
320;0.7303;380;0.1815;
321;0.7634;381;0.1870;
322;0.7729;382;0.1916;
323;0.7903;383;0.1949;
324;0.8125;384;0.1976;
325;0.8225;385;0.1998;
326;0.8512;386;0.1985;
327;0.8630;387;0.1982;
328;0.8869;388;0.1930;
329;0.9087;389;0.1930;
330;0.9178;390;0.1886;
331;0.9339;391;0.1864;
332;0.9365;392;0.1798;
333;0.9569;393;0.1763;
334;0.9735;394;0.1743;
335;0.9791;395;0.1697;
336;0.9948;396;0.1669;
337;0.9996;397;0.1658;
338;0.9996;398;0.1650;
339;0.9991;399;0.1628;
340;0.9983;400;0.1634;
341;1.0000;401;0.1617;
342;0.9817;402;0.1557;
343;0.9704;403;0.1538;
344;0.9500;404;0.1505;
345;0.9287;405;0.1505;
346;0.9113;406;0.1469;
347;0.8878;407;0.1428;
348;0.8591;408;0.1439;
349;0.8452;409;0.1371;
350;0.8156;410;0.1340;
351;0.7951;411;0.1327;
352;0.7803;412;0.1291;
353;0.7703;413;0.1250;
354;0.7542;414;0.1269;
355;0.7399;415;0.1239;
356;0.7308;416;0.1239;
357;0.7238;417;0.1203;
358;0.7216;418;0.1206;
359;0.7116;419;0.1168;
360;0.7016;420;0.1146;
361;0.6929;421;0.1124;
362;0.6720;422;0.1116;
363;0.6686;423;0.1083;
364;0.6555;424;0.1080;
365;0.6416;425;0.1083;
366;0.6281;426;0.1066;
367;0.6124;427;0.1039;
368;0.5916;428;0.1012;
369;0.5742;429;0.1020;
370;0.5555;430;0.0979;
371;0.5315;431;0.0965;
372;0.5150;432;0.0968;
373;0.4854;433;0.0948;
374;0.4559;434;0.0921;
375;0.4311;435;0.0910;
376;0.4080;436;0.0891;
377;0.3867;437;0.0899;
378;0.3584;438;0.0874;
379;0.3436;439;0.0866;
380;0.3219;440;0.0855;
381;0.2980;441;0.0831;
382;0.2762;442;0.0842;
383;0.2566;443;0.0836;
384;0.2401;444;0.0842;
385;0.2240;445;0.0831;
386;0.2088;446;0.0822;
387;0.1910;447;0.0839;
388;0.1809;448;0.0833;
389;0.1683;449;0.0831;
390;0.1540;450;0.0831;
391;0.1444;451;0.0822;
392;0.1344;452;0.0844;
393;0.1270;453;0.0877;
394;0.1205;454;0.0891;
395;0.1118;455;0.0902;
396;0.1031;456;0.0918;
397;0.0961;457;0.0940;
398;0.0918;458;0.0968;
399;0.0839;459;0.0984;
400;0.0783;460;0.1025;
;;461;0.1064;
;;462;0.1075;
;;463;0.1102;
;;464;0.1132;
;;465;0.1176;
;;466;0.1225;
;;467;0.1258;
;;468;0.1288;
;;469;0.1324;
;;470;0.1382;
;;471;0.1442;
;;472;0.1513;
;;473;0.1560;
;;474;0.1617;
;;475;0.1683;
;;476;0.1779;
;;477;0.1867;
;;478;0.1971;
;;479;0.2056;
;;480;0.2124;
;;481;0.2242;
;;482;0.2421;
;;483;0.2442;
;;484;0.2522;
;;485;0.2714;
;;486;0.2788;
;;487;0.2887;
;;488;0.2988;
;;489;0.3133;
;;490;0.3259;
;;491;0.3383;
;;492;0.3547;
;;493;0.3671;
;;494;0.3832;
;;495;0.3958;
;;496;0.4052;
;;497;0.4238;
;;498;0.4370;
;;499;0.4512;
;;500;0.4693;
;;501;0.4882;
;;502;0.4970;
;;503;0.5115;
;;504;0.5252;
;;505;0.5411;
;;506;0.5573;
;;507;0.5710;
;;508;0.5899;
;;509;0.6022;
;;510;0.6154;
;;511;0.6247;
;;512;0.6461;
;;513;0.6598;
;;514;0.6700;
;;515;0.6817;
;;516;0.6960;
;;517;0.7086;
;;518;0.7166;
;;519;0.7330;
;;520;0.7464;
;;521;0.7601;
;;522;0.7769;
;;523;0.7892;
;;524;0.7903;
;;525;0.8078;
;;526;0.8144;
;;527;0.8322;
;;528;0.8405;
;;529;0.8487;
;;530;0.8577;
;;531;0.8671;
;;532;0.8723;
;;533;0.8849;
;;534;0.8986;
;;535;0.9109;
;;536;0.9147;
;;537;0.9167;
;;538;0.9249;
;;539;0.9301;
;;540;0.9367;
;;541;0.9438;
;;542;0.9542;
;;543;0.9635;
;;544;0.9652;
;;545;0.9638;
;;546;0.9701;
;;547;0.9767;
;;548;0.9899;
;;549;0.9896;
;;550;0.9893;
;;551;0.9882;
;;552;0.9896;
;;553;0.9984;
;;554;0.9973;
;;555;0.9989;
;;556;0.9945;
;;557;0.9989;
;;558;0.9973;
;;559;1.0000;
;;560;0.9929;
;;561;0.9967;
;;562;0.9953;
;;563;0.9915;
;;564;0.9904;
;;565;0.9855;
;;566;0.9852;
;;567;0.9827;
;;568;0.9751;
;;569;0.9715;
;;570;0.9668;
;;571;0.9641;
;;572;0.9534;
;;573;0.9550;
;;574;0.9474;
;;575;0.9479;
;;576;0.9350;
;;577;0.9257;
;;578;0.9285;
;;579;0.9219;
;;580;0.9208;
;;581;0.9049;
;;582;0.8983;
;;583;0.8928;
;;584;0.8868;
;;585;0.8671;
;;586;0.8657;
;;587;0.8542;
;;588;0.8501;
;;589;0.8451;
;;590;0.8331;
;;591;0.8243;
;;592;0.8106;
;;593;0.8013;
;;594;0.7961;
;;595;0.7876;
;;596;0.7771;
;;597;0.7629;
;;598;0.7607;
;;599;0.7519;
;;600;0.7363;
;;601;0.7226;
;;602;0.7144;
;;603;0.7201;
;;604;0.7086;
;;605;0.6927;
;;606;0.6812;
;;607;0.6711;
;;608;0.6650;
;;609;0.6582;
;;610;0.6483;
;;611;0.6283;
;;612;0.6272;
;;613;0.6181;
;;614;0.6091;
;;615;0.5954;
;;616;0.5910;
;;617;0.5844;
;;618;0.5702;
;;619;0.5614;
;;620;0.5620;
;;621;0.5417;
;;622;0.5381;
;;623;0.5241;
;;624;0.5189;
;;625;0.5137;
;;626;0.4945;
;;627;0.4874;
;;628;0.4811;
;;629;0.4668;
;;630;0.4507;
;;631;0.4479;
;;632;0.4413;
;;633;0.4383;
;;634;0.4263;
;;635;0.4131;
;;636;0.4065;
;;637;0.3931;
;;638;0.3854;
;;639;0.3709;
;;640;0.3624;
;;641;0.3605;
;;642;0.3575;
;;643;0.3501;
;;644;0.3454;
;;645;0.3361;
;;646;0.3289;
;;647;0.3273;
;;648;0.3276;
;;649;0.3166;
