Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
450;0.0166;530;0.0072;
451;0.0174;531;0.0076;
452;0.0180;532;0.0086;
453;0.0183;533;0.0098;
454;0.0189;534;0.0112;
455;0.0193;535;0.0131;
456;0.0200;536;0.0159;
457;0.0212;537;0.0186;
458;0.0220;538;0.0221;
459;0.0229;539;0.0259;
460;0.0234;540;0.0312;
461;0.0246;541;0.0385;
462;0.0264;542;0.0454;
463;0.0276;543;0.0546;
464;0.0289;544;0.0637;
465;0.0307;545;0.0749;
466;0.0330;546;0.0875;
467;0.0356;547;0.1031;
468;0.0382;548;0.1181;
469;0.0403;549;0.1389;
470;0.0434;550;0.1600;
471;0.0452;551;0.1845;
472;0.0486;552;0.2086;
473;0.0509;553;0.2389;
474;0.0539;554;0.2734;
475;0.0561;555;0.3076;
476;0.0582;556;0.3455;
477;0.0610;557;0.3814;
478;0.0644;558;0.4213;
479;0.0675;559;0.4636;
480;0.0708;560;0.5064;
481;0.0741;561;0.5516;
482;0.0785;562;0.5966;
483;0.0830;563;0.6406;
484;0.0876;564;0.6815;
485;0.0906;565;0.7245;
486;0.0956;566;0.7634;
487;0.1004;567;0.8038;
488;0.1047;568;0.8362;
489;0.1090;569;0.8691;
490;0.1150;570;0.9002;
491;0.1221;571;0.9253;
492;0.1277;572;0.9481;
493;0.1345;573;0.9660;
494;0.1419;574;0.9816;
495;0.1486;575;0.9888;
496;0.1558;576;0.9968;
497;0.1640;577;0.9974;
498;0.1737;578;1.0000;
499;0.1838;579;0.9959;
500;0.1937;580;0.9878;
501;0.2047;581;0.9758;
502;0.2137;582;0.9606;
503;0.2242;583;0.9488;
504;0.2358;584;0.9317;
505;0.2461;585;0.9120;
506;0.2560;586;0.8916;
507;0.2660;587;0.8668;
508;0.2779;588;0.8403;
509;0.2891;589;0.8137;
510;0.2987;590;0.7912;
511;0.3071;591;0.7652;
512;0.3133;592;0.7390;
513;0.3218;593;0.7156;
514;0.3319;594;0.6912;
515;0.3371;595;0.6686;
516;0.3443;596;0.6432;
517;0.3530;597;0.6192;
518;0.3578;598;0.5956;
519;0.3648;599;0.5740;
520;0.3705;600;0.5538;
521;0.3774;601;0.5354;
522;0.3838;602;0.5170;
523;0.3923;603;0.4960;
524;0.4026;604;0.4801;
525;0.4136;605;0.4643;
526;0.4249;606;0.4484;
527;0.4389;607;0.4324;
528;0.4518;608;0.4179;
529;0.4686;609;0.4053;
530;0.4852;610;0.3937;
531;0.5060;611;0.3821;
532;0.5260;612;0.3727;
533;0.5513;613;0.3640;
534;0.5755;614;0.3535;
535;0.6029;615;0.3454;
536;0.6303;616;0.3361;
537;0.6601;617;0.3282;
538;0.6913;618;0.3226;
539;0.7228;619;0.3140;
540;0.7525;620;0.3072;
541;0.7839;621;0.3007;
542;0.8138;622;0.2958;
543;0.8431;623;0.2925;
544;0.8737;624;0.2868;
545;0.8980;625;0.2800;
546;0.9221;626;0.2759;
547;0.9434;627;0.2707;
548;0.9603;628;0.2643;
549;0.9732;629;0.2604;
550;0.9840;630;0.2548;
551;0.9935;631;0.2499;
552;1.0000;632;0.2448;
553;0.9936;633;0.2391;
554;0.9863;634;0.2346;
555;0.9772;635;0.2298;
556;0.9585;636;0.2233;
557;0.9398;637;0.2195;
558;0.9157;638;0.2130;
559;0.8852;639;0.2070;
560;0.8486;640;0.2023;
561;0.8163;641;0.1949;
562;0.7757;642;0.1908;
563;0.7347;643;0.1836;
564;0.6910;644;0.1795;
565;0.6454;645;0.1727;
566;0.6050;646;0.1682;
567;0.5594;647;0.1629;
568;0.5177;648;0.1580;
569;0.4744;649;0.1531;
570;0.4352;650;0.1485;
571;0.3975;651;0.1436;
572;0.3565;652;0.1389;
573;0.3165;653;0.1343;
574;0.2847;654;0.1298;
575;0.2571;655;0.1256;
576;0.2291;656;0.1200;
577;0.2051;657;0.1165;
578;0.1819;658;0.1121;
579;0.1605;659;0.1081;
580;0.1426;660;0.1047;
581;0.1247;661;0.1018;
582;0.1082;662;0.0976;
583;0.0949;663;0.0942;
584;0.0835;664;0.0908;
585;0.0726;665;0.0873;
586;0.0623;666;0.0840;
587;0.0531;667;0.0803;
588;0.0455;668;0.0766;
589;0.0391;669;0.0741;
590;0.0334;670;0.0714;
591;0.0301;671;0.0684;
592;0.0258;672;0.0666;
593;0.0231;673;0.0650;
594;0.0198;674;0.0634;
595;0.0175;675;0.0598;
596;0.0152;676;0.0588;
597;0.0135;677;0.0568;
598;0.0117;678;0.0550;
599;0.0106;679;0.0543;
600;0.0096;680;0.0528;
;;681;0.0514;
;;682;0.0506;
;;683;0.0490;
;;684;0.0474;
;;685;0.0466;
;;686;0.0452;
;;687;0.0443;
;;688;0.0431;
;;689;0.0432;
;;690;0.0416;
;;691;0.0407;
;;692;0.0396;
;;693;0.0383;
;;694;0.0381;
;;695;0.0383;
;;696;0.0369;
;;697;0.0355;
;;698;0.0347;
;;699;0.0342;
