Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.3896;435;0.0056;
221;0.3830;436;0.0062;
222;0.3848;437;0.0070;
223;0.3871;438;0.0078;
224;0.3843;439;0.0090;
225;0.3773;440;0.0103;
226;0.3735;441;0.0122;
227;0.3697;442;0.0147;
228;0.3735;443;0.0178;
229;0.3780;444;0.0222;
230;0.3825;445;0.0275;
231;0.3845;446;0.0342;
232;0.3800;447;0.0424;
233;0.3709;448;0.0524;
234;0.3644;449;0.0646;
235;0.3575;450;0.0796;
236;0.3525;451;0.0983;
237;0.3495;452;0.1218;
238;0.3443;453;0.1507;
239;0.3320;454;0.1828;
240;0.3168;455;0.2277;
241;0.3013;456;0.2759;
242;0.2918;457;0.3356;
243;0.2871;458;0.4001;
244;0.2831;459;0.4756;
245;0.2805;460;0.5528;
246;0.2819;461;0.6391;
247;0.2843;462;0.7209;
248;0.2925;463;0.8042;
249;0.2965;464;0.8764;
250;0.2956;465;0.9367;
251;0.2937;466;0.9786;
252;0.3004;467;1.0000;
253;0.3191;468;0.9991;
254;0.3448;469;0.9828;
255;0.3669;470;0.9537;
256;0.4045;471;0.9161;
257;0.4451;472;0.8743;
258;0.4878;473;0.8303;
259;0.5292;474;0.7886;
260;0.5647;475;0.7468;
261;0.5945;476;0.7028;
262;0.6164;477;0.6596;
263;0.6308;478;0.6180;
264;0.6531;479;0.5726;
265;0.6926;480;0.5352;
266;0.7541;481;0.5001;
267;0.8346;482;0.4735;
268;0.9162;483;0.4524;
269;0.9854;484;0.4394;
270;0.9919;485;0.4323;
271;1.0000;486;0.4310;
272;0.9902;487;0.4369;
273;0.9448;488;0.4477;
274;0.8512;489;0.4646;
275;0.6892;490;0.4842;
276;0.5155;491;0.5096;
277;0.4110;492;0.5347;
278;0.3400;493;0.5619;
279;0.2919;494;0.5850;
280;0.2569;495;0.6064;
281;0.2349;496;0.6226;
282;0.2211;497;0.6332;
283;0.2129;498;0.6384;
284;0.2118;499;0.6374;
285;0.2173;500;0.6313;
286;0.2224;501;0.6214;
287;0.2226;502;0.6069;
288;0.2233;503;0.5874;
289;0.2273;504;0.5620;
290;0.2441;505;0.5351;
291;0.2588;506;0.5077;
292;0.2617;507;0.4785;
293;0.2568;508;0.4506;
294;0.2547;509;0.4246;
295;0.2584;510;0.4028;
296;0.2685;511;0.3802;
297;0.2710;512;0.3617;
298;0.2628;513;0.3443;
299;0.2495;514;0.3299;
300;0.2349;515;0.3175;
301;0.2280;516;0.3059;
302;0.2367;517;0.2966;
303;0.2684;518;0.2886;
304;0.3095;519;0.2819;
305;0.3364;520;0.2766;
306;0.3434;521;0.2715;
307;0.3483;522;0.2668;
308;0.3772;523;0.2626;
309;0.4281;524;0.2581;
310;0.4324;525;0.2550;
311;0.4097;526;0.2523;
312;0.3216;527;0.2493;
313;0.2215;528;0.2473;
314;0.1437;529;0.2447;
315;0.0910;530;0.2424;
316;0.0660;531;0.2392;
317;0.0492;532;0.2360;
318;0.0374;533;0.2320;
319;0.0346;534;0.2279;
320;0.0298;535;0.2223;
321;0.0257;536;0.2162;
322;0.0232;537;0.2104;
323;0.0209;538;0.2037;
324;0.0194;539;0.1962;
325;0.0148;540;0.1885;
326;0.0165;541;0.1801;
327;0.0129;542;0.1719;
328;0.0136;543;0.1646;
329;0.0118;544;0.1566;
330;0.0117;545;0.1491;
331;0.0113;546;0.1418;
332;0.0107;547;0.1352;
333;0.0116;548;0.1285;
334;0.0092;549;0.1232;
335;0.0110;550;0.1173;
336;0.0103;551;0.1121;
337;0.0094;552;0.1080;
338;0.0109;553;0.1039;
339;0.0112;554;0.1004;
340;0.0103;555;0.0970;
341;0.0086;556;0.0942;
342;0.0124;557;0.0920;
343;0.0118;558;0.0894;
344;0.0123;559;0.0868;
345;0.0127;560;0.0846;
346;0.0142;561;0.0827;
347;0.0124;562;0.0807;
348;0.0145;563;0.0787;
349;0.0147;564;0.0765;
350;0.0154;565;0.0746;
351;0.0172;566;0.0726;
352;0.0184;567;0.0706;
353;0.0187;568;0.0686;
354;0.0199;569;0.0668;
355;0.0212;570;0.0647;
356;0.0231;571;0.0625;
357;0.0243;572;0.0604;
358;0.0261;573;0.0586;
359;0.0280;574;0.0564;
360;0.0282;575;0.0545;
361;0.0314;576;0.0528;
362;0.0314;577;0.0505;
363;0.0316;578;0.0484;
364;0.0327;579;0.0463;
365;0.0342;580;0.0447;
366;0.0345;581;0.0431;
367;0.0369;582;0.0415;
368;0.0400;583;0.0398;
369;0.0414;584;0.0383;
370;0.0444;585;0.0366;
371;0.0463;586;0.0353;
372;0.0502;587;0.0337;
373;0.0530;588;0.0321;
374;0.0549;589;0.0309;
375;0.0572;590;0.0296;
376;0.0588;591;0.0286;
377;0.0638;592;0.0274;
378;0.0684;593;0.0262;
379;0.0715;594;0.0254;
380;0.0736;595;0.0246;
381;0.0749;596;0.0234;
382;0.0775;597;0.0226;
383;0.0788;598;0.0220;
384;0.0805;599;0.0212;
385;0.0837;600;0.0206;
386;0.0867;601;0.0197;
387;0.0920;602;0.0193;
388;0.0964;603;0.0187;
389;0.1005;604;0.0180;
390;0.1060;605;0.0174;
391;0.1115;606;0.0171;
392;0.1171;607;0.0165;
393;0.1226;608;0.0161;
394;0.1285;609;0.0157;
395;0.1355;610;0.0151;
396;0.1428;611;0.0146;
397;0.1490;612;0.0141;
398;0.1553;613;0.0136;
399;0.1605;614;0.0132;
400;0.1663;615;0.0128;
