Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.9886;410;0.0063;
221;0.9822;411;0.0079;
222;0.9592;412;0.0099;
223;0.9282;413;0.0124;
224;0.8866;414;0.0152;
225;0.8364;415;0.0188;
226;0.7730;416;0.0230;
227;0.7082;417;0.0282;
228;0.6366;418;0.0343;
229;0.5589;419;0.0411;
230;0.4844;420;0.0498;
231;0.4191;421;0.0597;
232;0.3617;422;0.0710;
233;0.3140;423;0.0845;
234;0.2751;424;0.0999;
235;0.2413;425;0.1176;
236;0.2174;426;0.1377;
237;0.1996;427;0.1608;
238;0.1869;428;0.1872;
239;0.1794;429;0.2172;
240;0.1740;430;0.2488;
241;0.1727;431;0.2843;
242;0.1717;432;0.3213;
243;0.1724;433;0.3592;
244;0.1766;434;0.3986;
245;0.1810;435;0.4386;
246;0.1876;436;0.4775;
247;0.1905;437;0.5159;
248;0.1957;438;0.5522;
249;0.2018;439;0.5909;
250;0.2094;440;0.6253;
251;0.2141;441;0.6599;
252;0.2192;442;0.6939;
253;0.2268;443;0.7251;
254;0.2327;444;0.7564;
255;0.2394;445;0.7864;
256;0.2439;446;0.8132;
257;0.2514;447;0.8384;
258;0.2554;448;0.8633;
259;0.2625;449;0.8847;
260;0.2662;450;0.9042;
261;0.2702;451;0.9228;
262;0.2754;452;0.9400;
263;0.2804;453;0.9544;
264;0.2790;454;0.9658;
265;0.2825;455;0.9770;
266;0.2824;456;0.9833;
267;0.2834;457;0.9908;
268;0.2812;458;0.9953;
269;0.2810;459;0.9985;
270;0.2746;460;1.0000;
271;0.2713;461;0.9999;
272;0.2646;462;1.0000;
273;0.2577;463;0.9990;
274;0.2514;464;0.9976;
275;0.2433;465;0.9933;
276;0.2344;466;0.9910;
277;0.2255;467;0.9872;
278;0.2182;468;0.9817;
279;0.2114;469;0.9768;
280;0.2063;470;0.9696;
281;0.1996;471;0.9643;
282;0.1977;472;0.9573;
283;0.1916;473;0.9489;
284;0.1865;474;0.9407;
285;0.1835;475;0.9310;
286;0.1787;476;0.9209;
287;0.1759;477;0.9089;
288;0.1714;478;0.8979;
289;0.1678;479;0.8824;
290;0.1654;480;0.8685;
291;0.1649;481;0.8553;
292;0.1587;482;0.8410;
293;0.1596;483;0.8258;
294;0.1560;484;0.8115;
295;0.1542;485;0.7980;
296;0.1509;486;0.7823;
297;0.1460;487;0.7672;
298;0.1394;488;0.7518;
299;0.1314;489;0.7374;
300;0.1219;490;0.7229;
301;0.1109;491;0.7073;
302;0.1003;492;0.6912;
303;0.0887;493;0.6756;
304;0.0812;494;0.6592;
305;0.0738;495;0.6438;
306;0.0684;496;0.6290;
307;0.0636;497;0.6123;
308;0.0604;498;0.5965;
309;0.0586;499;0.5805;
310;0.0607;500;0.5640;
311;0.0592;501;0.5482;
312;0.0613;502;0.5316;
313;0.0613;503;0.5155;
314;0.0497;504;0.4989;
315;0.0539;505;0.4832;
316;0.0522;506;0.4685;
317;0.0458;507;0.4528;
318;0.0516;508;0.4393;
319;0.0479;509;0.4260;
320;0.0507;510;0.4134;
321;0.0565;511;0.4012;
322;0.0484;512;0.3889;
323;0.0502;513;0.3773;
324;0.0444;514;0.3656;
325;0.0480;515;0.3543;
326;0.0431;516;0.3434;
327;0.0425;517;0.3327;
328;0.0472;518;0.3224;
329;0.0419;519;0.3129;
330;0.0399;520;0.3029;
331;0.0392;521;0.2939;
332;0.0430;522;0.2844;
333;0.0436;523;0.2760;
334;0.0399;524;0.2670;
335;0.0438;525;0.2586;
336;0.0445;526;0.2497;
337;0.0401;527;0.2416;
338;0.0474;528;0.2338;
339;0.0485;529;0.2252;
340;0.0518;530;0.2173;
341;0.0521;531;0.2097;
342;0.0605;532;0.2033;
343;0.0598;533;0.1958;
344;0.0606;534;0.1895;
345;0.0678;535;0.1830;
346;0.0689;536;0.1771;
347;0.0737;537;0.1717;
348;0.0772;538;0.1657;
349;0.0822;539;0.1600;
350;0.0868;540;0.1546;
351;0.0929;541;0.1492;
352;0.0981;542;0.1441;
353;0.1033;543;0.1392;
354;0.1063;544;0.1342;
355;0.1142;545;0.1297;
356;0.1179;546;0.1248;
357;0.1268;547;0.1201;
358;0.1368;548;0.1165;
359;0.1395;549;0.1120;
360;0.1490;550;0.1080;
361;0.1596;551;0.1037;
362;0.1638;552;0.0997;
363;0.1730;553;0.0958;
364;0.1817;554;0.0928;
365;0.1911;555;0.0885;
366;0.1971;556;0.0854;
367;0.2072;557;0.0824;
368;0.2162;558;0.0794;
369;0.2271;559;0.0770;
370;0.2358;560;0.0740;
371;0.2455;561;0.0716;
372;0.2561;562;0.0690;
373;0.2658;563;0.0667;
374;0.2798;564;0.0642;
375;0.2831;565;0.0619;
376;0.2948;566;0.0598;
377;0.3100;567;0.0578;
378;0.3215;568;0.0558;
379;0.3334;569;0.0538;
380;0.3491;570;0.0523;
381;0.3636;571;0.0505;
382;0.3751;572;0.0488;
383;0.3894;573;0.0470;
384;0.4039;574;0.0454;
385;0.4198;575;0.0437;
386;0.4346;576;0.0422;
387;0.4469;577;0.0408;
388;0.4630;578;0.0392;
389;0.4789;579;0.0378;
390;0.4904;580;0.0365;
391;0.5074;581;0.0353;
392;0.5220;582;0.0340;
393;0.5362;583;0.0331;
394;0.5541;584;0.0320;
395;0.5670;585;0.0309;
