Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
425;0.0073;520;0.0054;
426;0.0073;521;0.0054;
427;0.0073;522;0.0054;
428;0.0073;523;0.0054;
429;0.0073;524;0.0054;
430;0.0091;525;0.0054;
431;0.0109;526;0.0054;
432;0.0109;527;0.0054;
433;0.0110;528;0.0054;
434;0.0110;529;0.0054;
435;0.0110;530;0.0054;
436;0.0146;531;0.0072;
437;0.0146;532;0.0090;
438;0.0146;533;0.0090;
439;0.0182;534;0.0090;
440;0.0182;535;0.0108;
441;0.0217;536;0.0125;
442;0.0217;537;0.0143;
443;0.0217;538;0.0179;
444;0.0235;539;0.0197;
445;0.0253;540;0.0197;
446;0.0289;541;0.0233;
447;0.0289;542;0.0322;
448;0.0325;543;0.0357;
449;0.0343;544;0.0393;
450;0.0361;545;0.0465;
451;0.0379;546;0.0573;
452;0.0397;547;0.0716;
453;0.0415;548;0.0858;
454;0.0451;549;0.1020;
455;0.0469;550;0.1253;
456;0.0487;551;0.1485;
457;0.0523;552;0.1861;
458;0.0594;553;0.2147;
459;0.0665;554;0.2522;
460;0.0665;555;0.2988;
461;0.0665;556;0.3345;
462;0.0666;557;0.4007;
463;0.0684;558;0.4616;
464;0.0737;559;0.5242;
465;0.0773;560;0.5743;
466;0.0809;561;0.6476;
467;0.0827;562;0.7120;
468;0.0863;563;0.7710;
469;0.0881;564;0.8247;
470;0.0917;565;0.8837;
471;0.0988;566;0.9124;
472;0.1042;567;0.9463;
473;0.1096;568;0.9714;
474;0.1132;569;0.9875;
475;0.1204;570;0.9964;
476;0.1382;571;1.0000;
477;0.1454;572;1.0000;
478;0.1526;573;1.0000;
479;0.1580;574;0.9928;
480;0.1652;575;0.9821;
481;0.1777;576;0.9643;
482;0.1813;577;0.9427;
483;0.1849;578;0.9177;
484;0.1938;579;0.8909;
485;0.2010;580;0.8712;
486;0.2082;581;0.8372;
487;0.2135;582;0.8067;
488;0.2207;583;0.7710;
489;0.2333;584;0.7442;
490;0.2404;585;0.7317;
491;0.2404;586;0.6834;
492;0.2458;587;0.6547;
493;0.2494;588;0.6315;
494;0.2547;589;0.6082;
495;0.2583;590;0.5975;
496;0.2637;591;0.5653;
497;0.2763;592;0.5474;
498;0.2871;593;0.5366;
499;0.3031;594;0.5170;
500;0.3103;595;0.5045;
501;0.3175;596;0.4866;
502;0.3336;597;0.4776;
503;0.3479;598;0.4740;
504;0.3641;599;0.4652;
505;0.3784;600;0.4544;
506;0.3945;601;0.4454;
507;0.4250;602;0.4419;
508;0.4321;603;0.4383;
509;0.4482;604;0.4365;
510;0.4697;605;0.4329;
511;0.4912;606;0.4329;
512;0.5252;607;0.4347;
513;0.5360;608;0.4365;
514;0.5682;609;0.4365;
515;0.5844;610;0.4401;
516;0.5952;611;0.4401;
517;0.6040;612;0.4401;
518;0.6148;613;0.4401;
519;0.6328;614;0.4401;
520;0.6399;615;0.4401;
521;0.6417;616;0.4401;
522;0.6453;617;0.4401;
523;0.6453;618;0.4401;
524;0.6453;619;0.4365;
525;0.6399;620;0.4347;
526;0.6363;621;0.4311;
527;0.6292;622;0.4257;
528;0.6220;623;0.4186;
529;0.6185;624;0.4133;
530;0.6077;625;0.4097;
531;0.6005;626;0.3989;
532;0.5969;627;0.3846;
533;0.5934;628;0.3774;
534;0.5899;629;0.3703;
535;0.5935;630;0.3596;
536;0.5970;631;0.3507;
537;0.6167;632;0.3345;
538;0.6275;633;0.3274;
539;0.6453;634;0.3148;
540;0.6615;635;0.3042;
541;0.6794;636;0.2970;
542;0.6973;637;0.2845;
543;0.7081;638;0.2773;
544;0.7439;639;0.2647;
545;0.7689;640;0.2540;
546;0.7904;641;0.2469;
547;0.8066;642;0.2397;
548;0.8280;643;0.2326;
549;0.8836;644;0.2200;
550;0.9122;645;0.2093;
551;0.9302;646;0.2021;
552;0.9462;647;0.1897;
553;0.9606;648;0.1825;
554;0.9892;649;0.1753;
555;0.9964;650;0.1682;
556;1.0000;651;0.1664;
557;1.0000;652;0.1610;
558;1.0000;653;0.1574;
559;1.0000;654;0.1538;
560;0.9946;655;0.1502;
561;0.9875;656;0.1485;
562;0.9732;657;0.1431;
563;0.9445;658;0.1395;
564;0.9087;659;0.1378;
565;0.8640;660;0.1342;
566;0.7816;661;0.1306;
567;0.7529;662;0.1253;
568;0.7064;663;0.1253;
569;0.6473;664;0.1217;
570;0.5847;665;0.1163;
571;0.5095;666;0.1145;
572;0.4683;667;0.1109;
573;0.4109;668;0.1109;
574;0.3233;669;0.1109;
575;0.3017;670;0.1073;
576;0.2713;671;0.1055;
577;0.2319;672;0.1020;
578;0.1961;673;0.1002;
579;0.1675;674;0.0984;
580;0.1388;675;0.0966;
581;0.1245;676;0.0948;
582;0.1048;677;0.0930;
583;0.0923;678;0.0912;
584;0.0815;679;0.0876;
585;0.0672;680;0.0823;
586;0.0565;681;0.0823;
587;0.0493;682;0.0788;
588;0.0422;683;0.0752;
589;0.0350;684;0.0752;
590;0.0314;685;0.0752;
591;0.0278;686;0.0716;
592;0.0260;687;0.0716;
593;0.0260;688;0.0662;
