Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
350;0.0756;480;0.0071;
353;0.0791;482;0.0124;
355;0.0809;483;0.0195;
358;0.0809;485;0.0248;
362;0.0809;486;0.0337;
366;0.0827;488;0.0426;
371;0.0791;489;0.0567;
375;0.0739;490;0.0727;
377;0.0739;491;0.0833;
380;0.0721;492;0.0975;
384;0.0686;492;0.0975;
387;0.0668;493;0.1330;
390;0.0616;494;0.1540;
395;0.0562;494;0.1540;
398;0.0528;495;0.1840;
401;0.0510;496;0.2020;
402;0.0475;496;0.2020;
405;0.0440;497;0.2800;
409;0.0440;497;0.2800;
412;0.0440;497;0.2800;
416;0.0457;498;0.3160;
419;0.0492;499;0.3530;
422;0.0528;499;0.3530;
425;0.0580;500;0.4130;
427;0.0616;501;0.4560;
429;0.0650;501;0.4560;
432;0.0756;502;0.5480;
435;0.0845;504;0.5920;
438;0.0950;504;0.5920;
440;0.1059;505;0.6630;
442;0.1139;506;0.7070;
444;0.1267;507;0.7520;
447;0.1475;507;0.7520;
449;0.1693;508;0.8260;
450;0.1832;509;0.8560;
452;0.2000;509;0.8560;
453;0.2238;511;0.9060;
455;0.2465;511;0.9060;
458;0.2723;511;0.9060;
459;0.2950;513;0.9720;
460;0.3149;514;0.9880;
463;0.3327;515;0.9980;
464;0.3446;516;1.0000;
466;0.3624;517;0.9930;
469;0.3782;518;0.9790;
471;0.3960;520;0.9650;
473;0.4129;520;0.9650;
474;0.4307;523;0.9290;
476;0.4515;523;0.9290;
477;0.4802;524;0.8850;
478;0.5099;524;0.8850;
479;0.5416;526;0.8440;
480;0.5693;526;0.8440;
480;0.5693;527;0.8010;
481;0.6248;528;0.7780;
482;0.6505;530;0.7360;
483;0.6772;531;0.7020;
484;0.7050;532;0.6680;
485;0.7426;533;0.6350;
486;0.7683;535;0.6130;
486;0.7683;536;0.5830;
487;0.8297;538;0.5510;
488;0.8525;539;0.5230;
489;0.8743;541;0.5000;
489;0.8743;542;0.4720;
490;0.9109;544;0.4540;
490;0.9109;546;0.4270;
491;0.9535;547;0.4040;
492;0.9673;551;0.3720;
492;0.9673;554;0.3460;
493;0.9832;557;0.3170;
494;0.9901;560;0.2850;
494;0.9901;564;0.2480;
495;0.9901;569;0.2130;
496;0.9881;571;0.1900;
497;0.9792;574;0.1740;
497;0.9792;576;0.1580;
498;0.9475;579;0.1450;
499;0.9248;582;0.1290;
499;0.9248;585;0.1150;
500;0.8881;588;0.1010;
500;0.8881;592;0.0869;
500;0.8881;596;0.0762;
501;0.8248;601;0.0638;
501;0.8248;606;0.0550;
502;0.7812;610;0.0426;
503;0.7564;616;0.0355;
503;0.7564;622;0.0319;
503;0.7564;627;0.0266;
504;0.6861;632;0.0248;
504;0.6861;636;0.0230;
505;0.6455;641;0.0160;
505;0.6455;646;0.0160;
505;0.6455;650;0.0142;
506;0.5624;;;
506;0.5624;;;
507;0.5010;;;
508;0.4624;;;
508;0.4624;;;
509;0.4010;;;
509;0.4010;;;
511;0.3168;;;
511;0.3168;;;
513;0.2426;;;
514;0.2079;;;
514;0.2079;;;
516;0.1446;;;
517;0.1139;;;
519;0.0915;;;
520;0.0756;;;
522;0.0580;;;
524;0.0440;;;
526;0.0281;;;
530;0.0193;;;
533;0.0106;;;
536;0.0088;;;
540;0.0036;;;
546;0.0036;;;
553;0.0036;;;
561;0.0036;;;
567;0.0036;;;
