Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.9234;480;0.0252;
251;0.9423;481;0.0134;
252;0.9572;482;0.0046;
253;0.9695;483;0.0020;
254;0.9830;484;0.0014;
255;0.9904;485;0.0014;
256;0.9959;486;0.0013;
257;0.9998;487;0.0012;
258;1.0000;488;0.0012;
259;0.9976;489;0.0012;
260;0.9899;490;0.0012;
261;0.9806;491;0.0015;
262;0.9683;492;0.0014;
263;0.9476;493;0.0015;
264;0.9306;494;0.0017;
265;0.9132;495;0.0017;
266;0.8880;496;0.0019;
267;0.8690;497;0.0019;
268;0.8499;498;0.0019;
269;0.8227;499;0.0022;
270;0.8021;500;0.0021;
271;0.7805;501;0.0025;
272;0.7491;502;0.0028;
273;0.7254;503;0.0030;
274;0.7011;504;0.0033;
275;0.6674;505;0.0041;
276;0.6427;506;0.0047;
277;0.6181;507;0.0054;
278;0.5843;508;0.0061;
279;0.5592;509;0.0073;
280;0.5335;510;0.0086;
281;0.4972;511;0.0106;
282;0.4697;512;0.0122;
283;0.4414;513;0.0150;
284;0.4017;514;0.0185;
285;0.3726;515;0.0220;
286;0.3428;516;0.0270;
287;0.3056;517;0.0322;
288;0.2794;518;0.0396;
289;0.2538;519;0.0485;
290;0.2222;520;0.0609;
291;0.1997;521;0.0775;
292;0.1775;522;0.0971;
293;0.1504;523;0.1242;
294;0.1319;524;0.1503;
295;0.1148;525;0.1818;
296;0.0955;526;0.2188;
297;0.0832;527;0.2581;
298;0.0717;528;0.3048;
299;0.0600;529;0.3558;
300;0.0531;530;0.4101;
301;0.0471;531;0.4632;
302;0.0412;532;0.5237;
303;0.0377;533;0.5834;
304;0.0348;534;0.6414;
305;0.0320;535;0.6962;
306;0.0303;536;0.7495;
307;0.0287;537;0.8048;
308;0.0274;538;0.8500;
309;0.0265;539;0.8941;
310;0.0257;540;0.9277;
311;0.0252;541;0.9550;
312;0.0247;542;0.9791;
313;0.0243;543;0.9925;
314;0.0240;544;1.0000;
315;0.0238;545;0.9976;
316;0.0236;546;0.9844;
317;0.0235;547;0.9749;
318;0.0233;548;0.9535;
319;0.0231;549;0.9288;
320;0.0228;550;0.9017;
321;0.0227;551;0.8745;
322;0.0226;552;0.8414;
323;0.0223;553;0.8052;
324;0.0221;554;0.7660;
325;0.0220;555;0.7345;
326;0.0219;556;0.6970;
327;0.0218;557;0.6620;
328;0.0217;558;0.6224;
329;0.0215;559;0.5906;
330;0.0212;560;0.5553;
331;0.0212;561;0.5304;
332;0.0210;562;0.5003;
333;0.0208;563;0.4794;
334;0.0205;564;0.4528;
335;0.0200;565;0.4322;
336;0.0200;566;0.4136;
337;0.0196;567;0.3976;
338;0.0191;568;0.3801;
339;0.0185;569;0.3664;
340;0.0179;570;0.3531;
341;0.0174;571;0.3438;
342;0.0169;572;0.3343;
343;0.0161;573;0.3244;
344;0.0156;574;0.3165;
345;0.0152;575;0.3068;
