Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.2536;540;0.0142;
301;0.2514;541;0.0152;
302;0.2494;542;0.0177;
303;0.2458;543;0.0211;
304;0.2404;544;0.0247;
305;0.2353;545;0.0296;
306;0.2280;546;0.0364;
307;0.2205;547;0.0435;
308;0.2099;548;0.0519;
309;0.1984;549;0.0603;
310;0.1868;550;0.0717;
311;0.1741;551;0.0842;
312;0.1609;552;0.0985;
313;0.1491;553;0.1140;
314;0.1362;554;0.1321;
315;0.1248;555;0.1525;
316;0.1136;556;0.1750;
317;0.1037;557;0.2017;
318;0.0940;558;0.2305;
319;0.0855;559;0.2618;
320;0.0772;560;0.2947;
321;0.0699;561;0.3301;
322;0.0631;562;0.3694;
323;0.0584;563;0.4087;
324;0.0536;564;0.4487;
325;0.0508;565;0.4910;
326;0.0468;566;0.5325;
327;0.0451;567;0.5754;
328;0.0436;568;0.6198;
329;0.0416;569;0.6636;
330;0.0419;570;0.7050;
331;0.0411;571;0.7458;
332;0.0408;572;0.7852;
333;0.0398;573;0.8200;
334;0.0417;574;0.8532;
335;0.0428;575;0.8840;
336;0.0431;576;0.9102;
337;0.0445;577;0.9349;
338;0.0454;578;0.9521;
339;0.0480;579;0.9728;
340;0.0497;580;0.9839;
341;0.0519;581;0.9955;
342;0.0533;582;0.9985;
343;0.0561;583;1.0000;
344;0.0595;584;0.9944;
345;0.0615;585;0.9899;
346;0.0646;586;0.9793;
347;0.0661;587;0.9692;
348;0.0675;588;0.9581;
349;0.0676;589;0.9390;
350;0.0678;590;0.9218;
351;0.0666;591;0.9012;
352;0.0656;592;0.8785;
353;0.0650;593;0.8598;
354;0.0623;594;0.8331;
355;0.0609;595;0.8109;
356;0.0589;596;0.7872;
357;0.0577;597;0.7600;
358;0.0558;598;0.7368;
359;0.0555;599;0.7131;
360;0.0543;600;0.6873;
361;0.0540;601;0.6611;
362;0.0527;602;0.6394;
363;0.0535;603;0.6172;
364;0.0529;604;0.5946;
365;0.0512;605;0.5734;
