Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.2137;510;0.0066;
251;0.2028;511;0.0070;
252;0.1945;512;0.0077;
253;0.1884;513;0.0086;
254;0.1847;514;0.0093;
255;0.1818;515;0.0104;
256;0.1803;516;0.0113;
257;0.1781;517;0.0129;
258;0.1770;518;0.0145;
259;0.1757;519;0.0160;
260;0.1745;520;0.0178;
261;0.1734;521;0.0198;
262;0.1717;522;0.0221;
263;0.1699;523;0.0247;
264;0.1679;524;0.0274;
265;0.1647;525;0.0309;
266;0.1607;526;0.0341;
267;0.1575;527;0.0377;
268;0.1542;528;0.0415;
269;0.1506;529;0.0467;
270;0.1460;530;0.0512;
271;0.1407;531;0.0565;
272;0.1347;532;0.0626;
273;0.1271;533;0.0692;
274;0.1195;534;0.0767;
275;0.1109;535;0.0835;
276;0.1042;536;0.0916;
277;0.0978;537;0.0998;
278;0.0927;538;0.1086;
279;0.0884;539;0.1191;
280;0.0853;540;0.1290;
281;0.0824;541;0.1400;
282;0.0806;542;0.1522;
283;0.0787;543;0.1644;
284;0.0776;544;0.1777;
285;0.0775;545;0.1920;
286;0.0780;546;0.2069;
287;0.0787;547;0.2206;
288;0.0800;548;0.2365;
289;0.0805;549;0.2535;
290;0.0825;550;0.2721;
291;0.0843;551;0.2896;
292;0.0856;552;0.3087;
293;0.0876;553;0.3266;
294;0.0898;554;0.3479;
295;0.0915;555;0.3690;
296;0.0932;556;0.3898;
297;0.0954;557;0.4115;
298;0.0969;558;0.4337;
299;0.0992;559;0.4559;
300;0.1008;560;0.4779;
301;0.1021;561;0.5018;
302;0.1037;562;0.5237;
303;0.1053;563;0.5481;
304;0.1077;564;0.5694;
305;0.1090;565;0.5934;
306;0.1109;566;0.6190;
307;0.1128;567;0.6394;
308;0.1153;568;0.6646;
309;0.1165;569;0.6878;
310;0.1189;570;0.7100;
311;0.1215;571;0.7316;
312;0.1234;572;0.7509;
313;0.1249;573;0.7735;
314;0.1262;574;0.7964;
315;0.1282;575;0.8111;
316;0.1301;576;0.8366;
317;0.1313;577;0.8487;
318;0.1323;578;0.8660;
319;0.1337;579;0.8843;
320;0.1330;580;0.9005;
321;0.1351;581;0.9149;
322;0.1362;582;0.9320;
323;0.1367;583;0.9391;
324;0.1368;584;0.9526;
325;0.1365;585;0.9598;
326;0.1378;586;0.9697;
327;0.1374;587;0.9753;
328;0.1405;588;0.9852;
329;0.1402;589;0.9885;
330;0.1420;590;0.9983;
331;0.1417;591;0.9948;
332;0.1428;592;1.0000;
333;0.1419;593;0.9955;
334;0.1416;594;0.9985;
335;0.1390;595;0.9921;
336;0.1371;596;0.9903;
337;0.1342;597;0.9866;
338;0.1293;598;0.9843;
339;0.1259;599;0.9743;
340;0.1217;600;0.9694;
341;0.1174;601;0.9576;
342;0.1132;602;0.9519;
343;0.1099;603;0.9343;
344;0.1064;604;0.9280;
345;0.1038;605;0.9166;
346;0.1007;606;0.9066;
347;0.0985;607;0.8910;
348;0.0959;608;0.8787;
349;0.0931;609;0.8615;
350;0.0910;610;0.8470;
351;0.0889;611;0.8295;
352;0.0874;612;0.8176;
353;0.0851;613;0.7976;
354;0.0834;614;0.7859;
355;0.0814;615;0.7656;
356;0.0798;616;0.7537;
357;0.0777;617;0.7340;
358;0.0766;618;0.7193;
359;0.0758;619;0.6999;
360;0.0753;620;0.6835;
361;0.0753;621;0.6696;
362;0.0750;622;0.6522;
363;0.0741;623;0.6343;
364;0.0728;624;0.6217;
365;0.0714;625;0.6023;
366;0.0691;626;0.5871;
367;0.0659;627;0.5713;
368;0.0619;628;0.5578;
369;0.0576;629;0.5412;
370;0.0531;630;0.5276;
371;0.0486;631;0.5097;
372;0.0438;632;0.4987;
373;0.0398;633;0.4844;
374;0.0360;634;0.4714;
375;0.0332;635;0.4552;
376;0.0304;636;0.4443;
377;0.0271;637;0.4315;
378;0.0244;638;0.4211;
379;0.0226;639;0.4051;
380;0.0206;640;0.3970;
381;0.0187;641;0.3823;
382;0.0165;642;0.3736;
383;0.0155;643;0.3612;
384;0.0142;644;0.3526;
385;0.0126;645;0.3405;
386;0.0111;646;0.3312;
387;0.0101;647;0.3207;
388;0.0092;648;0.3121;
389;0.0083;649;0.3014;
390;0.0077;650;0.2941;
391;0.0079;651;0.2836;
392;0.0074;652;0.2762;
393;0.0069;653;0.2674;
394;0.0066;654;0.2597;
395;0.0068;655;0.2518;
396;0.0064;656;0.2453;
397;0.0067;657;0.2377;
398;0.0067;658;0.2305;
399;0.0072;659;0.2226;
400;0.0072;660;0.2166;
401;0.0082;661;0.2097;
402;0.0090;662;0.2045;
403;0.0094;663;0.1975;
404;0.0106;664;0.1917;
405;0.0114;665;0.1853;
406;0.0127;666;0.1809;
407;0.0135;667;0.1727;
408;0.0147;668;0.1687;
409;0.0159;669;0.1633;
410;0.0176;670;0.1586;
411;0.0193;671;0.1535;
412;0.0212;672;0.1478;
413;0.0232;673;0.1438;
414;0.0251;674;0.1391;
415;0.0270;675;0.1344;
416;0.0293;676;0.1308;
417;0.0316;677;0.1262;
418;0.0344;678;0.1219;
419;0.0368;679;0.1178;
420;0.0394;680;0.1146;
421;0.0426;681;0.1096;
422;0.0457;682;0.1069;
423;0.0491;683;0.1031;
424;0.0521;684;0.1003;
425;0.0556;685;0.0968;
426;0.0594;686;0.0938;
427;0.0632;687;0.0902;
428;0.0673;688;0.0879;
429;0.0715;689;0.0843;
430;0.0759;690;0.0816;
431;0.0807;691;0.0784;
432;0.0853;692;0.0762;
433;0.0906;693;0.0737;
434;0.0959;694;0.0710;
435;0.1012;695;0.0691;
436;0.1067;696;0.0671;
437;0.1127;697;0.0637;
438;0.1193;698;0.0623;
439;0.1253;699;0.0597;
440;0.1323;700;0.0581;
441;0.1392;;;
442;0.1466;;;
443;0.1541;;;
444;0.1615;;;
445;0.1695;;;
446;0.1780;;;
447;0.1867;;;
448;0.1950;;;
449;0.2048;;;
450;0.2145;;;
451;0.2239;;;
452;0.2343;;;
453;0.2446;;;
454;0.2550;;;
455;0.2658;;;
456;0.2772;;;
457;0.2884;;;
458;0.3007;;;
459;0.3128;;;
460;0.3255;;;
461;0.3384;;;
462;0.3518;;;
463;0.3652;;;
464;0.3791;;;
465;0.3930;;;
466;0.4070;;;
467;0.4214;;;
468;0.4360;;;
469;0.4509;;;
470;0.4664;;;
471;0.4822;;;
472;0.4977;;;
473;0.5138;;;
474;0.5299;;;
475;0.5461;;;
476;0.5624;;;
477;0.5788;;;
478;0.5949;;;
479;0.6119;;;
480;0.6282;;;
481;0.6454;;;
482;0.6616;;;
483;0.6785;;;
484;0.6949;;;
485;0.7114;;;
486;0.7276;;;
487;0.7436;;;
488;0.7599;;;
489;0.7748;;;
490;0.7906;;;
491;0.8055;;;
492;0.8207;;;
493;0.8352;;;
494;0.8492;;;
495;0.8633;;;
496;0.8767;;;
497;0.8899;;;
498;0.9025;;;
