Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;1.0000;500;0.0001;
301;0.9774;501;0.0002;
302;0.9557;502;0.0002;
303;0.9362;503;0.0002;
304;0.9174;504;0.0003;
305;0.8980;505;0.0003;
306;0.8787;506;0.0004;
307;0.8606;507;0.0005;
308;0.8419;508;0.0006;
309;0.8232;509;0.0008;
310;0.8037;510;0.0009;
311;0.7858;511;0.0011;
312;0.7690;512;0.0013;
313;0.7529;513;0.0015;
314;0.7370;514;0.0019;
315;0.7211;515;0.0022;
316;0.7073;516;0.0026;
317;0.6926;517;0.0032;
318;0.6808;518;0.0038;
319;0.6683;519;0.0045;
320;0.6565;520;0.0053;
321;0.6456;521;0.0063;
322;0.6359;522;0.0076;
323;0.6262;523;0.0091;
324;0.6169;524;0.0110;
325;0.6094;525;0.0131;
326;0.6003;526;0.0156;
327;0.5828;527;0.0187;
328;0.5807;528;0.0226;
329;0.5772;529;0.0270;
330;0.5699;530;0.0325;
331;0.5623;531;0.0386;
332;0.5556;532;0.0460;
333;0.5491;533;0.0542;
334;0.5427;534;0.0639;
335;0.5356;535;0.0743;
336;0.5293;536;0.0877;
337;0.5227;537;0.1014;
338;0.5165;538;0.1178;
339;0.5102;539;0.1356;
340;0.5050;540;0.1570;
341;0.4983;541;0.1788;
342;0.4940;542;0.2061;
343;0.4888;543;0.2329;
344;0.4839;544;0.2652;
345;0.4788;545;0.2980;
346;0.4742;546;0.3366;
347;0.4690;547;0.3745;
348;0.4651;548;0.4197;
349;0.4608;549;0.4640;
350;0.4564;550;0.5132;
351;0.4506;551;0.5610;
352;0.4468;552;0.6125;
353;0.4431;553;0.6614;
354;0.4394;554;0.7125;
355;0.4356;555;0.7611;
356;0.4322;556;0.8078;
357;0.4285;557;0.8499;
358;0.4251;558;0.8906;
359;0.4215;559;0.9244;
360;0.4182;560;0.9527;
361;0.4146;561;0.9744;
362;0.4110;562;0.9892;
363;0.4073;563;0.9981;
364;0.4038;564;1.0000;
365;0.3999;565;0.9955;
366;0.3962;566;0.9845;
367;0.3924;567;0.9695;
368;0.3885;568;0.9453;
369;0.3846;569;0.9217;
370;0.3807;570;0.8913;
371;0.3768;571;0.8561;
372;0.3727;572;0.8156;
373;0.3688;573;0.7777;
374;0.3647;574;0.7314;
375;0.3608;575;0.6882;
376;0.3566;576;0.6440;
377;0.3527;577;0.6036;
378;0.3488;578;0.5560;
379;0.3448;579;0.5152;
380;0.3411;580;0.4712;
381;0.3372;581;0.4314;
382;0.3336;582;0.3920;
383;0.3299;583;0.3598;
384;0.3266;584;0.3259;
385;0.3195;585;0.2966;
386;0.3163;586;0.2656;
387;0.3130;587;0.2404;
388;0.3100;588;0.2154;
389;0.3068;589;0.1936;
390;0.3038;590;0.1723;
391;0.3006;591;0.1543;
392;0.2976;592;0.1381;
393;0.2945;593;0.1232;
394;0.2914;594;0.1091;
395;0.2883;595;0.0972;
396;0.2852;596;0.0865;
397;0.2821;597;0.0765;
398;0.2790;598;0.0678;
399;0.2759;599;0.0604;
400;0.2727;600;0.0529;
401;0.2697;601;0.0466;
402;0.2666;602;0.0412;
403;0.2637;603;0.0365;
404;0.2607;604;0.0320;
405;0.2578;605;0.0283;
406;0.2548;606;0.0250;
407;0.2520;607;0.0219;
408;0.2490;608;0.0193;
409;0.2461;609;0.0170;
410;0.2431;610;0.0150;
411;0.2401;611;0.0130;
412;0.2370;612;0.0114;
413;0.2339;613;0.0102;
414;0.2307;614;0.0089;
415;0.2273;615;0.0078;
416;0.2240;616;0.0068;
417;0.2206;617;0.0061;
418;0.2173;618;0.0053;
419;0.2137;619;0.0046;
420;0.2104;620;0.0040;
421;0.2069;621;0.0037;
422;0.2036;622;0.0031;
423;0.2006;623;0.0028;
424;0.1975;624;0.0024;
