Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
320;0.4940;400;0.0080;
320;0.4960;400;0.0080;
321;0.4970;401;0.0080;
321;0.4980;401;0.0080;
322;0.4980;402;0.0080;
322;0.4990;402;0.0080;
323;0.5020;403;0.0080;
323;0.5070;403;0.0080;
324;0.5160;404;0.0080;
324;0.5120;404;0.0080;
325;0.5190;405;0.0080;
325;0.5210;405;0.0080;
326;0.5220;406;0.0080;
326;0.5240;406;0.0070;
327;0.5290;407;0.0070;
327;0.5260;407;0.0070;
328;0.5320;408;0.0070;
328;0.5350;408;0.0070;
329;0.5430;409;0.0070;
329;0.5390;409;0.0070;
330;0.5460;410;0.0070;
330;0.5490;410;0.0070;
331;0.5530;411;0.0070;
331;0.5560;411;0.0070;
332;0.5610;412;0.0070;
332;0.5590;412;0.0070;
333;0.5630;413;0.0070;
333;0.5660;413;0.0070;
334;0.5740;414;0.0060;
334;0.5690;414;0.0070;
335;0.5790;415;0.0060;
335;0.5840;415;0.0060;
336;0.5880;416;0.0060;
336;0.5910;416;0.0060;
337;0.5940;417;0.0060;
337;0.5970;417;0.0060;
338;0.6020;418;0.0060;
338;0.6000;418;0.0060;
339;0.6040;419;0.0060;
339;0.6050;419;0.0060;
340;0.6060;420;0.0060;
340;0.6070;420;0.0060;
341;0.6110;421;0.0060;
341;0.6090;421;0.0060;
342;0.6140;422;0.0060;
342;0.6170;422;0.0060;
343;0.6190;423;0.0060;
343;0.6180;423;0.0060;
344;0.6200;424;0.0060;
344;0.6200;424;0.0060;
345;0.6200;425;0.0070;
345;0.6200;425;0.0070;
346;0.6200;426;0.0070;
346;0.6200;426;0.0070;
347;0.6210;427;0.0070;
347;0.6210;427;0.0070;
348;0.6230;428;0.0070;
348;0.6240;428;0.0070;
349;0.6270;429;0.0070;
349;0.6300;429;0.0070;
350;0.6340;430;0.0070;
350;0.6320;430;0.0060;
351;0.6350;431;0.0060;
351;0.6350;431;0.0060;
352;0.6350;432;0.0050;
352;0.6350;432;0.0050;
353;0.6360;433;0.0060;
353;0.6380;433;0.0060;
354;0.6400;434;0.0070;
354;0.6420;434;0.0060;
355;0.6430;435;0.0070;
355;0.6440;435;0.0070;
356;0.6470;436;0.0070;
356;0.6450;436;0.0080;
357;0.6480;437;0.0080;
357;0.6500;437;0.0080;
358;0.6510;438;0.0080;
358;0.6520;438;0.0090;
359;0.6530;439;0.0090;
359;0.6520;439;0.0090;
360;0.6520;440;0.0090;
360;0.6520;440;0.0090;
361;0.6520;441;0.0080;
361;0.6520;441;0.0080;
362;0.6530;442;0.0080;
362;0.6560;442;0.0080;
363;0.6590;443;0.0070;
363;0.6630;443;0.0070;
364;0.6660;444;0.0070;
364;0.6690;444;0.0060;
365;0.6730;445;0.0050;
365;0.6710;445;0.0060;
366;0.6760;446;0.0050;
366;0.6800;446;0.0050;
367;0.6840;447;0.0040;
367;0.6890;447;0.0040;
368;0.6980;448;0.0030;
368;0.6940;448;0.0040;
369;0.7020;449;0.0030;
369;0.7060;449;0.0030;
370;0.7150;450;0.0030;
370;0.7100;450;0.0030;
371;0.7200;451;0.0030;
371;0.7250;451;0.0030;
372;0.7280;452;0.0030;
372;0.7300;452;0.0030;
373;0.7300;453;0.0030;
373;0.7310;453;0.0030;
374;0.7420;454;0.0030;
374;0.7350;454;0.0030;
375;0.7500;455;0.0030;
375;0.7600;455;0.0030;
376;0.7690;456;0.0030;
376;0.7770;456;0.0030;
377;0.7920;457;0.0040;
377;0.7850;457;0.0030;
378;0.8010;458;0.0040;
378;0.8100;458;0.0040;
379;0.8300;459;0.0040;
379;0.8200;459;0.0030;
380;0.8400;460;0.0030;
380;0.8500;460;0.0030;
381;0.8600;461;0.0030;
381;0.8700;461;0.0030;
382;0.8800;462;0.0030;
382;0.8900;462;0.0030;
383;0.9070;463;0.0030;
383;0.8990;463;0.0030;
384;0.9160;464;0.0030;
384;0.9250;464;0.0030;
385;0.9340;465;0.0030;
385;0.9420;465;0.0030;
386;0.9570;466;0.0030;
386;0.9500;466;0.0030;
387;0.9630;467;0.0030;
387;0.9680;467;0.0030;
388;0.9800;468;0.0030;
388;0.9740;468;0.0030;
389;0.9840;469;0.0030;
389;0.9880;469;0.0040;
390;0.9900;470;0.0040;
390;0.9920;470;0.0040;
391;0.9930;471;0.0040;
391;0.9930;471;0.0040;
392;0.9860;472;0.0030;
392;0.9920;472;0.0030;
393;0.9760;473;0.0030;
393;0.9640;473;0.0030;
394;0.9520;474;0.0030;
394;0.9420;474;0.0030;
395;0.9320;475;0.0040;
395;0.9350;475;0.0040;
396;0.9300;476;0.0030;
396;0.9270;476;0.0030;
397;0.9190;477;0.0030;
397;0.9240;477;0.0030;
398;0.9120;478;0.0030;
398;0.9040;478;0.0030;
399;0.8960;479;0.0030;
399;0.8870;479;0.0030;
400;0.8690;480;0.0030;
400;0.8780;480;0.0030;
401;0.8610;481;0.0030;
401;0.8530;481;0.0030;
402;0.8370;482;0.0030;
402;0.8450;482;0.0030;
403;0.8300;483;0.0030;
403;0.8220;483;0.0030;
404;0.8160;484;0.0030;
404;0.8090;484;0.0030;
405;0.7960;485;0.0040;
405;0.8030;485;0.0030;
406;0.7890;486;0.0030;
406;0.7800;486;0.0030;
407;0.7570;487;0.0030;
407;0.7700;487;0.0030;
408;0.7420;488;0.0030;
408;0.7260;488;0.0030;
409;0.7070;489;0.0030;
409;0.6890;489;0.0030;
410;0.6710;490;0.0040;
410;0.6550;490;0.0040;
411;0.6280;491;0.0040;
411;0.6400;491;0.0040;
412;0.6160;492;0.0040;
412;0.6050;492;0.0040;
413;0.5940;493;0.0040;
413;0.5820;493;0.0040;
414;0.5590;494;0.0040;
414;0.5700;494;0.0040;
415;0.5480;495;0.0040;
415;0.5390;495;0.0040;
416;0.5240;496;0.0040;
416;0.5310;496;0.0040;
417;0.5160;497;0.0040;
417;0.5070;497;0.0040;
418;0.4980;498;0.0040;
418;0.4900;498;0.0040;
419;0.4820;499;0.0040;
419;0.4760;499;0.0040;
420;0.4640;500;0.0040;
420;0.4700;500;0.0040;
421;0.4580;501;0.0040;
421;0.4530;501;0.0050;
422;0.4490;502;0.0050;
422;0.4460;502;0.0050;
423;0.4410;503;0.0050;
423;0.4430;503;0.0050;
424;0.4400;504;0.0050;
424;0.4390;504;0.0050;
425;0.4410;505;0.0050;
425;0.4400;505;0.0050;
426;0.4430;506;0.0060;
426;0.4460;506;0.0050;
427;0.4470;507;0.0060;
427;0.4490;507;0.0060;
428;0.4510;508;0.0060;
428;0.4530;508;0.0070;
429;0.4600;509;0.0070;
429;0.4560;509;0.0070;
430;0.4640;510;0.0070;
430;0.4690;510;0.0070;
431;0.4740;511;0.0070;
431;0.4790;511;0.0070;
432;0.4890;512;0.0080;
432;0.4840;512;0.0080;
433;0.4940;513;0.0080;
433;0.4990;513;0.0080;
434;0.5090;514;0.0090;
434;0.5040;514;0.0090;
435;0.5140;515;0.0090;
435;0.5210;515;0.0100;
436;0.5270;516;0.0100;
436;0.5340;516;0.0110;
437;0.5400;517;0.0120;
437;0.5450;517;0.0110;
438;0.5570;518;0.0130;
438;0.5510;518;0.0130;
439;0.5620;519;0.0140;
439;0.5680;519;0.0150;
440;0.5730;520;0.0160;
440;0.5780;520;0.0150;
441;0.5880;521;0.0170;
441;0.5830;521;0.0170;
442;0.5950;522;0.0180;
442;0.6020;522;0.0190;
443;0.6150;523;0.0210;
443;0.6090;523;0.0200;
444;0.6200;524;0.0220;
444;0.6250;524;0.0230;
445;0.6300;525;0.0250;
445;0.6360;525;0.0260;
446;0.6420;526;0.0300;
446;0.6490;526;0.0280;
447;0.6620;527;0.0310;
447;0.6550;527;0.0330;
448;0.6700;528;0.0350;
448;0.6770;528;0.0360;
449;0.6840;529;0.0400;
449;0.6910;529;0.0380;
450;0.7040;530;0.0420;
450;0.6980;530;0.0440;
451;0.7090;531;0.0460;
451;0.7140;531;0.0480;
452;0.7260;532;0.0530;
452;0.7190;532;0.0510;
453;0.7330;533;0.0560;
453;0.7420;533;0.0590;
454;0.7510;534;0.0630;
454;0.7600;534;0.0660;
455;0.7690;535;0.0730;
455;0.7780;535;0.0700;
456;0.7950;536;0.0760;
456;0.7870;536;0.0800;
457;0.8030;537;0.0880;
457;0.8100;537;0.0840;
458;0.8170;538;0.0930;
458;0.8240;538;0.0970;
459;0.8360;539;0.1020;
459;0.8300;539;0.1070;
460;0.8410;540;0.1160;
460;0.8460;540;0.1110;
461;0.8570;541;0.1200;
461;0.8510;541;0.1250;
462;0.8630;542;0.1300;
462;0.8690;542;0.1350;
463;0.8750;543;0.1440;
463;0.8800;543;0.1390;
464;0.8870;544;0.1490;
464;0.8940;544;0.1550;
465;0.9080;545;0.1620;
465;0.9010;545;0.1680;
466;0.9150;546;0.1820;
466;0.9210;546;0.1750;
467;0.9280;547;0.1900;
467;0.9350;547;0.1980;
468;0.9510;548;0.2060;
468;0.9430;548;0.2150;
469;0.9580;549;0.2330;
469;0.9640;549;0.2240;
470;0.9730;550;0.2420;
470;0.9690;550;0.2500;
471;0.9760;551;0.2580;
471;0.9790;551;0.2660;
472;0.9830;552;0.2820;
472;0.9860;552;0.2740;
473;0.9900;553;0.2910;
473;0.9880;553;0.2990;
474;0.9910;554;0.3080;
474;0.9920;554;0.3170;
475;0.9950;555;0.3350;
475;0.9930;555;0.3250;
476;0.9980;556;0.3440;
476;1.0000;556;0.3550;
477;1.0000;557;0.3660;
477;0.9990;557;0.3770;
478;0.9960;558;0.4000;
478;0.9980;558;0.3880;
479;0.9950;559;0.4120;
479;0.9950;559;0.4240;
480;0.9970;560;0.4460;
480;0.9960;560;0.4350;
481;0.9980;561;0.4570;
481;0.9960;561;0.4670;
482;0.9920;562;0.4770;
482;0.9860;562;0.4880;
483;0.9790;563;0.5110;
483;0.9730;563;0.4990;
484;0.9640;564;0.5220;
484;0.9680;564;0.5320;
485;0.9610;565;0.5420;
485;0.9580;565;0.5530;
486;0.9540;566;0.5740;
486;0.9480;566;0.5630;
487;0.9350;567;0.5850;
487;0.9420;567;0.5970;
488;0.9280;568;0.6100;
488;0.9210;568;0.6220;
489;0.9100;569;0.6440;
489;0.9150;569;0.6340;
490;0.9060;570;0.6540;
490;0.9020;570;0.6640;
491;0.9000;571;0.6870;
491;0.8980;571;0.6750;
492;0.8950;572;0.7000;
492;0.8930;572;0.7130;
493;0.8880;573;0.7250;
493;0.8900;573;0.7360;
494;0.8860;574;0.7570;
494;0.8840;574;0.7470;
495;0.8830;575;0.7670;
495;0.8820;575;0.7770;
496;0.8790;576;0.7860;
496;0.8810;576;0.7950;
497;0.8780;577;0.8130;
497;0.8770;577;0.8040;
498;0.8760;578;0.8220;
498;0.8770;578;0.8310;
499;0.8750;579;0.8410;
499;0.8720;579;0.8500;
500;0.8700;580;0.8680;
500;0.8670;580;0.8600;
501;0.8650;581;0.8750;
501;0.8650;581;0.8830;
502;0.8650;582;0.8960;
502;0.8650;582;0.8890;
503;0.8650;583;0.9020;
503;0.8630;583;0.9060;
504;0.8610;584;0.9110;
504;0.8570;584;0.9160;
505;0.8500;585;0.9280;
505;0.8530;585;0.9210;
506;0.8470;586;0.9340;
506;0.8450;586;0.9410;
507;0.8380;587;0.9480;
507;0.8420;587;0.9550;
508;0.8340;588;0.9640;
508;0.8300;588;0.9600;
509;0.8270;589;0.9670;
509;0.8220;589;0.9690;
510;0.8170;590;0.9710;
510;0.8110;590;0.9730;
511;0.7980;591;0.9810;
511;0.8040;591;0.9770;
512;0.7930;592;0.9860;
512;0.7880;592;0.9910;
513;0.7840;593;0.9940;
513;0.7790;593;0.9960;
514;0.7690;594;0.9980;
514;0.7740;594;0.9970;
515;0.7640;595;0.9990;
515;0.7590;595;1.0000;
516;0.7490;596;0.9990;
516;0.7540;596;0.9980;
517;0.7430;597;0.9930;
517;0.7370;597;0.9950;
518;0.7310;598;0.9910;
518;0.7240;598;0.9890;
519;0.7170;599;0.9890;
519;0.7090;599;0.9890;
520;0.6940;600;0.9910;
520;0.7010;600;0.9890;
521;0.6860;601;0.9920;
521;0.6790;601;0.9920;
522;0.6720;602;0.9910;
522;0.6650;602;0.9880;
523;0.6490;603;0.9820;
523;0.6570;603;0.9850;
524;0.6400;604;0.9790;
524;0.6310;604;0.9760;
525;0.6140;605;0.9700;
525;0.6220;605;0.9730;
526;0.6040;606;0.9660;
526;0.5950;606;0.9620;
527;0.5850;607;0.9580;
527;0.5740;607;0.9550;
528;0.5630;608;0.9470;
528;0.5530;608;0.9510;
529;0.5330;609;0.9420;
529;0.5420;609;0.9350;
530;0.5240;610;0.9280;
530;0.5140;610;0.9210;
531;0.5050;611;0.9110;
531;0.4940;611;0.9150;
532;0.4720;612;0.9070;
532;0.4830;612;0.9040;
533;0.4610;613;0.8990;
533;0.4500;613;0.8930;
534;0.4310;614;0.8770;
534;0.4400;614;0.8850;
535;0.4220;615;0.8700;
535;0.4130;615;0.8630;
536;0.4040;616;0.8560;
536;0.3960;616;0.8500;
537;0.3890;617;0.8380;
537;0.3810;617;0.8440;
538;0.3660;618;0.8330;
538;0.3740;618;0.8270;
539;0.3590;619;0.8200;
539;0.3500;619;0.8120;
540;0.3410;620;0.7950;
540;0.3320;620;0.8030;
541;0.3140;621;0.7860;
541;0.3230;621;0.7790;
542;0.3060;622;0.7710;
542;0.2980;622;0.7640;
543;0.2840;623;0.7510;
543;0.2910;623;0.7580;
544;0.2760;624;0.7450;
544;0.2680;624;0.7390;
545;0.2600;625;0.7330;
545;0.2520;625;0.7260;
546;0.2450;626;0.7130;
546;0.2370;626;0.7190;
547;0.2240;627;0.7060;
547;0.2300;627;0.6980;
548;0.2170;628;0.6820;
548;0.2110;628;0.6900;
549;0.2040;629;0.6740;
549;0.1980;629;0.6660;
550;0.1850;630;0.6580;
550;0.1910;630;0.6510;
551;0.1800;631;0.6370;
551;0.1740;631;0.6440;
552;0.1640;632;0.6300;
552;0.1690;632;0.6230;
553;0.1580;633;0.6170;
553;0.1520;633;0.6110;
554;0.1460;634;0.5990;
554;0.1410;634;0.6050;
555;0.1360;635;0.5930;
555;0.1320;635;0.5860;
556;0.1230;636;0.5790;
556;0.1280;636;0.5720;
557;0.1180;637;0.5580;
557;0.1140;637;0.5650;
558;0.1090;638;0.5520;
558;0.1050;638;0.5470;
559;0.0960;639;0.5420;
559;0.1000;639;0.5370;
560;0.0920;640;0.5240;
560;0.0880;640;0.5310;
561;0.0810;641;0.5160;
561;0.0850;641;0.5090;
562;0.0780;642;0.5020;
562;0.0740;642;0.4960;
563;0.0710;643;0.4850;
563;0.0680;643;0.4900;
564;0.0660;644;0.4800;
564;0.0630;644;0.4750;
565;0.0590;645;0.4700;
565;0.0610;645;0.4640;
566;0.0560;646;0.4510;
566;0.0540;646;0.4570;
567;0.0510;647;0.4450;
567;0.0480;647;0.4390;
568;0.0430;648;0.4340;
568;0.0460;648;0.4290;
569;0.0420;649;0.4170;
569;0.0400;649;0.4230;
570;0.0370;650;0.4110;
570;0.0390;650;0.4060;
571;0.0350;651;0.3970;
571;0.0330;651;0.4010;
572;0.0320;652;0.3920;
572;0.0300;652;0.3860;
573;0.0290;653;0.3810;
573;0.0280;653;0.3750;
574;0.0250;654;0.3650;
574;0.0270;654;0.3700;
575;0.0240;655;0.3600;
575;0.0230;655;0.3550;
576;0.0220;656;0.3510;
576;0.0200;656;0.3470;
577;0.0180;657;0.3380;
577;0.0190;657;0.3430;
578;0.0170;658;0.3330;
578;0.0170;658;0.3280;
579;0.0160;659;0.3240;
579;0.0160;659;0.3200;
580;0.0150;660;0.3110;
580;0.0150;660;0.3160;
581;0.0140;661;0.3070;
581;0.0140;661;0.3030;
582;0.0140;662;0.2980;
582;0.0130;662;0.2940;
583;0.0120;663;0.2860;
583;0.0120;663;0.2890;
584;0.0110;664;0.2830;
584;0.0100;664;0.2790;
585;0.0100;665;0.2760;
