Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
350;0.0461;485;0.0444;
351;0.0428;486;0.0378;
352;0.0403;487;0.0303;
353;0.0376;488;0.0279;
354;0.0351;489;0.0306;
355;0.0335;490;0.0366;
356;0.0317;491;0.0450;
357;0.0314;492;0.0548;
358;0.0295;493;0.0659;
359;0.0290;494;0.0793;
360;0.0282;495;0.0954;
361;0.0278;496;0.1147;
362;0.0273;497;0.1379;
363;0.0268;498;0.1636;
364;0.0271;499;0.1920;
365;0.0270;500;0.2246;
366;0.0269;501;0.2602;
367;0.0270;502;0.2964;
368;0.0277;503;0.3359;
369;0.0277;504;0.3776;
370;0.0279;505;0.4224;
371;0.0285;506;0.4662;
372;0.0285;507;0.5115;
373;0.0290;508;0.5599;
374;0.0288;509;0.6038;
375;0.0296;510;0.6496;
376;0.0300;511;0.6914;
377;0.0298;512;0.7325;
378;0.0305;513;0.7716;
379;0.0306;514;0.8093;
380;0.0305;515;0.8419;
381;0.0309;516;0.8764;
382;0.0309;517;0.9033;
383;0.0322;518;0.9295;
384;0.0321;519;0.9527;
385;0.0324;520;0.9703;
386;0.0323;521;0.9818;
387;0.0325;522;0.9943;
388;0.0326;523;0.9982;
389;0.0323;524;1.0000;
390;0.0323;525;0.9974;
391;0.0323;526;0.9932;
392;0.0324;527;0.9888;
393;0.0320;528;0.9808;
394;0.0316;529;0.9727;
395;0.0317;530;0.9549;
396;0.0314;531;0.9400;
397;0.0312;532;0.9258;
398;0.0310;533;0.9072;
399;0.0312;534;0.8863;
400;0.0311;535;0.8677;
401;0.0310;536;0.8504;
402;0.0311;537;0.8258;
403;0.0311;538;0.8076;
404;0.0314;539;0.7877;
405;0.0314;540;0.7674;
406;0.0319;541;0.7460;
407;0.0317;542;0.7253;
408;0.0319;543;0.7081;
409;0.0322;544;0.6900;
410;0.0329;545;0.6732;
411;0.0330;546;0.6536;
412;0.0334;547;0.6367;
413;0.0340;548;0.6201;
414;0.0345;549;0.6027;
415;0.0350;550;0.5859;
416;0.0356;551;0.5731;
417;0.0366;552;0.5565;
418;0.0378;553;0.5421;
419;0.0387;554;0.5267;
420;0.0403;555;0.5145;
421;0.0414;556;0.5025;
422;0.0432;557;0.4898;
423;0.0449;558;0.4765;
424;0.0466;559;0.4640;
425;0.0489;560;0.4523;
426;0.0514;561;0.4402;
427;0.0539;562;0.4289;
428;0.0562;563;0.4168;
429;0.0593;564;0.4056;
430;0.0626;565;0.3951;
431;0.0655;566;0.3844;
432;0.0690;567;0.3732;
433;0.0724;568;0.3649;
434;0.0761;569;0.3549;
435;0.0807;570;0.3448;
436;0.0844;571;0.3348;
437;0.0891;572;0.3249;
438;0.0932;573;0.3151;
439;0.0983;574;0.3050;
440;0.1032;575;0.2958;
441;0.1084;576;0.2865;
442;0.1134;577;0.2798;
443;0.1193;578;0.2707;
444;0.1250;579;0.2622;
445;0.1310;580;0.2524;
446;0.1374;581;0.2470;
447;0.1440;582;0.2390;
448;0.1513;583;0.2307;
449;0.1588;584;0.2233;
450;0.1667;585;0.2145;
451;0.1751;586;0.2075;
452;0.1844;587;0.1999;
453;0.1946;588;0.1933;
454;0.2048;589;0.1850;
455;0.2162;590;0.1779;
456;0.2282;591;0.1716;
457;0.2408;592;0.1664;
458;0.2541;593;0.1616;
459;0.2690;594;0.1572;
460;0.2837;595;0.1513;
461;0.2994;596;0.1464;
462;0.3152;597;0.1412;
463;0.3321;598;0.1373;
464;0.3490;599;0.1330;
465;0.3660;600;0.1283;
466;0.3830;601;0.1245;
467;0.4004;602;0.1198;
468;0.4171;603;0.1173;
469;0.4342;604;0.1136;
470;0.4510;605;0.1079;
471;0.4674;606;0.1051;
472;0.4835;607;0.1018;
473;0.4991;608;0.0983;
474;0.5140;609;0.0960;
475;0.5290;610;0.0916;
476;0.5432;611;0.0898;
477;0.5569;612;0.0861;
478;0.5702;613;0.0834;
479;0.5835;614;0.0807;
480;0.5965;615;0.0781;
481;0.6101;616;0.0766;
482;0.6237;617;0.0746;
483;0.6390;618;0.0716;
484;0.6548;619;0.0693;
485;0.6720;620;0.0672;
486;0.6906;621;0.0647;
487;0.7117;622;0.0624;
488;0.7337;623;0.0602;
489;0.7584;624;0.0590;
490;0.7838;625;0.0572;
491;0.8111;626;0.0544;
492;0.8378;627;0.0529;
493;0.8652;628;0.0516;
494;0.8916;629;0.0498;
495;0.9170;630;0.0475;
496;0.9402;631;0.0463;
497;0.9599;632;0.0449;
498;0.9766;633;0.0435;
499;0.9891;634;0.0416;
500;0.9967;635;0.0402;
501;1.0000;636;0.0387;
502;0.9972;637;0.0374;
503;0.9896;638;0.0360;
504;0.9765;639;0.0352;
505;0.9589;640;0.0338;
506;0.9356;641;0.0324;
507;0.9080;642;0.0316;
508;0.8762;643;0.0302;
509;0.8407;644;0.0293;
510;0.8025;645;0.0280;
511;0.7622;646;0.0274;
512;0.7210;647;0.0262;
513;0.6779;648;0.0255;
514;0.6346;649;0.0252;
515;0.5920;650;0.0246;
516;0.5500;;;
517;0.5088;;;
518;0.4674;;;
519;0.4284;;;
520;0.3905;;;
521;0.3552;;;
522;0.3208;;;
523;0.2904;;;
524;0.2609;;;
525;0.2342;;;
526;0.2094;;;
527;0.1874;;;
528;0.1663;;;
529;0.1479;;;
530;0.1310;;;
531;0.1161;;;
532;0.1024;;;
