Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
422;0.0287;544;0.0306;
423;0.0301;545;0.0408;
424;0.0320;546;0.0415;
425;0.0335;547;0.0517;
426;0.0353;548;0.0625;
427;0.0367;549;0.0725;
428;0.0389;550;0.0886;
429;0.0407;551;0.0928;
430;0.0428;552;0.1180;
431;0.0447;553;0.1466;
432;0.0468;554;0.1581;
433;0.0484;555;0.1786;
434;0.0499;556;0.2150;
435;0.0522;557;0.2321;
436;0.0549;558;0.2640;
437;0.0577;559;0.2945;
438;0.0591;560;0.3367;
439;0.0614;561;0.3724;
440;0.0651;562;0.4097;
441;0.0698;563;0.4644;
442;0.0730;564;0.5077;
443;0.0754;565;0.5478;
444;0.0784;566;0.5932;
445;0.0815;567;0.6544;
446;0.0850;568;0.6877;
447;0.0881;569;0.7347;
448;0.0921;570;0.7704;
449;0.0954;571;0.8258;
450;0.0994;572;0.8553;
451;0.1026;573;0.8977;
452;0.1069;574;0.9242;
453;0.1105;575;0.9394;
454;0.1142;576;0.9604;
455;0.1173;577;0.9712;
456;0.1203;578;0.9817;
457;0.1239;579;0.9920;
458;0.1279;580;0.9962;
459;0.1321;581;0.9962;
460;0.1349;582;0.9955;
461;0.1384;583;0.9922;
462;0.1429;584;0.9886;
463;0.1484;585;0.9790;
464;0.1539;586;0.9681;
465;0.1598;587;0.9580;
466;0.1663;588;0.9473;
467;0.1730;589;0.9403;
468;0.1801;590;0.9250;
469;0.1873;591;0.9070;
470;0.1945;592;0.8966;
471;0.2016;593;0.8816;
472;0.2086;594;0.8623;
473;0.2152;595;0.8463;
474;0.2215;596;0.8385;
475;0.2273;597;0.8260;
476;0.2324;598;0.8221;
477;0.2368;599;0.8135;
478;0.2405;600;0.7942;
479;0.2429;601;0.7770;
480;0.2444;602;0.7669;
481;0.2461;603;0.7561;
482;0.2488;604;0.7461;
483;0.2524;605;0.7353;
484;0.2556;606;0.7250;
485;0.2592;607;0.7166;
486;0.2627;608;0.7043;
487;0.2676;609;0.6929;
488;0.2715;610;0.6824;
489;0.2762;611;0.6820;
490;0.2799;612;0.6722;
491;0.2853;613;0.6619;
492;0.2897;614;0.6511;
493;0.2952;615;0.6409;
494;0.2997;616;0.6298;
495;0.3053;617;0.6188;
496;0.3105;618;0.6175;
497;0.3188;619;0.6018;
498;0.3295;620;0.5899;
499;0.3412;621;0.5802;
500;0.3512;622;0.5710;
501;0.3621;623;0.5624;
502;0.3757;624;0.5497;
503;0.3919;625;0.5383;
504;0.4090;626;0.5244;
505;0.4265;627;0.5153;
506;0.4439;628;0.5107;
507;0.4606;629;0.4958;
508;0.4759;630;0.4860;
509;0.4891;631;0.4788;
510;0.5001;632;0.4698;
511;0.5096;633;0.4611;
512;0.5192;634;0.4601;
513;0.5294;635;0.4394;
514;0.5402;636;0.4292;
515;0.5515;637;0.4181;
516;0.5620;638;0.4086;
517;0.5704;639;0.3983;
518;0.5778;640;0.3871;
519;0.5866;641;0.3743;
520;0.5950;642;0.3638;
521;0.5999;643;0.3545;
522;0.6017;644;0.3439;
523;0.6036;645;0.3342;
524;0.6064;646;0.3243;
525;0.6085;647;0.3152;
526;0.6109;648;0.3059;
527;0.6136;649;0.2968;
528;0.6182;650;0.2883;
529;0.6229;651;0.2803;
530;0.6289;652;0.2728;
531;0.6354;653;0.2644;
532;0.6455;654;0.2573;
533;0.6610;655;0.2481;
534;0.6825;656;0.2406;
535;0.7045;657;0.2330;
536;0.7216;658;0.2251;
537;0.7323;659;0.2184;
538;0.7405;660;0.2117;
539;0.7484;661;0.2064;
540;0.7574;662;0.1985;
541;0.7699;663;0.1952;
542;0.7886;664;0.1882;
543;0.8086;665;0.1843;
544;0.8328;666;0.1786;
545;0.8643;667;0.1717;
546;0.8968;668;0.1689;
547;0.9157;669;0.1626;
548;0.9227;670;0.1594;
549;0.9326;671;0.1557;
550;0.9512;672;0.1499;
551;0.9731;673;0.1467;
552;0.9881;674;0.1405;
553;0.9948;675;0.1384;
554;0.9967;676;0.1346;
555;0.9954;677;0.1316;
556;0.9928;678;0.1282;
557;0.9871;679;0.1239;
558;0.9831;680;0.1212;
559;0.9667;681;0.1173;
560;0.9274;682;0.1149;
561;0.8681;683;0.1115;
562;0.8261;684;0.1086;
563;0.8128;685;0.1052;
564;0.8097;686;0.1036;
565;0.7928;687;0.1014;
566;0.7594;688;0.0982;
567;0.7156;689;0.0964;
568;0.6675;690;0.0931;
569;0.6218;691;0.0916;
570;0.5756;692;0.0881;
571;0.5300;693;0.0866;
572;0.4843;694;0.0835;
573;0.4421;695;0.0823;
574;0.3980;696;0.0810;
575;0.3587;697;0.0772;
576;0.3220;698;0.0759;
577;0.2911;699;0.0739;
578;0.2590;700;0.0746;
579;0.2298;;;
580;0.2038;;;
581;0.1830;;;
582;0.1603;;;
583;0.1351;;;
584;0.1152;;;
585;0.1031;;;
586;0.0922;;;
587;0.0781;;;
588;0.0646;;;
589;0.0546;;;
590;0.0477;;;
591;0.0428;;;
592;0.0381;;;
593;0.0338;;;
594;0.0292;;;
595;0.0245;;;
596;0.0203;;;
597;0.0177;;;
598;0.0157;;;
599;0.0141;;;
600;0.0127;;;
601;0.0112;;;
602;0.0099;;;
603;0.0088;;;
604;0.0083;;;
605;0.0077;;;
606;0.0072;;;
607;0.0066;;;
