Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
200;0.2959;478;0.0127;
201;0.2864;479;0.0133;
202;0.2778;480;0.0156;
203;0.2678;481;0.0188;
204;0.2583;482;0.0230;
205;0.2510;483;0.0286;
206;0.2431;484;0.0360;
207;0.2389;485;0.0453;
208;0.2355;486;0.0564;
209;0.2349;487;0.0695;
210;0.2369;488;0.0848;
211;0.2378;489;0.1024;
212;0.2434;490;0.1227;
213;0.2456;491;0.1458;
214;0.2504;492;0.1719;
215;0.2538;493;0.2009;
216;0.2598;494;0.2336;
217;0.2653;495;0.2701;
218;0.2718;496;0.3104;
219;0.2765;497;0.3535;
220;0.2812;498;0.3982;
221;0.2891;499;0.4448;
222;0.2974;500;0.4940;
223;0.3039;501;0.5457;
224;0.3124;502;0.5985;
225;0.3219;503;0.6506;
226;0.3352;504;0.7000;
227;0.3479;505;0.7466;
228;0.3571;506;0.7907;
229;0.3706;507;0.8326;
230;0.3820;508;0.8720;
231;0.3893;509;0.9064;
232;0.3981;510;0.9341;
233;0.4041;511;0.9549;
234;0.4122;512;0.9710;
235;0.4188;513;0.9840;
236;0.4256;514;0.9944;
237;0.4348;515;0.9994;
238;0.4416;516;0.9992;
239;0.4512;517;0.9951;
240;0.4614;518;0.9883;
241;0.4748;519;0.9795;
242;0.4872;520;0.9673;
243;0.4966;521;0.9511;
244;0.5067;522;0.9315;
245;0.5174;523;0.9094;
246;0.5350;524;0.8866;
247;0.5497;525;0.8626;
248;0.5626;526;0.8373;
249;0.5720;527;0.8110;
250;0.5882;528;0.7827;
251;0.6055;529;0.7547;
252;0.6254;530;0.7271;
253;0.6460;531;0.7015;
254;0.6642;532;0.6774;
255;0.6915;533;0.6532;
256;0.7226;534;0.6296;
257;0.7514;535;0.6053;
258;0.7821;536;0.5823;
259;0.8141;537;0.5610;
260;0.8508;538;0.5411;
261;0.8839;539;0.5225;
262;0.9049;540;0.5044;
263;0.9342;541;0.4865;
264;0.9602;542;0.4691;
265;0.9799;543;0.4524;
266;0.9923;544;0.4368;
267;1.0000;545;0.4220;
268;0.9977;546;0.4079;
269;0.9889;547;0.3940;
270;0.9671;548;0.3810;
271;0.9373;549;0.3688;
272;0.8992;550;0.3574;
273;0.8576;551;0.3464;
274;0.8084;552;0.3352;
275;0.7541;553;0.3241;
276;0.7089;554;0.3130;
277;0.6701;555;0.3026;
278;0.6348;556;0.2928;
279;0.6022;557;0.2837;
280;0.5757;558;0.2752;
281;0.5566;559;0.2670;
282;0.5412;560;0.2587;
283;0.5273;561;0.2505;
284;0.5152;562;0.2422;
285;0.5059;563;0.2339;
286;0.4971;564;0.2254;
287;0.4901;565;0.2173;
288;0.4811;566;0.2095;
289;0.4727;567;0.2018;
290;0.4630;568;0.1943;
291;0.4536;569;0.1868;
292;0.4434;570;0.1794;
293;0.4319;571;0.1725;
294;0.4186;572;0.1659;
295;0.4049;573;0.1595;
296;0.3915;574;0.1534;
297;0.3783;575;0.1471;
298;0.3635;576;0.1411;
299;0.3467;577;0.1355;
300;0.3307;578;0.1306;
301;0.3151;579;0.1259;
302;0.3009;580;0.1211;
303;0.2858;581;0.1165;
304;0.2691;582;0.1119;
305;0.2547;583;0.1078;
306;0.2422;584;0.1040;
307;0.2286;585;0.1003;
308;0.2166;586;0.0966;
309;0.2024;587;0.0927;
310;0.1899;588;0.0888;
311;0.1796;589;0.0853;
312;0.1682;590;0.0822;
313;0.1562;591;0.0792;
314;0.1436;592;0.0763;
315;0.1309;593;0.0734;
316;0.1228;594;0.0708;
317;0.1131;595;0.0684;
318;0.1044;596;0.0658;
319;0.0960;597;0.0631;
320;0.0886;598;0.0604;
321;0.0837;599;0.0580;
322;0.0788;600;0.0559;
323;0.0744;601;0.0540;
324;0.0698;602;0.0522;
325;0.0666;603;0.0504;
326;0.0645;604;0.0485;
327;0.0628;605;0.0467;
328;0.0603;606;0.0450;
329;0.0586;607;0.0434;
330;0.0572;608;0.0418;
331;0.0558;609;0.0403;
332;0.0549;610;0.0387;
333;0.0536;611;0.0373;
334;0.0531;612;0.0360;
335;0.0522;613;0.0348;
336;0.0522;614;0.0334;
337;0.0526;615;0.0320;
338;0.0521;616;0.0306;
339;0.0524;617;0.0294;
340;0.0527;618;0.0282;
341;0.0524;619;0.0270;
342;0.0536;620;0.0257;
343;0.0541;621;0.0245;
344;0.0551;622;0.0234;
345;0.0559;623;0.0225;
346;0.0570;624;0.0215;
347;0.0574;625;0.0206;
348;0.0580;626;0.0198;
349;0.0591;627;0.0190;
350;0.0606;628;0.0183;
351;0.0623;629;0.0175;
352;0.0621;630;0.0168;
353;0.0638;631;0.0162;
354;0.0649;632;0.0156;
355;0.0654;633;0.0150;
356;0.0667;634;0.0144;
357;0.0682;635;0.0138;
358;0.0690;636;0.0132;
359;0.0705;637;0.0127;
360;0.0714;638;0.0122;
361;0.0731;639;0.0117;
362;0.0747;640;0.0111;
363;0.0754;641;0.0106;
364;0.0765;642;0.0102;
365;0.0795;643;0.0097;
366;0.0810;644;0.0094;
367;0.0815;645;0.0090;
368;0.0842;646;0.0087;
369;0.0858;647;0.0085;
370;0.0872;648;0.0083;
371;0.0895;649;0.0080;
372;0.0903;650;0.0077;
373;0.0922;651;0.0074;
374;0.0946;652;0.0072;
375;0.0972;653;0.0069;
376;0.0999;654;0.0066;
377;0.1017;655;0.0064;
378;0.1040;656;0.0062;
379;0.1066;657;0.0059;
380;0.1096;658;0.0057;
381;0.1116;659;0.0055;
382;0.1147;660;0.0053;
383;0.1166;661;0.0051;
384;0.1200;662;0.0050;
385;0.1233;663;0.0048;
386;0.1264;664;0.0047;
387;0.1295;665;0.0046;
388;0.1329;666;0.0044;
389;0.1367;667;0.0042;
390;0.1409;668;0.0040;
391;0.1451;669;0.0040;
392;0.1484;670;0.0039;
393;0.1524;671;0.0037;
394;0.1564;672;0.0036;
395;0.1616;673;0.0035;
396;0.1661;674;0.0034;
397;0.1700;675;0.0033;
398;0.1745;676;0.0032;
399;0.1791;677;0.0031;
400;0.1846;678;0.0030;
401;0.1898;679;0.0029;
402;0.1945;680;0.0028;
403;0.1990;681;0.0027;
404;0.2046;682;0.0026;
405;0.2107;683;0.0026;
406;0.2158;684;0.0025;
407;0.2204;685;0.0024;
408;0.2260;686;0.0023;
409;0.2317;687;0.0022;
410;0.2365;688;0.0021;
411;0.2432;689;0.0020;
412;0.2487;690;0.0020;
413;0.2540;691;0.0020;
414;0.2603;692;0.0019;
415;0.2675;693;0.0019;
416;0.2741;694;0.0018;
417;0.2811;695;0.0017;
418;0.2875;696;0.0017;
419;0.2950;697;0.0016;
420;0.3018;698;0.0016;
421;0.3102;699;0.0015;
422;0.3183;700;0.0015;
423;0.3255;701;0.0015;
424;0.3333;702;0.0014;
425;0.3403;703;0.0014;
426;0.3500;704;0.0013;
427;0.3579;705;0.0013;
428;0.3653;706;0.0012;
429;0.3731;707;0.0012;
430;0.3816;708;0.0012;
431;0.3894;709;0.0012;
432;0.3984;710;0.0011;
433;0.4066;711;0.0011;
434;0.4143;712;0.0011;
435;0.4216;713;0.0011;
436;0.4285;714;0.0010;
437;0.4362;715;0.0010;
438;0.4441;716;0.0010;
439;0.4509;717;0.0010;
440;0.4575;718;0.0010;
441;0.4635;719;0.0010;
442;0.4707;720;0.0009;
443;0.4774;721;0.0009;
444;0.4840;722;0.0009;
445;0.4896;723;0.0008;
446;0.4951;724;0.0008;
447;0.5017;725;0.0008;
448;0.5083;726;0.0008;
449;0.5140;727;0.0008;
450;0.5183;728;0.0008;
451;0.5225;729;0.0007;
452;0.5280;730;0.0007;
453;0.5319;731;0.0007;
454;0.5358;732;0.0006;
455;0.5391;733;0.0006;
456;0.5410;734;0.0006;
457;0.5440;735;0.0006;
458;0.5450;736;0.0006;
459;0.5463;737;0.0006;
460;0.5472;738;0.0006;
461;0.5478;739;0.0006;
462;0.5484;740;0.0006;
463;0.5481;741;0.0006;
464;0.5473;742;0.0006;
465;0.5471;743;0.0005;
466;0.5460;744;0.0005;
467;0.5453;745;0.0005;
468;0.5431;746;0.0005;
469;0.5422;747;0.0005;
470;0.5401;748;0.0005;
471;0.5378;749;0.0004;
472;0.5366;750;0.0004;
473;0.5353;751;0.0004;
474;0.5329;752;0.0004;
475;0.5320;753;0.0004;
476;0.5308;754;0.0004;
477;0.5290;755;0.0004;
478;0.5273;756;0.0004;
