wl,ex,wl,em
300,14.98748194,370,3.429325431
301,15.65822913,371,3.44420911
302,16.39151355,372,3.890392513
303,17.00894454,373,4.655197735
304,17.64575404,374,5.582463769
305,18.31906278,375,6.911229267
306,18.90093204,376,8.365327844
307,19.34202663,377,10.19090795
308,20.07972966,378,12.38838741
309,20.72149305,379,14.82483269
310,21.4562342,380,17.7086196
311,22.2197552,381,20.81590119
312,22.9750859,382,24.11380983
313,23.81049655,383,27.77040081
314,24.31102628,384,31.5805197
315,24.87609774,385,35.70808871
316,25.39874361,386,40.02191678
317,25.91201937,387,44.17699822
318,26.52821198,388,48.42994295
319,26.96976989,389,52.60953473
320,27.51082467,390,56.40780983
321,28.45072005,391,60.30409118
322,29.53334762,392,63.90773754
323,30.58410109,393,67.63671104
324,31.90717241,394,71.15887211
325,33.63872442,395,74.06698034
326,35.56230548,396,77.04949078
327,37.46458243,397,79.915443
328,39.90431048,398,82.15517487
329,42.28295987,399,84.20610685
330,44.63289265,400,86.07081214
331,47.19163695,401,88.04295881
332,49.69357017,402,89.46239724
333,52.18990471,403,91.01831344
334,55.24340456,404,92.05727675
335,57.78207554,405,93.58014307
336,60.4823058,406,94.82891896
337,63.04274436,407,96.21005842
338,65.64939721,408,97.30671584
339,68.15375201,409,98.20885352
340,70.74710615,410,98.93863712
341,73.33224577,411,99.51043352
342,76.1450014,412,99.71705308
343,78.66799707,413,99.92387192
344,81.01023939,414,100
345,83.77409509,415,99.39498166
346,86.00575034,416,98.92001636
347,88.45906132,417,98.28678727
348,90.54406488,418,97.38990476
349,92.92821237,419,96.25504863
350,94.44461124,420,94.93427597
351,96.00176587,421,93.63770836
352,97.38737823,422,92.39174304
353,98.80495625,423,90.90656851
354,99.23106756,424,89.41904238
355,99.70942081,425,87.79717851
356,100,426,86.25201523
357,99.40791524,427,84.3871756
358,98.93085547,428,82.67816845
359,98.68197281,429,80.96649084
360,97.81482088,430,79.09316154
361,97.10761877,431,77.56164104
362,96.62869091,432,75.8685087
363,95.52231513,433,74.33208571
364,94.482078,434,72.5009288
365,93.90837224,435,70.64034549
366,92.6599722,436,68.98982398
367,91.60947021,437,67.20356972
368,90.38331796,438,65.49453419
369,88.96955335,439,63.54278198
370,86.98475099,440,61.69482508
371,84.66195171,441,59.84403829
372,81.86184654,442,58.12410169
373,78.57979872,443,56.21424287
374,75.39387077,444,54.38180207
375,70.90809218,445,52.57336703
376,66.58096139,446,50.89626048
377,62.00144511,447,49.13609606
378,57.57926594,448,47.48068354
379,52.79678846,449,45.87651103
380,47.89627734,450,44.2161163
381,42.96292206,451,42.7147028
382,38.40339249,452,41.21101742
383,34.05668809,453,39.59723922
384,30.00880997,454,38.25078133
385,26.2982937,455,37.03726616
386,23.00765658,456,35.57878236
387,19.95840387,457,34.30735103
388,17.25673483,458,32.97989678
389,14.72091345,459,31.67752445
390,12.55913765,460,30.42738857
391,10.69877194,461,29.31095271
392,9.089156995,462,28.11143904
393,7.754063789,463,26.99702626
394,6.625809356,464,25.98964523
395,5.675385882,465,25.04330465
396,4.834865244,466,23.91865613
397,4.167921897,467,22.82229124
398,3.619640857,468,21.85511617
399,3.123512828,469,20.98468899
400,2.701387311,470,20.08294301
401,2.366059676,471,19.2426799
402,2.113032545,472,18.46677057
403,1.89761461,473,17.71979854
404,1.729898811,474,16.88685988
405,1.616444804,475,16.2526634
406,1.535685588,476,15.5407682
407,1.504805294,477,14.87445776
408,1.457305822,478,14.21539886
409,1.45464947,479,13.66526098
410,1.448856486,480,13.10331268
,,481,12.52953004
,,482,12.03750193
,,483,11.52270593
,,484,10.99336612
,,485,10.62880683
,,486,10.12840632
,,487,9.693591182
,,488,9.291321616
,,489,8.819280478
,,490,8.407473524
,,491,8.003361701
,,492,7.666512709
,,493,7.417138903
,,494,7.211827292
,,495,6.955880717
,,496,6.748145596
,,497,6.482629956
,,498,6.313454919
,,499,6.121521235
,,500,5.903330891
,,501,5.675500443
,,502,5.459333031
,,503,5.248345928
,,504,5.069109593
,,505,4.906959949
,,506,4.755690826
,,507,4.542510677
,,508,4.418789622
,,509,4.279589857
,,510,4.130552854
,,511,4.017091674
,,512,3.858355077
,,513,3.787699939
,,514,3.681802168
,,515,3.544006251
,,516,3.386274254
,,517,3.271442406
,,518,3.209751027
,,519,3.102139222
,,520,3.006523286
,,521,2.978150626
,,522,2.827209584
,,523,2.758921752
,,524,2.650989151
,,525,2.543098905
,,526,2.452256275
,,527,2.416959331
,,528,2.357979361
,,529,2.257822982
,,530,2.156274203
,,531,2.091651635
,,532,2.009252011
,,533,1.952657957
,,534,1.894870008
,,535,1.856782537
,,536,1.774331571
,,537,1.692854771
,,538,1.669699024
,,539,1.612878571
,,540,1.577133167
,,541,1.531414181
,,542,1.491309199
