Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
251;0.3432;500;0.0043;
252;0.3453;501;0.0043;
253;0.3464;502;0.0043;
254;0.3439;503;0.0043;
255;0.3406;504;0.0043;
256;0.3357;505;0.0043;
257;0.3300;506;0.0043;
258;0.3214;507;0.0043;
259;0.3107;508;0.0043;
260;0.2981;509;0.0043;
261;0.2827;510;0.0043;
262;0.2669;511;0.0043;
263;0.2484;512;0.0043;
264;0.2293;513;0.0043;
265;0.2104;514;0.0043;
266;0.1935;515;0.0043;
267;0.1791;516;0.0043;
268;0.1666;517;0.0043;
269;0.1564;518;0.0043;
270;0.1473;519;0.0043;
271;0.1428;520;0.0043;
272;0.1383;521;0.0043;
273;0.1361;522;0.0043;
274;0.1362;523;0.0043;
275;0.1383;524;0.0043;
276;0.1408;525;0.0043;
277;0.1432;526;0.0043;
278;0.1461;527;0.0043;
279;0.1508;528;0.0043;
280;0.1545;529;0.0043;
281;0.1581;530;0.0043;
282;0.1633;531;0.0043;
283;0.1679;532;0.0043;
284;0.1718;533;0.0043;
285;0.1762;534;0.0043;
286;0.1799;535;0.0043;
287;0.1837;536;0.0043;
288;0.1880;537;0.0054;
289;0.1903;538;0.0054;
290;0.1937;539;0.0054;
291;0.1950;540;0.0054;
292;0.1950;541;0.0054;
293;0.1929;542;0.0057;
294;0.1884;543;0.0064;
295;0.1851;544;0.0077;
296;0.1806;545;0.0093;
297;0.1750;546;0.0102;
298;0.1694;547;0.0124;
299;0.1638;548;0.0140;
300;0.1570;549;0.0171;
301;0.1518;550;0.0199;
302;0.1465;551;0.0231;
303;0.1416;552;0.0275;
304;0.1363;553;0.0332;
305;0.1319;554;0.0395;
306;0.1260;555;0.0473;
307;0.1250;556;0.0551;
308;0.1201;557;0.0639;
309;0.1160;558;0.0739;
310;0.1128;559;0.0884;
311;0.1082;560;0.1061;
312;0.1049;561;0.1229;
313;0.1016;562;0.1407;
314;0.0982;563;0.1616;
315;0.0938;564;0.1869;
316;0.0893;565;0.2129;
317;0.0860;566;0.2395;
318;0.0815;567;0.2681;
319;0.0770;568;0.3013;
320;0.0738;569;0.3374;
321;0.0692;570;0.3752;
322;0.0662;571;0.4142;
323;0.0623;572;0.4537;
324;0.0604;573;0.4956;
325;0.0574;574;0.5388;
326;0.0555;575;0.5791;
327;0.0538;576;0.6212;
328;0.0529;577;0.6656;
329;0.0512;578;0.7059;
330;0.0500;579;0.7437;
331;0.0493;580;0.7793;
332;0.0490;581;0.8093;
333;0.0490;582;0.8394;
334;0.0490;583;0.8681;
335;0.0489;584;0.8901;
336;0.0501;585;0.9132;
337;0.0512;586;0.9319;
338;0.0523;587;0.9517;
339;0.0534;588;0.9702;
