Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
360;0.1145;560;0.0596;
361;0.1092;561;0.0622;
362;0.1065;562;0.0675;
363;0.1038;563;0.0728;
364;0.0985;564;0.0754;
365;0.0958;565;0.0860;
366;0.0932;566;0.0913;
367;0.0905;567;0.0992;
368;0.0878;568;0.1071;
369;0.0851;569;0.1229;
370;0.0824;570;0.1335;
371;0.0824;571;0.1441;
372;0.0824;572;0.1652;
373;0.0797;573;0.1810;
374;0.0771;574;0.1995;
375;0.0770;575;0.2286;
376;0.0744;576;0.2524;
377;0.0744;577;0.2735;
378;0.0717;578;0.2999;
379;0.0690;579;0.3369;
380;0.0690;580;0.3686;
381;0.0663;581;0.4003;
382;0.0636;582;0.4346;
383;0.0610;583;0.4822;
384;0.0610;584;0.5139;
385;0.0583;585;0.5509;
386;0.0556;586;0.6037;
387;0.0529;587;0.6434;
388;0.0529;588;0.6751;
389;0.0529;589;0.7121;
390;0.0502;590;0.7649;
391;0.0502;591;0.7992;
392;0.0502;592;0.8283;
393;0.0502;593;0.8732;
394;0.0475;594;0.8996;
395;0.0475;595;0.9234;
396;0.0475;596;0.9604;
397;0.0475;597;0.9710;
398;0.0448;598;0.9842;
399;0.0448;599;0.9921;
400;0.0448;600;1.0000;
401;0.0421;601;1.0000;
402;0.0421;602;1.0000;
403;0.0421;603;1.0000;
404;0.0394;604;0.9920;
405;0.0394;605;0.9814;
406;0.0367;606;0.9709;
407;0.0367;607;0.9550;
408;0.0367;608;0.9286;
409;0.0340;609;0.9048;
410;0.0340;610;0.8836;
411;0.0340;611;0.8545;
412;0.0340;612;0.8254;
413;0.0313;613;0.7964;
414;0.0313;614;0.7514;
415;0.0313;615;0.7250;
416;0.0313;616;0.6933;
417;0.0313;617;0.6536;
418;0.0313;618;0.6272;
419;0.0286;619;0.6008;
420;0.0286;620;0.5611;
421;0.0286;621;0.5347;
422;0.0286;622;0.5109;
423;0.0312;623;0.4738;
424;0.0312;624;0.4527;
425;0.0312;625;0.4289;
426;0.0312;626;0.3972;
427;0.0312;627;0.3787;
428;0.0285;628;0.3602;
429;0.0258;629;0.3337;
430;0.0258;630;0.3152;
431;0.0258;631;0.3020;
432;0.0258;632;0.2861;
433;0.0258;633;0.2650;
434;0.0258;634;0.2518;
435;0.0284;635;0.2412;
436;0.0284;636;0.2227;
437;0.0284;637;0.2121;
438;0.0310;638;0.2015;
439;0.0310;639;0.1856;
440;0.0310;640;0.1777;
441;0.0310;641;0.1698;
442;0.0310;642;0.1592;
443;0.0337;643;0.1512;
444;0.0310;644;0.1433;
445;0.0310;645;0.1327;
446;0.0310;646;0.1248;
447;0.0336;647;0.1195;
448;0.0336;648;0.1115;
449;0.0363;649;0.1036;
450;0.0363;650;0.0983;
451;0.0362;651;0.0930;
452;0.0389;652;0.0877;
453;0.0389;653;0.0824;
454;0.0415;654;0.0798;
455;0.0415;655;0.0718;
456;0.0442;656;0.0692;
457;0.0442;657;0.0665;
458;0.0442;658;0.0612;
459;0.0468;659;0.0586;
460;0.0495;660;0.0533;
461;0.0495;661;0.0506;
462;0.0521;662;0.0480;
463;0.0521;663;0.0453;
464;0.0548;664;0.0427;
465;0.0574;665;0.0400;
466;0.0601;666;0.0374;
467;0.0627;667;0.0347;
468;0.0627;668;0.0320;
469;0.0680;669;0.0294;
470;0.0707;670;0.0267;
471;0.0734;671;0.0241;
472;0.0760;672;0.0241;
473;0.0787;673;0.0214;
474;0.0813;674;0.0214;
475;0.0866;675;0.0188;
476;0.0893;676;0.0188;
477;0.0946;677;0.0161;
478;0.0973;678;0.0161;
479;0.0999;679;0.0161;
480;0.1053;680;0.0161;
481;0.1079;681;0.0160;
482;0.1132;682;0.0134;
483;0.1159;683;0.0134;
484;0.1186;684;0.0134;
485;0.1239;685;0.0134;
486;0.1292;686;0.0107;
487;0.1345;687;0.0107;
488;0.1372;688;0.0107;
489;0.1425;689;0.0107;
490;0.1452;690;0.0107;
491;0.1505;691;0.0107;
492;0.1531;692;0.0080;
493;0.1584;693;0.0080;
494;0.1611;694;0.0080;
495;0.1664;695;0.0080;
496;0.1717;696;0.0053;
497;0.1744;697;0.0053;
498;0.1797;698;0.0053;
499;0.1850;699;0.0053;
500;0.1904;700;0.0053;
501;0.1984;;;
502;0.2037;;;
503;0.2090;;;
504;0.2196;;;
505;0.2250;;;
506;0.2330;;;
507;0.2383;;;
508;0.2463;;;
509;0.2569;;;
510;0.2649;;;
511;0.2702;;;
512;0.2756;;;
513;0.2862;;;
514;0.2995;;;
515;0.3048;;;
516;0.3102;;;
517;0.3182;;;
518;0.3262;;;
519;0.3288;;;
520;0.3315;;;
521;0.3368;;;
522;0.3448;;;
523;0.3501;;;
524;0.3528;;;
525;0.3581;;;
526;0.3634;;;
527;0.3714;;;
528;0.3794;;;
529;0.3820;;;
530;0.3900;;;
531;0.4007;;;
532;0.4060;;;
533;0.4140;;;
534;0.4220;;;
535;0.4326;;;
536;0.4406;;;
537;0.4486;;;
538;0.4539;;;
539;0.4619;;;
540;0.4726;;;
541;0.4779;;;
542;0.4832;;;
543;0.4885;;;
544;0.4992;;;
545;0.5045;;;
546;0.5098;;;
547;0.5152;;;
548;0.5205;;;
549;0.5285;;;
550;0.5338;;;
551;0.5391;;;
552;0.5444;;;
553;0.5551;;;
554;0.5604;;;
555;0.5657;;;
556;0.5710;;;
557;0.5790;;;
558;0.5897;;;
559;0.5977;;;
560;0.6057;;;
561;0.6136;;;
562;0.6323;;;
563;0.6430;;;
564;0.6563;;;
565;0.6696;;;
566;0.6829;;;
567;0.7069;;;
568;0.7229;;;
569;0.7389;;;
570;0.7549;;;
571;0.7735;;;
572;0.8002;;;
573;0.8188;;;
574;0.8348;;;
575;0.8561;;;
576;0.8828;;;
577;0.8988;;;
578;0.9148;;;
579;0.9414;;;
580;0.9441;;;
581;0.9654;;;
582;0.9760;;;
583;0.9840;;;
584;0.9920;;;
585;0.9973;;;
586;1.0000;;;
587;1.0000;;;
588;0.9973;;;
589;0.9946;;;
590;0.9893;;;
591;0.9760;;;
592;0.9626;;;
593;0.9519;;;
594;0.9306;;;
595;0.8986;;;
596;0.8719;;;
597;0.8452;;;
598;0.8186;;;
599;0.7706;;;
600;0.7359;;;
601;0.6986;;;
602;0.6666;;;
603;0.6105;;;
604;0.5759;;;
605;0.5385;;;
606;0.5039;;;
607;0.4558;;;
608;0.4265;;;
609;0.3998;;;
