Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
450;0.0123;560;0.0383;
451;0.0117;561;0.0401;
452;0.0114;562;0.0432;
453;0.0119;563;0.0477;
454;0.0121;564;0.0532;
455;0.0124;565;0.0591;
456;0.0126;566;0.0639;
457;0.0130;567;0.0708;
458;0.0134;568;0.0763;
459;0.0144;569;0.0843;
460;0.0149;570;0.0916;
461;0.0153;571;0.1001;
462;0.0160;572;0.1096;
463;0.0169;573;0.1197;
464;0.0178;574;0.1311;
465;0.0185;575;0.1419;
466;0.0190;576;0.1540;
467;0.0205;577;0.1672;
468;0.0214;578;0.1806;
469;0.0228;579;0.1948;
470;0.0233;580;0.2121;
471;0.0243;581;0.2320;
472;0.0264;582;0.2531;
473;0.0275;583;0.2757;
474;0.0290;584;0.2985;
475;0.0299;585;0.3213;
476;0.0316;586;0.3459;
477;0.0338;587;0.3747;
478;0.0356;588;0.4024;
479;0.0373;589;0.4334;
480;0.0389;590;0.4639;
481;0.0416;591;0.4959;
482;0.0435;592;0.5281;
483;0.0447;593;0.5620;
484;0.0466;594;0.5979;
485;0.0493;595;0.6324;
486;0.0524;596;0.6695;
487;0.0557;597;0.7042;
488;0.0600;598;0.7392;
489;0.0624;599;0.7706;
490;0.0656;600;0.8015;
491;0.0677;601;0.8281;
492;0.0721;602;0.8578;
493;0.0768;603;0.8816;
494;0.0805;604;0.9057;
495;0.0848;605;0.9273;
496;0.0870;606;0.9527;
497;0.0916;607;0.9708;
498;0.0972;608;0.9808;
499;0.1006;609;0.9884;
500;0.1035;610;0.9910;
501;0.1075;611;0.9946;
502;0.1118;612;0.9994;
503;0.1165;613;0.9993;
504;0.1183;614;1.0000;
505;0.1238;615;0.9945;
506;0.1278;616;0.9834;
507;0.1311;617;0.9707;
508;0.1357;618;0.9587;
509;0.1378;619;0.9479;
510;0.1435;620;0.9344;
511;0.1490;621;0.9148;
512;0.1536;622;0.8954;
513;0.1575;623;0.8837;
514;0.1632;624;0.8586;
515;0.1688;625;0.8388;
516;0.1774;626;0.8196;
517;0.1830;627;0.8054;
518;0.1911;628;0.7804;
519;0.1986;629;0.7592;
520;0.2073;630;0.7408;
521;0.2161;631;0.7246;
522;0.2257;632;0.7005;
523;0.2361;633;0.6776;
524;0.2470;634;0.6590;
525;0.2548;635;0.6403;
526;0.2682;636;0.6181;
527;0.2784;637;0.6063;
528;0.2919;638;0.5890;
529;0.3019;639;0.5740;
530;0.3128;640;0.5607;
531;0.3236;641;0.5444;
532;0.3355;642;0.5312;
533;0.3444;643;0.5182;
534;0.3549;644;0.5077;
535;0.3670;645;0.4922;
536;0.3743;646;0.4809;
537;0.3833;647;0.4661;
538;0.3940;648;0.4531;
539;0.3994;649;0.4439;
540;0.4048;650;0.4336;
541;0.4129;651;0.4223;
542;0.4180;652;0.4218;
543;0.4224;653;0.4159;
544;0.4234;654;0.4092;
545;0.4285;655;0.4088;
546;0.4338;656;0.4031;
547;0.4341;657;0.3999;
548;0.4378;658;0.3954;
549;0.4389;659;0.3880;
550;0.4420;660;0.3838;
551;0.4472;661;0.3797;
552;0.4498;662;0.3786;
553;0.4560;663;0.3732;
554;0.4588;664;0.3737;
555;0.4631;665;0.3627;
556;0.4716;666;0.3574;
557;0.4792;667;0.3524;
558;0.4877;668;0.3522;
559;0.5012;669;0.3458;
560;0.5142;670;0.3445;
561;0.5290;671;0.3402;
562;0.5533;672;0.3299;
563;0.5666;673;0.3263;
564;0.5875;674;0.3212;
565;0.6084;675;0.3156;
566;0.6289;676;0.3125;
567;0.6534;677;0.3017;
568;0.6789;678;0.2930;
569;0.7032;679;0.2892;
570;0.7333;680;0.2798;
571;0.7598;681;0.2761;
572;0.7839;682;0.2711;
573;0.8094;683;0.2680;
574;0.8360;684;0.2546;
575;0.8582;685;0.2538;
576;0.8841;686;0.2467;
577;0.9034;687;0.2390;
578;0.9209;688;0.2337;
579;0.9423;689;0.2283;
580;0.9580;690;0.2194;
581;0.9681;691;0.2069;
582;0.9856;692;0.2020;
583;0.9966;693;0.1959;
584;0.9994;694;0.1907;
585;0.9975;695;0.1883;
586;1.0000;696;0.1770;
587;0.9855;697;0.1742;
588;0.9805;698;0.1673;
589;0.9623;699;0.1601;
590;0.9439;700;0.1572;
591;0.9181;701;0.1493;
592;0.8936;702;0.1418;
593;0.8616;703;0.1364;
594;0.8269;704;0.1316;
595;0.7881;705;0.1265;
596;0.7492;706;0.1237;
597;0.7112;707;0.1191;
598;0.6672;708;0.1199;
599;0.6179;709;0.1124;
600;0.5735;710;0.1095;
601;0.5364;711;0.1084;
602;0.4971;712;0.1056;
603;0.4664;713;0.1007;
604;0.4260;714;0.0999;
605;0.3883;715;0.0983;
606;0.3534;716;0.0962;
607;0.3187;717;0.0924;
608;0.2874;718;0.0905;
609;0.2661;719;0.0896;
610;0.2388;720;0.0872;
611;0.2158;721;0.0848;
612;0.1902;722;0.0849;
613;0.1700;723;0.0818;
