Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.0952;520;0.0198;
301;0.1028;521;0.0212;
302;0.1102;522;0.0226;
303;0.1156;523;0.0245;
304;0.1210;524;0.0273;
305;0.1264;525;0.0298;
306;0.1284;526;0.0319;
307;0.1308;527;0.0352;
308;0.1301;528;0.0384;
309;0.1282;529;0.0423;
310;0.1217;530;0.0460;
311;0.1161;531;0.0512;
312;0.1083;532;0.0560;
313;0.0997;533;0.0624;
314;0.0896;534;0.0688;
315;0.0812;535;0.0762;
316;0.0726;536;0.0846;
317;0.0655;537;0.0947;
318;0.0583;538;0.1044;
319;0.0543;539;0.1167;
320;0.0497;540;0.1295;
321;0.0466;541;0.1454;
322;0.0423;542;0.1626;
323;0.0404;543;0.1815;
324;0.0368;544;0.2031;
325;0.0346;545;0.2254;
326;0.0325;546;0.2503;
327;0.0309;547;0.2783;
328;0.0301;548;0.3094;
329;0.0299;549;0.3420;
330;0.0312;550;0.3748;
331;0.0318;551;0.4102;
332;0.0344;552;0.4463;
333;0.0368;553;0.4900;
334;0.0409;554;0.5304;
335;0.0437;555;0.5740;
336;0.0474;556;0.6145;
337;0.0508;557;0.6601;
338;0.0544;558;0.7056;
339;0.0573;559;0.7423;
340;0.0599;560;0.7786;
341;0.0626;561;0.8197;
342;0.0650;562;0.8548;
343;0.0679;563;0.8854;
344;0.0701;564;0.9159;
345;0.0726;565;0.9471;
346;0.0754;566;0.9641;
347;0.0793;567;0.9781;
348;0.0824;568;0.9887;
349;0.0864;569;0.9970;
350;0.0904;570;1.0000;
351;0.0943;571;0.9950;
352;0.0986;572;0.9933;
353;0.1019;573;0.9825;
354;0.1046;574;0.9679;
355;0.1064;575;0.9527;
356;0.1075;576;0.9324;
357;0.1064;577;0.9071;
358;0.1049;578;0.8898;
359;0.1016;579;0.8606;
360;0.0983;580;0.8357;
361;0.0936;581;0.8048;
362;0.0890;582;0.7782;
363;0.0834;583;0.7486;
364;0.0778;584;0.7228;
365;0.0726;585;0.6889;
366;0.0671;586;0.6636;
367;0.0622;587;0.6323;
368;0.0575;588;0.6056;
369;0.0539;589;0.5804;
370;0.0503;590;0.5540;
371;0.0475;591;0.5269;
372;0.0448;592;0.5062;
373;0.0430;593;0.4809;
374;0.0412;594;0.4600;
375;0.0398;595;0.4360;
376;0.0382;596;0.4173;
377;0.0374;597;0.3976;
378;0.0368;598;0.3804;
379;0.0361;599;0.3638;
380;0.0358;600;0.3475;
381;0.0358;601;0.3329;
382;0.0355;602;0.3204;
383;0.0361;603;0.3062;
384;0.0362;604;0.2955;
385;0.0364;605;0.2838;
386;0.0371;606;0.2735;
387;0.0376;607;0.2633;
388;0.0382;608;0.2545;
389;0.0384;609;0.2463;
390;0.0389;610;0.2389;
391;0.0395;611;0.2310;
392;0.0399;612;0.2242;
393;0.0403;613;0.2171;
394;0.0404;614;0.2100;
395;0.0405;615;0.2041;
396;0.0402;616;0.2000;
397;0.0403;617;0.1937;
398;0.0400;618;0.1891;
399;0.0398;619;0.1827;
400;0.0395;620;0.1766;
401;0.0393;621;0.1729;
402;0.0390;622;0.1674;
403;0.0386;623;0.1627;
404;0.0382;624;0.1575;
405;0.0379;625;0.1535;
406;0.0376;626;0.1478;
407;0.0371;627;0.1434;
408;0.0366;628;0.1379;
409;0.0365;629;0.1333;
410;0.0366;630;0.1297;
411;0.0363;631;0.1253;
412;0.0359;632;0.1202;
413;0.0355;633;0.1158;
414;0.0354;634;0.1112;
415;0.0351;635;0.1063;
416;0.0347;636;0.1037;
417;0.0342;637;0.0996;
418;0.0335;638;0.0957;
419;0.0331;639;0.0906;
420;0.0324;640;0.0882;
421;0.0315;641;0.0836;
422;0.0305;642;0.0798;
423;0.0297;643;0.0764;
424;0.0285;644;0.0730;
425;0.0273;645;0.0699;
426;0.0260;646;0.0672;
427;0.0251;647;0.0638;
428;0.0240;648;0.0616;
429;0.0228;649;0.0584;
430;0.0217;650;0.0555;
431;0.0206;651;0.0534;
432;0.0194;652;0.0520;
433;0.0183;653;0.0492;
434;0.0177;654;0.0472;
435;0.0167;655;0.0448;
436;0.0159;656;0.0432;
437;0.0153;657;0.0414;
438;0.0148;658;0.0397;
439;0.0140;659;0.0377;
440;0.0137;660;0.0363;
441;0.0137;661;0.0348;
442;0.0137;662;0.0333;
443;0.0134;663;0.0330;
444;0.0134;664;0.0305;
445;0.0134;665;0.0298;
446;0.0136;666;0.0287;
447;0.0140;667;0.0275;
448;0.0141;668;0.0266;
449;0.0147;669;0.0255;
450;0.0150;670;0.0248;
451;0.0157;671;0.0241;
452;0.0162;672;0.0234;
453;0.0169;673;0.0223;
454;0.0179;674;0.0220;
455;0.0187;675;0.0210;
456;0.0198;676;0.0206;
457;0.0208;677;0.0198;
458;0.0224;678;0.0195;
459;0.0237;679;0.0187;
460;0.0252;680;0.0183;
461;0.0266;681;0.0178;
462;0.0283;682;0.0174;
463;0.0303;683;0.0172;
464;0.0321;684;0.0164;
465;0.0340;685;0.0161;
466;0.0362;686;0.0156;
467;0.0383;687;0.0151;
468;0.0404;688;0.0151;
469;0.0428;689;0.0144;
470;0.0452;690;0.0142;
471;0.0477;691;0.0140;
472;0.0505;692;0.0137;
473;0.0530;693;0.0134;
474;0.0556;694;0.0130;
475;0.0585;695;0.0125;
476;0.0612;696;0.0125;
477;0.0643;697;0.0121;
478;0.0671;698;0.0118;
