Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
350;0.0632;495;0.0454;
351;0.0604;496;0.0482;
352;0.0577;497;0.0496;
353;0.0566;498;0.0509;
354;0.0513;499;0.0562;
355;0.0510;500;0.0642;
356;0.0471;501;0.0724;
357;0.0453;502;0.0835;
358;0.0453;503;0.0952;
359;0.0425;504;0.1129;
360;0.0419;505;0.1340;
361;0.0404;506;0.1570;
362;0.0405;507;0.1826;
363;0.0397;508;0.2058;
364;0.0384;509;0.2352;
365;0.0369;510;0.2674;
366;0.0378;511;0.3042;
367;0.0378;512;0.3434;
368;0.0362;513;0.3810;
369;0.0373;514;0.4195;
370;0.0363;515;0.4682;
371;0.0351;516;0.5137;
372;0.0348;517;0.5615;
373;0.0356;518;0.6074;
374;0.0358;519;0.6598;
375;0.0349;520;0.7078;
376;0.0354;521;0.7590;
377;0.0342;522;0.7952;
378;0.0353;523;0.8278;
379;0.0349;524;0.8546;
380;0.0349;525;0.8965;
381;0.0330;526;0.9243;
382;0.0339;527;0.9553;
383;0.0340;528;0.9726;
384;0.0344;529;0.9871;
385;0.0327;530;1.0000;
386;0.0326;531;0.9972;
387;0.0313;532;0.9949;
388;0.0313;533;0.9878;
389;0.0320;534;0.9837;
390;0.0316;535;0.9773;
391;0.0318;536;0.9686;
392;0.0316;537;0.9549;
393;0.0317;538;0.9429;
394;0.0308;539;0.9284;
395;0.0317;540;0.9057;
396;0.0303;541;0.8840;
397;0.0318;542;0.8622;
398;0.0312;543;0.8375;
399;0.0310;544;0.8125;
400;0.0294;545;0.7860;
401;0.0292;546;0.7519;
402;0.0306;547;0.7249;
403;0.0304;548;0.7022;
404;0.0285;549;0.6782;
405;0.0280;550;0.6616;
406;0.0280;551;0.6404;
407;0.0283;552;0.6164;
408;0.0286;553;0.5968;
409;0.0278;554;0.5698;
410;0.0289;555;0.5569;
411;0.0281;556;0.5417;
412;0.0277;557;0.5223;
413;0.0272;558;0.5052;
414;0.0280;559;0.4920;
415;0.0284;560;0.4792;
416;0.0285;561;0.4671;
417;0.0285;562;0.4555;
418;0.0280;563;0.4449;
419;0.0286;564;0.4380;
420;0.0285;565;0.4320;
421;0.0289;566;0.4232;
422;0.0294;567;0.4197;
423;0.0303;568;0.4070;
424;0.0304;569;0.3931;
425;0.0302;570;0.3915;
426;0.0325;571;0.3839;
427;0.0325;572;0.3808;
428;0.0331;573;0.3709;
429;0.0359;574;0.3626;
430;0.0360;575;0.3495;
431;0.0359;576;0.3478;
432;0.0388;577;0.3425;
433;0.0404;578;0.3287;
434;0.0410;579;0.3200;
435;0.0434;580;0.3168;
436;0.0452;581;0.3065;
437;0.0462;582;0.2957;
438;0.0493;583;0.2890;
439;0.0513;584;0.2787;
440;0.0536;585;0.2667;
441;0.0563;586;0.2563;
442;0.0581;587;0.2431;
443;0.0635;588;0.2374;
444;0.0646;589;0.2245;
445;0.0676;590;0.2187;
446;0.0700;591;0.2045;
447;0.0726;592;0.1993;
448;0.0769;593;0.1906;
449;0.0783;594;0.1808;
450;0.0812;595;0.1737;
451;0.0854;596;0.1684;
452;0.0883;597;0.1633;
453;0.0942;598;0.1607;
454;0.0987;599;0.1556;
455;0.1060;600;0.1484;
456;0.1117;601;0.1457;
457;0.1176;602;0.1408;
458;0.1277;603;0.1351;
459;0.1372;604;0.1315;
460;0.1485;605;0.1280;
461;0.1610;606;0.1268;
462;0.1729;607;0.1225;
463;0.1891;608;0.1163;
464;0.2020;609;0.1101;
465;0.2140;610;0.1079;
466;0.2292;611;0.1039;
467;0.2426;612;0.1014;
468;0.2534;613;0.0990;
469;0.2678;614;0.0965;
470;0.2804;615;0.0960;
471;0.2918;616;0.0901;
472;0.3070;617;0.0864;
473;0.3139;618;0.0828;
474;0.3249;619;0.0804;
475;0.3340;620;0.0790;
476;0.3439;621;0.0780;
477;0.3608;622;0.0778;
478;0.3713;623;0.0741;
479;0.3786;624;0.0699;
480;0.3880;625;0.0676;
481;0.3937;626;0.0689;
482;0.4099;627;0.0663;
483;0.4184;628;0.0650;
484;0.4299;629;0.0618;
485;0.4433;630;0.0615;
486;0.4587;631;0.0605;
487;0.4749;632;0.0571;
488;0.4903;633;0.0574;
489;0.5079;634;0.0563;
490;0.5230;635;0.0516;
491;0.5456;636;0.0529;
492;0.5613;637;0.0491;
493;0.5869;638;0.0485;
494;0.6159;639;0.0461;
495;0.6449;640;0.0445;
496;0.6741;641;0.0451;
497;0.7077;642;0.0429;
498;0.7330;643;0.0439;
499;0.7682;644;0.0399;
500;0.7990;645;0.0379;
501;0.8335;646;0.0388;
502;0.8644;647;0.0372;
503;0.8896;648;0.0351;
504;0.9140;649;0.0342;
505;0.9294;650;0.0332;
506;0.9522;;;
507;0.9788;;;
508;0.9860;;;
509;0.9936;;;
510;0.9955;;;
511;1.0000;;;
512;0.9939;;;
513;0.9738;;;
514;0.9512;;;
515;0.9221;;;
516;0.8950;;;
517;0.8566;;;
518;0.8165;;;
519;0.7741;;;
520;0.7244;;;
521;0.6786;;;
522;0.6284;;;
523;0.5767;;;
524;0.5305;;;
525;0.4793;;;
526;0.4330;;;
527;0.3868;;;
528;0.3482;;;
529;0.3075;;;
530;0.2714;;;
531;0.2394;;;
532;0.2081;;;
533;0.1794;;;
534;0.1538;;;
535;0.1308;;;
536;0.1134;;;
537;0.0990;;;
538;0.0869;;;
539;0.0752;;;
540;0.0648;;;
541;0.0570;;;
542;0.0522;;;
543;0.0482;;;
544;0.0457;;;
