Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
285;0.0456;555;0.0145;
286;0.0471;556;0.0154;
287;0.0514;557;0.0162;
288;0.0364;558;0.0169;
289;0.0490;559;0.0174;
290;0.0457;560;0.0183;
291;0.0344;561;0.0193;
292;0.0453;562;0.0208;
293;0.0435;563;0.0232;
294;0.0372;564;0.0268;
295;0.0392;565;0.0318;
296;0.0418;566;0.0386;
297;0.0434;567;0.0484;
298;0.0425;568;0.0613;
299;0.0374;569;0.0787;
300;0.0432;570;0.1030;
301;0.0347;571;0.1354;
302;0.0450;572;0.1798;
303;0.0386;573;0.2384;
304;0.0421;574;0.3148;
305;0.0448;575;0.4134;
306;0.0446;576;0.5317;
307;0.0478;577;0.6569;
308;0.0481;578;0.7787;
309;0.0491;579;0.8785;
310;0.0566;580;0.9508;
311;0.0493;581;0.9896;
312;0.0509;582;1.0000;
313;0.0571;583;0.9809;
314;0.0617;584;0.9321;
315;0.0662;585;0.8680;
316;0.0660;586;0.7851;
317;0.0620;587;0.6956;
318;0.0625;588;0.6047;
319;0.0599;589;0.5230;
320;0.0650;590;0.4501;
321;0.0715;591;0.3901;
322;0.0720;592;0.3400;
323;0.0717;593;0.2990;
324;0.0680;594;0.2632;
325;0.0772;595;0.2341;
326;0.0692;596;0.2098;
327;0.0722;597;0.1904;
328;0.0704;598;0.1759;
329;0.0695;599;0.1656;
330;0.0719;600;0.1600;
331;0.0787;601;0.1591;
332;0.0706;602;0.1630;
333;0.0767;603;0.1705;
334;0.0742;604;0.1804;
335;0.0797;605;0.1908;
336;0.0807;606;0.2015;
337;0.0694;607;0.2106;
338;0.0758;608;0.2180;
339;0.0736;609;0.2234;
340;0.0693;610;0.2273;
341;0.0676;611;0.2306;
342;0.0636;612;0.2340;
343;0.0657;613;0.2380;
344;0.0613;614;0.2438;
345;0.0619;615;0.2512;
346;0.0613;616;0.2614;
347;0.0635;617;0.2733;
348;0.0588;618;0.2875;
349;0.0560;619;0.3030;
350;0.0622;620;0.3213;
351;0.0551;621;0.3415;
352;0.0572;622;0.3652;
353;0.0544;623;0.3907;
354;0.0560;624;0.4174;
355;0.0555;625;0.4455;
356;0.0558;626;0.4747;
357;0.0500;627;0.5005;
358;0.0576;628;0.5258;
359;0.0515;629;0.5488;
360;0.0485;630;0.5723;
361;0.0529;631;0.5934;
362;0.0502;632;0.6155;
363;0.0530;633;0.6389;
364;0.0508;634;0.6641;
365;0.0562;635;0.6873;
366;0.0536;636;0.7057;
367;0.0553;637;0.7171;
368;0.0540;638;0.7184;
369;0.0548;639;0.7086;
370;0.0591;640;0.6861;
371;0.0598;641;0.6538;
372;0.0544;642;0.6082;
373;0.0594;643;0.5591;
374;0.0600;644;0.5033;
375;0.0607;645;0.4488;
376;0.0636;646;0.3950;
377;0.0604;647;0.3445;
378;0.0646;648;0.2966;
379;0.0705;649;0.2549;
380;0.0689;650;0.2182;
381;0.0726;651;0.1891;
382;0.0836;652;0.1642;
383;0.0906;653;0.1445;
384;0.0995;654;0.1276;
385;0.1041;655;0.1140;
386;0.1198;656;0.1018;
387;0.1316;657;0.0919;
388;0.1336;658;0.0830;
389;0.1356;659;0.0753;
390;0.1367;660;0.0687;
391;0.1354;661;0.0637;
392;0.1322;662;0.0594;
393;0.1301;663;0.0562;
394;0.1335;664;0.0534;
395;0.1410;665;0.0514;
396;0.1595;666;0.0496;
397;0.1798;667;0.0484;
398;0.2040;668;0.0473;
399;0.2274;669;0.0464;
400;0.2556;670;0.0456;
401;0.2867;671;0.0447;
402;0.3270;672;0.0438;
403;0.3783;673;0.0427;
404;0.4403;674;0.0416;
405;0.5232;675;0.0406;
406;0.6282;676;0.0397;
407;0.7468;677;0.0387;
408;0.8661;678;0.0380;
409;0.9663;679;0.0371;
410;1.0000;680;0.0366;
411;0.9654;681;0.0363;
412;0.8676;682;0.0357;
413;0.7308;683;0.0355;
414;0.5978;684;0.0350;
415;0.5093;685;0.0346;
416;0.3929;686;0.0344;
417;0.2992;687;0.0341;
418;0.2189;688;0.0338;
419;0.1596;689;0.0333;
420;0.1156;690;0.0328;
421;0.0864;691;0.0322;
422;0.0666;692;0.0314;
423;0.0501;693;0.0305;
424;0.0420;694;0.0296;
425;0.0399;695;0.0288;
426;0.0367;696;0.0276;
427;0.0308;697;0.0266;
428;0.0288;698;0.0256;
429;0.0270;699;0.0244;
430;0.0254;700;0.0235;
431;0.0243;;;
432;0.0266;;;
433;0.0207;;;
434;0.0175;;;
435;0.0225;;;
436;0.0191;;;
437;0.0173;;;
438;0.0188;;;
439;0.0149;;;
440;0.0176;;;
441;0.0157;;;
442;0.0149;;;
443;0.0156;;;
444;0.0156;;;
445;0.0187;;;
446;0.0143;;;
447;0.0118;;;
448;0.0163;;;
449;0.0155;;;
450;0.0149;;;
451;0.0157;;;
452;0.0131;;;
453;0.0168;;;
454;0.0120;;;
455;0.0156;;;
456;0.0124;;;
457;0.0141;;;
458;0.0148;;;
459;0.0145;;;
460;0.0156;;;
461;0.0174;;;
462;0.0149;;;
463;0.0134;;;
464;0.0138;;;
465;0.0152;;;
466;0.0141;;;
467;0.0143;;;
468;0.0112;;;
469;0.0145;;;
470;0.0149;;;
471;0.0145;;;
472;0.0151;;;
473;0.0129;;;
474;0.0120;;;
475;0.0142;;;
476;0.0140;;;
477;0.0154;;;
478;0.0133;;;
479;0.0144;;;
480;0.0136;;;
481;0.0154;;;
482;0.0149;;;
483;0.0138;;;
484;0.0133;;;
485;0.0142;;;
486;0.0142;;;
487;0.0157;;;
488;0.0147;;;
489;0.0140;;;
490;0.0154;;;
491;0.0133;;;
492;0.0154;;;
493;0.0152;;;
494;0.0152;;;
495;0.0155;;;
496;0.0151;;;
497;0.0160;;;
498;0.0159;;;
499;0.0136;;;
500;0.0136;;;
501;0.0156;;;
502;0.0137;;;
503;0.0152;;;
504;0.0167;;;
505;0.0174;;;
506;0.0161;;;
507;0.0147;;;
508;0.0159;;;
509;0.0154;;;
510;0.0157;;;
511;0.0150;;;
512;0.0161;;;
513;0.0164;;;
514;0.0126;;;
515;0.0156;;;
516;0.0143;;;
517;0.0133;;;
518;0.0131;;;
519;0.0138;;;
520;0.0154;;;
521;0.0154;;;
522;0.0148;;;
523;0.0178;;;
