Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
302;0.0532;301;0.0314;
303;0.0527;302;0.0177;
304;0.0500;303;0.0061;
305;0.0486;304;0.0094;
306;0.0486;305;0.0143;
307;0.0486;306;0.0120;
308;0.0486;307;0.0152;
309;0.0486;308;0.0426;
310;0.0486;309;0.0143;
311;0.0486;310;0.0143;
312;0.0486;311;0.0120;
313;0.0486;312;0.0119;
314;0.0500;313;0.0119;
315;0.0530;314;0.0162;
316;0.0584;315;0.0261;
317;0.0672;316;0.0286;
318;0.0714;317;0.0234;
319;0.0742;318;0.0142;
320;0.0707;319;0.0258;
321;0.0687;320;0.0226;
322;0.0761;321;0.0159;
323;0.0863;322;0.0383;
324;0.1006;323;0.0244;
325;0.1049;324;0.0290;
326;0.1033;325;0.0428;
327;0.1019;326;0.0309;
328;0.1020;327;0.0334;
329;0.1003;328;0.0331;
330;0.1137;329;0.0298;
331;0.1459;330;0.0286;
332;0.1562;331;0.0286;
333;0.1635;332;0.0333;
334;0.1676;333;0.0503;
335;0.1719;334;0.0434;
336;0.1763;335;0.0455;
337;0.1763;336;0.0384;
338;0.1786;337;0.0515;
339;0.1922;338;0.0429;
340;0.2112;339;0.0357;
341;0.2320;340;0.0381;
342;0.2477;341;0.0471;
343;0.2620;342;0.0500;
344;0.2755;343;0.0445;
345;0.3005;344;0.0330;
346;0.3181;345;0.0400;
347;0.3376;346;0.0572;
348;0.3612;347;0.0500;
349;0.3859;348;0.0451;
350;0.4106;349;0.0523;
351;0.4465;350;0.0566;
352;0.4868;351;0.0608;
353;0.5063;352;0.0640;
354;0.5251;353;0.0618;
355;0.5489;354;0.0665;
356;0.5681;355;0.0727;
357;0.5841;356;0.0586;
358;0.5910;357;0.0575;
359;0.6086;358;0.0667;
360;0.6221;359;0.0667;
361;0.6325;360;0.0655;
362;0.6476;361;0.0614;
363;0.6753;362;0.0643;
364;0.7058;363;0.0692;
365;0.7327;364;0.0603;
366;0.7592;365;0.0676;
367;0.7899;366;0.0689;
368;0.8194;367;0.0620;
369;0.8492;368;0.0507;
370;0.8842;369;0.0476;
371;0.9150;370;0.0573;
372;0.9486;371;0.0571;
373;0.9774;372;0.0571;
374;0.9910;373;0.0569;
375;0.9892;374;0.0648;
