Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
200;0.1905;400;0.0022;
201;0.2014;401;0.0026;
202;0.2079;402;0.0025;
203;0.2151;403;0.0029;
204;0.2163;404;0.0050;
205;0.2218;405;0.0056;
206;0.2217;406;0.0060;
207;0.2251;407;0.0065;
208;0.2283;408;0.0064;
209;0.2256;409;0.0052;
210;0.2197;410;0.0068;
211;0.2224;411;0.0080;
212;0.2108;412;0.0085;
213;0.2088;413;0.0096;
214;0.2110;414;0.0108;
215;0.2088;415;0.0114;
216;0.2062;416;0.0119;
217;0.2135;417;0.0128;
218;0.2205;418;0.0142;
219;0.2326;419;0.0146;
220;0.2406;420;0.0152;
221;0.2478;421;0.0148;
222;0.2501;422;0.0146;
223;0.2424;423;0.0148;
224;0.2319;424;0.0162;
225;0.2379;425;0.0153;
226;0.2327;426;0.0159;
227;0.2325;427;0.0162;
228;0.2345;428;0.0161;
229;0.2387;429;0.0163;
230;0.2360;430;0.0158;
231;0.2449;431;0.0167;
232;0.2490;432;0.0178;
233;0.2531;433;0.0183;
234;0.2614;434;0.0187;
235;0.2642;435;0.0207;
236;0.2791;436;0.0210;
237;0.2873;437;0.0200;
238;0.3029;438;0.0204;
239;0.3182;439;0.0204;
240;0.3305;440;0.0203;
241;0.3284;441;0.0205;
242;0.3542;442;0.0218;
243;0.3745;443;0.0213;
244;0.3846;444;0.0213;
245;0.4014;445;0.0200;
246;0.4135;446;0.0206;
247;0.4495;447;0.0207;
248;0.4724;448;0.0210;
249;0.4966;449;0.0211;
250;0.5090;450;0.0231;
251;0.5178;451;0.0231;
252;0.5370;452;0.0248;
253;0.5554;453;0.0277;
254;0.5722;454;0.0304;
255;0.5867;455;0.0330;
256;0.5983;456;0.0375;
257;0.6133;457;0.0393;
258;0.6283;458;0.0423;
259;0.6468;459;0.0436;
260;0.6583;460;0.0451;
261;0.6733;461;0.0466;
262;0.6883;462;0.0513;
263;0.7033;463;0.0544;
264;0.7188;464;0.0606;
265;0.7345;465;0.0672;
266;0.7483;466;0.0749;
267;0.7633;467;0.0805;
268;0.7783;468;0.0870;
269;0.7933;469;0.0930;
270;0.8083;470;0.0990;
271;0.8224;471;0.1058;
272;0.8383;472;0.1146;
273;0.8433;473;0.1250;
274;0.8588;474;0.1357;
275;0.8656;475;0.1480;
276;0.8798;476;0.1599;
277;0.8802;477;0.1724;
278;0.8966;478;0.1839;
279;0.9002;479;0.1963;
280;0.9149;480;0.2072;
281;0.9269;481;0.2180;
282;0.9404;482;0.2293;
283;0.9523;483;0.2448;
284;0.9721;484;0.2601;
285;0.9814;485;0.2777;
286;0.9903;486;0.2948;
287;0.9969;487;0.3140;
288;0.9979;488;0.3316;
289;1.0000;489;0.3496;
290;0.9893;490;0.3658;
291;0.9744;491;0.3855;
292;0.9606;492;0.4018;
293;0.9504;493;0.4190;
294;0.9413;494;0.4340;
295;0.9293;495;0.4551;
296;0.9138;496;0.4736;
297;0.8977;497;0.4945;
298;0.8942;498;0.5150;
299;0.8804;499;0.5348;
300;0.8802;500;0.5510;
301;0.8729;501;0.5744;
302;0.8704;502;0.5933;
303;0.8509;503;0.6112;
304;0.8334;504;0.6361;
305;0.8127;505;0.6618;
306;0.7861;506;0.6743;
307;0.7644;507;0.6958;
308;0.7521;508;0.7145;
309;0.7438;509;0.7276;
310;0.7307;510;0.7438;
311;0.7230;511;0.7647;
312;0.7160;512;0.7760;
313;0.7133;513;0.7949;
314;0.7032;514;0.8174;
315;0.6980;515;0.8332;
316;0.6942;516;0.8531;
317;0.6923;517;0.8744;
318;0.6840;518;0.8855;
319;0.6762;519;0.8996;
320;0.6743;520;0.9153;
321;0.6720;521;0.9226;
322;0.6709;522;0.9370;
323;0.6696;523;0.9493;
324;0.6654;524;0.9539;
325;0.6622;525;0.9621;
326;0.6613;526;0.9764;
327;0.6584;527;0.9808;
328;0.6585;528;0.9859;
329;0.6567;529;0.9941;
330;0.6583;530;1.0000;
331;0.6608;531;0.9984;
332;0.6602;532;0.9930;
333;0.6592;533;0.9893;
334;0.6578;534;0.9854;
335;0.6539;535;0.9830;
336;0.6493;536;0.9717;
337;0.6456;537;0.9647;
338;0.6390;538;0.9534;
339;0.6294;539;0.9465;
340;0.6221;540;0.9388;
341;0.6118;541;0.9214;
342;0.6045;542;0.9183;
343;0.5977;543;0.9038;
344;0.5866;544;0.9006;
345;0.5814;545;0.8919;
346;0.5690;546;0.8861;
347;0.5581;547;0.8755;
348;0.5458;548;0.8638;
349;0.5372;549;0.8464;
350;0.5230;550;0.8341;
351;0.5123;551;0.8196;
352;0.4962;552;0.7964;
353;0.4828;553;0.7831;
354;0.4682;554;0.7713;
355;0.4548;555;0.7526;
356;0.4431;556;0.7397;
357;0.4325;557;0.7316;
358;0.4222;558;0.7237;
359;0.4075;559;0.7119;
360;0.3926;560;0.7031;
361;0.3765;561;0.6883;
362;0.3609;562;0.6695;
363;0.3430;563;0.6536;
364;0.3309;564;0.6444;
365;0.3143;565;0.6340;
366;0.2966;566;0.6246;
367;0.2779;567;0.6190;
368;0.2606;568;0.6068;
369;0.2425;569;0.5930;
370;0.2299;570;0.5759;
371;0.2162;571;0.5652;
372;0.2016;572;0.5547;
373;0.1845;573;0.5475;
374;0.1662;574;0.5336;
375;0.1492;575;0.5268;
376;0.1321;576;0.5190;
377;0.1159;577;0.5098;
378;0.1044;578;0.4996;
379;0.0943;579;0.4934;
380;0.0808;580;0.4820;
381;0.0701;581;0.4717;
382;0.0609;582;0.4611;
383;0.0514;583;0.4494;
384;0.0431;584;0.4382;
385;0.0383;585;0.4267;
386;0.0325;586;0.4152;
387;0.0278;587;0.4059;
388;0.0228;588;0.3954;
389;0.0193;589;0.3824;
390;0.0158;590;0.3760;
391;0.0128;591;0.3650;
392;0.0104;592;0.3548;
393;0.0093;593;0.3460;
394;0.0065;594;0.3404;
395;0.0039;595;0.3321;
396;0.0017;596;0.3247;
;;597;0.3173;
;;598;0.3119;
;;599;0.3037;
;;600;0.2953;
;;601;0.2852;
;;602;0.2790;
;;603;0.2706;
;;604;0.2637;
;;605;0.2548;
;;606;0.2481;
;;607;0.2409;
;;608;0.2337;
;;609;0.2265;
;;610;0.2215;
;;611;0.2160;
;;612;0.2070;
;;613;0.1972;
;;614;0.1910;
;;615;0.1848;
;;616;0.1816;
;;617;0.1785;
;;618;0.1743;
;;619;0.1679;
;;620;0.1616;
;;621;0.1536;
;;622;0.1471;
;;623;0.1434;
;;624;0.1388;
;;625;0.1356;
;;626;0.1302;
;;627;0.1243;
;;628;0.1174;
;;629;0.1128;
;;630;0.1073;
;;631;0.1047;
;;632;0.1016;
;;633;0.0986;
;;634;0.0953;
;;635;0.0912;
;;636;0.0860;
;;637;0.0844;
;;638;0.0821;
;;639;0.0797;
;;640;0.0784;
;;641;0.0760;
;;642;0.0719;
;;643;0.0687;
;;644;0.0644;
;;645;0.0606;
;;646;0.0589;
;;647;0.0560;
;;648;0.0545;
;;649;0.0520;
