Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.0098;610;0.0133;
251;0.0103;611;0.0131;
252;0.0107;612;0.0132;
253;0.0112;613;0.0128;
254;0.0111;614;0.0135;
255;0.0118;615;0.0140;
256;0.0116;616;0.0140;
257;0.0111;617;0.0148;
258;0.0111;618;0.0155;
259;0.0104;619;0.0153;
260;0.0100;620;0.0160;
261;0.0099;621;0.0169;
262;0.0098;622;0.0181;
263;0.0098;623;0.0187;
264;0.0101;624;0.0200;
265;0.0103;625;0.0211;
266;0.0104;626;0.0224;
267;0.0108;627;0.0243;
268;0.0113;628;0.0258;
269;0.0114;629;0.0283;
270;0.0119;630;0.0313;
271;0.0123;631;0.0344;
272;0.0126;632;0.0382;
273;0.0131;633;0.0415;
274;0.0137;634;0.0475;
275;0.0143;635;0.0525;
276;0.0151;636;0.0582;
277;0.0161;637;0.0667;
278;0.0170;638;0.0756;
279;0.0176;639;0.0841;
280;0.0179;640;0.0958;
281;0.0183;641;0.1068;
282;0.0183;642;0.1211;
283;0.0188;643;0.1359;
284;0.0189;644;0.1545;
285;0.0199;645;0.1734;
286;0.0207;646;0.1941;
287;0.0220;647;0.2168;
288;0.0231;648;0.2444;
289;0.0248;649;0.2707;
290;0.0251;650;0.3011;
291;0.0247;651;0.3325;
292;0.0234;652;0.3696;
293;0.0210;653;0.4030;
294;0.0190;654;0.4420;
295;0.0167;655;0.4796;
296;0.0145;656;0.5194;
297;0.0129;657;0.5598;
298;0.0121;658;0.6010;
299;0.0114;659;0.6425;
300;0.0111;660;0.6784;
301;0.0109;661;0.7224;
302;0.0110;662;0.7671;
303;0.0110;663;0.7974;
304;0.0114;664;0.8353;
305;0.0119;665;0.8684;
306;0.0123;666;0.8971;
307;0.0129;667;0.9234;
308;0.0137;668;0.9452;
309;0.0141;669;0.9687;
310;0.0148;670;0.9834;
311;0.0155;671;0.9920;
312;0.0158;672;1.0000;
313;0.0168;673;0.9985;
314;0.0175;674;0.9908;
315;0.0182;675;0.9774;
316;0.0194;676;0.9730;
317;0.0203;677;0.9543;
318;0.0213;678;0.9373;
319;0.0221;679;0.9101;
320;0.0232;680;0.8961;
321;0.0239;681;0.8588;
322;0.0243;682;0.8304;
323;0.0245;683;0.7938;
324;0.0239;684;0.7687;
325;0.0241;685;0.7385;
326;0.0236;686;0.7037;
327;0.0238;687;0.6668;
328;0.0231;688;0.6385;
329;0.0237;689;0.6024;
330;0.0241;690;0.5727;
331;0.0250;691;0.5374;
332;0.0253;692;0.5095;
333;0.0259;693;0.4822;
334;0.0264;694;0.4552;
335;0.0259;695;0.4296;
336;0.0253;696;0.4032;
337;0.0239;697;0.3783;
338;0.0218;698;0.3633;
339;0.0190;699;0.3375;
340;0.0166;700;0.3214;
341;0.0141;701;0.3007;
342;0.0118;702;0.2870;
343;0.0097;703;0.2717;
344;0.0082;704;0.2584;
345;0.0070;705;0.2444;
346;0.0061;706;0.2323;
347;0.0053;707;0.2205;
348;0.0046;708;0.2106;
349;0.0045;709;0.2018;
350;0.0041;710;0.1936;
351;0.0041;711;0.1882;
352;0.0044;712;0.1800;
353;0.0043;713;0.1728;
354;0.0041;714;0.1669;
355;0.0043;715;0.1633;
356;0.0046;716;0.1565;
357;0.0048;717;0.1523;
358;0.0047;718;0.1490;
359;0.0051;719;0.1463;
360;0.0054;720;0.1437;
361;0.0057;721;0.1393;
362;0.0060;722;0.1384;
363;0.0062;723;0.1323;
364;0.0065;724;0.1307;
365;0.0066;725;0.1284;
366;0.0069;726;0.1268;
367;0.0070;727;0.1237;
368;0.0070;728;0.1221;
369;0.0072;729;0.1189;
370;0.0073;730;0.1162;
371;0.0071;731;0.1155;
372;0.0072;732;0.1129;
373;0.0070;733;0.1101;
374;0.0068;734;0.1078;
375;0.0068;735;0.1062;
376;0.0066;736;0.1051;
377;0.0065;737;0.1007;
378;0.0068;738;0.1013;
379;0.0067;739;0.0982;
380;0.0069;740;0.0955;
381;0.0069;741;0.0927;
382;0.0072;742;0.0895;
383;0.0071;743;0.0872;
384;0.0073;744;0.0843;
385;0.0070;745;0.0831;
386;0.0068;746;0.0811;
387;0.0069;747;0.0769;
388;0.0065;748;0.0767;
389;0.0064;749;0.0743;
390;0.0057;750;0.0710;
391;0.0054;751;0.0682;
392;0.0050;752;0.0666;
393;0.0044;753;0.0645;
394;0.0037;754;0.0614;
395;0.0032;755;0.0591;
396;0.0027;756;0.0572;
397;0.0022;757;0.0552;
398;0.0016;758;0.0560;
399;0.0013;759;0.0506;
400;0.0009;760;0.0501;
401;0.0006;761;0.0474;
402;0.0001;762;0.0467;
403;0.0000;763;0.0451;
404;-0.0003;764;0.0418;
405;-0.0004;765;0.0417;
406;-0.0006;766;0.0394;
407;-0.0008;767;0.0382;
408;-0.0008;768;0.0372;
409;-0.0009;769;0.0350;
410;-0.0011;770;0.0341;
411;-0.0011;771;0.0335;
412;-0.0010;772;0.0319;
413;-0.0011;773;0.0308;
414;-0.0012;774;0.0305;
415;-0.0014;775;0.0293;
416;-0.0012;776;0.0288;
417;-0.0013;777;0.0279;
418;-0.0015;778;0.0268;
419;-0.0015;779;0.0259;
420;-0.0015;780;0.0252;
421;-0.0016;781;0.0242;
422;-0.0016;782;0.0242;
423;-0.0017;783;0.0230;
424;-0.0018;784;0.0229;
425;-0.0017;785;0.0218;
426;-0.0018;786;0.0220;
427;-0.0017;787;0.0211;
428;-0.0018;788;0.0208;
429;-0.0018;789;0.0203;
430;-0.0019;790;0.0204;
431;-0.0018;791;0.0194;
432;-0.0019;792;0.0200;
433;-0.0018;793;0.0200;
434;-0.0018;794;0.0204;
435;-0.0018;795;0.0207;
436;-0.0018;796;0.0212;
437;-0.0019;797;0.0204;
438;-0.0019;798;0.0204;
439;-0.0020;799;0.0206;
440;-0.0019;800;0.0204;
441;-0.0020;;;
442;-0.0018;;;
443;-0.0018;;;
444;-0.0017;;;
445;-0.0017;;;
446;-0.0017;;;
447;-0.0016;;;
448;-0.0017;;;
449;-0.0017;;;
450;-0.0016;;;
451;-0.0016;;;
452;-0.0015;;;
453;-0.0014;;;
454;-0.0014;;;
455;-0.0013;;;
456;-0.0013;;;
457;-0.0013;;;
458;-0.0013;;;
459;-0.0011;;;
460;-0.0011;;;
461;-0.0012;;;
462;-0.0012;;;
463;-0.0011;;;
464;-0.0010;;;
465;-0.0010;;;
466;-0.0010;;;
467;-0.0009;;;
468;-0.0008;;;
469;-0.0009;;;
470;-0.0008;;;
471;-0.0007;;;
472;-0.0005;;;
473;-0.0005;;;
474;-0.0004;;;
475;-0.0004;;;
476;-0.0004;;;
477;-0.0003;;;
478;-0.0003;;;
479;-0.0002;;;
480;0.0000;;;
481;0.0000;;;
482;0.0001;;;
483;0.0003;;;
484;0.0003;;;
485;0.0004;;;
486;0.0005;;;
487;0.0006;;;
488;0.0006;;;
489;0.0008;;;
490;0.0007;;;
491;0.0009;;;
492;0.0010;;;
493;0.0011;;;
494;0.0013;;;
495;0.0014;;;
496;0.0016;;;
497;0.0017;;;
498;0.0019;;;
499;0.0021;;;
500;0.0023;;;
501;0.0026;;;
502;0.0026;;;
503;0.0030;;;
504;0.0031;;;
505;0.0033;;;
506;0.0035;;;
507;0.0039;;;
508;0.0040;;;
509;0.0044;;;
510;0.0047;;;
511;0.0052;;;
512;0.0055;;;
513;0.0057;;;
514;0.0061;;;
515;0.0066;;;
516;0.0069;;;
517;0.0073;;;
518;0.0077;;;
519;0.0081;;;
520;0.0086;;;
521;0.0090;;;
522;0.0095;;;
523;0.0099;;;
524;0.0105;;;
525;0.0110;;;
526;0.0116;;;
527;0.0121;;;
528;0.0130;;;
529;0.0135;;;
530;0.0142;;;
531;0.0148;;;
532;0.0156;;;
533;0.0165;;;
534;0.0173;;;
535;0.0184;;;
536;0.0193;;;
537;0.0204;;;
538;0.0215;;;
539;0.0229;;;
540;0.0241;;;
541;0.0255;;;
542;0.0269;;;
543;0.0284;;;
544;0.0299;;;
545;0.0316;;;
546;0.0333;;;
547;0.0349;;;
548;0.0367;;;
549;0.0387;;;
550;0.0406;;;
551;0.0424;;;
552;0.0445;;;
553;0.0463;;;
554;0.0484;;;
555;0.0503;;;
556;0.0522;;;
557;0.0541;;;
558;0.0561;;;
559;0.0579;;;
560;0.0598;;;
561;0.0618;;;
562;0.0635;;;
563;0.0655;;;
564;0.0674;;;
565;0.0696;;;
566;0.0716;;;
567;0.0738;;;
568;0.0759;;;
569;0.0785;;;
570;0.0808;;;
571;0.0836;;;
572;0.0864;;;
573;0.0895;;;
574;0.0929;;;
575;0.0966;;;
576;0.1008;;;
577;0.1051;;;
578;0.1100;;;
579;0.1149;;;
580;0.1204;;;
581;0.1263;;;
