Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.8276;600;0.0053;
251;0.8541;601;0.0052;
252;0.8793;602;0.0052;
253;0.9021;603;0.0052;
254;0.9232;604;0.0052;
255;0.9415;605;0.0052;
256;0.9594;606;0.0051;
257;0.9727;607;0.0051;
258;0.9843;608;0.0052;
259;0.9932;609;0.0051;
260;0.9993;610;0.0052;
261;1.0015;611;0.0052;
262;1.0000;612;0.0052;
263;0.9960;613;0.0052;
264;0.9880;614;0.0051;
265;0.9776;615;0.0051;
266;0.9659;616;0.0050;
267;0.9501;617;0.0050;
268;0.9369;618;0.0050;
269;0.9206;619;0.0050;
270;0.9018;620;0.0050;
271;0.8809;621;0.0050;
272;0.8592;622;0.0049;
273;0.8343;623;0.0050;
274;0.8088;624;0.0050;
275;0.7817;625;0.0050;
276;0.7541;626;0.0050;
277;0.7248;627;0.0049;
278;0.6956;628;0.0049;
279;0.6652;629;0.0050;
280;0.6348;630;0.0050;
281;0.6044;631;0.0050;
282;0.5727;632;0.0050;
283;0.5404;633;0.0050;
284;0.5088;634;0.0050;
285;0.4765;635;0.0051;
286;0.4439;636;0.0048;
287;0.4123;637;0.0050;
288;0.3802;638;0.0050;
289;0.3498;639;0.0050;
290;0.3205;640;0.0051;
291;0.2921;641;0.0052;
292;0.2654;642;0.0052;
293;0.2393;643;0.0051;
294;0.2158;644;0.0050;
295;0.1936;645;0.0054;
296;0.1741;646;0.0053;
297;0.1560;647;0.0053;
298;0.1408;648;0.0053;
299;0.1276;649;0.0055;
300;0.1166;650;0.0054;
301;0.1074;651;0.0055;
302;0.1003;652;0.0056;
303;0.0943;653;0.0055;
304;0.0902;654;0.0058;
305;0.0867;655;0.0058;
306;0.0843;656;0.0058;
307;0.0825;657;0.0058;
308;0.0818;658;0.0058;
309;0.0800;659;0.0059;
310;0.0797;660;0.0060;
311;0.0790;661;0.0061;
312;0.0782;662;0.0062;
313;0.0771;663;0.0063;
314;0.0759;664;0.0062;
315;0.0740;665;0.0063;
316;0.0725;666;0.0064;
317;0.0702;667;0.0066;
318;0.0673;668;0.0067;
319;0.0644;669;0.0069;
320;0.0610;670;0.0071;
321;0.0575;671;0.0074;
322;0.0540;672;0.0077;
323;0.0510;673;0.0075;
324;0.0472;674;0.0078;
325;0.0438;675;0.0081;
326;0.0409;676;0.0083;
327;0.0376;677;0.0087;
328;0.0347;678;0.0091;
329;0.0312;679;0.0094;
330;0.0286;680;0.0098;
331;0.0259;681;0.0104;
332;0.0243;682;0.0108;
333;0.0220;683;0.0112;
334;0.0211;684;0.0116;
335;0.0197;685;0.0122;
336;0.0185;686;0.0129;
337;0.0178;687;0.0138;
338;0.0174;688;0.0144;
339;0.0167;689;0.0154;
340;0.0169;690;0.0163;
341;0.0170;691;0.0173;
342;0.0174;692;0.0181;
343;0.0180;693;0.0192;
344;0.0187;694;0.0205;
345;0.0189;695;0.0221;
346;0.0199;696;0.0236;
347;0.0203;697;0.0252;
348;0.0208;698;0.0266;
349;0.0214;699;0.0284;
350;0.0219;700;0.0308;
351;0.0223;701;0.0327;
352;0.0235;702;0.0352;
353;0.0242;703;0.0379;
354;0.0250;704;0.0402;
355;0.0259;705;0.0435;
356;0.0270;706;0.0468;
357;0.0273;707;0.0502;
358;0.0285;708;0.0539;
359;0.0291;709;0.0571;
360;0.0297;710;0.0615;
