Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
600;0.0205;601;0.0000;
601;0.0205;602;0.0000;
602;0.0207;603;0.0000;
603;0.0208;604;0.0000;
604;0.0220;605;0.0000;
605;0.0230;606;0.0000;
606;0.0238;607;0.0000;
607;0.0250;608;0.0000;
608;0.0255;609;0.0000;
609;0.0262;610;0.0000;
610;0.0270;611;0.0000;
611;0.0280;614;0.0000;
612;0.0288;615;0.0000;
613;0.0296;617;0.0000;
614;0.0309;618;0.0000;
615;0.0320;619;0.0000;
616;0.0331;621;0.0000;
617;0.0340;622;0.0000;
618;0.0352;623;0.0000;
619;0.0365;624;0.0000;
620;0.0376;625;0.0000;
621;0.0387;626;0.0000;
622;0.0394;627;0.0000;
623;0.0411;628;0.0000;
624;0.0417;629;0.0000;
625;0.0430;630;0.0000;
626;0.0446;631;0.0000;
627;0.0456;632;0.0000;
628;0.0465;634;0.0000;
629;0.0482;635;0.0000;
630;0.0492;636;0.0000;
631;0.0511;637;0.0000;
632;0.0520;638;0.0000;
633;0.0533;641;0.0000;
634;0.0544;642;0.0000;
635;0.0557;643;0.0000;
636;0.0569;644;0.0000;
637;0.0589;647;0.0000;
638;0.0603;649;0.0000;
639;0.0615;651;0.0000;
640;0.0633;657;0.0000;
641;0.0648;661;0.0000;
642;0.0653;662;0.0000;
643;0.0662;665;0.0000;
644;0.0693;666;0.0000;
645;0.0710;669;0.0000;
646;0.0722;670;0.0000;
647;0.0739;671;0.0000;
648;0.0763;672;0.0000;
649;0.0788;673;0.0000;
650;0.0807;674;0.0000;
651;0.0817;676;0.0000;
652;0.0844;678;0.0000;
653;0.0848;679;0.0000;
654;0.0869;680;0.0000;
655;0.0906;681;0.0000;
656;0.0914;682;0.0000;
657;0.0932;683;0.0000;
658;0.0961;684;0.0000;
659;0.0975;685;0.0000;
660;0.0997;686;0.0000;
661;0.1038;687;0.0000;
662;0.1064;688;0.0000;
663;0.1111;689;0.0000;
664;0.1126;690;0.0000;
665;0.1168;691;0.0001;
666;0.1166;692;0.0001;
667;0.1210;693;0.0000;
668;0.1255;694;0.0000;
669;0.1309;695;0.0001;
