Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
400;0.0091;490;0.0105;
401;0.0086;491;0.0111;
402;0.0084;492;0.0133;
403;0.0081;493;0.0163;
404;0.0083;494;0.0199;
405;0.0082;495;0.0236;
406;0.0082;496;0.0288;
407;0.0085;497;0.0348;
408;0.0086;498;0.0417;
409;0.0086;499;0.0506;
410;0.0088;500;0.0603;
411;0.0093;501;0.0719;
412;0.0096;502;0.0856;
413;0.0099;503;0.1015;
414;0.0102;504;0.1190;
415;0.0110;505;0.1386;
416;0.0112;506;0.1622;
417;0.0120;507;0.1878;
418;0.0126;508;0.2155;
419;0.0134;509;0.2468;
420;0.0148;510;0.2800;
421;0.0158;511;0.3161;
422;0.0168;512;0.3522;
423;0.0182;513;0.3916;
424;0.0192;514;0.4337;
425;0.0208;515;0.4783;
426;0.0222;516;0.5232;
427;0.0235;517;0.5699;
428;0.0255;518;0.6167;
429;0.0271;519;0.6654;
430;0.0290;520;0.7113;
431;0.0312;521;0.7521;
432;0.0332;522;0.7891;
433;0.0357;523;0.8255;
434;0.0383;524;0.8585;
435;0.0409;525;0.8898;
436;0.0437;526;0.9214;
437;0.0463;527;0.9473;
438;0.0498;528;0.9613;
439;0.0540;529;0.9737;
440;0.0571;530;0.9852;
441;0.0614;531;0.9911;
442;0.0658;532;0.9933;
443;0.0704;533;0.9938;
444;0.0755;534;1.0000;
445;0.0806;535;0.9944;
446;0.0855;536;0.9862;
447;0.0914;537;0.9775;
448;0.0971;538;0.9699;
449;0.1026;539;0.9546;
450;0.1088;540;0.9344;
451;0.1165;541;0.9184;
452;0.1234;542;0.9064;
453;0.1313;543;0.8930;
454;0.1410;544;0.8768;
455;0.1484;545;0.8549;
456;0.1574;546;0.8312;
457;0.1671;547;0.8136;
458;0.1782;548;0.7970;
459;0.1895;549;0.7817;
460;0.2010;550;0.7688;
461;0.2147;551;0.7549;
462;0.2280;552;0.7398;
463;0.2429;553;0.7252;
464;0.2572;554;0.7108;
465;0.2727;555;0.7000;
466;0.2902;556;0.6896;
467;0.3067;557;0.6789;
468;0.3223;558;0.6703;
469;0.3412;559;0.6610;
470;0.3606;560;0.6504;
471;0.3790;561;0.6427;
472;0.3985;562;0.6326;
473;0.4159;563;0.6231;
474;0.4341;564;0.6165;
475;0.4521;565;0.6105;
476;0.4700;566;0.6031;
477;0.4911;567;0.5918;
478;0.5120;568;0.5816;
479;0.5286;569;0.5739;
480;0.5483;570;0.5646;
481;0.5636;571;0.5551;
482;0.5777;572;0.5456;
483;0.5969;573;0.5351;
484;0.6124;574;0.5263;
485;0.6287;575;0.5156;
486;0.6474;576;0.5024;
487;0.6647;577;0.4910;
488;0.6874;578;0.4826;
489;0.7081;579;0.4718;
490;0.7254;580;0.4602;
491;0.7473;581;0.4508;
492;0.7666;582;0.4413;
493;0.7897;583;0.4288;
494;0.8101;584;0.4183;
495;0.8342;585;0.4063;
496;0.8538;586;0.3948;
497;0.8797;587;0.3864;
498;0.8990;588;0.3749;
499;0.9211;589;0.3635;
500;0.9404;590;0.3555;
501;0.9575;591;0.3457;
