Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.1540;380;0.0184;
301;0.1551;381;0.0249;
302;0.1562;382;0.0314;
303;0.1568;383;0.0376;
304;0.1573;384;0.0498;
305;0.1578;385;0.0664;
306;0.1582;386;0.0890;
307;0.1584;387;0.1217;
308;0.1590;388;0.1721;
309;0.1594;389;0.2319;
310;0.1597;390;0.2948;
311;0.1608;391;0.3766;
312;0.1613;392;0.4640;
313;0.1617;393;0.5554;
314;0.1622;394;0.6467;
315;0.1625;395;0.7388;
316;0.1630;396;0.8098;
317;0.1637;397;0.8688;
318;0.1642;398;0.9043;
319;0.1651;399;0.9297;
320;0.1660;400;0.9311;
321;0.1667;401;0.9266;
322;0.1676;402;0.8982;
323;0.1694;403;0.8669;
324;0.1707;404;0.8314;
325;0.1719;405;0.7930;
326;0.1734;406;0.7526;
327;0.1744;407;0.7139;
328;0.1753;408;0.6910;
329;0.1762;409;0.6734;
330;0.1767;410;0.6678;
331;0.1773;411;0.6693;
332;0.1767;412;0.6872;
333;0.1758;413;0.7112;
334;0.1744;414;0.7457;
335;0.1721;415;0.7863;
336;0.1702;416;0.8267;
337;0.1678;417;0.8736;
338;0.1635;418;0.9171;
339;0.1604;419;0.9534;
340;0.1566;420;0.9765;
341;0.1508;421;0.9948;
342;0.1467;422;1.0000;
343;0.1428;423;0.9812;
344;0.1376;424;0.9690;
345;0.1338;425;0.9411;
346;0.1302;426;0.9058;
347;0.1249;427;0.8638;
348;0.1210;428;0.8108;
349;0.1172;429;0.7616;
350;0.1125;430;0.7157;
351;0.1085;431;0.6699;
352;0.1040;432;0.6288;
353;0.0975;433;0.5851;
354;0.0925;434;0.5496;
355;0.0871;435;0.5227;
356;0.0798;436;0.5018;
357;0.0744;437;0.4874;
358;0.0692;438;0.4753;
359;0.0622;439;0.4661;
360;0.0570;440;0.4634;
361;0.0522;441;0.4689;
362;0.0467;442;0.4739;
363;0.0429;443;0.4741;
364;0.0394;444;0.4835;
365;0.0355;445;0.4861;
366;0.0331;446;0.4849;
367;0.0308;447;0.4798;
368;0.0289;448;0.4741;
369;0.0277;449;0.4623;
370;0.0268;450;0.4514;
371;0.0264;451;0.4367;
372;0.0261;452;0.4212;
373;0.0263;453;0.4028;
374;0.0272;454;0.3843;
375;0.0277;455;0.3675;
376;0.0284;456;0.3482;
377;0.0298;457;0.3236;
378;0.0312;458;0.3023;
379;0.0326;459;0.2896;
380;0.0345;460;0.2705;
381;0.0362;461;0.2570;
382;0.0377;462;0.2434;
383;0.0404;463;0.2276;
384;0.0424;464;0.2142;
385;0.0451;465;0.2125;
386;0.0482;466;0.2044;
387;0.0505;467;0.1930;
388;0.0532;468;0.1851;
389;0.0566;469;0.1794;
390;0.0594;470;0.1821;
391;0.0622;471;0.1750;
392;0.0663;472;0.1743;
393;0.0690;473;0.1707;
394;0.0726;474;0.1689;
395;0.0776;475;0.1676;
396;0.0812;476;0.1642;
397;0.0853;477;0.1617;
398;0.0905;478;0.1570;
399;0.0946;479;0.1517;
400;0.0990;480;0.1460;
401;0.1052;481;0.1376;
402;0.1097;482;0.1337;
403;0.1144;483;0.1277;
404;0.1207;484;0.1212;
405;0.1255;485;0.1161;
406;0.1309;486;0.1109;
407;0.1380;487;0.1045;
408;0.1432;488;0.1002;
409;0.1486;489;0.0958;
410;0.1556;490;0.0895;
411;0.1612;491;0.0849;
412;0.1670;492;0.0810;
413;0.1743;493;0.0764;
414;0.1795;494;0.0727;
415;0.1852;495;0.0692;
416;0.1923;496;0.0657;
417;0.1975;497;0.0640;
418;0.2032;498;0.0613;
419;0.2102;499;0.0600;
420;0.2155;500;0.0584;
421;0.2211;501;0.0566;
422;0.2280;502;0.0552;
423;0.2332;503;0.0533;
424;0.2386;504;0.0510;
425;0.2455;505;0.0491;
426;0.2502;506;0.0482;
427;0.2553;507;0.0473;
428;0.2619;508;0.0437;
429;0.2666;509;0.0429;
430;0.2713;510;0.0425;
431;0.2771;511;0.0407;
432;0.2815;512;0.0402;
433;0.2855;513;0.0401;
434;0.2904;514;0.0363;
435;0.2938;515;0.0361;
436;0.2972;516;0.0334;
437;0.3011;517;0.0325;
438;0.3036;518;0.0316;
439;0.3057;519;0.0310;
440;0.3081;520;0.0296;
441;0.3095;521;0.0290;
442;0.3104;522;0.0266;
443;0.3109;523;0.0268;
444;0.3109;524;0.0256;
445;0.3104;525;0.0252;
446;0.3091;526;0.0232;
447;0.3074;527;0.0235;
448;0.3055;528;0.0228;
449;0.3024;529;0.0213;
450;0.2993;530;0.0196;
451;0.2959;531;0.0196;
452;0.2912;532;0.0198;
453;0.2869;533;0.0181;
454;0.2822;534;0.0186;
455;0.2756;535;0.0173;
456;0.2697;536;0.0172;
457;0.2640;537;0.0165;
458;0.2562;538;0.0151;
459;0.2493;539;0.0161;
460;0.2424;540;0.0154;
461;0.2334;541;0.0153;
462;0.2259;542;0.0155;
463;0.2187;543;0.0141;
464;0.2088;544;0.0145;
465;0.2006;545;0.0137;
466;0.1926;546;0.0131;
467;0.1823;547;0.0133;
468;0.1740;548;0.0132;
469;0.1663;549;0.0125;
470;0.1564;550;0.0129;
471;0.1484;551;0.0122;
472;0.1409;552;0.0118;
473;0.1315;553;0.0110;
474;0.1240;554;0.0124;
475;0.1172;555;0.0120;
476;0.1086;556;0.0118;
477;0.1019;557;0.0117;
478;0.0960;558;0.0110;
479;0.0883;559;0.0111;
480;0.0829;560;0.0107;
481;0.0778;561;0.0105;
482;0.0715;562;0.0098;
483;0.0666;563;0.0102;
484;0.0626;564;0.0096;
485;0.0576;565;0.0103;
486;0.0542;566;0.0092;
487;0.0510;567;0.0096;
488;0.0472;568;0.0094;
489;0.0446;569;0.0096;
490;0.0423;570;0.0091;
491;0.0395;571;0.0087;
492;0.0374;572;0.0089;
493;0.0357;573;0.0085;
494;0.0335;574;0.0088;
495;0.0320;575;0.0089;
496;0.0307;576;0.0083;
497;0.0294;577;0.0077;
498;0.0286;578;0.0085;
499;0.0278;579;0.0091;
500;0.0269;580;0.0078;
501;0.0264;581;0.0078;
502;0.0260;582;0.0086;
503;0.0258;583;0.0081;
504;0.0256;584;0.0080;
505;0.0255;585;0.0083;
506;0.0256;586;0.0085;
507;0.0258;587;0.0078;
508;0.0260;588;0.0081;
509;0.0268;589;0.0072;
510;0.0272;590;0.0076;
511;0.0277;591;0.0077;
512;0.0286;592;0.0078;
513;0.0292;593;0.0077;
514;0.0301;594;0.0077;
