wl,abs,wl,em
250,1.631393,475,0.16701
251,1.521164,476,0.19931
252,1.455026,477,0.24341
253,1.410935,478,0.3037
254,1.322751,479,0.38095
255,1.27866,480,0.47374
256,1.300706,481,0.58442
257,1.27866,482,0.71345
258,1.256614,483,0.86401
259,1.300706,484,1.0349
260,1.27866,485,1.2268
261,1.300706,486,1.443
262,1.344797,487,1.6994
263,1.388889,488,2.0086
264,1.410935,489,2.3861
265,1.477072,490,2.8411
266,1.521164,491,3.4067
267,1.565256,492,4.129
268,1.609347,493,5.0737
269,1.653439,494,6.305
270,1.675485,495,7.8993
271,1.785714,496,9.9397
272,1.873898,497,12.52
273,1.895944,498,15.707
274,1.984127,499,19.589
275,2.050265,500,24.268
276,2.116402,501,29.907
277,2.18254,502,36.611
278,2.248677,503,44.403
279,2.336861,504,53.131
280,2.402998,505,62.472
281,2.469136,506,71.92599
282,2.535273,507,80.85
283,2.623457,508,88.604
284,2.71164,509,94.576
285,2.799824,510,98.41
286,2.888007,511,100
287,2.976191,512,99.59
288,3.042328,513,97.52299
289,3.108466,514,94.149
290,3.152557,515,89.773
291,3.240741,516,84.683
292,3.35097,517,79.237
293,3.417108,518,73.741
294,3.461199,519,68.50201
295,3.483245,520,63.715
296,3.571429,521,59.513
297,3.659612,522,55.911
298,3.747796,523,52.848
299,3.791887,524,50.22
300,3.835979,525,47.919
301,3.924162,526,45.848
302,3.946208,527,43.934
303,4.056437,528,42.149
304,4.122575,529,40.48
305,4.144621,530,38.957
306,4.166667,531,37.564
307,4.166667,532,36.325
308,4.188713,533,35.227
309,4.210758,534,34.283
310,4.232804,535,33.481
311,4.276896,536,32.791
312,4.298942,537,32.193
313,4.320988,538,31.622
314,4.387125,539,31.048
315,4.453263,540,30.407
316,4.541446,541,29.705
317,4.607584,542,28.92
318,4.651675,543,28.078
319,4.761905,544,27.162
320,4.850088,545,26.208
321,4.872134,546,25.206
322,4.960318,547,24.21
323,5.026455,548,23.217
324,5.070547,549,22.269
325,5.202822,550,21.342
326,5.335097,551,20.447
327,5.42328,552,19.563
328,5.621693,553,18.697
329,5.709877,554,17.843
330,5.776014,555,17.014
331,5.908289,556,16.208
332,5.996473,557,15.416
333,6.040565,558,14.641
334,6.17284,559,13.892
335,6.32716,560,13.197
336,6.32716,561,12.549
337,6.393298,562,11.956
338,6.43739,563,11.4
339,6.459436,564,10.881
340,6.547619,565,10.385
341,6.679894,566,9.9062
342,6.790123,567,9.4379
343,6.900353,568,8.9826
344,6.96649,569,8.5467
345,7.032628,570,8.1384
346,7.120811,571,7.756701
347,7.142858,572,7.4059
348,7.208994,573,7.0785
349,7.275132,574,6.7798
350,7.319224,575,6.492
351,7.363316,576,6.2198
352,7.385362,577,5.9502
353,7.473545,578,5.6966
354,7.495591,579,5.454
355,7.451499,580,5.2297
356,7.495591,581,5.0136
357,7.517637,582,4.8008
358,7.539683,583,4.5877
359,7.583775,584,4.3848
360,7.539683,585,4.201
361,7.561728,586,4.0401
362,7.583775,587,3.8884
363,7.517637,588,3.7408
364,7.451499,589,3.5915
365,7.473545,590,3.4483
366,7.407407,591,3.3081
367,7.275132,592,3.1691
368,7.208994,593,3.0292
369,7.142858,594,2.8916
370,7.054674,595,2.7644
371,6.922398,596,2.6476
372,6.900353,597,2.547
373,6.812169,598,2.4549
374,6.70194,599,2.372
375,6.591711,600,2.2891
376,6.415344,601,2.2118
377,6.216931,602,2.1355
378,6.084656,603,2.0583
379,5.908289,604,1.9739
380,5.753968,605,1.8876
381,5.643739,606,1.8008
382,5.445326,607,1.7141
383,5.335097,608,1.6259
384,5.224868,609,1.5461
385,5.092593,610,1.4814
386,4.982364,611,1.4257
387,4.850088,612,1.3699
388,4.62963,613,1.3045
389,4.475309,614,1.2394
390,4.387125,615,1.1761
391,4.166667,616,1.122
392,3.946208,617,1.0687
393,3.769841,618,1.0185
394,3.527337,619,0.96807
395,3.328924,620,0.9266999
396,3.152557,621,0.89209
397,2.932099,622,0.86243
