wl,abs,wl,em
320,13.6653509,450,0.6511051
321,13.7788192,451,0.7308323
322,13.9215655,452,0.8149887
323,14.0120691,453,0.912433
324,14.1940499,454,1.0952993
325,14.3582819,455,1.3173963
326,14.5395887,456,1.5686002
327,14.7168514,457,1.8767519
328,14.8512026,458,2.2602016
329,14.9338803,459,2.6917406
330,15.0223994,460,3.223255
331,15.0866543,461,3.8446206
332,15.1769707,462,4.6178475
333,15.2369569,463,5.5872285
334,15.3834402,464,6.6882225
335,15.5121747,465,8.025867
336,15.6413586,466,9.5330899
337,15.8615329,467,11.360487
338,16.0774384,468,13.3834054
339,16.381863,469,15.7189048
340,16.7071817,470,18.3334493
341,16.8471496,471,21.3339745
342,16.9651001,472,24.3946115
343,16.9828489,473,27.8975443
344,16.8914092,474,31.4055391
345,16.7345912,475,35.2058669
346,16.4971175,476,39.0612444
347,16.3012074,477,43.0235575
348,16.2066223,478,47.0902752
349,16.1376493,479,51.1797721
350,16.2012303,480,55.2850879
351,16.2547012,481,59.3682572
352,16.4162372,482,63.476104
353,16.4715054,483,67.6459608
354,16.5317163,484,71.551326
355,16.5539584,485,75.353552
356,16.5881079,486,79.0298597
357,16.6065306,487,82.4258569
358,16.7305471,488,85.623169
359,16.7649213,489,88.4237435
360,16.9302766,490,90.9440075
361,17.1070901,491,93.2193952
362,17.3472597,492,95.049956
363,17.6723538,493,96.6343751
364,18.059456,494,97.9093768
365,18.4326289,495,98.8275046
366,18.9251003,496,99.5747885
367,19.4285804,497,99.8930644
368,19.8096167,498,100
369,20.202111,499,99.9373572
370,20.5485484,500,99.666538
371,20.8316296,501,99.2748625
372,21.0989841,502,98.7047501
373,21.3483651,503,97.9308905
374,21.5541606,504,97.141212
375,21.8489245,505,96.2281462
376,22.0868475,506,95.2347206
377,22.3029777,507,94.3222875
378,22.5301167,508,93.2554622
379,22.7911804,509,92.3063295
380,23.1189705,510,91.4021222
381,23.5157335,511,90.3795898
382,23.9493419,512,89.3545264
383,24.4880949,513,88.3383216
384,25.1340142,514,87.2664342
385,25.8489065,515,86.2034055
386,26.6163711,516,85.1353147
387,27.4474166,517,84.0640601
388,28.3442896,518,82.9883763
389,29.3388931,519,81.9949506
390,30.4321257,520,80.8477654
391,31.539737,521,79.6847614
392,32.7763075,522,78.4983454
393,34.0140013,523,77.3600187
394,35.2575365,524,76.0476844
395,36.5824013,525,74.8581047
396,37.9897192,526,73.5900632
397,39.3961384,527,72.3359424
398,40.9566796,528,71.0482856
399,42.4680186,529,69.697986
400,44.1339289,530,68.2932694
401,45.9517144,531,67.0037143
402,47.686373,532,65.5547048
403,49.4169876,533,64.1879536
404,51.1565888,534,62.7920956
405,52.8258691,535,61.3715602
406,54.4845901,536,60.0282209
407,56.1329763,537,58.6658989
408,57.6398219,538,57.2428325
409,59.1619449,539,55.9001259
410,60.6359891,540,54.4580768
411,62.0788044,541,53.1141048
412,63.5422892,542,51.7973411
413,65.0576722,543,50.4963965
414,66.5856366,544,49.1758363
415,68.1443804,545,47.9014674
416,69.7568198,546,46.6498776
417,71.4366595,547,45.3982878
418,73.1398646,548,44.2479388
419,74.9140646,549,43.1191035
420,76.6251331,550,42.0130474
421,78.2108371,551,40.9202792
422,79.7839596,552,39.9085036
423,81.3638222,553,38.889135
424,82.9450328,554,38.0273224
425,84.3909935,555,37.0788223
426,85.5848772,556,36.1581635
427,86.6951845,557,35.2748372
428,87.7255101,558,34.461114
429,88.5605996,559,33.6024652
430,89.3002053,560,32.8026626
431,89.8917552,561,31.9541379
432,90.5111637,562,31.1847076
433,91.1218103,563,30.449446
434,91.6922413,564,29.6800157
435,92.258853,565,28.9479179
436,92.8020993,566,28.2430286
437,93.2568265,567,27.5704098
438,93.7106551,568,26.9224685
439,94.1071934,569,26.2587083
440,94.4012833,570,25.5595138
441,94.6852632,571,24.9235948
442,94.8944287,572,24.3091895
443,95.1739152,573,23.7492011
444,95.5284407,574,23.1676991
445,95.8865608,575,22.6039142
446,96.2738878,576,22.0603775
447,96.6423427,577,21.5737887
448,96.9986655,578,21.0707484
449,97.4077852,579,20.5778321
450,97.840495,580,20.0823847
451,98.1914258,581,19.5882029
452,98.5544886,582,19.112371
453,98.8629573,583,18.6352736
454,99.1399724,584,18.1929777
455,99.445745,585,17.7443542
456,99.7142228,586,17.3292668
457,99.8905869,587,16.9281
458,100,588,16.5402211
459,99.8308253,589,16.1858782
460,99.2687069,590,15.8144509
461,98.5731361,591,15.4740286
462,97.6434615,592,15.1361373
463,96.3255613,593,14.831782
464,94.4578995,594,14.4995855
465,92.256831,595,14.2116819
466,89.784364,596,13.9073267
467,87.3646939,597,13.6592866
468,84.8356107,598,13.3049437
469,82.0575958,599,13.009447
470,78.9749316,600,12.6880074
471,75.8976594,601,12.3874487
472,72.7875858,602,12.0963813
473,69.6024731,603,11.8078449
474,66.3153614,604,11.5193085
475,62.6916976,605,11.3054373
476,59.2288958,606,11.0814419
477,55.7595787,607,10.8618759
478,52.1291749,608,10.6499029
479,48.3343144,609,10.4056594
480,44.6075282,610,10.1879916
481,40.7834609,611,9.9703238
482,37.4320942,612,9.7558198
483,34.02838,613,9.5640949
