Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.2411;330;0.0107;
221;0.2416;331;0.0115;
222;0.2498;332;0.0125;
223;0.2560;333;0.0134;
224;0.2646;334;0.0146;
225;0.2712;335;0.0160;
226;0.2710;336;0.0177;
227;0.2768;337;0.0202;
228;0.2874;338;0.0243;
229;0.2899;339;0.0306;
230;0.2973;340;0.0413;
231;0.2962;341;0.0558;
232;0.2982;342;0.0787;
233;0.2961;343;0.1069;
234;0.2908;344;0.1503;
235;0.2824;345;0.2033;
236;0.2826;346;0.2788;
237;0.2767;347;0.3598;
238;0.2609;348;0.4626;
239;0.2507;349;0.5626;
240;0.2357;350;0.6677;
241;0.2233;351;0.7498;
242;0.2038;352;0.8208;
243;0.1940;353;0.8586;
244;0.1782;354;0.8704;
245;0.1711;355;0.8539;
246;0.1541;356;0.8110;
247;0.1399;357;0.7589;
248;0.1206;358;0.7006;
249;0.1080;359;0.6531;
250;0.0948;360;0.6165;
251;0.0851;361;0.5987;
252;0.0753;362;0.6011;
253;0.0693;363;0.6190;
254;0.0614;364;0.6558;
255;0.0625;365;0.6986;
256;0.0598;366;0.7518;
257;0.0583;367;0.8002;
258;0.0597;368;0.8548;
259;0.0574;369;0.8999;
260;0.0584;370;0.9441;
261;0.0650;371;0.9734;
262;0.0666;372;0.9950;
263;0.0684;373;1.0000;
264;0.0786;374;0.9946;
265;0.0790;375;0.9767;
266;0.0885;376;0.9463;
267;0.0879;377;0.9118;
268;0.0959;378;0.8681;
269;0.1006;379;0.8254;
270;0.1073;380;0.7794;
271;0.1146;381;0.7416;
272;0.1204;382;0.7063;
273;0.1295;383;0.6824;
274;0.1345;384;0.6646;
275;0.1465;385;0.6557;
276;0.1548;386;0.6580;
277;0.1636;387;0.6652;
278;0.1729;388;0.6752;
279;0.1809;389;0.6852;
280;0.1953;390;0.6952;
281;0.2069;391;0.6992;
282;0.2216;392;0.7022;
283;0.2338;393;0.7005;
284;0.2440;394;0.6952;
285;0.2559;395;0.6867;
286;0.2682;396;0.6722;
287;0.2838;397;0.6547;
288;0.2946;398;0.6324;
289;0.3078;399;0.6101;
290;0.3247;400;0.5827;
291;0.3357;401;0.5550;
292;0.3506;402;0.5244;
293;0.3651;403;0.4971;
294;0.3897;404;0.4689;
295;0.3970;405;0.4441;
296;0.4158;406;0.4223;
297;0.4369;407;0.4044;
298;0.4582;408;0.3878;
299;0.4846;409;0.3747;
300;0.5065;410;0.3629;
301;0.5252;411;0.3537;
302;0.5437;412;0.3458;
303;0.5496;413;0.3387;
304;0.5622;414;0.3314;
305;0.5683;415;0.3244;
306;0.5927;416;0.3172;
307;0.6061;417;0.3105;
308;0.6329;418;0.3015;
309;0.6564;419;0.2940;
310;0.6919;420;0.2847;
311;0.7113;421;0.2760;
312;0.7520;422;0.2666;
313;0.7864;423;0.2568;
314;0.8096;424;0.2465;
315;0.8273;425;0.2366;
316;0.8309;426;0.2251;
317;0.8227;427;0.2148;
318;0.8214;428;0.2035;
319;0.8069;429;0.1929;
320;0.7966;430;0.1821;
321;0.8119;431;0.1726;
322;0.8074;432;0.1632;
323;0.8161;433;0.1551;
324;0.8390;434;0.1471;
325;0.8611;435;0.1406;
326;0.8951;436;0.1341;
327;0.9220;437;0.1292;
328;0.9416;438;0.1242;
329;0.9931;439;0.1202;
330;1.0000;440;0.1156;
331;0.9803;441;0.1121;
332;0.9408;442;0.1078;
333;0.8868;443;0.1048;
334;0.8453;444;0.1011;
335;0.7984;445;0.0980;
336;0.7449;446;0.0943;
337;0.7019;447;0.0914;
338;0.6647;448;0.0877;
339;0.6260;449;0.0846;
340;0.6035;450;0.0810;
341;0.5892;451;0.0775;
342;0.5889;452;0.0740;
343;0.5914;453;0.0707;
344;0.6006;454;0.0674;
345;0.6064;455;0.0644;
346;0.6206;456;0.0611;
347;0.6299;457;0.0583;
348;0.6222;458;0.0552;
349;0.6149;459;0.0523;
350;0.5708;460;0.0499;
351;0.5074;461;0.0477;
352;0.4268;462;0.0454;
353;0.3361;463;0.0437;
354;0.2466;464;0.0417;
355;0.1728;465;0.0401;
356;0.1171;466;0.0383;
357;0.0761;467;0.0370;
358;0.0537;468;0.0355;
359;0.0352;469;0.0340;
360;0.0261;470;0.0327;
361;0.0249;471;0.0315;
362;0.0150;472;0.0306;
363;0.0149;473;0.0295;
364;0.0108;474;0.0284;
365;0.0111;475;0.0272;
366;0.0080;476;0.0264;
367;0.0103;477;0.0253;
368;0.0096;478;0.0243;
370;0.0087;479;0.0233;
373;0.0029;480;0.0222;
374;0.0022;481;0.0215;
375;0.0017;482;0.0206;
378;0.0028;483;0.0197;
381;0.0020;484;0.0189;
386;0.0020;485;0.0181;
405;0.0007;486;0.0174;
431;0.0008;487;0.0169;
432;0.0007;488;0.0162;
450;0.0018;489;0.0156;
522;0.0009;490;0.0149;
545;0.0007;491;0.0144;
549;0.0004;492;0.0140;
552;0.0010;493;0.0134;
553;0.0010;494;0.0130;
554;0.0014;495;0.0125;
556;0.0002;496;0.0120;
558;0.0004;497;0.0116;
559;0.0017;498;0.0112;
560;0.0001;499;0.0108;
561;0.0009;500;0.0103;
562;0.0016;501;0.0100;
563;0.0007;502;0.0096;
564;0.0006;503;0.0093;
566;0.0016;504;0.0090;
567;0.0012;505;0.0087;
568;0.0002;506;0.0084;
571;0.0008;507;0.0081;
572;0.0012;508;0.0077;
576;0.0008;509;0.0075;
577;0.0009;510;0.0074;
580;0.0006;511;0.0071;
583;0.0017;512;0.0070;
585;0.0001;513;0.0067;
586;0.0007;514;0.0065;
588;0.0007;515;0.0063;
591;0.0013;516;0.0062;
592;0.0012;517;0.0059;
593;0.0006;518;0.0058;
594;0.0006;519;0.0056;
596;0.0014;520;0.0055;
597;0.0010;521;0.0052;
599;0.0000;522;0.0052;
600;0.0004;523;0.0051;
602;0.0017;524;0.0049;
603;0.0003;525;0.0048;
606;0.0008;526;0.0047;
608;0.0002;527;0.0046;
609;0.0006;528;0.0044;
610;0.0005;529;0.0043;
611;0.0004;530;0.0042;
612;0.0014;531;0.0041;
613;0.0003;532;0.0039;
615;0.0001;533;0.0038;
616;0.0007;534;0.0038;
617;0.0006;535;0.0037;
618;0.0007;536;0.0036;
619;0.0010;537;0.0036;
621;0.0020;538;0.0034;
622;0.0001;539;0.0034;
623;0.0000;540;0.0033;
624;0.0007;;;
625;0.0005;;;
626;0.0008;;;
629;0.0009;;;
630;0.0004;;;
631;0.0012;;;
632;0.0001;;;
633;0.0004;;;
634;0.0005;;;
636;0.0002;;;
640;0.0008;;;
641;0.0017;;;
645;0.0018;;;
646;0.0006;;;
647;0.0010;;;
