Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.5566;300;0.9428;
221;0.5588;301;0.9824;
222;0.5314;302;1.0000;
223;0.4625;303;0.9932;
224;0.3823;304;0.9638;
225;0.3296;305;0.9206;
226;0.2985;306;0.8742;
227;0.2783;307;0.8293;
228;0.2717;308;0.7970;
229;0.2663;309;0.7774;
230;0.2628;310;0.7569;
231;0.2670;311;0.7481;
232;0.2616;312;0.7280;
233;0.2673;313;0.7262;
234;0.2693;314;0.7290;
235;0.2697;315;0.7399;
236;0.2746;316;0.7562;
237;0.2785;317;0.7851;
238;0.2756;318;0.8082;
239;0.2705;319;0.8198;
240;0.2752;320;0.8317;
241;0.2761;321;0.8268;
242;0.2844;322;0.8178;
243;0.2921;323;0.8099;
244;0.3007;324;0.8022;
245;0.3169;325;0.7986;
246;0.3292;326;0.8028;
247;0.3371;327;0.8109;
248;0.3468;328;0.8245;
249;0.3637;329;0.8298;
250;0.3766;330;0.8366;
251;0.3844;331;0.8336;
252;0.3925;332;0.8329;
253;0.4011;333;0.8235;
254;0.4184;334;0.8095;
255;0.4406;335;0.7920;
256;0.4565;336;0.7760;
257;0.4812;337;0.7677;
258;0.5031;338;0.7572;
259;0.5212;339;0.7407;
260;0.5510;340;0.7436;
261;0.5788;341;0.7368;
262;0.6305;342;0.7261;
263;0.6648;343;0.7204;
264;0.6984;344;0.7083;
265;0.6867;345;0.6924;
266;0.6574;346;0.6785;
267;0.6583;347;0.6620;
268;0.6670;348;0.6409;
269;0.7009;349;0.6215;
270;0.7290;350;0.5987;
271;0.7521;351;0.5838;
272;0.7582;352;0.5675;
273;0.7528;353;0.5479;
274;0.7659;354;0.5353;
275;0.7902;355;0.5187;
276;0.8495;356;0.5066;
277;0.9217;357;0.4914;
278;0.9835;358;0.4777;
279;1.0000;359;0.4643;
280;0.9147;360;0.4523;
281;0.7935;361;0.4392;
282;0.6964;362;0.4187;
283;0.6427;363;0.4075;
284;0.6285;364;0.3896;
285;0.6428;365;0.3720;
286;0.6718;366;0.3568;
287;0.6919;367;0.3474;
288;0.6950;368;0.3370;
289;0.6484;369;0.3233;
290;0.6054;370;0.3116;
291;0.5753;371;0.2992;
292;0.5784;372;0.2901;
293;0.6221;373;0.2775;
294;0.7014;374;0.2695;
295;0.7891;375;0.2586;
296;0.8564;376;0.2523;
297;0.8528;377;0.2449;
298;0.7052;378;0.2361;
299;0.4750;379;0.2288;
300;0.2777;380;0.2193;
301;0.1525;381;0.2129;
302;0.0793;382;0.2003;
303;0.0440;383;0.1960;
304;0.0290;384;0.1868;
305;0.0260;385;0.1792;
306;0.0196;386;0.1692;
307;0.0169;387;0.1637;
308;0.0163;388;0.1579;
309;0.0157;389;0.1487;
310;0.0115;390;0.1456;
311;0.0100;391;0.1408;
312;0.0119;392;0.1365;
313;0.0080;393;0.1322;
314;0.0142;394;0.1266;
315;0.0114;395;0.1264;
316;0.0095;396;0.1196;
317;0.0079;397;0.1163;
318;0.0076;398;0.1118;
319;0.0104;399;0.1108;
320;0.0092;400;0.1069;
321;0.0098;401;0.1042;
322;0.0088;402;0.1012;
323;0.0110;403;0.0989;
324;0.0060;404;0.0964;
325;0.0075;405;0.0935;
326;0.0037;406;0.0905;
327;0.0099;407;0.0883;
328;0.0075;408;0.0880;
329;0.0060;409;0.0856;
330;0.0138;410;0.0833;
331;0.0064;411;0.0821;
332;0.0036;412;0.0800;
333;0.0038;413;0.0773;
334;0.0085;414;0.0752;
335;0.0052;415;0.0758;
336;0.0051;416;0.0729;
337;0.0036;417;0.0724;
338;0.0010;418;0.0714;
339;0.0050;419;0.0695;
340;0.0085;420;0.0688;
342;0.0078;421;0.0688;
343;0.0042;422;0.0668;
344;0.0048;423;0.0663;
345;0.0050;424;0.0662;
346;0.0060;425;0.0655;
347;0.0025;426;0.0646;
348;0.0050;427;0.0641;
349;0.0032;428;0.0641;
350;0.0010;429;0.0639;
354;0.0027;430;0.0606;
356;0.0020;431;0.0611;
359;0.0020;432;0.0608;
360;0.0002;433;0.0592;
361;0.0000;434;0.0606;
362;0.0018;435;0.0596;
363;0.0020;436;0.0596;
364;0.0010;437;0.0580;
365;0.0003;438;0.0577;
367;0.0011;439;0.0584;
373;0.0018;440;0.0574;
374;0.0035;441;0.0577;
375;0.0012;442;0.0567;
378;0.0033;443;0.0553;
386;0.0013;444;0.0563;
432;0.0006;445;0.0556;
545;0.0012;446;0.0549;
549;0.0002;447;0.0550;
552;0.0010;448;0.0567;
553;0.0008;449;0.0555;
554;0.0009;450;0.0545;
556;0.0008;;;
558;0.0007;;;
559;0.0005;;;
560;0.0010;;;
561;0.0007;;;
562;0.0009;;;
563;0.0002;;;
565;0.0008;;;
566;0.0020;;;
567;0.0006;;;
569;0.0010;;;
571;0.0006;;;
575;0.0006;;;
577;0.0007;;;
578;0.0012;;;
579;0.0006;;;
580;0.0005;;;
581;0.0002;;;
582;0.0009;;;
584;0.0009;;;
586;0.0008;;;
587;0.0012;;;
588;0.0020;;;
589;0.0010;;;
590;0.0002;;;
592;0.0005;;;
593;0.0004;;;
594;0.0001;;;
596;0.0005;;;
597;0.0004;;;
598;0.0005;;;
599;0.0006;;;
600;0.0018;;;
601;0.0014;;;
602;0.0012;;;
603;0.0007;;;
604;0.0013;;;
606;0.0004;;;
608;0.0002;;;
610;0.0020;;;
611;0.0010;;;
612;0.0015;;;
613;0.0005;;;
614;0.0010;;;
615;0.0011;;;
616;0.0009;;;
617;0.0006;;;
619;0.0001;;;
621;0.0019;;;
622;0.0006;;;
623;0.0002;;;
625;0.0007;;;
626;0.0018;;;
628;0.0012;;;
631;0.0005;;;
633;0.0008;;;
634;0.0002;;;
635;0.0007;;;
636;0.0007;;;
637;0.0019;;;
639;0.0016;;;
640;0.0023;;;
643;0.0002;;;
644;0.0003;;;
645;0.0006;;;
646;0.0002;;;
647;0.0014;;;
649;0.0002;;;
650;0.0008;;;
655;0.0007;;;
656;0.0018;;;
659;0.0008;;;
660;0.0012;;;
661;0.0014;;;
670;0.0010;;;
674;0.0002;;;
683;0.0013;;;
684;0.0006;;;
