Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
280;1.0000;440;0.3280;
281;0.9509;441;0.1921;
282;0.8939;442;0.0968;
283;0.8346;443;0.0384;
284;0.7724;444;0.0169;
285;0.7085;445;0.0077;
286;0.6446;446;0.0062;
287;0.5827;447;0.0062;
288;0.5256;448;0.0077;
289;0.4721;449;0.0092;
290;0.4223;450;0.0123;
291;0.3727;451;0.0138;
292;0.3255;452;0.0169;
293;0.2805;453;0.0215;
294;0.2381;454;0.0264;
295;0.2004;455;0.0326;
296;0.1673;456;0.0373;
297;0.1393;457;0.0482;
298;0.1155;458;0.0606;
299;0.0959;459;0.0770;
300;0.0802;460;0.0954;
301;0.0678;461;0.1158;
302;0.0580;462;0.1383;
303;0.0508;463;0.1691;
304;0.0448;464;0.1973;
305;0.0405;465;0.2334;
306;0.0368;466;0.2808;
307;0.0342;467;0.3307;
308;0.0322;468;0.3897;
309;0.0304;469;0.4434;
310;0.0291;470;0.5160;
311;0.0275;471;0.5771;
312;0.0262;472;0.6382;
313;0.0254;473;0.6925;
314;0.0245;474;0.7418;
315;0.0236;475;0.7859;
316;0.0232;476;0.8317;
317;0.0227;477;0.8691;
318;0.0217;478;0.9177;
319;0.0213;479;0.9451;
320;0.0210;480;0.9708;
321;0.0204;481;0.9863;
322;0.0203;482;1.0000;
323;0.0195;483;0.9930;
324;0.0190;484;0.9896;
325;0.0186;485;0.9896;
326;0.0176;486;0.9811;
327;0.0171;487;0.9709;
328;0.0168;488;0.9624;
329;0.0167;489;0.9522;
330;0.0172;490;0.9485;
331;0.0166;491;0.9331;
332;0.0168;492;0.9108;
333;0.0171;493;0.8971;
334;0.0172;494;0.8782;
335;0.0176;495;0.8594;
336;0.0179;496;0.8405;
337;0.0184;497;0.8268;
338;0.0181;498;0.8215;
339;0.0184;499;0.7955;
340;0.0182;500;0.7886;
341;0.0182;501;0.7747;
342;0.0181;502;0.7669;
343;0.0175;503;0.7564;
344;0.0172;504;0.7389;
345;0.0166;505;0.7267;
346;0.0167;506;0.7199;
347;0.0159;507;0.7022;
348;0.0151;508;0.6881;
349;0.0150;509;0.6843;
350;0.0150;510;0.6665;
351;0.0144;511;0.6450;
352;0.0143;512;0.6414;
353;0.0141;513;0.6280;
354;0.0136;514;0.6118;
355;0.0136;515;0.5991;
356;0.0133;516;0.5832;
357;0.0127;517;0.5650;
358;0.0125;518;0.5558;
359;0.0124;519;0.5374;
360;0.0122;520;0.5190;
361;0.0121;521;0.5054;
362;0.0116;522;0.4906;
363;0.0116;523;0.4738;
364;0.0112;524;0.4653;
365;0.0109;525;0.4465;
366;0.0109;526;0.4394;
367;0.0106;527;0.4242;
368;0.0104;528;0.4072;
369;0.0100;529;0.3977;
370;0.0101;530;0.3824;
371;0.0099;531;0.3724;
372;0.0098;532;0.3493;
373;0.0095;533;0.3447;
374;0.0096;534;0.3311;
375;0.0095;535;0.3213;
376;0.0092;536;0.3125;
377;0.0095;537;0.3046;
378;0.0092;538;0.2935;
379;0.0093;539;0.2876;
380;0.0093;540;0.2762;
381;0.0095;541;0.2702;
382;0.0092;542;0.2605;
383;0.0092;543;0.2524;
384;0.0092;544;0.2444;
385;0.0091;545;0.2342;
386;0.0090;546;0.2281;
387;0.0089;547;0.2178;
388;0.0090;548;0.2156;
389;0.0089;549;0.2114;
390;0.0089;550;0.2007;
391;0.0089;551;0.1986;
392;0.0089;552;0.1919;
393;0.0091;553;0.1855;
394;0.0094;554;0.1829;
395;0.0098;555;0.1744;
396;0.0100;556;0.1694;
397;0.0101;557;0.1622;
398;0.0106;558;0.1578;
399;0.0112;559;0.1548;
400;0.0119;560;0.1482;
401;0.0124;561;0.1429;
402;0.0133;562;0.1385;
403;0.0141;563;0.1352;
404;0.0153;564;0.1307;
405;0.0163;565;0.1251;
406;0.0175;566;0.1228;
407;0.0188;567;0.1193;
408;0.0200;568;0.1171;
409;0.0213;569;0.1112;
410;0.0227;570;0.1067;
411;0.0242;571;0.1052;
412;0.0257;572;0.0983;
413;0.0270;573;0.0961;
414;0.0287;574;0.0945;
415;0.0300;575;0.0899;
416;0.0318;576;0.0859;
417;0.0337;577;0.0859;
418;0.0356;578;0.0836;
419;0.0376;579;0.0819;
420;0.0397;580;0.0796;
421;0.0422;581;0.0755;
422;0.0447;582;0.0755;
423;0.0475;583;0.0708;
424;0.0503;584;0.0660;
425;0.0534;585;0.0642;
426;0.0568;586;0.0618;
427;0.0603;587;0.0618;
428;0.0639;588;0.0594;
429;0.0678;589;0.0551;
430;0.0720;590;0.0551;
431;0.0764;591;0.0527;
432;0.0809;592;0.0551;
433;0.0853;593;0.0503;
434;0.0899;594;0.0503;
435;0.0944;595;0.0482;
436;0.0988;596;0.0458;
437;0.1032;597;0.0458;
438;0.1078;598;0.0434;
439;0.1122;599;0.0434;
440;0.1164;600;0.0434;
441;0.1206;601;0.0434;
442;0.1248;602;0.0434;
443;0.1289;603;0.0410;
444;0.1330;604;0.0389;
445;0.1368;605;0.0389;
446;0.1408;606;0.0340;
447;0.1449;607;0.0340;
448;0.1489;608;0.0340;
449;0.1530;609;0.0340;
450;0.1575;610;0.0316;
451;0.1619;611;0.0318;
452;0.1665;612;0.0318;
453;0.1715;613;0.0269;
454;0.1766;614;0.0294;
455;0.1816;615;0.0271;
456;0.1867;616;0.0271;
