Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.1945;420;0.0049;
301;0.1971;421;0.0031;
302;0.1912;422;0.0032;
303;0.1819;423;0.0034;
304;0.1746;424;0.0032;
305;0.1682;425;0.0032;
306;0.1612;426;0.0033;
307;0.1555;427;0.0034;
308;0.1522;428;0.0034;
309;0.1474;429;0.0037;
310;0.1435;430;0.0036;
311;0.1430;431;0.0039;
312;0.1392;432;0.0039;
313;0.1387;433;0.0041;
314;0.1365;434;0.0042;
315;0.1354;435;0.0046;
316;0.1376;436;0.0049;
317;0.1362;437;0.0052;
318;0.1357;438;0.0053;
319;0.1375;439;0.0060;
320;0.1382;440;0.0062;
321;0.1402;441;0.0066;
322;0.1398;442;0.0075;
323;0.1434;443;0.0079;
324;0.1444;444;0.0084;
325;0.1445;445;0.0091;
326;0.1476;446;0.0100;
327;0.1516;447;0.0111;
328;0.1531;448;0.0122;
329;0.1557;449;0.0134;
330;0.1596;450;0.0149;
331;0.1631;451;0.0167;
332;0.1664;452;0.0183;
333;0.1708;453;0.0201;
334;0.1770;454;0.0226;
335;0.1833;455;0.0252;
336;0.1875;456;0.0292;
337;0.1951;457;0.0332;
338;0.2032;458;0.0375;
339;0.2098;459;0.0422;
340;0.2191;460;0.0480;
341;0.2279;461;0.0540;
342;0.2373;462;0.0589;
343;0.2470;463;0.0647;
344;0.2557;464;0.0714;
345;0.2666;465;0.0770;
346;0.2771;466;0.0848;
347;0.2880;467;0.0924;
348;0.2995;468;0.1005;
349;0.3118;469;0.1081;
350;0.3254;470;0.1160;
351;0.3348;471;0.1255;
352;0.3455;472;0.1367;
353;0.3567;473;0.1482;
354;0.3691;474;0.1605;
355;0.3808;475;0.1721;
356;0.3990;476;0.1855;
357;0.4138;477;0.1989;
358;0.4283;478;0.2149;
359;0.4408;479;0.2311;
360;0.4547;480;0.2479;
361;0.4692;481;0.2675;
362;0.4827;482;0.2865;
363;0.4945;483;0.3056;
364;0.5080;484;0.3259;
365;0.5247;485;0.3440;
366;0.5369;486;0.3631;
367;0.5566;487;0.3856;
368;0.5700;488;0.4029;
369;0.5841;489;0.4229;
370;0.5988;490;0.4450;
371;0.6093;491;0.4655;
372;0.6253;492;0.4883;
373;0.6382;493;0.5127;
374;0.6567;494;0.5352;
375;0.6696;495;0.5610;
376;0.6858;496;0.5874;
377;0.6937;497;0.6116;
378;0.7091;498;0.6374;
379;0.7221;499;0.6600;
380;0.7342;500;0.6837;
381;0.7459;501;0.7054;
382;0.7573;502;0.7280;
383;0.7673;503;0.7490;
384;0.7841;504;0.7676;
385;0.7930;505;0.7838;
386;0.8048;506;0.8061;
387;0.8199;507;0.8253;
388;0.8311;508;0.8426;
389;0.8454;509;0.8587;
390;0.8591;510;0.8778;
391;0.8725;511;0.8913;
392;0.8873;512;0.9006;
393;0.9016;513;0.9099;
394;0.9175;514;0.9232;
395;0.9304;515;0.9399;
396;0.9412;516;0.9475;
397;0.9532;517;0.9543;
398;0.9644;518;0.9662;
399;0.9702;519;0.9809;
400;0.9805;520;0.9877;
401;0.9886;521;0.9932;
402;0.9919;522;0.9900;
403;0.9954;523;0.9853;
404;1.0000;524;0.9875;
405;0.9977;525;0.9971;
406;0.9984;526;1.0000;
407;0.9978;527;0.9981;
408;0.9969;528;0.9936;
409;0.9986;529;0.9880;
410;0.9932;530;0.9823;
411;0.9866;531;0.9720;
412;0.9781;532;0.9676;
413;0.9715;533;0.9624;
414;0.9684;534;0.9633;
415;0.9621;535;0.9579;
416;0.9501;536;0.9521;
417;0.9410;537;0.9447;
418;0.9330;538;0.9399;
419;0.9196;539;0.9317;
420;0.9058;540;0.9168;
421;0.8947;541;0.9056;
422;0.8824;542;0.9006;
423;0.8651;543;0.8906;
424;0.8551;544;0.8832;
425;0.8408;545;0.8701;
426;0.8247;546;0.8501;
427;0.8099;547;0.8420;
428;0.7934;548;0.8278;
429;0.7758;549;0.8163;
430;0.7544;550;0.8059;
431;0.7350;551;0.7941;
432;0.7212;552;0.7841;
433;0.7007;553;0.7723;
434;0.6800;554;0.7594;
435;0.6635;555;0.7466;
436;0.6412;556;0.7359;
437;0.6229;557;0.7256;
438;0.6036;558;0.7143;
439;0.5886;559;0.7034;
440;0.5650;560;0.6918;
441;0.5470;561;0.6837;
442;0.5276;562;0.6724;
443;0.5098;563;0.6582;
444;0.4889;564;0.6493;
445;0.4654;565;0.6433;
446;0.4466;566;0.6366;
447;0.4298;567;0.6271;
448;0.4088;568;0.6138;
449;0.3941;569;0.6004;
450;0.3802;570;0.5882;
451;0.3612;571;0.5794;
452;0.3451;572;0.5709;
453;0.3263;573;0.5574;
454;0.3117;574;0.5508;
455;0.2945;575;0.5390;
456;0.2775;576;0.5267;
457;0.2611;577;0.5154;
458;0.2468;578;0.4991;
459;0.2340;579;0.4954;
460;0.2214;580;0.4829;
461;0.2098;581;0.4761;
462;0.1976;582;0.4708;
463;0.1858;583;0.4571;
464;0.1741;584;0.4477;
465;0.1635;585;0.4422;
466;0.1549;586;0.4344;
467;0.1451;587;0.4271;
468;0.1374;588;0.4173;
469;0.1302;589;0.4113;
470;0.1212;590;0.4000;
471;0.1126;591;0.3933;
472;0.1065;592;0.3889;
473;0.1001;593;0.3791;
474;0.0941;594;0.3717;
475;0.0874;595;0.3623;
476;0.0816;596;0.3592;
477;0.0751;597;0.3498;
478;0.0700;598;0.3393;
479;0.0652;599;0.3389;
480;0.0612;600;0.3270;
481;0.0566;601;0.3232;
482;0.0530;602;0.3171;
483;0.0488;603;0.3094;
484;0.0453;604;0.3030;
485;0.0412;605;0.2968;
486;0.0384;606;0.2947;
487;0.0367;607;0.2883;
488;0.0334;608;0.2835;
489;0.0313;609;0.2756;
490;0.0292;610;0.2704;
491;0.0275;611;0.2654;
492;0.0260;612;0.2597;
493;0.0250;613;0.2517;
494;0.0246;614;0.2502;
495;0.0238;615;0.2460;
496;0.0225;616;0.2379;
497;0.0212;617;0.2345;
498;0.0199;618;0.2311;
499;0.0188;619;0.2231;
500;0.0176;620;0.2231;
501;0.0170;621;0.2177;
502;0.0159;622;0.2116;
503;0.0158;623;0.2092;
504;0.0142;624;0.2020;
505;0.0136;625;0.1971;
506;0.0132;626;0.1941;
507;0.0131;627;0.1919;
508;0.0122;628;0.1885;
509;0.0116;629;0.1829;
510;0.0114;630;0.1811;
;;631;0.1756;
;;632;0.1730;
;;633;0.1686;
;;634;0.1636;
;;635;0.1589;
;;636;0.1536;
;;637;0.1524;
;;638;0.1470;
;;639;0.1418;
;;640;0.1397;
;;641;0.1374;
;;642;0.1336;
;;643;0.1319;
;;644;0.1274;
;;645;0.1217;
;;646;0.1223;
;;647;0.1182;
;;648;0.1156;
;;649;0.1130;
;;650;0.1127;
;;651;0.1097;
;;652;0.1075;
;;653;0.1042;
;;654;0.1030;
;;655;0.1042;
;;656;0.1018;
;;657;0.1005;
;;658;0.0983;
;;659;0.0972;
;;660;0.0949;
;;661;0.0940;
;;662;0.0926;
;;663;0.0909;
;;664;0.0891;
;;665;0.0873;
;;666;0.0859;
;;667;0.0832;
;;668;0.0829;
;;669;0.0806;
;;670;0.0805;
;;671;0.0800;
;;672;0.0799;
;;673;0.0767;
;;674;0.0735;
;;675;0.0730;
;;676;0.0730;
;;677;0.0687;
;;678;0.0674;
;;679;0.0648;
;;680;0.0663;
;;681;0.0655;
;;682;0.0631;
;;683;0.0615;
;;684;0.0613;
;;685;0.0582;
;;686;0.0575;
;;687;0.0564;
;;688;0.0541;
;;689;0.0551;
;;690;0.0519;
;;691;0.0522;
;;692;0.0512;
;;693;0.0474;
;;694;0.0483;
;;695;0.0463;
;;696;0.0460;
;;697;0.0456;
;;698;0.0446;
;;699;0.0412;
