Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
351;0.3448;660;0.0252;
352;0.3355;661;0.0237;
353;0.3274;662;0.0232;
354;0.3212;663;0.0246;
355;0.3142;664;0.0262;
356;0.3075;665;0.0284;
357;0.3023;666;0.0306;
358;0.2979;667;0.0328;
359;0.2925;668;0.0361;
360;0.2885;669;0.0380;
361;0.2828;670;0.0413;
362;0.2791;671;0.0450;
363;0.2756;672;0.0483;
364;0.2714;673;0.0526;
365;0.2670;674;0.0559;
366;0.2629;675;0.0607;
367;0.2593;676;0.0646;
368;0.2574;677;0.0703;
369;0.2512;678;0.0760;
370;0.2496;679;0.0821;
371;0.2481;680;0.0872;
372;0.2419;681;0.0950;
373;0.2373;682;0.1025;
374;0.2353;683;0.1111;
375;0.2335;684;0.1189;
376;0.2321;685;0.1286;
377;0.2274;686;0.1386;
378;0.2256;687;0.1499;
379;0.2230;688;0.1619;
380;0.2208;689;0.1748;
381;0.2182;690;0.1870;
382;0.2171;691;0.2001;
383;0.2140;692;0.2159;
384;0.2113;693;0.2342;
385;0.2089;694;0.2478;
386;0.2064;695;0.2661;
387;0.2028;696;0.2864;
388;0.1994;697;0.3060;
389;0.1987;698;0.3298;
390;0.1955;699;0.3494;
391;0.1926;700;0.3702;
392;0.1910;701;0.3932;
393;0.1870;702;0.4189;
394;0.1837;703;0.4452;
395;0.1803;704;0.4690;
396;0.1788;705;0.4979;
397;0.1768;706;0.5253;
398;0.1735;707;0.5495;
399;0.1716;708;0.5772;
400;0.1692;709;0.6042;
401;0.1677;710;0.6387;
402;0.1662;711;0.6633;
403;0.1642;712;0.6913;
404;0.1641;713;0.7161;
405;0.1626;714;0.7470;
406;0.1620;715;0.7733;
407;0.1624;716;0.7946;
408;0.1609;717;0.8220;
409;0.1613;718;0.8501;
410;0.1624;719;0.8700;
411;0.1615;720;0.8932;
412;0.1624;721;0.9164;
413;0.1627;722;0.9320;
414;0.1640;723;0.9483;
415;0.1647;724;0.9608;
416;0.1652;725;0.9756;
417;0.1668;726;0.9864;
418;0.1681;727;0.9981;
419;0.1689;728;0.9951;
420;0.1709;729;1.0000;
421;0.1711;730;0.9944;
422;0.1748;731;0.9917;
423;0.1751;732;0.9921;
424;0.1767;733;0.9860;
425;0.1790;734;0.9609;
426;0.1811;735;0.9503;
427;0.1827;736;0.9356;
428;0.1834;737;0.9189;
429;0.1868;738;0.8962;
430;0.1883;739;0.8780;
431;0.1891;740;0.8501;
432;0.1931;741;0.8318;
433;0.1933;742;0.8030;
434;0.1964;743;0.7733;
435;0.1991;744;0.7533;
436;0.2002;745;0.7149;
437;0.2032;746;0.6958;
438;0.2055;747;0.6598;
439;0.2075;748;0.6401;
440;0.2101;749;0.6077;
441;0.2116;750;0.5841;
442;0.2141;751;0.5627;
443;0.2165;752;0.5278;
444;0.2182;753;0.5048;
445;0.2212;754;0.4809;
446;0.2226;755;0.4617;
447;0.2252;756;0.4405;
448;0.2279;757;0.4240;
449;0.2303;758;0.4008;
450;0.2323;759;0.3881;
451;0.2344;760;0.3677;
452;0.2365;761;0.3548;
453;0.2388;762;0.3375;
454;0.2402;763;0.3230;
455;0.2429;764;0.3107;
456;0.2430;765;0.3032;
457;0.2454;766;0.2938;
458;0.2470;767;0.2831;
459;0.2494;768;0.2669;
460;0.2501;769;0.2596;
461;0.2518;770;0.2545;
462;0.2519;771;0.2433;
463;0.2537;772;0.2335;
464;0.2544;773;0.2246;
465;0.2552;774;0.2212;
466;0.2557;775;0.2184;
467;0.2575;776;0.2102;
468;0.2580;777;0.2042;
469;0.2583;778;0.1985;
470;0.2581;779;0.1918;
471;0.2577;780;0.1907;
472;0.2575;781;0.1838;
473;0.2581;782;0.1802;
474;0.2574;783;0.1759;
475;0.2577;784;0.1726;
476;0.2573;785;0.1702;
477;0.2561;786;0.1572;
478;0.2542;787;0.1619;
479;0.2548;788;0.1592;
480;0.2529;789;0.1554;
481;0.2518;790;0.1525;
482;0.2512;791;0.1504;
483;0.2485;792;0.1454;
484;0.2454;793;0.1414;
485;0.2443;794;0.1392;
486;0.2411;795;0.1389;
487;0.2386;796;0.1317;
