Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
350;0.0472;480;0.0061;
351;0.0458;481;0.0072;
352;0.0442;482;0.0089;
353;0.0428;483;0.0110;
354;0.0413;484;0.0138;
355;0.0401;485;0.0173;
356;0.0381;486;0.0213;
357;0.0368;487;0.0267;
358;0.0356;488;0.0336;
359;0.0343;489;0.0418;
360;0.0330;490;0.0519;
361;0.0320;491;0.0640;
362;0.0310;492;0.0787;
363;0.0298;493;0.0968;
364;0.0290;494;0.1176;
365;0.0284;495;0.1419;
366;0.0275;496;0.1712;
367;0.0268;497;0.2048;
368;0.0264;498;0.2424;
369;0.0259;499;0.2838;
370;0.0251;500;0.3306;
371;0.0247;501;0.3785;
372;0.0243;502;0.4281;
373;0.0240;503;0.4825;
374;0.0238;504;0.5371;
375;0.0233;505;0.5925;
376;0.0231;506;0.6480;
377;0.0228;507;0.7041;
378;0.0228;508;0.7550;
379;0.0225;509;0.8012;
380;0.0221;510;0.8452;
381;0.0220;511;0.8822;
382;0.0218;512;0.9121;
383;0.0214;513;0.9391;
384;0.0213;514;0.9609;
385;0.0212;515;0.9782;
386;0.0211;516;0.9888;
387;0.0209;517;0.9943;
388;0.0206;518;0.9974;
389;0.0205;519;1.0000;
390;0.0202;520;0.9949;
391;0.0200;521;0.9829;
392;0.0201;522;0.9624;
393;0.0199;523;0.9396;
394;0.0201;524;0.9216;
395;0.0201;525;0.9028;
396;0.0200;526;0.8844;
397;0.0200;527;0.8613;
398;0.0203;528;0.8351;
399;0.0203;529;0.8063;
400;0.0205;530;0.7800;
401;0.0204;531;0.7537;
402;0.0204;532;0.7281;
403;0.0205;533;0.7053;
404;0.0207;534;0.6859;
405;0.0210;535;0.6660;
406;0.0211;536;0.6452;
407;0.0213;537;0.6253;
408;0.0215;538;0.6063;
409;0.0217;539;0.5884;
410;0.0218;540;0.5688;
411;0.0225;541;0.5539;
412;0.0229;542;0.5403;
413;0.0234;543;0.5277;
414;0.0240;544;0.5154;
415;0.0246;545;0.5003;
416;0.0253;546;0.4841;
417;0.0264;547;0.4735;
418;0.0277;548;0.4614;
419;0.0289;549;0.4518;
420;0.0305;550;0.4432;
421;0.0320;551;0.4341;
422;0.0335;552;0.4231;
423;0.0352;553;0.4125;
424;0.0376;554;0.4020;
425;0.0397;555;0.3924;
426;0.0427;556;0.3829;
427;0.0455;557;0.3738;
428;0.0482;558;0.3635;
429;0.0510;559;0.3534;
430;0.0540;560;0.3427;
431;0.0567;561;0.3355;
432;0.0600;562;0.3242;
433;0.0630;563;0.3144;
434;0.0662;564;0.3046;
435;0.0700;565;0.2963;
436;0.0731;566;0.2883;
437;0.0766;567;0.2789;
438;0.0802;568;0.2687;
439;0.0844;569;0.2597;
440;0.0884;570;0.2503;
441;0.0935;571;0.2410;
442;0.0986;572;0.2328;
443;0.1044;573;0.2240;
444;0.1104;574;0.2168;
445;0.1170;575;0.2083;
446;0.1249;576;0.1999;
447;0.1332;577;0.1927;
448;0.1411;578;0.1849;
449;0.1495;579;0.1782;
450;0.1590;580;0.1718;
451;0.1696;581;0.1659;
452;0.1804;582;0.1596;
453;0.1924;583;0.1539;
454;0.2067;584;0.1474;
455;0.2195;585;0.1420;
456;0.2313;586;0.1368;
457;0.2452;587;0.1321;
458;0.2584;588;0.1277;
459;0.2723;589;0.1225;
460;0.2846;590;0.1188;
461;0.2974;591;0.1148;
462;0.3093;592;0.1101;
463;0.3211;593;0.1068;
464;0.3309;594;0.1031;
465;0.3398;595;0.1002;
466;0.3479;596;0.0969;
467;0.3576;597;0.0946;
468;0.3660;598;0.0914;
469;0.3739;599;0.0891;
470;0.3828;600;0.0864;
471;0.3910;601;0.0834;
472;0.4002;602;0.0804;
473;0.4109;603;0.0785;
474;0.4242;604;0.0754;
475;0.4376;605;0.0734;
476;0.4537;606;0.0713;
477;0.4749;607;0.0694;
478;0.4967;608;0.0673;
479;0.5215;609;0.0649;
480;0.5477;610;0.0633;
481;0.5764;611;0.0614;
482;0.6069;612;0.0600;
483;0.6410;613;0.0580;
484;0.6761;614;0.0566;
485;0.7130;615;0.0550;
486;0.7518;616;0.0534;
487;0.7916;617;0.0516;
488;0.8299;618;0.0499;
489;0.8679;619;0.0482;
490;0.9013;620;0.0471;
491;0.9323;621;0.0456;
492;0.9585;622;0.0444;
493;0.9820;623;0.0428;
494;0.9943;624;0.0414;
495;1.0000;625;0.0397;
496;0.9955;626;0.0387;
497;0.9848;627;0.0374;
498;0.9649;628;0.0366;
499;0.9339;629;0.0349;
500;0.8991;630;0.0337;
501;0.8560;631;0.0330;
502;0.8068;632;0.0317;
503;0.7524;633;0.0304;
504;0.6979;634;0.0295;
505;0.6379;635;0.0286;
506;0.5763;636;0.0275;
507;0.5148;637;0.0265;
508;0.4578;638;0.0255;
509;0.4037;639;0.0246;
510;0.3539;640;0.0243;
511;0.3069;641;0.0228;
512;0.2658;642;0.0221;
513;0.2289;643;0.0214;
514;0.1957;644;0.0208;
515;0.1656;645;0.0201;
516;0.1396;646;0.0190;
517;0.1168;647;0.0188;
518;0.0976;648;0.0178;
519;0.0811;649;0.0174;
520;0.0678;650;0.0166;
521;0.0566;;;
522;0.0473;;;
523;0.0391;;;
524;0.0326;;;
525;0.0272;;;
526;0.0228;;;
527;0.0191;;;
528;0.0163;;;
529;0.0139;;;
