Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
260;0.5269;320;0.0034;
261;0.5517;321;0.0031;
262;0.5679;322;0.0030;
263;0.5894;323;0.0029;
264;0.6024;324;0.0030;
265;0.6168;325;0.0027;
266;0.6161;326;0.0024;
267;0.6099;327;0.0020;
268;0.6014;328;0.0020;
269;0.5787;329;0.0020;
270;0.5485;330;0.0020;
271;0.5083;331;0.0020;
272;0.4666;332;0.0019;
273;0.4246;333;0.0021;
274;0.3822;334;0.0021;
275;0.3452;335;0.0021;
276;0.3082;336;0.0023;
277;0.2801;337;0.0029;
278;0.2592;338;0.0051;
279;0.2410;339;0.0091;
280;0.2277;340;0.0123;
281;0.2172;341;0.0128;
282;0.2090;342;0.0105;
283;0.2037;343;0.0069;
284;0.1980;344;0.0040;
285;0.1942;345;0.0030;
286;0.1928;346;0.0025;
287;0.1922;347;0.0024;
288;0.1892;348;0.0023;
289;0.1913;349;0.0023;
290;0.1935;350;0.0023;
291;0.1938;351;0.0022;
292;0.1950;352;0.0022;
293;0.1982;353;0.0023;
294;0.2011;354;0.0023;
295;0.2050;355;0.0023;
296;0.2086;356;0.0023;
297;0.2128;357;0.0022;
298;0.2188;358;0.0022;
299;0.2246;359;0.0023;
300;0.2295;360;0.0022;
301;0.2373;361;0.0021;
302;0.2466;362;0.0022;
303;0.2568;363;0.0022;
304;0.2683;364;0.0021;
305;0.2777;365;0.0021;
306;0.2925;366;0.0021;
307;0.3039;367;0.0020;
308;0.3176;368;0.0022;
309;0.3334;369;0.0022;
310;0.3455;370;0.0024;
311;0.3544;371;0.0026;
312;0.3746;372;0.0026;
313;0.3895;373;0.0026;
314;0.4168;374;0.0025;
315;0.4311;375;0.0026;
316;0.4516;376;0.0027;
317;0.4798;377;0.0030;
318;0.4973;378;0.0031;
319;0.5258;379;0.0034;
320;0.5411;380;0.0038;
321;0.5670;381;0.0042;
322;0.5890;382;0.0048;
323;0.6159;383;0.0053;
324;0.6322;384;0.0062;
325;0.6553;385;0.0073;
326;0.6834;386;0.0085;
327;0.7008;387;0.0105;
328;0.7124;388;0.0122;
329;0.7430;389;0.0145;
330;0.7614;390;0.0168;
331;0.7878;391;0.0202;
332;0.7913;392;0.0232;
333;0.8058;393;0.0267;
334;0.8324;394;0.0316;
335;0.8386;395;0.0362;
336;0.8654;396;0.0418;
337;0.8690;397;0.0478;
338;0.8819;398;0.0543;
339;0.8976;399;0.0615;
340;0.9044;400;0.0701;
341;0.9183;401;0.0791;
342;0.9348;402;0.0887;
343;0.9437;403;0.0986;
344;0.9560;404;0.1110;
345;0.9555;405;0.1234;
346;0.9628;406;0.1372;
347;0.9699;407;0.1537;
348;0.9793;408;0.1686;
349;0.9899;409;0.1871;
350;0.9891;410;0.2042;
351;0.9930;411;0.2216;
352;0.9959;412;0.2390;
353;1.0000;413;0.2584;
354;0.9981;414;0.2760;
355;0.9917;415;0.2932;
356;0.9950;416;0.3117;
357;0.9965;417;0.3302;
358;0.9881;418;0.3486;
359;0.9825;419;0.3688;
360;0.9702;420;0.3868;
361;0.9717;421;0.4069;
362;0.9604;422;0.4262;
363;0.9549;423;0.4460;
364;0.9445;424;0.4675;
365;0.9304;425;0.4877;
366;0.9157;426;0.5076;
367;0.9006;427;0.5313;
368;0.8856;428;0.5515;
369;0.8710;429;0.5761;
370;0.8505;430;0.5941;
371;0.8289;431;0.6183;
372;0.8113;432;0.6376;
373;0.7929;433;0.6592;
374;0.7673;434;0.6775;
375;0.7558;435;0.6980;
376;0.7306;436;0.7160;
377;0.7035;437;0.7331;
378;0.6751;438;0.7514;
379;0.6483;439;0.7665;
380;0.6259;440;0.7823;
381;0.5972;441;0.7964;
382;0.5690;442;0.8135;
383;0.5402;443;0.8294;
384;0.5130;444;0.8420;
385;0.4837;445;0.8552;
386;0.4524;446;0.8704;
387;0.4268;447;0.8844;
388;0.3992;448;0.8928;
389;0.3700;449;0.9085;
390;0.3422;450;0.9164;
391;0.3162;451;0.9262;
392;0.2906;452;0.9368;
393;0.2642;453;0.9449;
394;0.2423;454;0.9555;
395;0.2191;455;0.9632;
396;0.1914;456;0.9685;
397;0.1711;457;0.9753;
398;0.1550;458;0.9791;
399;0.1347;459;0.9840;
400;0.1211;460;0.9863;
401;0.1076;461;0.9922;
402;0.0938;462;0.9931;
403;0.0819;463;0.9955;
404;0.0736;464;0.9970;
405;0.0640;465;1.0000;
406;0.0553;466;0.9988;
407;0.0447;467;0.9994;
408;0.0392;468;0.9977;
409;0.0327;469;0.9977;
410;0.0282;470;0.9963;
411;0.0236;471;0.9955;
412;0.0205;472;0.9946;
413;0.0166;473;0.9930;
414;0.0134;474;0.9888;
415;0.0109;475;0.9850;
416;0.0105;476;0.9809;
417;0.0083;477;0.9767;
418;0.0055;478;0.9702;
419;0.0057;479;0.9589;
420;0.0039;480;0.9547;
421;0.0021;481;0.9485;
422;0.0015;482;0.9406;
423;0.0027;483;0.9295;
424;0.0019;484;0.9247;
425;0.0002;485;0.9190;
427;0.0003;486;0.9094;
438;0.0005;487;0.9022;
481;0.0007;488;0.8913;
489;0.0007;489;0.8876;
500;0.0002;490;0.8777;
506;0.0004;491;0.8699;
514;0.0001;492;0.8615;
518;0.0002;493;0.8526;
520;0.0005;494;0.8425;
524;0.0005;495;0.8335;
528;0.0013;496;0.8239;
550;0.0010;497;0.8136;
553;0.0038;498;0.8021;
554;0.0009;499;0.7933;
555;0.0005;500;0.7832;
557;0.0003;501;0.7714;
559;0.0000;502;0.7606;
560;0.0002;503;0.7485;
561;0.0012;504;0.7401;
562;0.0000;505;0.7272;
563;0.0008;506;0.7137;
570;0.0006;507;0.7054;
572;0.0009;508;0.6919;
576;0.0012;509;0.6823;
577;0.0009;510;0.6688;
578;0.0004;511;0.6646;
579;0.0002;512;0.6518;
580;0.0008;513;0.6414;
588;0.0015;514;0.6303;
590;0.0015;515;0.6220;
592;0.0005;516;0.6117;
594;0.0003;517;0.6024;
595;0.0006;518;0.5923;
598;0.0007;519;0.5800;
599;0.0004;520;0.5734;
600;0.0017;521;0.5640;
602;0.0006;522;0.5518;
608;0.0012;523;0.5434;
609;0.0003;524;0.5316;
610;0.0007;525;0.5227;
612;0.0001;526;0.5111;
615;0.0004;527;0.5033;
616;0.0025;528;0.4931;
617;0.0009;529;0.4834;
620;0.0007;530;0.4741;
623;0.0017;531;0.4619;
624;0.0021;532;0.4539;
626;0.0010;533;0.4438;
