Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.0861;500;0.0116;
301;0.0861;501;0.0152;
302;0.0861;502;0.0169;
303;0.0863;503;0.0228;
304;0.0856;504;0.0265;
305;0.0818;505;0.0276;
306;0.0814;506;0.0312;
307;0.0814;507;0.0365;
308;0.0795;508;0.0420;
309;0.0763;509;0.0446;
310;0.0764;510;0.0514;
311;0.0766;511;0.0623;
312;0.0720;512;0.0703;
313;0.0714;513;0.0734;
314;0.0714;514;0.0882;
315;0.0714;515;0.1072;
316;0.0714;516;0.1101;
317;0.0709;517;0.1234;
318;0.0671;518;0.1459;
319;0.0665;519;0.1592;
320;0.0664;520;0.1641;
321;0.0664;521;0.1897;
322;0.0664;522;0.2160;
323;0.0664;523;0.2215;
324;0.0664;524;0.2462;
325;0.0664;525;0.2800;
326;0.0664;526;0.3044;
327;0.0664;527;0.3143;
328;0.0664;528;0.3463;
329;0.0664;529;0.3767;
330;0.0664;530;0.4019;
331;0.0664;531;0.4182;
332;0.0664;532;0.4549;
333;0.0666;533;0.4852;
334;0.0648;534;0.5013;
335;0.0615;535;0.5395;
336;0.0614;536;0.5823;
337;0.0615;537;0.5910;
338;0.0615;538;0.6184;
339;0.0616;539;0.6542;
340;0.0588;540;0.6783;
341;0.0564;541;0.6990;
342;0.0564;542;0.7336;
343;0.0548;543;0.7645;
344;0.0528;544;0.7803;
345;0.0515;545;0.8031;
346;0.0515;546;0.8376;
347;0.0516;547;0.8527;
348;0.0486;548;0.8640;
349;0.0465;549;0.8895;
350;0.0465;550;0.9070;
351;0.0445;551;0.9160;
352;0.0416;552;0.9310;
353;0.0416;553;0.9501;
354;0.0389;554;0.9568;
355;0.0364;555;0.9625;
356;0.0365;556;0.9720;
357;0.0366;557;0.9767;
358;0.0314;558;0.9804;
359;0.0315;559;0.9833;
360;0.0316;560;1.0000;
361;0.0315;561;0.9834;
362;0.0305;562;0.9826;
363;0.0268;563;0.9783;
364;0.0266;564;0.9703;
365;0.0266;565;0.9677;
366;0.0266;566;0.9571;
367;0.0266;567;0.9480;
368;0.0266;568;0.9385;
369;0.0266;569;0.9338;
370;0.0266;570;0.9113;
371;0.0266;571;0.8976;
372;0.0266;572;0.8942;
373;0.0266;573;0.8747;
374;0.0266;574;0.8492;
375;0.0266;575;0.8414;
376;0.0266;576;0.8341;
377;0.0266;577;0.8027;
378;0.0266;578;0.7853;
379;0.0266;579;0.7815;
380;0.0266;580;0.7581;
381;0.0266;581;0.7283;
382;0.0270;582;0.7213;
383;0.0318;583;0.7141;
384;0.0316;584;0.6797;
385;0.0316;585;0.6626;
386;0.0316;586;0.6588;
387;0.0338;587;0.6374;
388;0.0365;588;0.6050;
389;0.0366;589;0.5978;
390;0.0374;590;0.5893;
391;0.0412;591;0.5655;
392;0.0413;592;0.5466;
393;0.0465;593;0.5429;
394;0.0467;594;0.5225;
395;0.0504;595;0.4971;
396;0.0512;596;0.4888;
397;0.0561;597;0.4792;
398;0.0562;598;0.4568;
399;0.0614;599;0.4403;
400;0.0631;600;0.4336;
401;0.0668;601;0.4192;
402;0.0713;602;0.3981;
403;0.0757;603;0.3904;
404;0.0790;604;0.3824;
405;0.0826;605;0.3664;
406;0.0861;606;0.3526;
407;0.0913;607;0.3490;
408;0.0950;608;0.3360;
409;0.1013;609;0.3169;
410;0.1075;610;0.3118;
411;0.1134;611;0.3054;
412;0.1157;612;0.2894;
413;0.1229;613;0.2793;
414;0.1310;614;0.2760;
415;0.1336;615;0.2660;
416;0.1409;616;0.2527;
417;0.1528;617;0.2472;
418;0.1578;618;0.2403;
419;0.1634;619;0.2284;
420;0.1765;620;0.2192;
421;0.1872;621;0.2180;
422;0.1898;622;0.2061;
423;0.1972;623;0.1969;
424;0.2112;624;0.1930;
425;0.2184;625;0.1877;
426;0.2246;626;0.1778;
427;0.2394;627;0.1708;
428;0.2518;628;0.1681;
429;0.2580;629;0.1611;
430;0.2699;630;0.1568;
431;0.2891;631;0.1488;
432;0.2964;632;0.1453;
433;0.3024;633;0.1367;
434;0.3213;634;0.1328;
435;0.3376;635;0.1299;
436;0.3426;636;0.1229;
437;0.3582;637;0.1174;
438;0.3812;638;0.1148;
439;0.3916;639;0.1110;
440;0.3989;640;0.1052;
441;0.4247;641;0.1018;
442;0.4400;642;0.0982;
443;0.4438;643;0.0946;
444;0.4644;644;0.0896;
445;0.4894;645;0.0875;
446;0.4986;646;0.0840;
447;0.5102;647;0.0804;
448;0.5360;648;0.0767;
449;0.5541;649;0.0751;
450;0.5631;650;0.0698;
451;0.5858;651;0.0662;
452;0.6073;652;0.0641;
453;0.6215;653;0.0616;
454;0.6354;654;0.0572;
455;0.6608;655;0.0551;
456;0.6750;656;0.0551;
457;0.6858;657;0.0515;
458;0.7072;658;0.0515;
459;0.7299;659;0.0482;
460;0.7398;660;0.0467;
461;0.7574;661;0.0436;
462;0.7802;662;0.0416;
463;0.7960;663;0.0384;
464;0.8051;664;0.0366;
465;0.8253;665;0.0366;
466;0.8440;666;0.0344;
467;0.8514;667;0.0318;
468;0.8654;668;0.0316;
469;0.8868;669;0.0315;
470;0.8996;670;0.0297;
471;0.9030;671;0.0266;
472;0.9201;672;0.0266;
473;0.9364;673;0.0266;
474;0.9415;674;0.0242;
475;0.9519;675;0.0218;
476;0.9619;676;0.0216;
477;0.9671;677;0.0216;
478;0.9715;678;0.0216;
479;0.9784;679;0.0182;
480;1.0000;680;0.0166;
481;0.9834;681;0.0166;
482;0.9834;682;0.0166;
483;0.9833;683;0.0168;
484;0.9809;684;0.0162;
485;0.9769;685;0.0139;
486;0.9734;686;0.0116;
487;0.9640;687;0.0116;
488;0.9585;688;0.0116;
489;0.9509;689;0.0116;
490;0.9326;690;0.0116;
491;0.9197;691;0.0116;
492;0.9147;692;0.0102;
493;0.8887;693;0.0066;
494;0.8653;694;0.0066;
495;0.8586;695;0.0066;
496;0.8469;696;0.0066;
497;0.8098;697;0.0066;
498;0.7888;698;0.0066;
499;0.7769;699;0.0066;
500;0.7458;700;0.0066;
501;0.7258;701;0.0064;
502;0.6984;702;0.0073;
503;0.6804;703;0.0099;
504;0.6454;704;0.0094;
505;0.6060;705;0.0071;
506;0.6007;706;0.0042;
507;0.5646;707;0.0021;
508;0.5223;708;0.0017;
509;0.5168;709;0.0017;
510;0.4957;710;0.0017;
511;0.4510;711;0.0017;
512;0.4348;712;0.0017;
513;0.4185;713;0.0017;
514;0.3834;714;0.0017;
515;0.3469;715;0.0015;
516;0.3399;716;0.0004;
517;0.3190;717;0.0010;
518;0.2875;718;0.0000;
519;0.2759;;;
520;0.2633;;;
521;0.2375;;;
522;0.2245;;;
523;0.2056;;;
524;0.1866;;;
525;0.1650;;;
526;0.1530;;;
527;0.1461;;;
528;0.1310;;;
529;0.1174;;;
530;0.1107;;;
531;0.0989;;;
532;0.0859;;;
533;0.0789;;;
534;0.0743;;;
535;0.0630;;;
536;0.0563;;;
537;0.0520;;;
538;0.0464;;;
539;0.0405;;;
540;0.0350;;;
541;0.0323;;;
542;0.0266;;;
543;0.0232;;;
544;0.0214;;;
545;0.0164;;;
546;0.0158;;;
547;0.0130;;;
548;0.0117;;;
549;0.0117;;;
550;0.0083;;;
551;0.0065;;;
552;0.0024;;;
553;0.0017;;;
554;0.0018;;;
