Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
500;0.1918;640;0.0758;
501;0.1841;641;0.0705;
502;0.1793;642;0.0719;
503;0.1778;643;0.0756;
504;0.1733;644;0.0793;
505;0.1732;645;0.0841;
506;0.1726;646;0.0902;
507;0.1711;647;0.0987;
508;0.1677;648;0.1069;
509;0.1656;649;0.1158;
510;0.1666;650;0.1268;
511;0.1631;651;0.1401;
512;0.1612;652;0.1534;
513;0.1605;653;0.1705;
514;0.1602;654;0.1864;
515;0.1584;655;0.2077;
516;0.1585;656;0.2244;
517;0.1592;657;0.2481;
518;0.1597;658;0.2731;
519;0.1591;659;0.2950;
520;0.1606;660;0.3219;
521;0.1575;661;0.3498;
522;0.1567;662;0.3802;
523;0.1549;663;0.4105;
524;0.1510;664;0.4487;
525;0.1483;665;0.4795;
526;0.1458;666;0.5196;
527;0.1434;667;0.5551;
528;0.1409;668;0.6010;
529;0.1397;669;0.6346;
530;0.1380;670;0.6795;
531;0.1347;671;0.7161;
532;0.1319;672;0.7483;
533;0.1300;673;0.7871;
534;0.1282;674;0.8158;
535;0.1250;675;0.8455;
536;0.1240;676;0.8758;
537;0.1216;677;0.8913;
538;0.1198;678;0.9227;
539;0.1195;679;0.9474;
540;0.1188;680;0.9683;
541;0.1172;681;0.9787;
542;0.1156;682;0.9883;
543;0.1127;683;1.0000;
544;0.1124;684;0.9933;
545;0.1122;685;0.9896;
546;0.1099;686;0.9834;
547;0.1092;687;0.9629;
548;0.1087;688;0.9479;
549;0.1080;689;0.9342;
550;0.1073;690;0.8966;
551;0.1067;691;0.8528;
552;0.1072;692;0.8329;
553;0.1089;693;0.7952;
554;0.1086;694;0.7602;
555;0.1075;695;0.7304;
556;0.1085;696;0.6959;
557;0.1097;697;0.6634;
558;0.1108;698;0.6352;
559;0.1118;699;0.6052;
560;0.1130;700;0.5803;
561;0.1141;701;0.5561;
562;0.1163;702;0.5331;
563;0.1175;703;0.5180;
564;0.1199;704;0.5015;
565;0.1199;705;0.4821;
566;0.1230;706;0.4698;
567;0.1232;707;0.4630;
568;0.1272;708;0.4530;
569;0.1286;709;0.4421;
570;0.1308;710;0.4327;
571;0.1341;711;0.4185;
572;0.1348;712;0.4090;
573;0.1386;713;0.3902;
574;0.1412;714;0.3819;
575;0.1456;715;0.3650;
576;0.1472;716;0.3505;
577;0.1510;717;0.3394;
578;0.1542;718;0.3287;
579;0.1582;719;0.3183;
580;0.1612;720;0.3059;
581;0.1657;721;0.3013;
582;0.1710;722;0.2918;
583;0.1749;723;0.2856;
584;0.1790;724;0.2798;
585;0.1830;725;0.2775;
586;0.1902;726;0.2709;
587;0.1954;727;0.2611;
588;0.2014;728;0.2597;
589;0.2049;729;0.2564;
590;0.2137;730;0.2512;
591;0.2156;731;0.2450;
592;0.2225;732;0.2435;
593;0.2286;733;0.2361;
594;0.2318;734;0.2318;
595;0.2413;735;0.2320;
596;0.2438;736;0.2284;
597;0.2495;737;0.2246;
598;0.2562;738;0.2208;
599;0.2630;739;0.2165;
600;0.2700;740;0.2136;
601;0.2747;741;0.2103;
602;0.2795;742;0.2079;
603;0.2855;743;0.2026;
604;0.2919;744;0.2023;
605;0.2994;745;0.2030;
606;0.3049;746;0.1943;
607;0.3159;747;0.1941;
608;0.3215;748;0.1938;
609;0.3268;749;0.1884;
610;0.3363;750;0.1892;
611;0.3421;751;0.1834;
612;0.3449;752;0.1872;
613;0.3556;753;0.1803;
614;0.3635;754;0.1811;
615;0.3716;755;0.1804;
616;0.3802;756;0.1750;
617;0.3888;757;0.1752;
618;0.3997;758;0.1740;
619;0.4116;759;0.1675;
620;0.4175;760;0.1698;
621;0.4286;761;0.1673;
622;0.4426;762;0.1640;
623;0.4575;763;0.1660;
624;0.4687;764;0.1636;
625;0.4794;765;0.1592;
626;0.4971;766;0.1567;
627;0.5162;767;0.1548;
628;0.5326;768;0.1549;
629;0.5517;769;0.1508;
630;0.5681;770;0.1453;
631;0.5890;771;0.1469;
632;0.6102;772;0.1424;
633;0.6228;773;0.1411;
634;0.6430;774;0.1370;
635;0.6601;775;0.1323;
636;0.6753;776;0.1332;
637;0.6956;777;0.1316;
638;0.7058;778;0.1311;
639;0.7293;779;0.1294;
640;0.7485;780;0.1240;
641;0.7689;781;0.1206;
642;0.7930;782;0.1220;
