Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
303;0.2045;387;0.0317;
304;0.2032;388;0.0317;
305;0.2008;389;0.0329;
306;0.1867;390;0.0342;
307;0.1867;391;0.0342;
308;0.1841;392;0.0342;
309;0.1841;393;0.0380;
310;0.1828;394;0.0418;
311;0.1803;395;0.0456;
312;0.1803;396;0.0482;
313;0.1815;397;0.0533;
314;0.1841;398;0.0647;
315;0.1880;399;0.0748;
316;0.1918;400;0.0875;
317;0.1931;401;0.1052;
318;0.1956;402;0.1318;
319;0.2059;403;0.1609;
320;0.2072;404;0.1838;
321;0.2046;405;0.2040;
322;0.2072;406;0.2433;
323;0.2072;407;0.3055;
324;0.2136;408;0.3320;
325;0.2264;409;0.3789;
326;0.2315;410;0.4271;
327;0.2302;411;0.4778;
328;0.2315;412;0.5069;
329;0.2392;413;0.5335;
330;0.2469;414;0.5627;
331;0.2609;415;0.6096;
332;0.2660;416;0.6324;
333;0.2788;417;0.6489;
334;0.2891;418;0.6615;
335;0.3032;419;0.6717;
336;0.3197;420;0.6844;
337;0.3300;421;0.6971;
338;0.3441;422;0.7072;
339;0.3632;423;0.7148;
340;0.3734;424;0.7224;
341;0.4003;425;0.7300;
342;0.4272;426;0.7351;
343;0.4476;427;0.7440;
344;0.4578;428;0.7566;
345;0.4745;429;0.7680;
346;0.4911;430;0.7807;
347;0.5154;431;0.8035;
348;0.5346;432;0.8175;
349;0.5576;433;0.8364;
350;0.5857;434;0.8580;
351;0.6049;435;0.8833;
352;0.6254;436;0.8973;
353;0.6419;437;0.9138;
354;0.6688;438;0.9264;
355;0.6905;439;0.9391;
356;0.7033;440;0.9518;
357;0.7226;441;0.9657;
358;0.7583;442;0.9670;
359;0.7774;443;0.9822;
360;0.7851;444;1.0000;
361;0.7992;445;1.0000;
362;0.8337;446;0.9987;
363;0.8594;447;0.9911;
364;0.8683;448;0.9670;
365;0.8798;449;0.9506;
366;0.9156;450;0.9467;
367;0.9182;451;0.9442;
368;0.9322;452;0.9290;
369;0.9386;453;0.9075;
370;0.9412;454;0.8910;
371;0.9437;455;0.8833;
372;0.9450;456;0.8757;
373;0.9604;457;0.8568;
374;0.9655;458;0.8364;
375;0.9617;459;0.8251;
376;0.9706;460;0.8149;
377;0.9706;461;0.8060;
378;0.9770;462;0.7997;
379;0.9987;463;0.7820;
380;1.0000;464;0.7706;
381;0.9910;465;0.7579;
382;0.9796;466;0.7515;
383;0.9758;467;0.7440;
384;0.9681;468;0.7402;
385;0.9578;469;0.7326;
386;0.9451;470;0.7237;
387;0.9310;471;0.7186;
388;0.9119;472;0.7122;
389;0.8939;473;0.7072;
390;0.8659;474;0.6984;
391;0.8314;475;0.6907;
392;0.8045;476;0.6768;
393;0.7764;477;0.6666;
394;0.7432;478;0.6615;
395;0.7239;479;0.6426;
396;0.7087;480;0.6375;
397;0.6830;481;0.6286;
398;0.6601;482;0.6033;
399;0.6383;483;0.5957;
400;0.6230;484;0.5893;
401;0.6089;485;0.5779;
402;0.5924;486;0.5627;
403;0.5629;487;0.5462;
404;0.5374;488;0.5399;
405;0.5093;489;0.5235;
406;0.4785;490;0.5107;
407;0.4491;491;0.4980;
408;0.4223;492;0.4804;
409;0.3789;493;0.4715;
410;0.3380;494;0.4626;
411;0.3060;495;0.4575;
412;0.2677;496;0.4511;
413;0.2319;497;0.4398;
414;0.2012;498;0.4335;
415;0.1795;499;0.4258;
416;0.1551;500;0.4195;
417;0.1283;501;0.4131;
418;0.1079;502;0.4081;
419;0.0938;503;0.4005;
420;0.0823;504;0.3942;
421;0.0696;505;0.3866;
422;0.0593;506;0.3789;
423;0.0529;507;0.3713;
424;0.0478;508;0.3662;
425;0.0452;509;0.3637;
426;0.0415;510;0.3574;
427;0.0389;511;0.3498;
428;0.0402;512;0.3435;
429;0.0389;513;0.3333;
430;0.0377;514;0.3257;
431;0.0351;515;0.3182;
432;0.0338;516;0.3118;
433;0.0351;517;0.3055;
434;0.0351;518;0.2978;
435;0.0351;519;0.2851;
436;0.0325;520;0.2776;
;;521;0.2674;
;;522;0.2573;
;;523;0.2484;
;;524;0.2446;
;;525;0.2395;
;;526;0.2345;
;;527;0.2294;
;;528;0.2256;
;;529;0.2218;
;;530;0.2155;
;;531;0.2129;
;;532;0.2078;
;;533;0.2040;
;;534;0.2002;
;;535;0.1939;
;;536;0.1876;
;;537;0.1825;
;;538;0.1787;
;;539;0.1749;
;;540;0.1711;
;;541;0.1647;
;;542;0.1635;
;;543;0.1622;
;;544;0.1571;
;;545;0.1546;
;;546;0.1483;
;;547;0.1458;
;;548;0.1432;
;;549;0.1394;
;;550;0.1369;
;;551;0.1369;
;;552;0.1344;
;;553;0.1331;
;;554;0.1293;
;;555;0.1267;
;;556;0.1242;
;;557;0.1217;
;;558;0.1204;
;;559;0.1178;
;;560;0.1166;
;;561;0.1153;
;;562;0.1128;
;;563;0.1115;
;;564;0.1115;
;;565;0.1090;
;;566;0.1078;
;;567;0.1052;
;;568;0.1040;
;;569;0.1027;
;;570;0.1014;
;;571;0.0989;
;;572;0.0951;
;;573;0.0938;
;;574;0.0913;
;;575;0.0913;
;;576;0.0900;
;;577;0.0887;
;;578;0.0875;
;;579;0.0875;
;;580;0.0849;
;;581;0.0836;
;;582;0.0811;
;;583;0.0798;
;;584;0.0798;
;;585;0.0798;
;;586;0.0798;
;;587;0.0798;
;;588;0.0786;
;;589;0.0786;
;;590;0.0773;
;;591;0.0748;
;;592;0.0735;
;;593;0.0748;
