Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.2105;650;0.0588;
251;0.2121;651;0.0617;
252;0.2105;652;0.0689;
253;0.2088;653;0.0699;
254;0.2069;654;0.0794;
255;0.2032;655;0.0833;
256;0.2001;656;0.0902;
257;0.1955;657;0.1015;
258;0.1926;658;0.1103;
259;0.1897;659;0.1203;
260;0.1860;660;0.1306;
261;0.1812;661;0.1444;
262;0.1773;662;0.1531;
263;0.1725;663;0.1668;
264;0.1698;664;0.1897;
265;0.1637;665;0.2048;
266;0.1612;666;0.2209;
267;0.1563;667;0.2385;
268;0.1539;668;0.2623;
269;0.1500;669;0.2938;
270;0.1453;670;0.3140;
271;0.1401;671;0.3493;
272;0.1383;672;0.3698;
273;0.1362;673;0.4025;
274;0.1309;674;0.4196;
275;0.1278;675;0.4590;
276;0.1237;676;0.4981;
277;0.1239;677;0.5302;
278;0.1192;678;0.5636;
279;0.1179;679;0.5908;
280;0.1151;680;0.6197;
281;0.1122;681;0.6593;
282;0.1115;682;0.6951;
283;0.1078;683;0.7370;
284;0.1075;684;0.7580;
285;0.1084;685;0.7878;
286;0.1054;686;0.8294;
287;0.1058;687;0.8563;
288;0.1058;688;0.8749;
289;0.1060;689;0.9003;
290;0.1065;690;0.9277;
291;0.1071;691;0.9508;
292;0.1069;692;0.9617;
293;0.1085;693;0.9781;
294;0.1088;694;1.0000;
295;0.1112;695;0.9856;
296;0.1120;696;0.9907;
297;0.1126;697;0.9735;
298;0.1134;698;0.9917;
299;0.1143;699;0.9872;
300;0.1144;700;0.9870;
301;0.1124;701;0.9665;
302;0.1111;702;0.9651;
303;0.1077;703;0.9393;
304;0.1050;704;0.9171;
305;0.1006;705;0.9134;
306;0.0963;706;0.8752;
307;0.0923;707;0.8546;
308;0.0886;708;0.8420;
309;0.0849;709;0.8185;
310;0.0818;710;0.7970;
311;0.0795;711;0.7639;
312;0.0770;712;0.7368;
313;0.0756;713;0.7046;
314;0.0736;714;0.6800;
315;0.0724;715;0.6538;
316;0.0711;716;0.6236;
317;0.0699;717;0.6025;
318;0.0691;718;0.5705;
319;0.0671;719;0.5491;
320;0.0648;720;0.5233;
321;0.0657;721;0.5055;
322;0.0644;722;0.4817;
323;0.0634;723;0.4513;
324;0.0616;724;0.4375;
325;0.0609;725;0.4186;
326;0.0597;726;0.3982;
327;0.0593;727;0.3783;
328;0.0586;728;0.3593;
329;0.0571;729;0.3460;
330;0.0563;730;0.3397;
331;0.0550;731;0.3129;
332;0.0547;732;0.3087;
333;0.0534;733;0.2928;
334;0.0529;734;0.2827;
335;0.0518;735;0.2602;
336;0.0512;736;0.2654;
337;0.0504;737;0.2450;
338;0.0497;738;0.2395;
339;0.0495;739;0.2291;
340;0.0491;740;0.2237;
341;0.0484;741;0.2175;
342;0.0477;742;0.2044;
343;0.0474;743;0.2081;
344;0.0462;744;0.1979;
345;0.0458;745;0.1917;
346;0.0449;746;0.1906;
347;0.0447;747;0.1891;
348;0.0439;748;0.1795;
349;0.0434;749;0.1741;
350;0.0427;750;0.1706;
351;0.0425;751;0.1689;
352;0.0420;752;0.1687;
353;0.0412;753;0.1648;
354;0.0413;754;0.1605;
355;0.0413;755;0.1542;
356;0.0415;756;0.1476;
357;0.0415;757;0.1484;
358;0.0421;758;0.1519;
359;0.0423;759;0.1453;
360;0.0424;760;0.1402;
361;0.0428;761;0.1383;
