Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.4765;500;0.0997;
251;0.5000;501;0.1111;
252;0.5241;502;0.1264;
253;0.5343;503;0.1440;
254;0.5404;504;0.1636;
255;0.5505;505;0.1844;
256;0.5583;506;0.2072;
257;0.5613;507;0.2311;
258;0.5627;508;0.2570;
259;0.5668;509;0.2836;
260;0.5723;510;0.3100;
261;0.5672;511;0.3393;
262;0.5658;512;0.3674;
263;0.5684;513;0.3977;
264;0.5660;514;0.4289;
265;0.5596;515;0.4618;
266;0.5526;516;0.4944;
267;0.5456;517;0.5271;
268;0.5397;518;0.5634;
269;0.5381;519;0.5997;
270;0.5307;520;0.6358;
271;0.5204;521;0.6650;
272;0.5130;522;0.6926;
273;0.5002;523;0.7201;
274;0.4891;524;0.7522;
275;0.4795;525;0.7831;
276;0.4646;526;0.8140;
277;0.4507;527;0.8419;
278;0.4352;528;0.8644;
279;0.4196;529;0.8846;
280;0.4058;530;0.9036;
281;0.3911;531;0.9228;
282;0.3803;532;0.9359;
283;0.3703;533;0.9532;
284;0.3572;534;0.9689;
285;0.3472;535;0.9811;
286;0.3345;536;0.9863;
287;0.3246;537;0.9924;
288;0.3151;538;0.9974;
289;0.3037;539;1.0000;
290;0.2964;540;0.9942;
291;0.2886;541;0.9928;
292;0.2817;542;0.9880;
293;0.2734;543;0.9861;
294;0.2701;544;0.9836;
295;0.2649;545;0.9676;
296;0.2630;546;0.9474;
297;0.2554;547;0.9376;
298;0.2499;548;0.9230;
299;0.2474;549;0.9133;
300;0.2411;550;0.9014;
301;0.2366;551;0.8854;
302;0.2309;552;0.8717;
303;0.2270;553;0.8569;
304;0.2217;554;0.8377;
305;0.2142;555;0.8257;
306;0.2075;556;0.8137;
307;0.2002;557;0.8006;
308;0.1911;558;0.7877;
309;0.1851;559;0.7726;
310;0.1771;560;0.7598;
311;0.1703;561;0.7490;
312;0.1634;562;0.7322;
313;0.1565;563;0.7226;
314;0.1502;564;0.7113;
315;0.1440;565;0.7018;
316;0.1392;566;0.6920;
317;0.1352;567;0.6795;
318;0.1315;568;0.6691;
319;0.1279;569;0.6573;
320;0.1249;570;0.6456;
321;0.1221;571;0.6348;
322;0.1190;572;0.6263;
323;0.1166;573;0.6142;
324;0.1145;574;0.6071;
325;0.1119;575;0.5962;
326;0.1093;576;0.5846;
327;0.1074;577;0.5766;
328;0.1057;578;0.5640;
329;0.1030;579;0.5539;
330;0.1017;580;0.5445;
331;0.0989;581;0.5369;
332;0.0976;582;0.5267;
333;0.0960;583;0.5177;
334;0.0935;584;0.5058;
335;0.0918;585;0.4959;
336;0.0904;586;0.4886;
337;0.0890;587;0.4772;
338;0.0870;588;0.4677;
339;0.0854;589;0.4577;
340;0.0848;590;0.4487;
341;0.0835;591;0.4392;
342;0.0819;592;0.4279;
343;0.0811;593;0.4177;
344;0.0796;594;0.4077;
345;0.0786;595;0.3999;
346;0.0780;596;0.3922;
347;0.0770;597;0.3836;
348;0.0769;598;0.3758;
349;0.0758;599;0.3661;
350;0.0748;600;0.3571;
