Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
220;0.4973;310;0.0252;
221;0.5292;311;0.0290;
222;0.5377;312;0.0375;
223;0.5292;313;0.0509;
224;0.5369;314;0.0720;
225;0.5387;315;0.0954;
226;0.5396;316;0.1224;
227;0.5564;317;0.1450;
228;0.5527;318;0.1680;
229;0.5428;319;0.1896;
230;0.5124;320;0.2165;
231;0.4755;321;0.2513;
232;0.4300;322;0.2986;
233;0.4050;323;0.3506;
234;0.3776;324;0.4117;
235;0.3596;325;0.4673;
236;0.3456;326;0.5248;
237;0.3032;327;0.5688;
238;0.2112;328;0.6020;
239;0.1355;329;0.6226;
240;0.0879;330;0.6315;
241;0.0732;331;0.6357;
242;0.0711;332;0.6353;
243;0.0759;333;0.6382;
244;0.0778;334;0.6449;
245;0.0819;335;0.6577;
246;0.0864;336;0.6798;
247;0.0960;337;0.7080;
248;0.1083;338;0.7466;
249;0.1201;339;0.7899;
250;0.1298;340;0.8415;
251;0.1326;341;0.8888;
252;0.1461;342;0.9318;
253;0.1676;343;0.9640;
254;0.1906;344;0.9876;
255;0.2022;345;1.0000;
256;0.2173;346;0.9947;
257;0.2257;347;0.9857;
258;0.2504;348;0.9655;
259;0.2658;349;0.9422;
260;0.2940;350;0.9165;
261;0.3214;351;0.8953;
262;0.3376;352;0.8728;
263;0.3613;353;0.8500;
264;0.3855;354;0.8298;
265;0.4122;355;0.8138;
266;0.4344;356;0.7979;
267;0.4657;357;0.7884;
268;0.4920;358;0.7794;
269;0.5198;359;0.7759;
270;0.5526;360;0.7717;
271;0.5745;361;0.7672;
272;0.6070;362;0.7567;
273;0.6374;363;0.7467;
274;0.6691;364;0.7296;
275;0.6950;365;0.7110;
276;0.7292;366;0.6920;
277;0.7529;367;0.6715;
278;0.7713;368;0.6479;
279;0.7962;369;0.6253;
280;0.8211;370;0.6008;
281;0.8440;371;0.5761;
282;0.8631;372;0.5523;
283;0.8816;373;0.5291;
284;0.8868;374;0.5061;
285;0.9012;375;0.4848;
286;0.9211;376;0.4659;
287;0.9370;377;0.4495;
288;0.9376;378;0.4332;
289;0.9462;379;0.4174;
290;0.9677;380;0.4024;
291;0.9732;381;0.3879;
292;0.9747;382;0.3721;
293;0.9927;383;0.3582;
294;1.0000;384;0.3424;
295;0.9914;385;0.3277;
296;0.9887;386;0.3149;
297;0.9938;387;0.3027;
298;0.9701;388;0.2892;
299;0.9562;389;0.2778;
300;0.9457;390;0.2658;
301;0.9276;391;0.2539;
302;0.9142;392;0.2414;
303;0.9090;393;0.2309;
304;0.9086;394;0.2198;
305;0.9259;395;0.2093;
306;0.9240;396;0.1978;
307;0.9214;397;0.1890;
308;0.9273;398;0.1796;
309;0.8886;399;0.1712;
310;0.8446;400;0.1629;
311;0.7986;401;0.1546;
312;0.7515;402;0.1468;
313;0.6887;403;0.1394;
314;0.6416;404;0.1315;
315;0.6104;405;0.1250;
316;0.5973;406;0.1188;
317;0.5748;407;0.1130;
318;0.5722;408;0.1066;
319;0.5605;409;0.1017;
320;0.5570;410;0.0964;
321;0.5332;411;0.0906;
322;0.5019;412;0.0862;
323;0.4568;413;0.0818;
324;0.4071;414;0.0772;
325;0.3314;415;0.0738;
326;0.2635;416;0.0694;
327;0.1962;417;0.0664;
328;0.1398;418;0.0633;
329;0.1000;419;0.0598;
330;0.0696;420;0.0563;
331;0.0437;421;0.0539;
332;0.0332;422;0.0510;
333;0.0171;423;0.0487;
334;0.0122;424;0.0463;
335;0.0085;425;0.0440;
336;0.0085;426;0.0416;
337;0.0016;427;0.0394;
338;0.0017;428;0.0369;
339;0.0042;429;0.0353;
341;0.0023;430;0.0328;
342;0.0055;431;0.0314;
343;0.0005;432;0.0294;
347;0.0029;433;0.0282;
350;0.0047;434;0.0264;
351;0.0003;435;0.0251;
352;0.0005;436;0.0233;
354;0.0012;437;0.0225;
355;0.0056;438;0.0212;
356;0.0019;439;0.0202;
358;0.0001;440;0.0191;
359;0.0021;441;0.0182;
363;0.0001;442;0.0173;
364;0.0039;443;0.0167;
367;0.0004;444;0.0157;
368;0.0014;445;0.0151;
369;0.0012;446;0.0144;
371;0.0020;447;0.0138;
372;0.0008;448;0.0132;
374;0.0011;449;0.0124;
376;0.0000;450;0.0118;
378;0.0012;451;0.0113;
379;0.0005;452;0.0105;
380;0.0008;453;0.0101;
381;0.0036;454;0.0097;
382;0.0010;455;0.0090;
385;0.0027;456;0.0087;
387;0.0019;457;0.0082;
388;0.0009;458;0.0078;
389;0.0018;459;0.0073;
390;0.0004;460;0.0070;
391;0.0017;461;0.0068;
392;0.0019;462;0.0065;
393;0.0009;463;0.0061;
394;0.0019;464;0.0060;
395;0.0010;465;0.0056;
396;0.0001;466;0.0055;
399;0.0004;467;0.0054;
400;0.0007;468;0.0050;
402;0.0015;469;0.0049;
403;0.0005;470;0.0047;
407;0.0003;471;0.0045;
408;0.0023;472;0.0044;
410;0.0009;473;0.0042;
411;0.0008;474;0.0040;
412;0.0000;475;0.0039;
413;0.0008;476;0.0039;
415;0.0005;477;0.0037;
416;0.0025;478;0.0036;
418;0.0017;479;0.0036;
419;0.0007;480;0.0033;
420;0.0018;481;0.0032;
422;0.0008;482;0.0031;
423;0.0013;483;0.0030;
424;0.0005;484;0.0029;
429;0.0007;485;0.0029;
432;0.0013;486;0.0028;
433;0.0014;487;0.0028;
435;0.0010;488;0.0027;
436;0.0010;489;0.0026;
437;0.0003;490;0.0025;
438;0.0009;491;0.0024;
439;0.0015;492;0.0025;
440;0.0006;493;0.0024;
443;0.0020;494;0.0023;
444;0.0016;495;0.0023;
448;0.0002;496;0.0022;
449;0.0004;497;0.0022;
453;0.0003;498;0.0022;
455;0.0015;499;0.0021;
456;0.0021;500;0.0020;
460;0.0003;;;
461;0.0009;;;
463;0.0008;;;
464;0.0007;;;
468;0.0005;;;
469;0.0017;;;
470;0.0008;;;
471;0.0005;;;
473;0.0010;;;
474;0.0000;;;
475;0.0000;;;
476;0.0006;;;
478;0.0018;;;
479;0.0009;;;
480;0.0003;;;
481;0.0009;;;
482;0.0009;;;
483;0.0004;;;
484;0.0005;;;
485;0.0004;;;
489;0.0008;;;
490;0.0004;;;
491;0.0012;;;
493;0.0005;;;
495;0.0009;;;
498;0.0003;;;
499;0.0003;;;
501;0.0010;;;
503;0.0006;;;
504;0.0001;;;
507;0.0002;;;
510;0.0008;;;
511;0.0015;;;
512;0.0009;;;
513;0.0006;;;
514;0.0004;;;
515;0.0001;;;
516;0.0012;;;
519;0.0009;;;
520;0.0004;;;
524;0.0003;;;
526;0.0015;;;
