Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
308;0.2036;471;0.0321;
309;0.2049;472;0.0334;
310;0.2062;473;0.0360;
311;0.2075;474;0.0373;
312;0.2126;475;0.0399;
313;0.2113;476;0.0425;
314;0.2139;477;0.0476;
315;0.2139;478;0.0489;
316;0.2126;479;0.0515;
317;0.2152;480;0.0644;
318;0.2139;481;0.0682;
319;0.2139;482;0.0798;
320;0.2165;483;0.0875;
321;0.2165;484;0.1017;
322;0.2152;485;0.1184;
323;0.2165;486;0.1339;
324;0.2178;487;0.1519;
325;0.2178;488;0.1699;
326;0.2165;489;0.2007;
327;0.2139;490;0.2162;
328;0.2178;491;0.2587;
329;0.2178;492;0.3063;
330;0.2152;493;0.3449;
331;0.2139;494;0.3912;
332;0.2139;495;0.4531;
333;0.2165;496;0.4865;
334;0.2165;497;0.5508;
335;0.2165;498;0.6409;
336;0.2178;499;0.7117;
337;0.2217;500;0.7657;
338;0.2294;501;0.8172;
339;0.2346;502;0.8726;
340;0.2409;503;0.9164;
341;0.2500;504;0.9601;
342;0.2551;505;0.9781;
343;0.2603;506;0.9923;
344;0.2706;507;1.0000;
345;0.2835;508;1.0000;
346;0.2912;509;0.9987;
347;0.3002;510;0.9884;
348;0.3119;511;0.9794;
349;0.3261;512;0.9472;
350;0.3389;513;0.9176;
351;0.3557;514;0.8778;
352;0.3711;515;0.8379;
353;0.3814;516;0.7877;
354;0.4034;517;0.7606;
355;0.4227;518;0.7142;
356;0.4433;519;0.6756;
357;0.4574;520;0.6319;
358;0.4755;521;0.6010;
359;0.4962;522;0.5573;
360;0.5193;523;0.5316;
361;0.5425;524;0.5083;
362;0.5631;525;0.4891;
363;0.5915;526;0.4749;
364;0.6044;527;0.4568;
365;0.6250;528;0.4350;
366;0.6443;529;0.4221;
367;0.6778;530;0.4106;
368;0.6933;531;0.3977;
369;0.7088;532;0.3848;
370;0.7371;533;0.3732;
371;0.7474;534;0.3655;
372;0.7706;535;0.3552;
373;0.7887;536;0.3488;
374;0.8015;537;0.3423;
375;0.8131;538;0.3320;
376;0.8260;539;0.3294;
377;0.8402;540;0.3281;
378;0.8569;541;0.3244;
379;0.8711;542;0.3192;
380;0.8802;543;0.3192;
381;0.8878;544;0.3141;
382;0.8969;545;0.3037;
383;0.9085;546;0.2973;
384;0.9201;547;0.2895;
385;0.9316;548;0.2831;
386;0.9407;549;0.2742;
387;0.9471;550;0.2600;
388;0.9549;551;0.2484;
389;0.9742;552;0.2381;
390;0.9871;553;0.2304;
391;0.9923;554;0.2227;
392;0.9923;555;0.2136;
393;0.9923;556;0.2046;
394;0.9987;557;0.1905;
395;1.0000;558;0.1789;
396;0.9987;559;0.1712;
397;0.9948;560;0.1673;
398;0.9935;561;0.1608;
399;0.9935;562;0.1506;
400;0.9948;563;0.1468;
401;0.9832;564;0.1403;
402;0.9691;565;0.1326;
403;0.9626;566;0.1261;
404;0.9536;567;0.1197;
405;0.9316;568;0.1145;
406;0.9124;569;0.1119;
407;0.8969;570;0.1056;
408;0.8802;571;0.1017;
409;0.8686;572;0.0991;
410;0.8492;573;0.0953;
411;0.8364;574;0.0927;
412;0.8131;575;0.0901;
413;0.7951;576;0.0875;
414;0.7822;577;0.0862;
415;0.7693;578;0.0836;
416;0.7539;579;0.0798;
417;0.7294;580;0.0772;
418;0.7049;581;0.0759;
419;0.6933;582;0.0733;
420;0.6650;583;0.0707;
421;0.6301;584;0.0695;
422;0.6186;585;0.0669;
423;0.5940;586;0.0669;
424;0.5722;587;0.0657;
425;0.5374;588;0.0631;
426;0.5090;589;0.0618;
427;0.4897;590;0.0579;
428;0.4574;591;0.0567;
429;0.4343;592;0.0567;
430;0.4085;593;0.0541;
431;0.3943;594;0.0515;
432;0.3763;595;0.0502;
433;0.3466;596;0.0502;
434;0.3183;597;0.0476;
435;0.3054;598;0.0450;
436;0.2847;599;0.0438;
437;0.2706;600;0.0425;
438;0.2538;;;
439;0.2448;;;
440;0.2372;;;
441;0.2294;;;
442;0.2255;;;
443;0.2242;;;
444;0.2230;;;
445;0.2242;;;
446;0.2268;;;
447;0.2294;;;
448;0.2320;;;
449;0.2359;;;
450;0.2385;;;
451;0.2422;;;
452;0.2461;;;
453;0.2474;;;
454;0.2513;;;
455;0.2551;;;
456;0.2590;;;
457;0.2603;;;
458;0.2629;;;
459;0.2668;;;
460;0.2732;;;
461;0.2784;;;
462;0.2823;;;
463;0.2835;;;
464;0.2886;;;
465;0.2925;;;
466;0.2964;;;
467;0.3002;;;
468;0.3028;;;
469;0.3067;;;
470;0.3145;;;
471;0.3145;;;
472;0.3145;;;
473;0.3157;;;
474;0.3170;;;
475;0.3170;;;
476;0.3170;;;
477;0.3157;;;
478;0.3145;;;
479;0.3106;;;
480;0.3067;;;
481;0.3041;;;
482;0.2951;;;
483;0.2886;;;
484;0.2797;;;
485;0.2719;;;
486;0.2642;;;
487;0.2551;;;
488;0.2461;;;
489;0.2346;;;
490;0.2230;;;
491;0.2126;;;
492;0.2010;;;
493;0.1869;;;
494;0.1753;;;
495;0.1649;;;
496;0.1482;;;
497;0.1405;;;
498;0.1302;;;
499;0.1224;;;
500;0.1134;;;
501;0.1031;;;
502;0.0928;;;
