Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.9355;550;0.0208;
301;0.9593;551;0.0220;
302;0.9803;552;0.0250;
303;0.9935;553;0.0283;
304;0.9997;554;0.0315;
305;1.0000;555;0.0348;
306;0.9924;556;0.0405;
307;0.9790;557;0.0450;
308;0.9602;558;0.0501;
309;0.9318;559;0.0569;
310;0.9017;560;0.0620;
311;0.8697;561;0.0714;
312;0.8350;562;0.0774;
313;0.8006;563;0.0846;
314;0.7676;564;0.0923;
315;0.7378;565;0.1022;
316;0.7089;566;0.1135;
317;0.6840;567;0.1240;
318;0.6593;568;0.1359;
319;0.6378;569;0.1524;
320;0.6172;570;0.1666;
321;0.5980;571;0.1826;
322;0.5805;572;0.2017;
323;0.5652;573;0.2115;
324;0.5504;574;0.2271;
325;0.5362;575;0.2432;
326;0.5250;576;0.2677;
327;0.5141;577;0.2836;
328;0.5044;578;0.3030;
329;0.4939;579;0.3231;
330;0.4832;580;0.3454;
331;0.4764;581;0.3738;
332;0.4695;582;0.3954;
333;0.4616;583;0.4142;
334;0.4554;584;0.4473;
335;0.4493;585;0.4766;
336;0.4417;586;0.4872;
337;0.4339;587;0.5122;
338;0.4258;588;0.5395;
339;0.4161;589;0.5641;
340;0.4056;590;0.5869;
341;0.3941;591;0.6116;
342;0.3810;592;0.6382;
343;0.3664;593;0.6620;
344;0.3510;594;0.6778;
345;0.3332;595;0.7144;
346;0.3151;596;0.7416;
347;0.2951;597;0.7557;
348;0.2744;598;0.7806;
349;0.2543;599;0.7932;
350;0.2350;600;0.8097;
351;0.2160;601;0.8275;
352;0.1990;602;0.8454;
353;0.1828;603;0.8594;
354;0.1686;604;0.8786;
355;0.1566;605;0.8961;
356;0.1465;606;0.9117;
357;0.1369;607;0.9126;
358;0.1301;608;0.9330;
359;0.1240;609;0.9515;
360;0.1182;610;0.9486;
361;0.1138;611;0.9656;
362;0.1100;612;0.9670;
363;0.1060;613;0.9746;
364;0.1035;614;0.9732;
365;0.0998;615;0.9890;
366;0.0967;616;0.9914;
367;0.0938;617;1.0000;
368;0.0908;618;0.9986;
369;0.0878;619;0.9913;
370;0.0853;620;0.9999;
371;0.0824;621;0.9858;
372;0.0792;622;0.9972;
373;0.0770;623;0.9948;
374;0.0745;624;0.9860;
375;0.0718;625;0.9914;
376;0.0697;626;0.9845;
377;0.0670;627;0.9798;
378;0.0644;628;0.9764;
379;0.0618;629;0.9670;
380;0.0594;630;0.9706;
381;0.0561;631;0.9553;
382;0.0554;632;0.9525;
383;0.0515;633;0.9453;
384;0.0493;634;0.9346;
385;0.0482;635;0.9288;
386;0.0464;636;0.9235;
387;0.0443;637;0.9122;
388;0.0428;638;0.9144;
389;0.0406;639;0.9000;
390;0.0393;640;0.8951;
391;0.0374;641;0.8819;
392;0.0360;642;0.8848;
393;0.0347;643;0.8762;
394;0.0334;644;0.8622;
395;0.0318;645;0.8513;
396;0.0308;646;0.8375;
397;0.0295;647;0.8250;
398;0.0285;648;0.8249;
399;0.0274;649;0.8120;
400;0.0265;650;0.8081;
401;0.0253;651;0.7955;
402;0.0251;652;0.7889;
403;0.0242;653;0.7749;
404;0.0235;654;0.7776;
405;0.0227;655;0.7598;
406;0.0225;656;0.7537;
407;0.0216;657;0.7431;
408;0.0216;658;0.7292;
409;0.0207;659;0.7266;
410;0.0208;660;0.7111;
411;0.0206;661;0.7035;
412;0.0203;662;0.6917;
413;0.0199;663;0.6952;
414;0.0201;664;0.6828;
415;0.0196;665;0.6700;
416;0.0199;666;0.6641;
417;0.0194;667;0.6553;
418;0.0196;668;0.6372;
419;0.0193;669;0.6241;
420;0.0195;670;0.6177;
421;0.0198;671;0.6196;
422;0.0195;672;0.6006;
423;0.0198;673;0.5940;
424;0.0192;674;0.5887;
425;0.0200;675;0.5780;
426;0.0200;676;0.5748;
427;0.0203;677;0.5635;
428;0.0206;678;0.5549;
429;0.0205;679;0.5398;
430;0.0206;680;0.5384;
431;0.0215;681;0.5362;
432;0.0216;682;0.5162;
433;0.0219;683;0.5022;
434;0.0225;684;0.5023;
435;0.0226;685;0.4877;
436;0.0230;686;0.4831;
437;0.0234;687;0.4737;
438;0.0240;688;0.4573;
439;0.0243;689;0.4596;
440;0.0248;690;0.4495;
441;0.0251;691;0.4383;
442;0.0254;692;0.4348;
443;0.0266;693;0.4178;
444;0.0272;694;0.4093;
445;0.0281;695;0.4022;
446;0.0291;696;0.3916;
447;0.0299;697;0.3868;
448;0.0306;698;0.3856;
449;0.0318;699;0.3794;
450;0.0321;700;0.3702;
451;0.0332;701;0.3588;
452;0.0338;702;0.3519;
453;0.0346;703;0.3357;
454;0.0357;704;0.3423;
455;0.0367;705;0.3329;
456;0.0375;706;0.3231;
457;0.0387;707;0.3141;
458;0.0402;708;0.3131;
459;0.0409;709;0.3036;
460;0.0424;710;0.2959;
461;0.0435;711;0.2944;
462;0.0448;712;0.2831;
463;0.0462;713;0.2867;
464;0.0474;714;0.2716;
465;0.0487;715;0.2705;
466;0.0505;716;0.2602;
467;0.0519;717;0.2614;
468;0.0532;718;0.2552;
469;0.0547;719;0.2441;
470;0.0563;720;0.2506;
471;0.0579;721;0.2378;
472;0.0592;722;0.2271;
473;0.0614;723;0.2285;
474;0.0627;724;0.2242;
475;0.0648;;;
476;0.0666;;;
477;0.0687;;;
478;0.0704;;;
479;0.0721;;;
480;0.0737;;;
481;0.0756;;;
482;0.0775;;;
483;0.0792;;;
484;0.0812;;;
485;0.0830;;;
486;0.0850;;;
487;0.0872;;;
488;0.0894;;;
489;0.0912;;;
490;0.0935;;;
491;0.0956;;;
492;0.0976;;;
493;0.0998;;;
494;0.1021;;;
495;0.1040;;;
496;0.1066;;;
497;0.1088;;;
498;0.1109;;;
499;0.1135;;;
500;0.1158;;;
501;0.1182;;;
502;0.1204;;;
503;0.1229;;;
504;0.1254;;;
505;0.1277;;;
506;0.1302;;;
507;0.1323;;;
508;0.1346;;;
509;0.1364;;;
510;0.1381;;;
511;0.1400;;;
512;0.1418;;;
513;0.1433;;;
514;0.1449;;;
515;0.1465;;;
516;0.1480;;;
517;0.1491;;;
518;0.1508;;;
519;0.1519;;;
520;0.1532;;;
521;0.1543;;;
522;0.1555;;;
523;0.1565;;;
524;0.1572;;;
525;0.1581;;;
526;0.1589;;;
527;0.1595;;;
528;0.1601;;;
529;0.1608;;;
530;0.1614;;;
531;0.1616;;;
532;0.1624;;;
533;0.1623;;;
534;0.1632;;;
535;0.1630;;;
536;0.1631;;;
537;0.1632;;;
538;0.1636;;;
539;0.1631;;;
540;0.1628;;;
541;0.1622;;;
542;0.1620;;;
543;0.1612;;;
544;0.1608;;;
545;0.1596;;;
546;0.1583;;;
547;0.1575;;;
548;0.1562;;;
549;0.1544;;;
550;0.1534;;;
551;0.1516;;;
552;0.1497;;;
553;0.1472;;;
554;0.1450;;;
555;0.1426;;;
556;0.1398;;;
557;0.1372;;;
558;0.1345;;;
559;0.1316;;;
560;0.1285;;;
561;0.1255;;;
562;0.1220;;;
563;0.1189;;;
564;0.1154;;;
565;0.1116;;;
566;0.1081;;;
567;0.1046;;;
568;0.1008;;;
569;0.0976;;;
570;0.0939;;;
571;0.0904;;;
572;0.0866;;;
573;0.0830;;;
574;0.0799;;;
575;0.0763;;;
576;0.0730;;;
577;0.0695;;;
578;0.0663;;;
579;0.0627;;;
580;0.0599;;;
581;0.0567;;;
582;0.0540;;;
583;0.0511;;;
584;0.0486;;;
585;0.0462;;;
586;0.0438;;;
587;0.0414;;;
588;0.0394;;;
589;0.0375;;;
590;0.0355;;;
591;0.0338;;;
592;0.0321;;;
593;0.0306;;;
594;0.0292;;;
595;0.0276;;;
596;0.0261;;;
597;0.0253;;;
598;0.0242;;;
599;0.0232;;;
600;0.0222;;;
601;0.0216;;;
602;0.0207;;;
603;0.0201;;;
604;0.0194;;;
605;0.0188;;;
606;0.0182;;;
607;0.0180;;;
608;0.0174;;;
609;0.0170;;;
610;0.0165;;;
611;0.0161;;;
612;0.0155;;;
613;0.0154;;;
614;0.0149;;;
615;0.0149;;;
616;0.0146;;;
617;0.0145;;;
618;0.0146;;;
619;0.0146;;;
620;0.0142;;;
621;0.0141;;;
622;0.0139;;;
623;0.0138;;;
624;0.0135;;;
625;0.0139;;;
626;0.0137;;;
627;0.0135;;;
628;0.0133;;;
629;0.0132;;;
630;0.0130;;;
631;0.0130;;;
632;0.0132;;;
633;0.0132;;;
634;0.0131;;;
635;0.0133;;;
636;0.0133;;;
637;0.0131;;;
638;0.0130;;;
639;0.0131;;;
640;0.0131;;;
641;0.0131;;;
642;0.0128;;;
643;0.0131;;;
644;0.0130;;;
645;0.0127;;;
646;0.0129;;;
647;0.0128;;;
648;0.0128;;;
649;0.0128;;;
