Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
200;0.0014;275;0.2438;
201;0.0014;276;0.2527;
202;0.0015;277;0.2398;
203;0.0013;278;0.2120;
204;0.0014;279;0.1719;
205;0.0014;280;0.1266;
206;0.0016;281;0.0852;
207;0.0014;282;0.0500;
208;0.0016;283;0.0284;
209;0.0016;284;0.0162;
210;0.0017;285;0.0104;
211;0.0019;286;0.0085;
212;0.0021;287;0.0077;
213;0.0022;288;0.0072;
214;0.0023;289;0.0066;
215;0.0027;290;0.0063;
216;0.0030;291;0.0061;
217;0.0035;292;0.0066;
218;0.0039;293;0.0079;
219;0.0045;294;0.0099;
220;0.0048;295;0.0130;
221;0.0055;296;0.0174;
222;0.0059;297;0.0221;
223;0.0063;298;0.0262;
224;0.0069;299;0.0292;
225;0.0076;300;0.0306;
226;0.0080;301;0.0306;
227;0.0088;302;0.0289;
228;0.0093;303;0.0262;
229;0.0096;304;0.0224;
230;0.0096;305;0.0192;
231;0.0087;306;0.0171;
232;0.0084;307;0.0154;
233;0.0075;308;0.0153;
234;0.0071;309;0.0159;
235;0.0078;310;0.0172;
236;0.0077;311;0.0183;
237;0.0081;312;0.0198;
238;0.0086;313;0.0210;
239;0.0089;314;0.0224;
240;0.0097;315;0.0233;
241;0.0111;316;0.0248;
242;0.0124;317;0.0258;
243;0.0136;318;0.0273;
244;0.0159;319;0.0295;
245;0.0178;320;0.0323;
246;0.0203;321;0.0359;
247;0.0229;322;0.0416;
248;0.0258;323;0.0492;
249;0.0294;324;0.0604;
250;0.0325;325;0.0749;
251;0.0369;326;0.0964;
252;0.0400;327;0.1245;
253;0.0447;328;0.1654;
254;0.0505;329;0.2267;
255;0.0557;330;0.2970;
256;0.0615;331;0.3810;
257;0.0672;332;0.4592;
258;0.0736;333;0.5366;
259;0.0821;334;0.6007;
260;0.0891;335;0.6502;
261;0.0977;336;0.6771;
262;0.1074;337;0.6866;
263;0.1164;338;0.6795;
264;0.1257;339;0.6658;
265;0.1362;340;0.6464;
266;0.1490;341;0.6295;
267;0.1612;342;0.6234;
268;0.1734;343;0.6312;
269;0.1860;344;0.6559;
270;0.2033;345;0.6928;
271;0.2199;346;0.7373;
272;0.2370;347;0.7851;
273;0.2532;348;0.8303;
274;0.2733;349;0.8732;
275;0.2916;350;0.9111;
276;0.3137;351;0.9447;
277;0.3344;352;0.9705;
278;0.3567;353;0.9887;
279;0.3797;354;0.9996;
280;0.4034;355;1.0000;
281;0.4296;356;0.9954;
282;0.4554;357;0.9843;
283;0.4856;358;0.9688;
284;0.5139;359;0.9488;
285;0.5449;360;0.9341;
286;0.5719;361;0.9173;
287;0.5987;362;0.9090;
288;0.6277;363;0.9104;
289;0.6580;364;0.9142;
290;0.6832;365;0.9253;
291;0.7021;366;0.9363;
292;0.7212;367;0.9476;
293;0.7437;368;0.9580;
294;0.7681;369;0.9650;
295;0.7943;370;0.9739;
296;0.8260;371;0.9770;
297;0.8553;372;0.9758;
298;0.8785;373;0.9710;
299;0.9051;374;0.9637;
300;0.9230;375;0.9572;
301;0.9336;376;0.9449;
302;0.9378;377;0.9291;
303;0.9421;378;0.9113;
304;0.9469;379;0.8928;
305;0.9517;380;0.8713;
306;0.9551;381;0.8531;
307;0.9600;382;0.8353;
308;0.9621;383;0.8155;
309;0.9652;384;0.8016;
310;0.9646;385;0.7872;
311;0.9688;386;0.7749;
312;0.9866;387;0.7680;
313;1.0000;388;0.7589;
314;0.9983;389;0.7501;
315;0.9781;390;0.7411;
316;0.9389;391;0.7325;
317;0.9008;392;0.7215;
318;0.8498;393;0.7116;
319;0.8085;394;0.6986;
320;0.7708;395;0.6856;
321;0.7398;396;0.6694;
322;0.7068;397;0.6548;
323;0.6845;398;0.6372;
324;0.6510;399;0.6211;
325;0.6284;400;0.6029;
326;0.6074;401;0.5818;
327;0.5902;402;0.5632;
328;0.5829;403;0.5415;
329;0.5791;404;0.5222;
330;0.5697;405;0.5055;
331;0.5598;406;0.4879;
332;0.5192;407;0.4688;
333;0.4628;408;0.4545;
334;0.3853;409;0.4381;
335;0.2993;410;0.4255;
336;0.2201;411;0.4134;
337;0.1522;412;0.4017;
338;0.1014;413;0.3897;
339;0.0621;414;0.3797;
340;0.0400;415;0.3662;
341;0.0253;416;0.3562;
342;0.0171;417;0.3450;
343;0.0126;418;0.3348;
344;0.0096;419;0.3243;
345;0.0077;420;0.3114;
346;0.0062;421;0.2998;
347;0.0048;422;0.2886;
348;0.0043;423;0.2782;
349;0.0036;424;0.2664;
350;0.0038;425;0.2556;
351;0.0093;426;0.2443;
352;0.0346;427;0.2318;
353;0.0839;428;0.2217;
354;0.1242;429;0.2117;
355;0.1288;430;0.2022;
356;0.0916;431;0.1926;
357;0.0441;432;0.1835;
358;0.0137;433;0.1755;
359;0.0031;434;0.1665;
360;0.0015;435;0.1596;
361;0.0015;436;0.1523;
362;0.0013;437;0.1453;
363;0.0013;438;0.1390;
364;0.0013;439;0.1326;
365;0.0014;440;0.1269;
366;0.0013;441;0.1208;
367;0.0013;442;0.1156;
368;0.0013;443;0.1105;
369;0.0012;444;0.1060;
370;0.0014;445;0.1012;
371;0.0014;446;0.0973;
372;0.0012;447;0.0926;
373;0.0011;448;0.0889;
374;0.0011;449;0.0842;
375;0.0010;450;0.0802;
376;0.0012;451;0.0764;
377;0.0013;452;0.0725;
378;0.0013;453;0.0692;
379;0.0012;454;0.0653;
380;0.0012;455;0.0624;
381;0.0012;456;0.0587;
382;0.0011;457;0.0555;
383;0.0010;458;0.0525;
384;0.0010;459;0.0496;
385;0.0011;460;0.0470;
386;0.0011;461;0.0448;
387;0.0011;462;0.0422;
388;0.0011;463;0.0398;
389;0.0011;464;0.0380;
390;0.0010;465;0.0361;
391;0.0010;466;0.0338;
392;0.0010;467;0.0323;
393;0.0010;468;0.0305;
394;0.0010;469;0.0288;
395;0.0010;470;0.0275;
396;0.0010;471;0.0259;
397;0.0010;472;0.0247;
398;0.0011;473;0.0235;
399;0.0012;474;0.0222;
400;0.0011;475;0.0210;
401;0.0010;476;0.0201;
402;0.0010;477;0.0189;
403;0.0012;478;0.0179;
404;0.0009;479;0.0170;
405;0.0012;480;0.0163;
406;0.0010;481;0.0157;
407;0.0010;482;0.0149;
408;0.0010;483;0.0143;
409;0.0012;484;0.0136;
410;0.0009;485;0.0130;
411;0.0010;486;0.0124;
412;0.0011;487;0.0119;
413;0.0011;488;0.0110;
414;0.0009;489;0.0108;
415;0.0011;490;0.0101;
416;0.0010;491;0.0097;
417;0.0010;492;0.0095;
418;0.0011;493;0.0088;
419;0.0010;494;0.0085;
420;0.0010;495;0.0082;
421;0.0009;496;0.0080;
422;0.0010;497;0.0075;
423;0.0010;498;0.0072;
424;0.0010;499;0.0070;
425;0.0011;500;0.0067;
426;0.0010;;;
427;0.0011;;;
428;0.0011;;;
429;0.0011;;;
430;0.0011;;;
431;0.0010;;;
432;0.0012;;;
433;0.0011;;;
434;0.0010;;;
435;0.0011;;;
436;0.0010;;;
437;0.0011;;;
438;0.0010;;;
439;0.0011;;;
440;0.0011;;;
441;0.0011;;;
442;0.0013;;;
443;0.0011;;;
444;0.0011;;;
445;0.0013;;;
446;0.0013;;;
447;0.0013;;;
448;0.0012;;;
449;0.0011;;;
450;0.0012;;;
451;0.0013;;;
452;0.0013;;;
453;0.0013;;;
454;0.0013;;;
455;0.0014;;;
456;0.0012;;;
457;0.0014;;;
458;0.0014;;;
459;0.0013;;;
460;0.0015;;;
461;0.0014;;;
462;0.0014;;;
463;0.0013;;;
464;0.0015;;;
465;0.0011;;;
466;0.0011;;;
467;0.0012;;;
468;0.0011;;;
469;0.0013;;;
470;0.0011;;;
471;0.0013;;;
472;0.0011;;;
473;0.0011;;;
474;0.0013;;;
475;0.0013;;;
476;0.0012;;;
477;0.0011;;;
478;0.0010;;;
479;0.0011;;;
480;0.0011;;;
481;0.0009;;;
482;0.0010;;;
483;0.0011;;;
484;0.0011;;;
485;0.0011;;;
486;0.0011;;;
487;0.0012;;;
488;0.0010;;;
489;0.0012;;;
490;0.0011;;;
491;0.0011;;;
492;0.0012;;;
493;0.0013;;;
494;0.0014;;;
495;0.0012;;;
496;0.0013;;;
497;0.0013;;;
498;0.0014;;;
499;0.0015;;;
