Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
350;0.1099;480;0.0069;
351;0.1106;481;0.0073;
352;0.1108;482;0.0078;
353;0.1112;483;0.0084;
354;0.1118;484;0.0092;
355;0.1124;485;0.0101;
356;0.1130;486;0.0109;
357;0.1137;487;0.0115;
358;0.1143;488;0.0121;
359;0.1154;489;0.0129;
360;0.1164;490;0.0139;
361;0.1173;491;0.0150;
362;0.1184;492;0.0160;
363;0.1196;493;0.0170;
364;0.1209;494;0.0179;
365;0.1226;495;0.0189;
366;0.1242;496;0.0200;
367;0.1260;497;0.0212;
368;0.1278;498;0.0227;
369;0.1298;499;0.0244;
370;0.1327;500;0.0262;
371;0.1351;501;0.0280;
372;0.1375;502;0.0301;
373;0.1405;503;0.0323;
374;0.1435;504;0.0346;
375;0.1475;505;0.0370;
376;0.1512;506;0.0398;
377;0.1550;507;0.0432;
378;0.1591;508;0.0471;
379;0.1634;509;0.0511;
380;0.1681;510;0.0549;
381;0.1734;511;0.0588;
382;0.1784;512;0.0627;
383;0.1830;513;0.0673;
384;0.1887;514;0.0723;
385;0.1945;515;0.0778;
386;0.2009;516;0.0837;
387;0.2071;517;0.0899;
388;0.2134;518;0.0963;
389;0.2203;519;0.1030;
390;0.2279;520;0.1105;
391;0.2363;521;0.1183;
392;0.2442;522;0.1266;
393;0.2516;523;0.1356;
394;0.2597;524;0.1451;
395;0.2686;525;0.1552;
396;0.2785;526;0.1657;
397;0.2876;527;0.1763;
398;0.2967;528;0.1878;
399;0.3065;529;0.2003;
400;0.3164;530;0.2134;
401;0.3281;531;0.2269;
402;0.3391;532;0.2397;
403;0.3489;533;0.2525;
404;0.3605;534;0.2656;
405;0.3716;535;0.2787;
406;0.3838;536;0.2933;
407;0.3965;537;0.3088;
408;0.4085;538;0.3250;
409;0.4194;539;0.3413;
410;0.4308;540;0.3568;
411;0.4441;541;0.3734;
412;0.4575;542;0.3904;
413;0.4699;543;0.4083;
414;0.4820;544;0.4267;
415;0.4952;545;0.4453;
416;0.5091;546;0.4647;
417;0.5241;547;0.4840;
418;0.5381;548;0.5041;
419;0.5513;549;0.5249;
420;0.5648;550;0.5473;
421;0.5791;551;0.5699;
422;0.5960;552;0.5915;
423;0.6101;553;0.6126;
424;0.6231;554;0.6338;
425;0.6372;555;0.6543;
426;0.6510;556;0.6744;
427;0.6668;557;0.6931;
428;0.6822;558;0.7116;
429;0.6968;559;0.7301;
430;0.7096;560;0.7485;
431;0.7236;561;0.7671;
432;0.7387;562;0.7851;
433;0.7540;563;0.8031;
434;0.7675;564;0.8215;
435;0.7801;565;0.8392;
436;0.7931;566;0.8565;
437;0.8061;567;0.8714;
438;0.8206;568;0.8850;
439;0.8326;569;0.8988;
440;0.8429;570;0.9120;
441;0.8540;571;0.9248;
442;0.8656;572;0.9350;
443;0.8778;573;0.9455;
444;0.8896;574;0.9563;
445;0.8997;575;0.9660;
446;0.9093;576;0.9734;
447;0.9189;577;0.9794;
448;0.9294;578;0.9844;
449;0.9392;579;0.9894;
450;0.9472;580;0.9924;
451;0.9546;581;0.9952;
452;0.9618;582;0.9974;
453;0.9685;583;0.9992;
454;0.9752;584;0.9996;
455;0.9807;585;0.9992;
456;0.9851;586;0.9998;
457;0.9892;587;0.9991;
458;0.9928;588;0.9970;
459;0.9960;589;0.9925;
460;0.9978;590;0.9880;
461;0.9990;591;0.9836;
462;1.0000;592;0.9781;
463;0.9999;593;0.9722;
464;0.9991;594;0.9659;
465;0.9979;595;0.9593;
466;0.9959;596;0.9511;
467;0.9934;597;0.9412;
468;0.9893;598;0.9302;
469;0.9857;599;0.9200;
470;0.9802;600;0.9105;
471;0.9740;601;0.9011;
472;0.9673;602;0.8899;
473;0.9605;603;0.8763;
474;0.9524;604;0.8607;
475;0.9430;605;0.8461;
476;0.9317;606;0.8332;
477;0.9207;607;0.8224;
478;0.9102;608;0.8113;
479;0.8982;609;0.7989;
480;0.8857;610;0.7840;
481;0.8709;611;0.7690;
482;0.8555;612;0.7555;
483;0.8410;613;0.7425;
484;0.8264;614;0.7288;
485;0.8122;615;0.7135;
486;0.7981;616;0.6976;
487;0.7784;617;0.6820;
488;0.7586;618;0.6661;
489;0.7427;619;0.6497;
490;0.7265;620;0.6331;
491;0.7076;621;0.6172;
492;0.6867;622;0.6022;
493;0.6694;623;0.5884;
494;0.6521;624;0.5749;
495;0.6354;625;0.5607;
496;0.6165;626;0.5462;
497;0.5969;627;0.5318;
498;0.5763;628;0.5182;
499;0.5563;629;0.5055;
500;0.5365;630;0.4927;
501;0.5189;631;0.4803;
502;0.4994;632;0.4690;
503;0.4800;633;0.4586;
504;0.4581;634;0.4471;
505;0.4393;635;0.4347;
506;0.4215;636;0.4220;
507;0.4045;637;0.4098;
508;0.3881;638;0.3996;
509;0.3695;639;0.3897;
510;0.3516;640;0.3799;
511;0.3364;641;0.3694;
512;0.3216;642;0.3595;
513;0.3059;643;0.3495;
514;0.2917;644;0.3405;
515;0.2753;645;0.3318;
516;0.2597;646;0.3236;
