Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
250;0.6556;605;0.0274;
251;0.6180;606;0.0180;
252;0.5904;607;0.0192;
253;0.5671;608;0.0209;
254;0.5488;609;0.0232;
255;0.5345;610;0.0271;
256;0.5274;611;0.0326;
257;0.5176;612;0.0386;
258;0.5157;613;0.0435;
259;0.5189;614;0.0506;
260;0.5258;615;0.0589;
261;0.5337;616;0.0680;
262;0.5425;617;0.0800;
263;0.5538;618;0.0915;
264;0.5703;619;0.1029;
265;0.5891;620;0.1235;
266;0.6102;621;0.1391;
267;0.6360;622;0.1588;
268;0.6591;623;0.1797;
269;0.6832;624;0.2103;
270;0.7127;625;0.2371;
271;0.7373;626;0.2677;
272;0.7635;627;0.3039;
273;0.7924;628;0.3425;
274;0.8184;629;0.3775;
275;0.8487;630;0.4244;
276;0.8744;631;0.4660;
277;0.8941;632;0.5048;
278;0.9117;633;0.5563;
279;0.9191;634;0.5976;
280;0.9404;635;0.6534;
281;0.9477;636;0.6943;
282;0.9605;637;0.7412;
283;0.9712;638;0.7852;
284;0.9857;639;0.8362;
285;0.9953;640;0.8655;
286;0.9889;641;0.9019;
287;0.9616;642;0.9328;
288;0.9189;643;0.9541;
289;0.8665;644;0.9797;
290;0.8239;645;0.9900;
291;0.7915;646;0.9996;
292;0.7662;647;0.9997;
293;0.7372;648;1.0000;
294;0.7006;649;0.9961;
295;0.6511;650;0.9789;
296;0.6103;651;0.9706;
297;0.5725;652;0.9502;
298;0.5326;653;0.9253;
299;0.4904;654;0.8972;
300;0.4470;655;0.8698;
301;0.3966;656;0.8349;
302;0.3439;657;0.8021;
303;0.2950;658;0.7668;
304;0.2489;659;0.7350;
305;0.2109;660;0.7042;
306;0.1798;661;0.6760;
307;0.1546;662;0.6353;
308;0.1340;663;0.6023;
309;0.1192;664;0.5681;
310;0.1051;665;0.5415;
311;0.0920;666;0.5100;
312;0.0851;667;0.4809;
313;0.0774;668;0.4544;
314;0.0709;669;0.4284;
315;0.0661;670;0.4026;
316;0.0618;671;0.3786;
317;0.0567;672;0.3579;
318;0.0525;673;0.3401;
319;0.0492;674;0.3188;
320;0.0453;675;0.3020;
321;0.0432;676;0.2858;
322;0.0401;677;0.2675;
323;0.0385;678;0.2515;
324;0.0388;679;0.2423;
325;0.0386;680;0.2268;
326;0.0362;681;0.2187;
327;0.0386;682;0.2085;
328;0.0380;683;0.1957;
329;0.0368;684;0.1880;
330;0.0372;685;0.1814;
331;0.0374;686;0.1721;
332;0.0368;687;0.1631;
333;0.0372;688;0.1573;
334;0.0373;689;0.1508;
335;0.0372;690;0.1440;
336;0.0373;691;0.1394;
337;0.0374;692;0.1347;
338;0.0376;693;0.1315;
339;0.0383;694;0.1270;
340;0.0387;695;0.1236;
341;0.0402;696;0.1213;
342;0.0414;697;0.1192;
343;0.0428;698;0.1176;
344;0.0438;699;0.1147;
345;0.0456;700;0.1141;
346;0.0468;701;0.1108;
347;0.0483;702;0.1078;
348;0.0493;703;0.1076;
349;0.0503;704;0.1065;
350;0.0510;705;0.1054;
351;0.0523;706;0.1040;
352;0.0531;707;0.1015;
353;0.0541;708;0.0997;
354;0.0550;709;0.0991;
355;0.0560;710;0.0986;
356;0.0574;711;0.0980;
357;0.0590;712;0.0958;
358;0.0605;713;0.0944;
359;0.0616;714;0.0941;
360;0.0636;715;0.0906;
361;0.0655;716;0.0871;
362;0.0670;717;0.0838;
363;0.0687;718;0.0851;
364;0.0702;719;0.0824;
365;0.0714;720;0.0813;
366;0.0725;721;0.0782;
367;0.0734;722;0.0753;
368;0.0740;723;0.0742;
369;0.0746;724;0.0706;
370;0.0750;725;0.0692;
371;0.0755;726;0.0675;
372;0.0761;727;0.0632;
373;0.0763;728;0.0587;
374;0.0760;729;0.0589;
375;0.0769;730;0.0564;
376;0.0767;731;0.0553;
377;0.0768;732;0.0523;
378;0.0778;733;0.0494;
379;0.0788;734;0.0462;
380;0.0794;735;0.0451;
381;0.0812;736;0.0449;
382;0.0823;737;0.0401;
383;0.0838;738;0.0399;
384;0.0853;739;0.0378;
385;0.0864;740;0.0364;
386;0.0868;741;0.0348;
387;0.0861;742;0.0330;
388;0.0852;743;0.0300;
389;0.0835;744;0.0295;
390;0.0813;745;0.0286;
391;0.0786;746;0.0257;
392;0.0759;747;0.0253;
393;0.0727;748;0.0236;
394;0.0694;749;0.0239;
395;0.0657;750;0.0215;
396;0.0620;751;0.0224;
397;0.0584;752;0.0194;
398;0.0550;753;0.0194;
399;0.0519;754;0.0182;
400;0.0490;755;0.0163;
401;0.0462;756;0.0167;
402;0.0446;757;0.0163;
403;0.0429;758;0.0157;
404;0.0427;759;0.0152;
405;0.0425;760;0.0147;
406;0.0432;761;0.0129;
407;0.0441;762;0.0121;
408;0.0455;763;0.0120;
409;0.0529;764;0.0127;
410;0.0485;765;0.0112;
411;0.0496;766;0.0110;
412;0.0511;767;0.0099;
413;0.0519;768;0.0099;
414;0.0525;769;0.0106;
415;0.0523;770;0.0105;
416;0.0520;771;0.0087;
417;0.0510;;;
418;0.0496;;;
419;0.0478;;;
420;0.0463;;;
421;0.0441;;;
422;0.0413;;;
423;0.0394;;;
424;0.0368;;;
425;0.0350;;;
426;0.0329;;;
427;0.0312;;;
428;0.0294;;;
429;0.0278;;;
430;0.0271;;;
431;0.0262;;;
432;0.0249;;;
433;0.0244;;;
434;0.0238;;;
435;0.0238;;;
436;0.0227;;;
437;0.0225;;;
438;0.0217;;;
439;0.0216;;;
440;0.0210;;;
441;0.0205;;;
442;0.0203;;;
443;0.0200;;;
444;0.0197;;;
445;0.0194;;;
446;0.0189;;;
447;0.0185;;;
448;0.0181;;;
449;0.0175;;;
450;0.0172;;;
451;0.0170;;;
452;0.0164;;;
453;0.0159;;;
454;0.0153;;;
455;0.0151;;;
456;0.0147;;;
457;0.0145;;;
458;0.0141;;;
459;0.0138;;;
460;0.0134;;;
461;0.0134;;;
462;0.0130;;;
463;0.0129;;;
464;0.0127;;;
465;0.0125;;;
466;0.0121;;;
467;0.0120;;;
468;0.0116;;;
469;0.0114;;;
470;0.0111;;;
471;0.0108;;;
472;0.0105;;;
473;0.0105;;;
474;0.0103;;;
475;0.0102;;;
476;0.0101;;;
477;0.0100;;;
478;0.0098;;;
479;0.0095;;;
480;0.0094;;;
481;0.0094;;;
482;0.0091;;;
483;0.0089;;;
484;0.0089;;;
485;0.0088;;;
486;0.0087;;;
487;0.0088;;;
488;0.0088;;;
489;0.0089;;;
490;0.0091;;;
491;0.0093;;;
492;0.0094;;;
493;0.0097;;;
494;0.0100;;;
495;0.0102;;;
496;0.0103;;;
497;0.0105;;;
498;0.0109;;;
499;0.0112;;;
500;0.0113;;;
501;0.0115;;;
502;0.0120;;;
503;0.0123;;;
504;0.0128;;;
505;0.0133;;;
506;0.0138;;;
507;0.0144;;;
508;0.0149;;;
509;0.0153;;;
510;0.0161;;;
511;0.0167;;;
512;0.0176;;;
513;0.0183;;;
514;0.0191;;;
515;0.0203;;;
516;0.0215;;;
517;0.0228;;;
518;0.0241;;;
519;0.0256;;;
520;0.0271;;;
521;0.0289;;;
522;0.0306;;;
523;0.0326;;;
524;0.0346;;;
525;0.0364;;;
526;0.0388;;;
527;0.0407;;;
528;0.0429;;;
529;0.0452;;;
530;0.0475;;;
531;0.0496;;;
532;0.0519;;;
533;0.0542;;;
534;0.0563;;;
535;0.0585;;;
536;0.0604;;;
537;0.0622;;;
538;0.0640;;;
539;0.0657;;;
540;0.0669;;;
541;0.0684;;;
542;0.0696;;;
543;0.0707;;;
544;0.0722;;;
545;0.0734;;;
546;0.0749;;;
547;0.0764;;;
548;0.0783;;;
549;0.0800;;;
550;0.0824;;;
551;0.0851;;;
552;0.0878;;;
553;0.0914;;;
554;0.0951;;;
555;0.0994;;;
556;0.1040;;;
557;0.1094;;;
558;0.1153;;;
559;0.1218;;;
560;0.1288;;;
561;0.1364;;;
562;0.1446;;;
563;0.1533;;;
564;0.1628;;;
565;0.1725;;;
566;0.1831;;;
567;0.1936;;;
568;0.2050;;;
569;0.2162;;;
570;0.2285;;;
571;0.2402;;;
572;0.2525;;;
573;0.2641;;;
574;0.2758;;;
575;0.2872;;;
576;0.2987;;;
577;0.3092;;;
578;0.3194;;;
579;0.3287;;;
580;0.3371;;;
581;0.3442;;;
582;0.3503;;;
583;0.3550;;;
584;0.3586;;;
585;0.3599;;;
586;0.3602;;;
587;0.3584;;;
588;0.3552;;;
589;0.3506;;;
590;0.3450;;;
591;0.3382;;;
592;0.3307;;;
593;0.3229;;;
594;0.3153;;;
595;0.3080;;;
596;0.3016;;;
597;0.2962;;;
598;0.2922;;;
599;0.2898;;;
600;0.2891;;;
601;0.2900;;;
602;0.2930;;;
603;0.2975;;;
604;0.3040;;;
605;0.3126;;;
606;0.3232;;;
607;0.3360;;;
608;0.3506;;;
609;0.3677;;;
610;0.3865;;;
611;0.4076;;;
612;0.4304;;;
613;0.4553;;;
614;0.4826;;;
615;0.5108;;;
616;0.5414;;;
617;0.5731;;;
618;0.6071;;;
619;0.6411;;;
620;0.6771;;;
621;0.7122;;;
622;0.7482;;;
623;0.7834;;;
624;0.8184;;;
625;0.8520;;;
626;0.8833;;;
627;0.9119;;;
628;0.9373;;;
629;0.9596;;;
630;0.9773;;;
631;0.9894;;;
632;0.9981;;;
633;1.0000;;;
634;0.9964;;;
635;0.9869;;;
636;0.9719;;;
637;0.9512;;;
638;0.9250;;;
639;0.8938;;;
640;0.8584;;;
641;0.8205;;;
642;0.7786;;;
643;0.7350;;;
644;0.6888;;;
645;0.6431;;;
646;0.5957;;;
647;0.5495;;;
648;0.5045;;;
649;0.4611;;;
650;0.4199;;;
651;0.3800;;;
652;0.3433;;;
653;0.3082;;;
654;0.2760;;;
655;0.2457;;;
656;0.2188;;;
657;0.1934;;;
658;0.1711;;;
659;0.1507;;;
660;0.1327;;;
661;0.1165;;;
662;0.1020;;;
663;0.0898;;;
664;0.0785;;;
665;0.0683;;;
666;0.0595;;;
667;0.0521;;;
668;0.0451;;;
