Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.5042;480;0.0036;
301;0.4557;481;0.0048;
302;0.4140;482;0.0055;
303;0.3761;483;0.0069;
304;0.3450;484;0.0083;
305;0.3196;485;0.0101;
306;0.2974;486;0.0122;
307;0.2776;487;0.0150;
308;0.2610;488;0.0184;
309;0.2478;489;0.0232;
310;0.2332;490;0.0284;
311;0.2221;491;0.0347;
312;0.2142;492;0.0430;
313;0.2046;493;0.0551;
314;0.1966;494;0.0684;
315;0.1889;495;0.0868;
316;0.1832;496;0.1087;
317;0.1757;497;0.1382;
318;0.1692;498;0.1728;
319;0.1638;499;0.2140;
320;0.1586;500;0.2650;
321;0.1532;501;0.3241;
322;0.1481;502;0.3916;
323;0.1462;503;0.4668;
324;0.1426;504;0.5519;
325;0.1384;505;0.6353;
326;0.1360;506;0.7210;
327;0.1354;507;0.7983;
328;0.1339;508;0.8687;
329;0.1296;509;0.9255;
330;0.1300;510;0.9650;
331;0.1277;511;0.9941;
332;0.1276;512;1.0000;
333;0.1282;513;0.9939;
334;0.1277;514;0.9716;
335;0.1259;515;0.9390;
336;0.1258;516;0.9035;
337;0.1251;517;0.8543;
338;0.1249;518;0.8059;
339;0.1230;519;0.7656;
340;0.1230;520;0.7238;
341;0.1219;521;0.6775;
342;0.1223;522;0.6366;
343;0.1216;523;0.6008;
344;0.1222;524;0.5685;
345;0.1229;525;0.5370;
346;0.1229;526;0.5136;
347;0.1215;527;0.4845;
348;0.1218;528;0.4648;
349;0.1219;529;0.4417;
350;0.1218;530;0.4243;
351;0.1215;531;0.4053;
352;0.1218;532;0.3874;
353;0.1208;533;0.3749;
354;0.1200;534;0.3632;
355;0.1188;535;0.3533;
356;0.1200;536;0.3442;
357;0.1185;537;0.3333;
358;0.1186;538;0.3232;
359;0.1176;539;0.3140;
360;0.1184;540;0.3079;
361;0.1176;541;0.2976;
362;0.1175;542;0.2885;
363;0.1178;543;0.2800;
364;0.1177;544;0.2724;
365;0.1164;545;0.2627;
366;0.1154;546;0.2534;
367;0.1146;547;0.2447;
368;0.1129;548;0.2345;
369;0.1116;549;0.2245;
370;0.1112;550;0.2148;
371;0.1081;551;0.2060;
372;0.1075;552;0.1962;
373;0.1048;553;0.1889;
374;0.1036;554;0.1803;
375;0.1028;555;0.1714;
376;0.1005;556;0.1634;
377;0.0977;557;0.1562;
378;0.0959;558;0.1478;
379;0.0942;559;0.1420;
380;0.0920;560;0.1353;
381;0.0895;561;0.1277;
382;0.0890;562;0.1230;
383;0.0858;563;0.1156;
384;0.0808;564;0.1102;
385;0.0820;565;0.1054;
386;0.0795;566;0.0996;
387;0.0777;567;0.0950;
388;0.0751;568;0.0908;
389;0.0729;569;0.0845;
390;0.0705;570;0.0804;
391;0.0684;571;0.0773;
392;0.0657;572;0.0741;
393;0.0635;573;0.0690;
394;0.0612;574;0.0670;
395;0.0592;575;0.0631;
396;0.0568;576;0.0597;
397;0.0552;577;0.0561;
398;0.0529;578;0.0540;
399;0.0511;579;0.0528;
400;0.0492;580;0.0503;
401;0.0476;581;0.0489;
402;0.0453;582;0.0470;
403;0.0436;583;0.0460;
404;0.0425;584;0.0439;
405;0.0409;585;0.0427;
406;0.0399;586;0.0410;
407;0.0397;587;0.0396;
408;0.0383;588;0.0370;
409;0.0380;589;0.0359;
410;0.0377;590;0.0352;
411;0.0374;591;0.0342;
412;0.0375;592;0.0329;
413;0.0375;593;0.0317;
414;0.0375;594;0.0302;
415;0.0380;595;0.0296;
416;0.0386;596;0.0284;
417;0.0388;597;0.0274;
418;0.0396;598;0.0267;
419;0.0406;599;0.0253;
420;0.0411;600;0.0242;
421;0.0428;;;
