Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
353;0.0418;451;0.0179;
354;0.0418;452;0.0232;
355;0.0418;453;0.0231;
356;0.0418;454;0.0281;
357;0.0417;455;0.0300;
358;0.0456;456;0.0052;
359;0.0457;457;0.0304;
360;0.0456;458;0.0283;
361;0.0469;459;0.0232;
362;0.0470;460;0.0219;
363;0.0522;461;0.0437;
364;0.0522;462;0.0602;
365;0.0503;463;0.0602;
366;0.0476;464;0.0655;
367;0.0471;465;0.0655;
368;0.0522;466;0.0825;
369;0.0556;467;0.1178;
370;0.0587;468;0.1399;
371;0.0587;469;0.1401;
372;0.0589;470;0.1714;
373;0.0640;471;0.1722;
374;0.0738;472;0.1718;
375;0.0744;473;0.2943;
376;0.0744;474;0.3046;
377;0.0732;475;0.3103;
378;0.1148;476;0.3124;
379;0.1338;477;0.4014;
380;0.1406;478;0.4418;
381;0.1523;479;0.4487;
382;0.1554;480;0.6287;
383;0.1668;481;0.6295;
384;0.1614;482;0.6401;
385;0.1687;483;0.7018;
386;0.1804;484;0.8524;
387;0.2080;485;0.8522;
388;0.2311;486;0.8750;
389;0.2417;487;0.9267;
390;0.2561;488;0.9281;
391;0.2670;489;0.9393;
392;0.2778;490;0.9553;
393;0.2917;491;0.9679;
394;0.3035;492;0.9704;
395;0.3089;493;0.9742;
396;0.3272;494;0.9634;
397;0.3316;495;0.9268;
398;0.3392;496;0.9051;
399;0.3415;497;0.8997;
400;0.3477;498;0.8984;
401;0.3550;499;0.8982;
402;0.3577;500;0.8438;
403;0.3580;501;0.8315;
404;0.3787;502;0.7742;
405;0.3831;503;0.7352;
406;0.3903;504;0.7285;
407;0.3954;505;0.7248;
408;0.3926;506;0.6587;
409;0.4229;507;0.6606;
410;0.4232;508;0.6555;
411;0.4291;509;0.6153;
412;0.4414;510;0.6182;
413;0.4575;511;0.6079;
414;0.4748;512;0.5837;
415;0.4908;513;0.5810;
416;0.5031;514;0.5700;
417;0.5090;515;0.5704;
418;0.5119;516;0.5552;
419;0.5155;517;0.5553;
420;0.5412;518;0.5437;
421;0.5421;519;0.5283;
422;0.5535;520;0.5300;
423;0.6060;521;0.5065;
424;0.6135;522;0.4973;
425;0.6292;523;0.4910;
426;0.6287;524;0.4910;
427;0.6618;525;0.4774;
428;0.6919;526;0.4523;
429;0.6896;527;0.4383;
430;0.7051;528;0.4382;
431;0.7018;529;0.4094;
432;0.7376;530;0.4062;
433;0.7967;531;0.4042;
434;0.7930;532;0.3687;
435;0.8147;533;0.3688;
436;0.8336;534;0.3457;
437;0.8355;535;0.3111;
438;0.8796;536;0.3110;
439;0.8795;537;0.3111;
440;0.8955;538;0.2818;
441;0.9142;539;0.2738;
442;0.9122;540;0.2645;
443;0.9733;541;0.2282;
444;0.9773;542;0.2198;
445;0.9858;543;0.2202;
446;0.9872;544;0.2146;
447;0.9858;545;0.2004;
448;0.9909;546;0.1721;
449;0.9906;547;0.1722;
450;0.9961;548;0.1524;
451;0.9932;549;0.1504;
452;0.9840;550;0.1504;
453;0.9777;551;0.1530;
454;0.9735;552;0.1247;
455;0.9666;553;0.1245;
456;0.9541;554;0.1202;
457;0.9418;555;0.1118;
458;0.9371;556;0.1020;
459;0.9395;557;0.0929;
460;0.9437;558;0.0871;
461;0.9502;559;0.0861;
462;0.9543;560;0.0861;
463;0.9556;561;0.0832;
464;0.9595;562;0.0770;
465;0.9540;563;0.0758;
466;0.9444;564;0.0763;
467;0.8826;565;0.0553;
468;0.8799;566;0.0544;
469;0.8748;567;0.0461;
470;0.8746;568;0.0437;
471;0.8668;569;0.0437;
472;0.8430;570;0.0437;
473;0.8203;571;0.0437;
474;0.8146;572;0.0437;
475;0.8042;573;0.0437;
476;0.7868;574;0.0405;
477;0.6488;575;0.0231;
478;0.6566;576;0.0231;
479;0.6135;577;0.0231;
480;0.5238;578;0.0231;
481;0.5207;579;0.0231;
482;0.4140;580;0.0231;
483;0.4214;581;0.0231;
484;0.3679;582;0.0231;
485;0.3644;583;0.0231;
486;0.2834;584;0.0231;
487;0.2324;585;0.0231;
488;0.2326;586;0.0231;
489;0.1945;587;0.0192;
490;0.1534;588;0.0167;
491;0.1566;589;0.0167;
492;0.1388;590;0.0167;
493;0.0965;591;0.0154;
494;0.0914;592;0.0155;
495;0.0784;593;0.0154;
496;0.0481;594;0.0153;
497;0.0418;595;0.0167;
498;0.0418;596;0.0154;
499;0.0418;597;0.0154;
500;0.0415;598;0.0154;
501;0.0393;599;0.0153;
502;0.0356;;;
503;0.0311;;;
504;0.0267;;;
505;0.0230;;;
506;0.0210;;;
507;0.0209;;;
508;0.0209;;;
509;0.0209;;;
510;0.0209;;;
511;0.0209;;;
512;0.0209;;;
513;0.0092;;;
514;0.0091;;;
