Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
387;0.5839;457;0.3277;
388;0.5839;458;0.3345;
389;0.5794;459;0.3413;
390;0.5794;460;0.3481;
391;0.5839;461;0.3571;
392;0.5885;462;0.3707;
393;0.5975;463;0.3865;
394;0.6088;464;0.4001;
395;0.6179;465;0.4181;
396;0.6246;466;0.4362;
397;0.6314;467;0.4588;
398;0.6472;468;0.4701;
399;0.6608;469;0.4792;
400;0.6744;470;0.4995;
401;0.6902;471;0.5243;
402;0.7015;472;0.5469;
403;0.7083;473;0.5695;
404;0.7196;474;0.5921;
405;0.7332;475;0.6147;
406;0.7467;476;0.6237;
407;0.7512;477;0.6486;
408;0.7626;478;0.6712;
409;0.7761;479;0.6825;
410;0.7874;480;0.7051;
411;0.7919;481;0.7299;
412;0.8010;482;0.7503;
413;0.8146;483;0.7751;
414;0.8236;484;0.7842;
415;0.8349;485;0.8067;
416;0.8440;486;0.8293;
417;0.8485;487;0.8497;
418;0.8553;488;0.8700;
419;0.8688;489;0.8790;
420;0.8801;490;0.8926;
421;0.8960;491;0.9129;
422;0.9118;492;0.9197;
423;0.9276;493;0.9333;
424;0.9457;494;0.9468;
425;0.9502;495;0.9559;
426;0.9638;496;0.9627;
427;0.9705;497;0.9695;
428;0.9728;498;0.9717;
429;0.9796;499;0.9740;
430;0.9796;500;0.9808;
431;0.9751;501;0.9831;
432;0.9729;502;0.9854;
433;0.9706;503;0.9854;
434;0.9594;504;0.9854;
435;0.9458;505;0.9854;
436;0.9256;506;0.9854;
437;0.9075;507;0.9854;
438;0.8962;508;0.9832;
439;0.8850;509;0.9810;
440;0.8669;510;0.9765;
441;0.8534;511;0.9742;
442;0.8331;512;0.9720;
443;0.8151;513;0.9675;
444;0.8106;514;0.9630;
445;0.7948;515;0.9562;
446;0.7790;516;0.9495;
447;0.7677;517;0.9427;
448;0.7519;518;0.9405;
449;0.7520;519;0.9315;
450;0.7407;520;0.9270;
451;0.7181;521;0.9180;
452;0.7136;522;0.9089;
453;0.7136;523;0.8999;
454;0.7114;524;0.8932;
455;0.7092;525;0.8842;
456;0.7047;526;0.8752;
457;0.7002;527;0.8639;
458;0.6934;528;0.8504;
459;0.6844;529;0.8458;
460;0.6438;530;0.8346;
461;0.6122;531;0.8278;
462;0.5603;532;0.8166;
463;0.5197;533;0.8030;
464;0.4791;534;0.7895;
465;0.4610;535;0.7828;
466;0.4294;536;0.7692;
467;0.4024;537;0.7534;
468;0.3685;538;0.7422;
469;0.3550;539;0.7286;
470;0.3437;540;0.7196;
471;0.3166;541;0.7129;
472;0.2896;542;0.6994;
473;0.2715;543;0.6858;
474;0.2580;544;0.6700;
475;0.2467;545;0.6565;
476;0.2355;546;0.6498;
477;0.2220;547;0.6317;
478;0.2084;548;0.6182;
479;0.1972;549;0.6047;
480;0.1927;550;0.5889;
481;0.1882;551;0.5889;
482;0.1769;552;0.5754;
483;0.1634;553;0.5618;
484;0.1566;554;0.5460;
485;0.1453;555;0.5325;
486;0.1386;556;0.5190;
487;0.1341;557;0.5145;
488;0.1228;558;0.4987;
489;0.1161;559;0.4874;
490;0.1138;560;0.4739;
491;0.1071;561;0.4672;
492;0.1048;562;0.4604;
493;0.1048;563;0.4491;
494;0.1026;564;0.4379;
;;565;0.4243;
;;566;0.4131;
;;567;0.4018;
;;568;0.3973;
;;569;0.3883;
;;570;0.3748;
;;571;0.3658;
;;572;0.3613;
;;573;0.3500;
;;574;0.3455;
;;575;0.3342;
;;576;0.3252;
;;577;0.3162;
;;578;0.3094;
;;579;0.3049;
;;580;0.2937;
;;581;0.2869;
;;582;0.2824;
;;583;0.2734;
;;584;0.2666;
;;585;0.2622;
;;586;0.2531;
;;587;0.2464;
;;588;0.2396;
;;589;0.2329;
;;590;0.2261;
;;591;0.2216;
;;592;0.2171;
;;593;0.2104;
;;594;0.2059;
;;595;0.1991;
;;596;0.1924;
;;597;0.1901;
;;598;0.1834;
;;599;0.1789;
;;600;0.1699;
;;601;0.1654;
;;602;0.1609;
;;603;0.1609;
;;604;0.1541;
;;605;0.1496;
;;606;0.1451;
;;607;0.1406;
;;608;0.1361;
;;609;0.1339;
;;610;0.1271;
;;611;0.1226;
;;612;0.1182;
;;613;0.1159;
;;614;0.1114;
;;615;0.1092;
;;616;0.1069;
;;617;0.1024;
;;618;0.0979;
;;619;0.0934;
;;620;0.0912;
;;621;0.0889;
;;622;0.0822;
;;623;0.0822;
;;624;0.0777;
;;625;0.0755;
;;626;0.0710;
;;627;0.0687;
;;628;0.0665;
;;629;0.0642;
;;630;0.0598;
;;631;0.0575;
;;632;0.0553;
;;633;0.0530;
;;634;0.0508;
;;635;0.0486;
;;636;0.0463;
;;637;0.0418;
;;638;0.0396;
;;639;0.0373;
;;640;0.0351;
;;641;0.0328;
;;642;0.0306;
;;643;0.0284;
;;644;0.0261;
;;645;0.0261;
;;646;0.0239;
;;647;0.0217;
;;648;0.0194;
;;649;0.0172;
