Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
402;0.1658;552;0.0257;
403;0.1684;553;0.0259;
404;0.1692;554;0.0329;
405;0.1714;555;0.0310;
406;0.1774;556;0.0260;
407;0.1822;557;0.0257;
408;0.1899;558;0.0254;
409;0.1976;559;0.0255;
410;0.2050;560;0.0283;
411;0.2099;561;0.0308;
412;0.2197;562;0.0308;
413;0.2255;563;0.0308;
414;0.2342;564;0.0308;
415;0.2383;565;0.0308;
416;0.2416;566;0.0309;
417;0.2513;567;0.0357;
418;0.2595;568;0.0423;
419;0.2645;569;0.0461;
420;0.2742;570;0.0474;
421;0.2869;571;0.0467;
422;0.2919;572;0.0446;
423;0.2993;573;0.0415;
424;0.3018;574;0.0378;
425;0.3118;575;0.0341;
426;0.3174;576;0.0308;
427;0.3286;577;0.0283;
428;0.3388;578;0.0272;
429;0.3411;579;0.0279;
430;0.3484;580;0.0309;
431;0.3612;581;0.0367;
432;0.3686;582;0.0439;
433;0.3836;583;0.0436;
434;0.3886;584;0.0462;
435;0.4045;585;0.0488;
436;0.4185;586;0.0494;
437;0.4274;587;0.0537;
438;0.4419;588;0.0567;
439;0.4515;589;0.0582;
440;0.4543;590;0.0605;
441;0.4715;591;0.0628;
442;0.4787;592;0.0652;
443;0.4944;593;0.0695;
444;0.5064;594;0.0718;
445;0.5227;595;0.0745;
446;0.5436;596;0.0763;
447;0.5688;597;0.0811;
448;0.5903;598;0.0858;
449;0.6076;599;0.0874;
450;0.6178;600;0.0904;
451;0.6307;601;0.0938;
452;0.6430;602;0.0960;
453;0.6527;603;0.0982;
454;0.6698;604;0.1030;
455;0.6805;605;0.1081;
456;0.6977;606;0.1131;
457;0.7150;607;0.1157;
458;0.7321;608;0.1157;
459;0.7507;609;0.1203;
460;0.7796;610;0.1205;
461;0.8130;611;0.1259;
462;0.8555;612;0.1283;
463;0.8701;613;0.1311;
464;0.9175;614;0.1339;
465;0.9426;615;0.1366;
466;0.9719;616;0.1414;
467;0.9852;617;0.1464;
468;1.0000;618;0.1465;
469;0.9977;619;0.1511;
470;0.9888;620;0.1542;
471;0.9779;621;0.1743;
472;0.9607;622;0.1720;
473;0.9409;623;0.1757;
474;0.9139;624;0.1892;
475;0.8980;625;0.1932;
476;0.9006;626;0.1953;
477;0.8880;627;0.1953;
478;0.8888;628;0.1976;
479;0.8975;629;0.2101;
480;0.9073;630;0.2152;
481;0.9045;631;0.2187;
482;0.9069;632;0.2345;
483;0.9069;633;0.2426;
484;0.9043;634;0.2511;
485;0.9003;635;0.2626;
486;0.8972;636;0.2624;
487;0.8852;637;0.2698;
488;0.8787;638;0.2775;
489;0.8873;639;0.2849;
490;0.8866;640;0.2944;
491;0.8917;641;0.3006;
492;0.8889;642;0.3068;
493;0.8814;643;0.3161;
494;0.8790;644;0.3232;
495;0.8690;645;0.3322;
496;0.8565;646;0.3396;
497;0.8360;647;0.3573;
498;0.8235;648;0.3647;
499;0.8115;649;0.3723;
500;0.8085;650;0.3842;
501;0.8020;651;0.3925;
502;0.8020;652;0.4000;
503;0.7943;653;0.4046;
504;0.7861;654;0.4238;
505;0.7859;655;0.4302;
506;0.7823;656;0.4365;
507;0.7789;657;0.4473;
508;0.7618;658;0.4672;
509;0.7528;659;0.4750;
510;0.7483;660;0.4897;
511;0.7414;661;0.4997;
512;0.7274;662;0.5034;
513;0.7225;663;0.5100;
514;0.7174;664;0.5306;
515;0.7095;665;0.5361;
516;0.7002;666;0.5422;
517;0.6903;667;0.5704;
518;0.6891;668;0.5902;
519;0.6877;669;0.5838;
520;0.6884;670;0.5944;
521;0.6855;671;0.6108;
522;0.6730;672;0.6316;
523;0.6428;673;0.6269;
524;0.6353;674;0.6396;
525;0.6304;675;0.6481;
526;0.6145;676;0.6614;
527;0.6088;677;0.6712;
528;0.6053;678;0.6733;
529;0.5922;679;0.6903;
530;0.5742;680;0.6992;
531;0.5683;681;0.7031;
532;0.5603;682;0.7241;
533;0.5453;683;0.7311;
534;0.5433;684;0.7414;
535;0.5409;685;0.7424;
536;0.5155;686;0.7475;
537;0.5042;687;0.7615;
538;0.4906;688;0.7787;
539;0.4857;689;0.7790;
540;0.4743;690;0.7886;
541;0.4663;691;0.8009;
542;0.4574;692;0.8140;
543;0.4453;693;0.8196;
544;0.4381;694;0.8271;
545;0.4282;695;0.8327;
546;0.4209;696;0.8411;
547;0.4133;697;0.8454;
548;0.4025;698;0.8559;
549;0.3890;699;0.8634;
550;0.3811;700;0.8758;
551;0.3684;701;0.8781;
552;0.3608;702;0.8903;
553;0.3556;703;0.8974;
554;0.3483;704;0.9016;
555;0.3385;705;0.9125;
556;0.3189;706;0.9233;
557;0.3078;707;0.9223;
558;0.3015;708;0.9270;
559;0.2971;709;0.9307;
560;0.2874;710;0.9348;
561;0.2759;711;0.9434;
562;0.2720;712;0.9487;
563;0.2653;713;0.9558;
564;0.2510;714;0.9592;
565;0.2459;715;0.9538;
566;0.2413;716;0.9580;
