Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
500;0.0271;610;0.0168;
501;0.0263;611;0.0184;
502;0.0266;612;0.0208;
503;0.0279;613;0.0236;
504;0.0288;614;0.0269;
505;0.0294;615;0.0304;
506;0.0303;616;0.0347;
507;0.0316;617;0.0396;
508;0.0330;618;0.0452;
509;0.0342;619;0.0516;
510;0.0351;620;0.0591;
511;0.0371;621;0.0668;
512;0.0381;622;0.0762;
513;0.0401;623;0.0880;
514;0.0408;624;0.1004;
515;0.0439;625;0.1143;
516;0.0446;626;0.1307;
517;0.0460;627;0.1494;
518;0.0487;628;0.1696;
519;0.0515;629;0.1916;
520;0.0528;630;0.2165;
521;0.0547;631;0.2448;
522;0.0565;632;0.2746;
523;0.0580;633;0.3062;
524;0.0609;634;0.3420;
525;0.0639;635;0.3814;
526;0.0657;636;0.4219;
527;0.0685;637;0.4683;
528;0.0713;638;0.5130;
529;0.0740;639;0.5635;
530;0.0774;640;0.6167;
531;0.0806;641;0.6667;
532;0.0832;642;0.7192;
533;0.0867;643;0.7700;
534;0.0896;644;0.8195;
535;0.0931;645;0.8642;
536;0.0959;646;0.9020;
537;0.0986;647;0.9366;
538;0.1032;648;0.9592;
539;0.1070;649;0.9791;
540;0.1118;650;0.9935;
541;0.1156;651;0.9959;
542;0.1175;652;1.0000;
543;0.1224;653;0.9937;
544;0.1263;654;0.9722;
545;0.1299;655;0.9623;
546;0.1334;656;0.9292;
547;0.1375;657;0.8944;
548;0.1410;658;0.8585;
549;0.1448;659;0.8124;
550;0.1475;660;0.7699;
551;0.1540;661;0.7294;
552;0.1579;662;0.6910;
553;0.1632;663;0.6541;
554;0.1669;664;0.6241;
555;0.1706;665;0.5790;
556;0.1761;666;0.5511;
557;0.1820;667;0.5160;
558;0.1878;668;0.4914;
559;0.1920;669;0.4633;
560;0.1984;670;0.4446;
561;0.2037;671;0.4226;
562;0.2135;672;0.4005;
563;0.2193;673;0.3836;
564;0.2283;674;0.3661;
565;0.2352;675;0.3487;
566;0.2432;676;0.3361;
567;0.2529;677;0.3224;
568;0.2618;678;0.3108;
569;0.2710;679;0.3022;
570;0.2822;680;0.2949;
571;0.2932;681;0.2862;
572;0.3054;682;0.2784;
573;0.3207;683;0.2750;
574;0.3292;684;0.2680;
575;0.3445;685;0.2651;
576;0.3576;686;0.2619;
577;0.3675;687;0.2554;
578;0.3790;688;0.2533;
579;0.3897;689;0.2545;
580;0.4018;690;0.2489;
581;0.4132;691;0.2458;
582;0.4235;692;0.2443;
583;0.4334;693;0.2447;
584;0.4430;694;0.2431;
585;0.4496;695;0.2433;
586;0.4592;696;0.2424;
587;0.4668;697;0.2431;
588;0.4733;698;0.2434;
589;0.4770;699;0.2386;
590;0.4836;700;0.2391;
591;0.4914;701;0.2408;
592;0.4949;702;0.2377;
593;0.4996;703;0.2367;
594;0.5032;704;0.2386;
595;0.5092;705;0.2360;
596;0.5114;706;0.2347;
597;0.5158;707;0.2364;
598;0.5186;708;0.2348;
599;0.5264;709;0.2322;
600;0.5275;710;0.2306;
601;0.5337;711;0.2287;
602;0.5408;712;0.2278;
603;0.5488;713;0.2236;
604;0.5544;714;0.2243;
605;0.5602;715;0.2232;
606;0.5685;716;0.2189;
607;0.5778;717;0.2172;
608;0.5889;718;0.2120;
609;0.5981;719;0.2091;
610;0.6118;720;0.2049;
611;0.6225;721;0.2008;
612;0.6348;722;0.1952;
613;0.6520;723;0.1894;
614;0.6618;724;0.1849;
615;0.6804;725;0.1804;
616;0.6989;726;0.1740;
617;0.7164;727;0.1685;
618;0.7348;728;0.1624;
619;0.7526;729;0.1562;
620;0.7686;730;0.1514;
621;0.7912;731;0.1441;
622;0.8076;732;0.1403;
623;0.8290;733;0.1336;
624;0.8468;734;0.1292;
625;0.8689;735;0.1232;
626;0.8841;736;0.1188;
627;0.9034;737;0.1132;
628;0.9244;738;0.1086;
629;0.9378;739;0.1030;
630;0.9510;740;0.0993;
631;0.9639;741;0.0961;
632;0.9794;742;0.0917;
633;0.9879;743;0.0876;
634;0.9954;744;0.0840;
635;1.0000;745;0.0818;
636;0.9951;746;0.0767;
637;0.9897;747;0.0734;
638;0.9848;748;0.0708;
639;0.9705;749;0.0688;
640;0.9539;750;0.0657;
641;0.9333;751;0.0626;
642;0.9072;752;0.0602;
643;0.8752;753;0.0591;
644;0.8364;754;0.0575;
645;0.7996;755;0.0547;
646;0.7539;756;0.0539;
647;0.7134;757;0.0534;
648;0.6660;758;0.0517;
649;0.6172;759;0.0503;
650;0.5690;760;0.0504;
651;0.5123;761;0.0494;
652;0.4658;762;0.0480;
653;0.4118;763;0.0479;
654;0.3633;764;0.0466;
655;0.3200;765;0.0455;
656;0.2866;766;0.0453;
657;0.2518;767;0.0440;
658;0.2212;768;0.0436;
659;0.1936;769;0.0438;
660;0.1674;770;0.0428;
661;0.1473;771;0.0432;
662;0.1302;772;0.0414;
663;0.1126;773;0.0420;
664;0.0998;774;0.0411;
665;0.0856;775;0.0403;
666;0.0761;776;0.0394;
667;0.0642;777;0.0384;
668;0.0578;778;0.0388;
669;0.0510;779;0.0369;
670;0.0459;780;0.0374;
;;781;0.0378;
;;782;0.0362;
;;783;0.0351;
;;784;0.0352;
;;785;0.0346;
;;786;0.0339;
;;787;0.0344;
;;788;0.0339;
;;789;0.0332;
;;790;0.0331;
;;791;0.0341;
;;792;0.0329;
;;793;0.0326;
;;794;0.0317;
;;795;0.0315;
;;796;0.0304;
;;797;0.0313;
;;798;0.0297;
;;799;0.0290;
