Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
326;0.0744;474;0.0168;
327;0.0758;475;0.0231;
328;0.0801;476;0.0252;
329;0.0808;477;0.0301;
330;0.0816;478;0.0357;
331;0.0880;479;0.0385;
332;0.0944;480;0.0484;
333;0.1001;481;0.0568;
334;0.1016;482;0.0701;
335;0.1080;483;0.0841;
336;0.1102;484;0.0932;
337;0.1209;485;0.1247;
338;0.1295;486;0.1451;
339;0.1316;487;0.1591;
340;0.1416;488;0.2018;
341;0.1509;489;0.2418;
342;0.1531;490;0.2768;
343;0.1695;491;0.3462;
344;0.1724;492;0.3861;
345;0.1803;493;0.4527;
346;0.1924;494;0.5557;
347;0.1989;495;0.6370;
348;0.2132;496;0.6713;
349;0.2225;497;0.7617;
350;0.2303;498;0.8276;
351;0.2411;499;0.9096;
352;0.2496;500;0.9467;
353;0.2682;501;0.9853;
354;0.2711;502;0.9930;
355;0.2833;503;1.0000;
356;0.2911;504;1.0000;
357;0.3069;505;0.9993;
358;0.3205;506;0.9937;
359;0.3341;507;0.9657;
360;0.3462;508;0.9313;
361;0.3519;509;0.9040;
362;0.3584;510;0.8641;
363;0.3748;511;0.8157;
364;0.3848;512;0.7786;
365;0.4013;513;0.7260;
366;0.4156;514;0.6910;
367;0.4299;515;0.6699;
368;0.4499;516;0.6377;
369;0.4607;517;0.5880;
370;0.4757;518;0.5655;
371;0.4843;519;0.5347;
372;0.5014;520;0.5228;
373;0.5165;521;0.4983;
374;0.5229;522;0.4625;
375;0.5308;523;0.4492;
376;0.5386;524;0.4261;
377;0.5444;525;0.4142;
378;0.5565;526;0.4029;
379;0.5665;527;0.3875;
380;0.5780;528;0.3735;
381;0.5894;529;0.3679;
382;0.5937;530;0.3623;
383;0.5980;531;0.3539;
384;0.6087;532;0.3462;
385;0.6123;533;0.3322;
386;0.6145;534;0.3231;
387;0.6159;535;0.3161;
388;0.6273;536;0.3062;
389;0.6338;537;0.2957;
390;0.6352;538;0.2831;
391;0.6402;539;0.2747;
392;0.6416;540;0.2614;
393;0.6416;541;0.2502;
394;0.6488;542;0.2376;
395;0.6509;543;0.2179;
396;0.6567;544;0.2109;
397;0.6574;545;0.1990;
398;0.6631;546;0.1906;
399;0.6695;547;0.1801;
400;0.6710;548;0.1668;
401;0.6695;549;0.1549;
402;0.6724;550;0.1493;
403;0.6774;551;0.1451;
404;0.6824;552;0.1346;
405;0.6824;553;0.1261;
406;0.6831;554;0.1198;
407;0.6831;555;0.1121;
408;0.6853;556;0.1065;
409;0.6853;557;0.1002;
410;0.6853;558;0.0932;
411;0.6831;559;0.0904;
412;0.6896;560;0.0855;
413;0.6888;561;0.0806;
414;0.6939;562;0.0778;
415;0.6974;563;0.0722;
416;0.6981;564;0.0687;
417;0.6888;565;0.0638;
418;0.6896;566;0.0596;
419;0.6939;567;0.0575;
420;0.7003;568;0.0533;
421;0.7003;569;0.0512;
422;0.7003;570;0.0491;
423;0.6974;571;0.0484;
424;0.6939;572;0.0442;
425;0.6924;573;0.0421;
426;0.6981;574;0.0421;
427;0.6981;575;0.0378;
428;0.6989;576;0.0371;
429;0.6981;577;0.0357;
430;0.6924;578;0.0315;
431;0.6888;579;0.0308;
432;0.6846;580;0.0301;
433;0.6824;581;0.0287;
434;0.6760;582;0.0252;
435;0.6760;583;0.0245;
436;0.6702;584;0.0245;
437;0.6667;585;0.0231;
438;0.6602;586;0.0224;
439;0.6509;587;0.0210;
440;0.6502;588;0.0189;
441;0.6474;589;0.0168;
442;0.6474;590;0.0161;
443;0.6488;591;0.0147;
444;0.6531;592;0.0147;
445;0.6545;593;0.0133;
446;0.6545;594;0.0133;
447;0.6567;595;0.0119;
448;0.6574;596;0.0119;
449;0.6702;597;0.0098;
450;0.6824;598;0.0098;
451;0.6981;599;0.0098;
452;0.7053;600;0.0098;
453;0.7182;601;0.0098;
454;0.7253;;;
455;0.7332;;;
456;0.7411;;;
457;0.7475;;;
458;0.7554;;;
459;0.7690;;;
460;0.7718;;;
461;0.7818;;;
462;0.7904;;;
463;0.8019;;;
464;0.8026;;;
465;0.8169;;;
466;0.8255;;;
467;0.8469;;;
468;0.8577;;;
469;0.8748;;;
470;0.8927;;;
471;0.9092;;;
472;0.9170;;;
473;0.9292;;;
474;0.9428;;;
475;0.9528;;;
476;0.9535;;;
477;0.9592;;;
478;0.9607;;;
479;0.9592;;;
480;0.9657;;;
481;0.9707;;;
482;0.9764;;;
483;0.9857;;;
484;0.9864;;;
485;0.9986;;;
486;0.9993;;;
487;1.0000;;;
488;1.0000;;;
489;0.9986;;;
490;0.9878;;;
491;0.9850;;;
492;0.9707;;;
493;0.9650;;;
494;0.9578;;;
495;0.9492;;;
496;0.9256;;;
497;0.8920;;;
498;0.8605;;;
499;0.8355;;;
500;0.7432;;;
501;0.6474;;;
502;0.5858;;;
503;0.4964;;;
504;0.4657;;;
505;0.3834;;;
506;0.3176;;;
507;0.2582;;;
508;0.2253;;;
509;0.1903;;;
510;0.1645;;;
511;0.1302;;;
512;0.1001;;;
513;0.0744;;;
514;0.0658;;;
515;0.0522;;;
516;0.0429;;;
517;0.0315;;;
518;0.0293;;;
519;0.0236;;;
520;0.0215;;;
521;0.0172;;;
522;0.0150;;;
523;0.0143;;;
524;0.0107;;;
525;0.0100;;;
526;0.0086;;;
527;0.0086;;;
