Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
550;0.0138;760;0.0062;
551;0.0138;761;0.0087;
552;0.0138;762;0.0100;
553;0.0138;763;0.0112;
554;0.0138;764;0.0137;
555;0.0138;765;0.0150;
556;0.0138;766;0.0200;
557;0.0138;767;0.0224;
558;0.0138;768;0.0237;
559;0.0138;769;0.0287;
560;0.0138;770;0.0337;
561;0.0138;771;0.0424;
562;0.0138;772;0.0474;
563;0.0138;773;0.0524;
564;0.0138;774;0.0586;
565;0.0151;775;0.0661;
566;0.0164;776;0.0736;
567;0.0176;777;0.0898;
568;0.0164;778;0.1022;
569;0.0176;779;0.1160;
570;0.0164;780;0.1209;
571;0.0176;781;0.1421;
572;0.0176;782;0.1571;
573;0.0164;783;0.1658;
574;0.0189;784;0.1945;
575;0.0189;785;0.2332;
576;0.0189;786;0.2469;
577;0.0189;787;0.2656;
578;0.0189;788;0.2818;
579;0.0189;789;0.3217;
580;0.0189;790;0.3466;
581;0.0189;791;0.3815;
582;0.0214;792;0.4239;
583;0.0227;793;0.4688;
584;0.0214;794;0.5125;
585;0.0227;795;0.5424;
586;0.0214;796;0.5611;
587;0.0227;797;0.6259;
588;0.0252;798;0.6733;
589;0.0252;799;0.7157;
590;0.0252;800;0.7556;
591;0.0252;801;0.7855;
592;0.0252;802;0.8117;
593;0.0252;803;0.8479;
594;0.0264;804;0.8716;
595;0.0277;805;0.9052;
596;0.0277;806;0.9314;
597;0.0277;807;0.9676;
598;0.0302;808;0.9838;
599;0.0290;809;0.9875;
600;0.0302;810;0.9975;
601;0.0302;811;1.0000;
602;0.0302;812;1.0000;
603;0.0327;813;0.9988;
604;0.0327;814;0.9925;
605;0.0327;815;0.9825;
606;0.0327;816;0.9776;
607;0.0353;817;0.9688;
608;0.0365;818;0.9601;
609;0.0365;819;0.9439;
610;0.0365;820;0.9190;
611;0.0390;821;0.8853;
612;0.0390;822;0.8529;
613;0.0403;823;0.8204;
614;0.0403;824;0.7506;
615;0.0416;825;0.7282;
616;0.0416;826;0.6870;
617;0.0441;827;0.6396;
618;0.0453;828;0.6272;
619;0.0453;829;0.6010;
620;0.0466;830;0.5686;
621;0.0478;831;0.5274;
622;0.0491;832;0.4975;
623;0.0516;833;0.4352;
624;0.0516;834;0.4052;
625;0.0516;835;0.3728;
626;0.0529;836;0.3616;
627;0.0554;837;0.3329;
628;0.0554;838;0.3217;
629;0.0554;839;0.2992;
630;0.0579;840;0.2618;
631;0.0592;841;0.2282;
632;0.0604;842;0.2070;
633;0.0617;843;0.1858;
634;0.0630;844;0.1758;
635;0.0642;845;0.1584;
636;0.0668;846;0.1459;
637;0.0680;847;0.1334;
638;0.0693;848;0.1147;
639;0.0705;849;0.0960;
640;0.0718;850;0.0798;
641;0.0730;851;0.0723;
642;0.0756;852;0.0623;
643;0.0781;853;0.0499;
644;0.0781;854;0.0399;
645;0.0819;855;0.0337;
646;0.0819;856;0.0249;
647;0.0831;857;0.0212;
648;0.0844;858;0.0174;
649;0.0856;859;0.0137;
650;0.0869;860;0.0112;
651;0.0894;861;0.0100;
652;0.0894;862;0.0087;
653;0.0919;863;0.0075;
654;0.0944;864;0.0075;
655;0.0957;865;0.0075;
656;0.0970;866;0.0062;
657;0.0982;867;0.0062;
658;0.1008;868;0.0062;
659;0.1033;869;0.0062;
660;0.1045;870;0.0062;
661;0.1045;871;0.0062;
662;0.1070;872;0.0062;
663;0.1096;873;0.0062;
664;0.1121;874;0.0062;
665;0.1121;875;0.0062;
666;0.1146;876;0.0062;
667;0.1171;877;0.0062;
668;0.1171;878;0.0062;
669;0.1196;879;0.0062;
670;0.1234;880;0.0062;
671;0.1259;881;0.0062;
672;0.1272;882;0.0050;
673;0.1285;883;0.0050;
674;0.1322;;;
675;0.1335;;;
676;0.1385;;;
677;0.1398;;;
678;0.1423;;;
679;0.1461;;;
680;0.1486;;;
681;0.1511;;;
682;0.1549;;;
683;0.1574;;;
684;0.1625;;;
685;0.1662;;;
686;0.1688;;;
687;0.1725;;;
688;0.1763;;;
689;0.1801;;;
690;0.1851;;;
691;0.1889;;;
692;0.1940;;;
693;0.1965;;;
694;0.2015;;;
695;0.2065;;;
696;0.2116;;;
697;0.2166;;;
698;0.2204;;;
699;0.2242;;;
700;0.2292;;;
701;0.2355;;;
702;0.2380;;;
703;0.2443;;;
704;0.2481;;;
705;0.2557;;;
706;0.2594;;;
707;0.2645;;;
708;0.2695;;;
709;0.2746;;;
710;0.2808;;;
711;0.2834;;;
712;0.2884;;;
713;0.2934;;;
714;0.2972;;;
715;0.3010;;;
