Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
300;0.0580;700;0.0079;
300;0.0542;701;0.0080;
302;0.0524;702;0.0079;
302;0.0563;703;0.0078;
303;0.0579;704;0.0078;
305;0.0567;705;0.0076;
305;0.0538;706;0.0074;
307;0.0551;707;0.0073;
307;0.0570;708;0.0073;
308;0.0554;709;0.0074;
310;0.0561;710;0.0073;
310;0.0552;711;0.0073;
312;0.0550;712;0.0074;
312;0.0560;713;0.0073;
314;0.0546;714;0.0071;
315;0.0546;715;0.0070;
315;0.0538;716;0.0070;
317;0.0535;717;0.0069;
317;0.0530;718;0.0069;
319;0.0535;719;0.0068;
320;0.0530;720;0.0069;
320;0.0529;721;0.0071;
322;0.0518;722;0.0073;
322;0.0527;723;0.0075;
324;0.0520;724;0.0080;
324;0.0507;725;0.0083;
325;0.0505;726;0.0084;
327;0.0498;727;0.0086;
327;0.0498;728;0.0091;
329;0.0485;729;0.0091;
329;0.0492;730;0.0097;
331;0.0480;731;0.0102;
332;0.0478;732;0.0107;
332;0.0472;733;0.0112;
334;0.0470;734;0.0118;
334;0.0469;735;0.0125;
336;0.0463;736;0.0135;
336;0.0465;737;0.0142;
337;0.0457;738;0.0149;
339;0.0455;739;0.0159;
339;0.0449;740;0.0168;
341;0.0440;741;0.0177;
341;0.0432;742;0.0192;
343;0.0418;743;0.0212;
343;0.0406;744;0.0230;
344;0.0388;745;0.0248;
346;0.0371;746;0.0267;
346;0.0359;747;0.0289;
348;0.0344;748;0.0311;
348;0.0327;749;0.0335;
350;0.0312;750;0.0366;
350;0.0298;751;0.0398;
351;0.0291;752;0.0434;
353;0.0273;753;0.0474;
353;0.0280;754;0.0518;
355;0.0263;755;0.0567;
355;0.0259;756;0.0622;
357;0.0256;757;0.0681;
357;0.0253;758;0.0744;
359;0.0252;759;0.0818;
359;0.0253;760;0.0889;
360;0.0255;761;0.0978;
362;0.0257;762;0.1075;
362;0.0260;763;0.1173;
364;0.0266;764;0.1280;
364;0.0272;765;0.1409;
366;0.0282;766;0.1549;
366;0.0287;767;0.1692;
368;0.0295;768;0.1859;
368;0.0302;769;0.2046;
370;0.0314;770;0.2254;
371;0.0324;771;0.2472;
371;0.0331;772;0.2702;
373;0.0343;773;0.2946;
373;0.0353;774;0.3226;
375;0.0367;775;0.3520;
375;0.0379;776;0.3832;
377;0.0403;777;0.4170;
377;0.0392;778;0.4528;
379;0.0419;779;0.4904;
379;0.0436;780;0.5284;
381;0.0460;781;0.5691;
381;0.0475;782;0.6105;
382;0.0492;783;0.6519;
384;0.0530;784;0.6942;
384;0.0513;785;0.7338;
386;0.0553;786;0.7728;
386;0.0568;787;0.8091;
388;0.0583;788;0.8456;
388;0.0595;789;0.8774;
390;0.0610;790;0.9070;
390;0.0622;791;0.9330;
392;0.0642;792;0.9571;
392;0.0634;793;0.9726;
394;0.0654;794;0.9834;
394;0.0662;795;0.9924;
396;0.0674;796;0.9997;
396;0.0684;797;1.0003;
398;0.0697;798;0.9993;
398;0.0710;799;0.9983;
400;0.0755;800;0.9923;
400;0.0733;801;0.9809;
402;0.0786;802;0.9708;
402;0.0821;803;0.9585;
404;0.0870;804;0.9398;
404;0.0922;805;0.9244;
405;0.0978;806;0.9038;
407;0.1137;807;0.8813;
407;0.1058;808;0.8588;
409;0.1235;809;0.8365;
409;0.1324;810;0.8122;
411;0.1428;811;0.7891;
411;0.1512;812;0.7639;
413;0.1610;813;0.7395;
413;0.1671;814;0.7164;
415;0.1764;815;0.6916;
415;0.1729;816;0.6688;
417;0.1786;817;0.6478;
417;0.1792;818;0.6276;
419;0.1789;819;0.6073;
419;0.1785;820;0.5864;
421;0.1779;821;0.5666;
421;0.1783;822;0.5481;
423;0.1806;823;0.5308;
424;0.1862;824;0.5113;
424;0.1930;825;0.4936;
426;0.2014;826;0.4744;
426;0.2141;827;0.4570;
428;0.2328;828;0.4383;
428;0.2590;829;0.4228;
430;0.2910;830;0.4071;
430;0.3174;831;0.3930;
432;0.4033;832;0.3792;
432;0.3581;833;0.3656;
434;0.4748;834;0.3544;
434;0.5314;835;0.3429;
436;0.6003;836;0.3326;
436;0.6605;837;0.3209;
438;0.7479;838;0.3123;
438;0.8292;839;0.3011;
440;0.9455;840;0.2906;
440;0.9042;841;0.2813;
442;0.9808;842;0.2729;
442;0.9999;843;0.2631;
444;0.9944;844;0.2556;
444;0.9639;845;0.2491;
445;0.9210;846;0.2423;
447;0.8007;847;0.2363;
447;0.8610;848;0.2300;
449;0.7021;849;0.2242;
449;0.6220;850;0.2190;
451;0.5389;851;0.2130;
451;0.4715;852;0.2076;
453;0.4054;853;0.2032;
453;0.3402;854;0.1973;
455;0.2305;855;0.1923;
455;0.2796;856;0.1893;
457;0.1884;857;0.1837;
458;0.1522;858;0.1798;
458;0.1260;859;0.1772;
460;0.1005;860;0.1723;
460;0.0851;861;0.1682;
462;0.0683;862;0.1676;
462;0.0573;863;0.1636;
464;0.0396;864;0.1600;
464;0.0470;865;0.1584;
466;0.0332;866;0.1561;
467;0.0275;867;0.1537;
467;0.0233;868;0.1492;
469;0.0200;869;0.1450;
469;0.0178;870;0.1423;
471;0.0137;871;0.1390;
471;0.0153;872;0.1342;
473;0.0118;873;0.1344;
473;0.0107;874;0.1350;
474;0.0098;875;0.1349;
476;0.0087;875;0.1339;
476;0.0081;877;0.1340;
478;0.0067;878;0.1332;
478;0.0073;878;0.1318;
480;0.0064;880;0.1290;
481;0.0060;881;0.1258;
481;0.0058;882;0.1242;
483;0.0055;882;0.1253;
483;0.0051;884;0.1243;
485;0.0049;885;0.1230;
