Absorption wavelength (nm);normalized Absorption;emission wavelength (nm);Normalized emission;
250;0.0825;730;0.2227;
251;0.0837;731;0.2210;
252;0.0830;732;0.2177;
253;0.0835;733;0.2151;
254;0.0838;734;0.2134;
255;0.0834;735;0.2135;
256;0.0837;736;0.2145;
257;0.0842;737;0.2169;
258;0.0861;738;0.2173;
259;0.0870;739;0.2204;
260;0.0873;740;0.2228;
261;0.0895;741;0.2276;
262;0.0914;742;0.2322;
263;0.0948;743;0.2382;
264;0.0963;744;0.2449;
265;0.0993;745;0.2531;
266;0.1050;746;0.2613;
267;0.1073;747;0.2705;
268;0.1099;748;0.2791;
269;0.1124;749;0.2893;
270;0.1117;750;0.3003;
271;0.1110;751;0.3114;
272;0.1114;752;0.3223;
273;0.1075;753;0.3339;
274;0.1064;754;0.3470;
275;0.1036;755;0.3607;
276;0.1016;756;0.3753;
277;0.0991;757;0.3873;
278;0.0948;758;0.4001;
279;0.0917;759;0.4115;
280;0.0899;760;0.4239;
281;0.0848;761;0.4366;
282;0.0808;762;0.4516;
283;0.0808;763;0.4670;
284;0.0773;764;0.4801;
285;0.0756;765;0.4962;
286;0.0731;766;0.5084;
287;0.0729;767;0.5232;
288;0.0724;768;0.5362;
289;0.0721;769;0.5487;
290;0.0730;770;0.5643;
291;0.0717;771;0.5777;
292;0.0729;772;0.5941;
293;0.0733;773;0.6087;
294;0.0723;774;0.6238;
295;0.0740;775;0.6399;
296;0.0764;776;0.6558;
297;0.0768;777;0.6728;
298;0.0782;778;0.6904;
299;0.0784;779;0.7089;
300;0.0785;780;0.7258;
301;0.0794;781;0.7417;
302;0.0807;782;0.7586;
303;0.0798;783;0.7746;
304;0.0796;784;0.7895;
305;0.0810;785;0.8055;
306;0.0807;786;0.8225;
307;0.0793;787;0.8386;
308;0.0798;788;0.8550;
309;0.0791;789;0.8713;
310;0.0787;790;0.8853;
311;0.0792;791;0.9012;
312;0.0792;792;0.9149;
313;0.0777;793;0.9284;
314;0.0770;794;0.9408;
315;0.0786;795;0.9548;
316;0.0780;796;0.9658;
317;0.0781;797;0.9763;
318;0.0772;798;0.9815;
319;0.0763;799;0.9867;
320;0.0789;800;0.9915;
321;0.0776;801;0.9947;
322;0.0773;802;1.0000;
323;0.0772;803;0.9999;
324;0.0744;804;0.9997;
325;0.0742;805;0.9967;
326;0.0706;806;0.9895;
327;0.0698;807;0.9790;
328;0.0658;808;0.9661;
329;0.0630;809;0.9506;
330;0.0611;810;0.9361;
331;0.0573;811;0.9177;
332;0.0544;812;0.8996;
333;0.0520;813;0.8791;
334;0.0502;814;0.8582;
335;0.0481;815;0.8375;
336;0.0456;816;0.8122;
337;0.0441;817;0.7873;
338;0.0433;818;0.7603;
339;0.0431;819;0.7345;
340;0.0427;820;0.7088;
341;0.0424;821;0.6814;
342;0.0429;822;0.6532;
343;0.0430;823;0.6247;
344;0.0434;824;0.5982;
345;0.0438;825;0.5707;
346;0.0438;826;0.5436;
347;0.0442;827;0.5182;
