Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
500;0.0016;508;0.0000;
501;0.0020;617;0.0000;
502;0.0020;618;0.0000;
503;0.0022;620;0.0000;
504;0.0024;621;0.0000;
505;0.0025;622;0.0000;
506;0.0026;623;0.0001;
507;0.0029;624;0.0001;
508;0.0031;625;0.0001;
509;0.0033;626;0.0003;
510;0.0035;627;0.0003;
511;0.0038;628;0.0005;
512;0.0041;629;0.0007;
513;0.0043;630;0.0009;
514;0.0047;631;0.0013;
515;0.0049;632;0.0017;
516;0.0051;633;0.0022;
517;0.0054;634;0.0029;
518;0.0058;635;0.0035;
519;0.0061;636;0.0042;
520;0.0064;637;0.0050;
521;0.0069;638;0.0060;
522;0.0073;639;0.0074;
523;0.0077;640;0.0088;
524;0.0081;641;0.0102;
525;0.0084;642;0.0120;
526;0.0090;643;0.0139;
527;0.0093;644;0.0162;
528;0.0098;645;0.0186;
529;0.0103;646;0.0212;
530;0.0107;647;0.0232;
531;0.0112;648;0.0259;
532;0.0116;649;0.0301;
533;0.0122;650;0.0336;
534;0.0131;651;0.0385;
535;0.0133;652;0.0427;
536;0.0141;653;0.0477;
537;0.0149;654;0.0528;
538;0.0157;655;0.0585;
539;0.0165;656;0.0654;
540;0.0174;657;0.0729;
541;0.0180;658;0.0802;
542;0.0189;659;0.0872;
543;0.0201;660;0.0971;
544;0.0208;661;0.1072;
545;0.0218;662;0.1173;
546;0.0229;663;0.1300;
547;0.0239;664;0.1427;
548;0.0253;665;0.1571;
549;0.0263;666;0.1732;
550;0.0276;667;0.1893;
551;0.0290;668;0.2040;
552;0.0303;669;0.2239;
553;0.0320;670;0.2444;
554;0.0333;671;0.2675;
555;0.0351;672;0.2906;
556;0.0369;673;0.3119;
557;0.0384;674;0.3384;
558;0.0400;675;0.3646;
559;0.0418;676;0.4007;
560;0.0439;677;0.4305;
561;0.0457;678;0.4597;
562;0.0475;679;0.5011;
563;0.0497;680;0.5375;
564;0.0514;681;0.5732;
565;0.0538;682;0.6263;
566;0.0560;683;0.6646;
567;0.0580;684;0.6936;
568;0.0602;685;0.7495;
569;0.0627;686;0.7893;
570;0.0648;687;0.8250;
571;0.0666;688;0.8442;
572;0.0695;689;0.8689;
573;0.0725;690;0.9068;
574;0.0748;691;0.9404;
575;0.0773;692;0.9616;
576;0.0797;693;0.9751;
577;0.0822;694;0.9816;
578;0.0855;695;0.9847;
579;0.0880;696;0.9981;
580;0.0915;697;1.0000;
581;0.0935;698;0.9932;
582;0.0970;699;0.9724;
583;0.1006;700;0.9641;
584;0.1044;701;0.9556;
585;0.1093;702;0.9390;
586;0.1128;703;0.9096;
587;0.1171;704;0.8837;
588;0.1226;705;0.8421;
589;0.1297;706;0.8244;
590;0.1336;707;0.7895;
591;0.1382;708;0.7549;
592;0.1447;709;0.7442;
593;0.1522;710;0.7038;
594;0.1588;711;0.6652;
595;0.1655;712;0.6355;
596;0.1719;713;0.6016;
597;0.1790;714;0.5818;
598;0.1870;715;0.5508;
599;0.1956;716;0.5290;
600;0.2056;717;0.5046;
601;0.2124;718;0.4780;
602;0.2210;719;0.4513;
603;0.2295;720;0.4319;
604;0.2395;721;0.4150;
605;0.2476;722;0.3922;
606;0.2551;723;0.3714;
607;0.2651;724;0.3559;
608;0.2747;725;0.3417;
609;0.2794;726;0.3226;
610;0.2898;727;0.3095;
611;0.2981;728;0.2953;
612;0.3053;729;0.2904;
613;0.3117;730;0.2755;
614;0.3183;731;0.2619;
615;0.3248;732;0.2543;
616;0.3322;733;0.2447;
617;0.3348;734;0.2339;
618;0.3407;735;0.2271;
619;0.3478;736;0.2182;
620;0.3528;737;0.2117;
621;0.3557;738;0.2072;
622;0.3612;739;0.2024;
623;0.3644;740;0.1952;
624;0.3702;741;0.1930;
625;0.3752;742;0.1890;
626;0.3774;743;0.1831;
627;0.3824;744;0.1767;
628;0.3835;745;0.1740;
629;0.3900;746;0.1694;
630;0.3957;747;0.1656;
631;0.4036;748;0.1627;
632;0.4073;749;0.1581;
633;0.4184;750;0.1539;
634;0.4218;751;0.1522;
635;0.4294;752;0.1458;
636;0.4364;753;0.1427;
637;0.4457;754;0.1407;
638;0.4570;755;0.1354;
