wl,abs,wl,em
400,4.605289,640,0.7548319
401,4.526377,641,0.6441227
402,4.443156,642,0.6843802
403,4.391951,643,0.5384462
404,4.292311,644,0.704509
405,4.20519,645,0.7347031
406,4.11181,646,0.7347031
407,4.029615,647,0.8504431
408,3.93018,648,0.9359909
409,3.850038,649,0.8353469
410,3.767021,650,0.9561197
411,3.685955,651,0.9762485
412,3.590523,652,1.112117
413,3.510482,653,1.137279
414,3.433418,654,1.0467
415,3.377082,655,1.152377
416,3.294887,656,1.182569
417,3.231368,657,1.373793
418,3.154406,658,1.293278
419,3.101046,659,1.529791
420,2.991144,660,1.590177
421,2.960462,661,1.393922
422,2.874162,662,1.992761
423,2.833219,663,1.781398
424,2.745996,664,2.390291
425,2.673036,665,2.314818
426,2.63712,666,2.556357
427,2.541688,667,2.772749
428,2.469959,668,3.190413
429,2.423782,669,3.286036
430,2.352875,670,3.668478
431,2.297565,671,4.141513
432,2.237022,672,4.589369
433,2.190845,673,4.846013
434,2.138511,674,5.419683
435,2.07181,675,5.671297
436,2.030662,676,6.743167
437,1.96509,677,7.271542
438,1.925994,678,7.885464
439,1.910601,679,8.997584
440,1.851084,680,9.591389
441,1.829535,681,10.7186
442,1.79875,682,11.88607
443,1.749495,683,13.33033
444,1.724867,684,14.13548
445,1.701368,685,16.36978
446,1.680845,686,17.1699
447,1.648008,687,19.16761
448,1.606859,688,20.66733
449,1.601831,689,22.2373
450,1.547444,690,25.06542
451,1.521688,691,27.07335
452,1.483823,692,29.63979
453,1.461247,693,31.2551
454,1.408811,694,34.05288
455,1.422253,695,36.57908
456,1.392495,696,39.70418
457,1.349396,697,42.4919
458,1.314507,698,45.59177
459,1.306195,699,48.79734
460,1.272434,700,51.88203
461,1.237442,701,54.87621
462,1.215996,702,59.01772
463,1.187263,703,62.47491
464,1.140984,704,66.58114
465,1.121487,705,68.24675
466,1.096859,706,73.32438
467,1.073257,707,74.64783
468,1.071308,708,79.48371
469,1.038368,709,82.73958
470,1.037444,710,85.73374
471,1.005634,711,88.14913
472,0.9974244,712,90.74574
473,0.9788509,713,92.55234
474,0.9563781,714,94.75649
475,0.9603801,715,96.21087
476,0.9306216,716,97.83113
477,0.9122534,717,98.1784
478,0.9050702,718,99.22515
479,0.8936799,719,100
480,0.8948087,720,99.87418
481,0.8855733,721,99.53203
482,0.8824948,722,98.77219
483,0.8753117,723,96.08505
484,0.8475029,724,96.39703
485,0.8537624,725,94.00159
486,0.8629978,726,92.59257
487,0.8455532,727,89.14559
488,0.8218489,728,87.30371
489,0.8414485,729,85.33618
490,0.835189,730,82.34712
491,0.8404224,731,79.27744
492,0.8435009,732,76.22291
493,0.8578671,733,73.46024
494,0.850684,734,70.85358
495,0.8618691,735,66.68684
496,0.8587905,736,65.37344
497,0.8804425,737,61.17653
498,0.8978872,738,57.72444
499,0.9245672,739,55.92296
500,0.9234385,740,52.88344
501,0.9624324,741,51.06679
502,0.9870602,742,48.40488
503,1.011688,743,45.34525
504,1.049758,744,42.47178
505,1.092754,745,40.71053
506,1.122615,746,37.93287
507,1.154426,747,36.45837
508,1.193318,748,35.71354
509,1.22205,749,33.11199
510,1.290802,750,32.04512
511,1.301064,751,30.25864
512,1.369817,752,29.15664
513,1.40368,753,27.92883
514,1.466378,754,26.76121
515,1.49706,755,25.2567
516,1.582334,756,23.34441
517,1.637746,757,23.0072
518,1.679819,758,21.34159
519,1.751547,759,20.99432
520,1.824507,760,20.26466
521,1.895312,761,19.68093
522,1.959857,762,18.64934
523,2.051287,763,18.09579
524,2.110805,764,17.53729
525,2.182533,765,17.26554
526,2.262676,766,16.38991
527,2.359032,767,15.59482
528,2.41547,768,15.25766
529,2.513058,769,14.90036
530,2.611569,770,14.50786
531,2.693559,771,13.76812
532,2.781808,772,13.78826
533,2.899919,773,13.34039
534,3.00038,774,12.95794
535,3.09181,775,12.50001
536,3.208792,776,12.35911
537,3.303096,777,12.23329
538,3.398529,778,12.01189
539,3.525772,779,11.85588
540,3.624283,780,11.34259
541,3.747524,781,11.15138
542,3.861325,782,10.75887
543,3.971124,783,10.74376
544,4.107603,784,10.18519
545,4.211245,785,9.983906
546,4.338488,786,9.868166
547,4.486255,787,9.606493
548,4.636176,788,9.374997
549,4.764343,789,9.661849
550,4.900822,790,9.307258
551,5.061005,791,9.122459
552,5.206617,792,8.937662
553,5.377985,793,8.752863
554,5.55356,794,8.568065
555,5.696094,795,8.383266
556,5.892192,796,8.198468
557,6.067665,797,8.01367
558,6.237904,798,7.828871
559,6.421586,799,7.644073
560,6.651445,800,7.459275
561,6.834204,801,7.274477
562,7.058933,802,7.089678
563,7.241486,803,6.904881
564,7.466317,804,6.720082
565,7.690019,805,6.535283
566,7.923982,806,6.350485
567,8.14553,807,6.165687
568,8.396015,808,5.980889
569,8.64219,809,5.79609
570,8.886415,810,5.611292
571,9.13064,811,5.426494
572,9.396415,812,5.241695
573,9.671527,813,5.056897
574,9.931145,814,4.872099
575,10.21118,815,4.6873
576,10.47696,816,4.502502
577,10.77157,817,4.317704
578,11.03827,818,4.132906
579,11.30927,819,3.948107
580,11.62317,820,3.763309
581,11.89716,821,3.578511
582,12.20613,822,3.393713
583,12.51911,823,3.341391
584,12.80018,824,3.240739
585,13.11726,825,2.908623
586,13.41895,826,2.979067
587,13.7309,827,2.672097
588,14.03362,828,2.495972
589,14.34659,829,2.591595
590,14.67291,830,2.199078
591,15.01062,831,2.128618
592,15.34299,832,2.183974
593,15.69086,833,2.078309
594,16.03986,834,1.912243
595,16.40507,835,1.836754
596,16.77756,836,1.721013
597,17.17058,837,1.509662
598,17.5832,838,1.519727
599,17.9875,839,1.499598
600,18.42044,840,1.429147
601,18.86168,841,1.434179
602,19.33372,842,1.414051
603,19.80883,843,1.212763
604,20.34448,844,1.061796
605,20.86998,845,1.11715
606,21.42307,846,1.11715
607,22.01517,847,0.805153
608,22.59176,848,1.016506
609,23.24553,849,0.8907007
610,23.90022,850,0.9208947
611,24.5744,,
612,25.28337,,
613,26.00271,,
614,26.75088,,
615,27.50705,,
616,28.31259,,
617,29.10489,,
618,29.93812,,
619,30.77341,,
620,31.63631,,
621,32.51983,,
622,33.43219,,
623,34.28893
624,35.20836
625,36.11969
626,37.0104
627,37.93281
628,38.8349
629,39.73884
630,40.62442
631,41.49881
632,42.34846
633,43.158
634,43.98611
635,44.75788
636,45.5275
637,46.20671
638,46.88192
639,47.46581
640,48.07329
641,48.58226
642,49.05327
643,49.48641
644,49.87009
645,50.21395
646,50.51564
647,50.79065
648,51.02257
649,51.2278
650,51.44329
651,51.62492
652,51.80132
653,51.99741
654,52.19741
655,52.43045
656,52.68073
657,52.98868
658,53.32116
659,53.72125
660,54.16979
661,54.71047
662,55.29138
663,55.98085
664,56.75058
665,57.61142
666,58.56779
667,59.6114
668,60.7454
669,61.97474
670,63.28104
671,64.67251
672,66.14812
673,67.71198
674,69.33012
675,71.06023
676,72.79443
677,74.61381
678,76.40353
679,78.32952
680,80.13874
681,82.04328
682,83.94054
683,85.78568
684,87.6932
685,89.25193
686,90.89389
687,92.50188
688,93.98969
689,95.31252
690,96.53867
691,97.59469
692,98.48529
693,99.17282
694,99.6665
695,99.95167
696,100
697,99.8194
698,99.37508
699,98.68139
700,97.7403
701,96.5357
702,95.12052
703,93.40284
704,91.53216
705,89.36378
706,87.03954
707,84.5348
708,81.88218
709,79.09605
710,76.13364
711,73.1701
712,70.03304
713,66.9125
714,63.65958
715,60.49194
716,57.28212
717,54.12658
718,51.01538
719,48.01387
720,45.0411
721,42.15545
722,39.47933
723,36.80506
724,34.24891
725,31.74508
726,29.47728
727,27.28038
728,25.26911
729,23.30802
730,21.55442
731,19.87255
732,18.33834
733,16.91106
734,15.60066
735,14.38046
736,13.26513
737,12.24503
738,11.30712
739,10.45951
740,9.657059
741,8.929616
742,8.254302
743,7.634606
744,7.074222
745,6.532514
746,6.083057
747,5.612975
748,5.220983
749,4.849617
750,4.510985
751,4.182512
752,3.892213
753,3.635571
754,3.376056
755,3.138911
756,2.921468
757,2.722291
758,2.530503
759,2.366215
760,2.214344
761,2.05334
762,1.924967
763,1.795774
764,1.671507
765,1.587362
766,1.473561
767,1.387261
768,1.299012
769,1.240623
770,1.157505
771,1.08044
772,1.026054
773,0.972694
774,0.9019918
775,0.8527363
776,0.81169
777,0.7777242
778,0.7234405
779,0.7069194
780,0.6618711
781,0.6475049
782,0.6228771
783,0.5940421
784,0.5581267
785,0.5560743
786,0.5346277
787,0.5110261
788,0.4905029
789,0.4811649
790,0.4597182
Data Copyright MP Inc.
