wl,abs,wl,em
490,1.3527939,500,4.553498
491,1.3747829,501,4.5098713
492,1.4126424,502,4.5639679
493,1.4397727,503,4.6580969
494,1.4748867,504,4.7267367
495,1.5030521,505,4.7609059
496,1.5461122,506,4.7501346
497,1.6102721,507,4.7986054
498,1.6610738,508,4.8932793
499,1.7375799,509,4.9851186
500,1.813074,510,5.0916976
501,1.9039504,511,5.1971428
502,1.977623,512,5.2830296
503,2.0646538,513,5.2929505
504,2.1443983,514,5.3374529
505,2.2360842,515,5.3434054
506,2.3482122,516,5.3496414
507,2.4455653,517,5.3366025
508,2.565182,518,5.3371694
509,2.6781196,519,5.4457326
510,2.8052251,520,5.4026475
511,2.942248,521,5.3975453
512,3.0642935,522,5.3779869
513,3.2122458,523,5.3502083
514,3.3512927,524,5.3479407
515,3.5146272,525,5.3674991
516,3.6779618,526,5.264605
517,3.8461538,527,5.2243544
518,4.0070596,528,5.2651719
519,4.1665486,529,5.2339919
520,4.3584211,530,5.1543411
521,4.5444242,531,5.1537742
522,4.7500597,532,5.0381247
523,4.9627792,533,5.0100626
524,5.1898688,534,4.9437342
525,5.4280903,535,4.9040506
526,5.6855395,536,4.8776893
527,5.9612045,537,4.7875507
528,6.2123794,538,4.6673659
529,6.504641,539,4.7730945
530,6.8149159,540,4.8175969
531,7.1300483,541,4.8195811
532,7.4508478,542,4.7504181
533,7.7892559,543,4.8079594
534,8.1124843,544,4.7742283
535,8.4597978,545,4.7861334
536,8.82472,546,4.7969047
537,9.1979404,547,4.8320531
538,9.5818879,548,4.820148
539,9.9593586,549,4.8266674
540,10.3649626,550,4.8901613
541,10.7999142,551,4.9145384
542,11.1990414,552,4.8672015
543,11.5987759,553,4.9003657
544,12.0219884,554,4.8504776
545,12.4567376,555,4.9108535
546,12.8929035,556,4.9479861
547,13.3598339,557,5.0282037
548,13.7824392,558,5.0931149
549,14.2568582,559,5.170498
550,14.7264197,560,5.2223702
551,15.2330199,561,5.43978
552,15.7286906,562,5.5849089
553,16.2271949,563,5.7728394
554,16.7384502,564,6.0191615
555,17.400289,565,6.2258001
556,18.1028097,566,6.4145809
557,18.758779,567,6.6300065
558,19.4908496,568,6.8020636
559,20.2437672,569,6.9959466
560,20.9671347,570,7.1022421
561,21.7834026,571,7.2921568
562,22.5788236,572,7.3839961
563,23.4072353,573,7.5271408
564,24.1528666,574,7.4687491
565,25.0318776,575,7.4358684
566,25.9072454,576,7.3156835
567,26.81358,577,7.1371071
568,27.5727719,578,7.037331
569,28.3220463,579,6.9055245
570,29.1670546,580,6.6946342
571,29.9867632,581,6.4636186
572,30.8082934,582,6.1932028
573,31.7136161,583,6.022563
574,32.6286538,584,5.7433601
575,33.4791268,585,5.5741376
576,34.3933549,586,5.3320672
577,35.379434,587,5.1302475
578,36.2335502,588,4.8740044
579,37.1574933,589,4.7019473
580,38.1542995,590,4.5783611
581,39.242994,591,4.3450778
582,40.3648817,592,4.0942204
583,41.3841539,593,4.0284589
584,42.5627128,594,3.9734686
585,43.6281316,595,3.8328751
586,44.7273507,596,3.6815102
587,45.7792089,597,3.5491369
588,46.9622205,598,3.3501516
589,48.1104198,599,3.2089912
590,49.1657188,600,3.0743502
591,50.4051992,601,3.0210607
592,51.5260748,602,2.9224184
593,52.6471529,603,2.8314295
594,53.6425423,604,2.7730378
595,54.6371221,605,2.7171972
596,55.6414169,606,2.5533604
597,56.5801351,607,2.4666232
598,57.6040625,608,2.4674736
599,58.6684693,609,2.3906573
600,59.6988735,610,2.3597608
601,60.8300714,611,2.3138411
602,61.7475378,612,2.2628192
603,62.7079125,613,2.2075456
604,63.6881221,614,2.270756
605,64.7598152,615,2.3351002
606,65.6641259,616,2.3214944
607,66.72408,617,2.3042036
608,67.8075122,618,2.3200771
609,68.8320468,619,2.3591939
610,69.7319047,620,2.3557924
611,70.6374297,621,2.380453
612,71.3433911,622,2.4660563
613,72.2260453,623,2.483347
614,72.8372848,624,2.5499589
615,73.500338,625,2.5817058
616,74.4406754,626,2.6075002
617,75.304709,627,2.5780209
618,75.9517728,628,2.5309674
619,76.5709058,629,2.5383373
620,77.1870029,630,2.6349953
621,77.9775663,631,2.7347714
622,78.7950485,632,2.7478103
623,79.5176065,633,2.8558066
624,80.1039512,634,2.8359647
625,80.8449273,635,2.8881204
626,81.43026,636,2.9442445
627,82.0979683,637,3.0026361
628,82.8814479,638,3.0930582
629,83.3601172,639,3.2305337
630,83.8236068,640,3.3787806
631,84.4324176,641,3.507469
632,85.1462725,642,3.6562828
633,85.6411336,643,3.8045296
634,85.9236801,644,3.9281159
635,86.2653265,645,4.1560135
636,86.8279907,646,4.3776751
637,87.5197843,647,4.7688427
638,88.1415485,648,5.0191332
639,89.001939,649,5.3706171
640,89.7639644,650,5.784461
641,90.4401734,651,6.2748377
642,91.2285105,652,6.8403299
643,91.951878,653,7.2621106
644,92.8527479,654,7.8094617
645,93.859674,655,8.4602738
646,94.8139767,656,8.9577369
647,95.8591558,657,9.4268545
648,97.0061407,658,10.0666119
649,97.8339452,659,10.4617478
650,98.5261436,660,10.8985515
651,98.9633216,661,11.5434111
652,99.1667308,662,12.2903143
653,99.4055594,663,12.8152725
654,99.7662313,664,13.4589983
655,99.9380665,665,14.0658749
656,100,666,14.8802404
657,99.4996741,667,15.662292
658,98.7698299,668,16.6728082
659,98.1448273,669,17.7388815
660,97.1937629,670,18.935344
661,96.278118,671,20.2074889
662,95.3533653,672,22.0717707
663,94.4923676,673,23.9950112
664,93.8432798,674,26.119788
665,93.0658722,675,27.9965419
666,92.4499775,676,30.5762635
667,91.8106048,677,33.0440205
668,91.3096718,678,35.6002154
